id,paragraph
1,CHAPTER 12. THE SORRY-PRESENT AND THE EXPELLED LITTLE BOY
2,"‘Look here, said Cyril, sitting on the dining-table and swinging his legs; ‘I really have got it.’"
3,‘Got what?’ was the not unnatural rejoinder of the others.
4,"Cyril was making a boat with a penknife and a piece of wood, and the girls were making warm frocks for their dolls, for the weather was growing chilly."
5,"‘Why, don’t you see? It’s really not any good our going into the Past looking for that Amulet. The Past’s as full of different times as--as the sea is of sand. We’re simply bound to hit upon the wrong time. We might spend our lives looking for the Amulet and never see a sight of it. Why, it’s the end of September already. It’s like looking for a needle in--’"
6,"‘A bottle of hay--I know,’ interrupted Robert; ‘but if we don’t go on doing that, what ARE we to do?’"
7,"‘That’s just it,’ said Cyril in mysterious accents. ‘Oh, BOTHER!’"
8,"Old Nurse had come in with the tray of knives, forks, and glasses, and was getting the tablecloth and table-napkins out of the chiffonier drawer."
9,‘It’s always meal-times just when you come to anything interesting.’
10,"‘And a nice interesting handful YOU’D be, Master Cyril,’ said old Nurse, ‘if I wasn’t to bring your meals up to time. Don’t you begin grumbling now, fear you get something to grumble AT.’"
11,"‘I wasn’t grumbling,’ said Cyril quite untruly; ‘but it does always happen like that.’"
12,"‘You deserve to HAVE something happen,’ said old Nurse. ‘Slave, slave, slave for you day and night, and never a word of thanks. ...’"
13,"‘Why, you do everything beautifully,’ said Anthea."
14,"‘It’s the first time any of you’s troubled to say so, anyhow,’ said Nurse shortly."
15,"‘What’s the use of SAYING?’ inquired Robert. ‘We EAT our meals fast enough, and almost always two helps. THAT ought to show you!’"
16,"‘Ah!’ said old Nurse, going round the table and putting the knives and forks in their places; ‘you’re a man all over, Master Robert. There was my poor Green, all the years he lived with me I never could get more out of him than “It’s all right!” when I asked him if he’d fancied his dinner. And yet, when he lay a-dying, his last words to me was, “Maria, you was always a good cook!”’ She ended with a trembling voice."
17,"‘And so you are,’ cried Anthea, and she and Jane instantly hugged her."
18,When she had gone out of the room Anthea said--
19,"‘I know exactly how she feels. Now, look here! Let’s do a penance to show we’re sorry we didn’t think about telling her before what nice cooking she does, and what a dear she is.’"
20,"‘Penances are silly,’ said Robert."
21,"‘Not if the penance is something to please someone else. I didn’t mean old peas and hair shirts and sleeping on the stones. I mean we’ll make her a sorry-present,’ explained Anthea. ‘Look here! I vote Cyril doesn’t tell us his idea until we’ve done something for old Nurse. It’s worse for us than him,’ she added hastily, ‘because he knows what it is and we don’t. Do you all agree?’"
22,"The others would have been ashamed not to agree, so they did. It was not till quite near the end of dinner--mutton fritters and blackberry and apple pie--that out of the earnest talk of the four came an idea that pleased everybody and would, they hoped, please Nurse."
23,"Cyril and Robert went out with the taste of apple still in their mouths and the purple of blackberries on their lips--and, in the case of Robert, on the wristband as well--and bought a big sheet of cardboard at the stationers. Then at the plumber’s shop, that has tubes and pipes and taps and gas-fittings in the window, they bought a pane of glass the same size as the cardboard. The man cut it with a very interesting tool that had a bit of diamond at the end, and he gave them, out of his own free generousness, a large piece of putty and a small piece of glue."
24,"While they were out the girls had floated four photographs of the four children off their cards in hot water. These were now stuck in a row along the top of the cardboard. Cyril put the glue to melt in a jampot, and put the jampot in a saucepan and saucepan on the fire, while Robert painted a wreath of poppies round the photographs. He painted rather well and very quickly, and poppies are easy to do if you’ve once been shown how. Then Anthea drew some printed letters and Jane coloured them. The words were:"
25,   ‘With all our loves to shew    We like the thigs to eat.’
26,"And when the painting was dry they all signed their names at the bottom and put the glass on, and glued brown paper round the edge and over the back, and put two loops of tape to hang it up by."
27,"Of course everyone saw when too late that there were not enough letters in ‘things’, so the missing ‘n’ was put in. It was impossible, of course, to do the whole thing over again for just one letter."
28,"‘There!’ said Anthea, placing it carefully, face up, under the sofa. ‘It’ll be hours before the glue’s dry. Now, Squirrel, fire ahead!’"
29,"‘Well, then,’ said Cyril in a great hurry, rubbing at his gluey hands with his pocket handkerchief. ‘What I mean to say is this.’"
30,There was a long pause.
31,"‘Well,’ said Robert at last, ‘WHAT is it that you mean to say?’"
32,"‘It’s like this,’ said Cyril, and again stopped short."
33,‘Like WHAT?’ asked Jane.
34,‘How can I tell you if you will all keep on interrupting?’ said Cyril sharply.
35,"So no one said any more, and with wrinkled frowns he arranged his ideas."
36,"‘Look here,’ he said, ‘what I really mean is--we can remember now what we did when we went to look for the Amulet. And if we’d found it we should remember that too.’"
37,"‘Rather!’ said Robert. ‘Only, you see we haven’t.’"
38,‘But in the future we shall have.’
39,"‘Shall we, though?’ said Jane."
40,"‘Yes--unless we’ve been made fools of by the Psammead. So then, where we want to go to is where we shall remember about where we did find it.’"
41,"‘I see,’ said Robert, but he didn’t."
42,"‘_I_ don’t,’ said Anthea, who did, very nearly. ‘Say it again, Squirrel, and very slowly.’"
43,"‘If,’ said Cyril, very slowly indeed, ‘we go into the future--after we’ve found the Amulet--’"
44,"‘But we’ve got to find it first,’ said Jane."
45,‘Hush!’ said Anthea.
46,"‘There will be a future,’ said Cyril, driven to greater clearness by the blank faces of the other three, ‘there will be a time AFTER we’ve found it. Let’s go into THAT time--and then we shall remember HOW we found it. And then we can go back and do the finding really.’"
47,"‘I see,’ said Robert, and this time he did, and I hope YOU do."
48,"‘Yes,’ said Anthea. ‘Oh, Squirrel, how clever of you!’"
49,‘But will the Amulet work both ways?’ inquired Robert.
50,"‘It ought to,’ said Cyril, ‘if time’s only a thingummy of whatsitsname. Anyway we might try.’"
51,"‘Let’s put on our best things, then,’ urged Jane. ‘You know what people say about progress and the world growing better and brighter. I expect people will be awfully smart in the future.’"
52,"‘All right,’ said Anthea, ‘we should have to wash anyway, I’m all thick with glue.’"
53,"When everyone was clean and dressed, the charm was held up."
54,"‘We want to go into the future and see the Amulet after we’ve found it,’ said Cyril, and Jane said the word of Power. They walked through the big arch of the charm straight into the British Museum."
55,"They knew it at once, and there, right in front of them, under a glass case, was the Amulet--their own half of it, as well as the other half they had never been able to find--and the two were joined by a pin of red stone that formed a hinge."
56,"‘Oh, glorious!’ cried Robert. ‘Here it is!’"
57,"‘Yes,’ said Cyril, very gloomily, ‘here it is. But we can’t get it out.’"
58,"‘No,’ said Robert, remembering how impossible the Queen of Babylon had found it to get anything out of the glass cases in the Museum--except by Psammead magic, and then she hadn’t been able to take anything away with her; ‘no--but we remember where we got it, and we can--’"
59,"‘Oh, DO we?’ interrupted Cyril bitterly, ‘do YOU remember where we got it?’"
60,"‘No,’ said Robert, ‘I don’t exactly, now I come to think of it.’"
61,Nor did any of the others!
62,‘But WHY can’t we?’ said Jane.
63,"‘Oh, _I_ don’t know,’ Cyril’s tone was impatient, ‘some silly old enchanted rule I suppose. I wish people would teach you magic at school like they do sums--or instead of. It would be some use having an Amulet then.’"
