id,paragraph
1,CHAPTER VIII. BACHELOR'S QUARTERS
2," Horace was feeling particularly happy as he walked back the next evening to Vincent Square. He had the consciousness of having done a good day's work, for the sketch-plans for Mr. Wackerbath's mansion were actually completed and despatched to his business address, while Ventimore now felt a comfortable assurance that his designs would more than satisfy his client."
3,"But it was not that which made him so light of heart. That night his rooms were to be honoured for the first time by Sylvia's presence. She would tread upon his carpet, sit in his chairs, comment upon, and perhaps even handle, his books and ornaments--and all of them would retain something of her charm for ever after. If she only came! For even now he could not quite believe that she really would; that some untoward event would not make a point of happening to prevent her, as he sometimes doubted whether his engagement was not too sweet and wonderful to be true--or, at all events, to last."
4,"As to the dinner, his mind was tolerably easy, for he had settled the remaining details of the _menu_ with his landlady that morning, and he could hope that without being so sumptuous as to excite the Professor's wrath, it would still be not altogether unworthy--and what goods could be rare and dainty enough?--to be set before Sylvia."
5,"He would have liked to provide champagne, but he knew that wine would savour of ostentation in the Professor's judgment, so he had contented himself instead with claret, a sound vintage which he knew he could depend upon. Flowers, he thought, were clearly permissible, and he had called at a florist's on his way and got some chrysanthemums of palest yellow and deepest terra-cotta, the finest he could see. Some of them would look well on the centre of the table in an old Nankin blue-and-white bowl he had; the rest he could arrange about the room: there would just be time to see to all that before dressing."
6,"Occupied with these thoughts, he turned into Vincent Square, which looked vaster than ever with the murky haze, enclosed by its high railings, and under a wide expanse of steel-blue sky, across which the clouds were driving fast like ships in full sail scudding for harbour before a storm. Against the mist below, the young and nearly leafless trees showed flat, black profiles as of pressed seaweed, and the sky immediately above the house-tops was tinged with a sullen red from miles of lighted streets; from the river came the long-drawn tooting of tugs, mingled with the more distant wail and hysterical shrieks of railway engines on the Lambeth lines."
7,"And now he reached the old semi-detached house in which he lodged, and noticed for the first time how the trellis-work of the veranda made, with the bared creepers and hanging baskets, a kind of decorative pattern against the windows, which were suffused with a roseate glow that looked warm and comfortable and hospitable. He wondered whether Sylvia would notice it when she arrived."
8,"He passed under the old wrought-iron arch that once held an oil-lamp, and up a short but rather steep flight of steps, which led to a brick porch built out at the side. Then he let himself in, and stood spellbound with perplexed amazement,--for he was in a strange house."
9,"In place of the modest passage with the yellow marble wall-paper, the mahogany hat-stand, and the elderly barometer in a state of chronic depression which he knew so well, he found an arched octagonal entrance-hall with arabesques of blue, crimson, and gold, and richly-embroidered hangings; the floor was marble, and from a shallow basin of alabaster in the centre a perfumed fountain rose and fell with a lulling patter."
10,"""I must have mistaken the number,"" he thought, quite forgetting that his latch-key had fitted, and he was just about to retreat before his intrusion was discovered, when the hangings parted, and Mrs. Rapkin presented herself, making so deplorably incongruous a figure in such surroundings, and looking so bewildered and woebegone, that Horace, in spite of his own increasing uneasiness, had some difficulty in keeping his gravity."
