id,paragraph
1,CHAPTER XXXIII.
2," It was now April, and for some days Malachi and John had been very busy, assisted by the Strawberry; for the time had come for tapping the maple-trees, to make the maple-sugar, and Mrs. Campbell had expressed a wish that she could be so supplied with an article of such general consumption, and which they could not obtain but by the _bateaux_ which went to Montreal. In the evening, when Malachi and John were, as usual, employed in cutting small trays out of the soft wood of the balsam-fir, and of which they had already prepared a large quantity, Mrs. Campbell asked Malachi how the sugar was procured."
3,"""Very easily, ma'am: we tap the trees."""
4,"""Yes, so you said before; but how do you do it? Explain the whole affair to me."""
5,"""Why, ma'am, we pick out the maple trees which are about a foot wide at the bottom of the trunk, as they yield most sugar. We then bore a hole in the trunk of the tree, about two feet above the ground, and into that hole we put a hollow reed, just the same as you would put a spigot in a cask. The liquor runs out into one of these trays that we have been digging out."""
6,"""Well, and then what do you do?"""
7,"""We collect all the liquor every morning till we have enough to fill the coppers, and then we boil it down."""
8,"""What coppers will you use, then?"""
9,"""There are two large coppers in the store-room, not yet put up, which will answer our purpose very well, ma'am. They hold about a hogshead each. We shall take them into the woods with us, and pour the liquor into them, and boil them down as soon as they are ready. You must come and see us on the boiling-day, and we can have a frolic in the woods."""
10,"""With all my heart,"" replied Mrs. Campbell. ""How much liquor do you get from one tree?"""
11,"""A matter of two or three gallons,"" replied Malachi; ""sometimes more and sometimes less. After we have tapped the trees and set our trays, we shall have nothing more to do for a fortnight. The Strawberry can attend to them all, and will let us know when she is ready."""
12,"""Do you tap the trees every year?"""
13,"""Yes, ma'am, and a good tree will bear it for fifteen or twenty years; but it kills them at last."""
14,"""So I should suppose, for you take away so much of the sap of the tree."""
15,"""Exactly, ma'am; but there's no want of sugar-maples in these woods."""
16,"""You promised us some honey, Malachi,"" said Emma, ""but we have not seen it yet. Can you get us some?"""
17,"""We had no time to get it last autumn, miss, but we will try this autumn what we can do. When John and I are out in the woods, we shall very probably find a honey-tree, without going very far. I did intend to have looked out for some, if you had not mentioned it."""
18,"""I know one,"" said Martin, ""I marked it a fortnight ago, but I quite forgot all about it. Since the mill has been in hand, I have had little time for any thing else. The fact is, we have all plenty to do just now."""
19,"""That we certainly have,"" replied Henry, laughing; ""I wish I could see the end of my work in the barn; I doubt if I shall be able to get out with my rifle this winter."""
20,"""No, sir, you must leave the woods to John and me,"" replied Malachi. ""Never mind, you shan't want for venison. Do you require the sledge to-morrow, Mr. Alfred?"""
21,"Malachi referred to a small sledge which they had made in the winter, and which was now very useful, as they could, with one horse, transport things from place to place. It was used by Alfred for bringing down to the storehouse the sacks of flour as fast as they were ground in the mill."
22,"""I can do without it for a day. What do you want it for?"""
23,"""To bring all the honey home,"" said Emma laughing."
24,"""No, miss, to take the coppers out into the woods,"" replied Malachi, ""that they may be ready for the liquor. As soon as we have tapped the trees, we will look for the honey."""
25,"""Did you send your skins down to Montreal by the _bateaux_?"" inquired Mr. Campbell."
26,"""Yes, father,"" replied Alfred; ""Mr. Emmerson took charge of them, and promised to deliver them to the agent; but we have not so many this year as we had last. John has the largest package of all of us."""
27,"""Yes, he beats me this year,"" said Malachi; ""he always contrives to get the first shot. I knew that I should make a hunter of the boy. He might go out by himself now, and do just as well as I do."""
28,"The next morning Malachi went out into the woods, taking with him the coppers and all the trays on the sledge: during that day he was busy boring the trees and fitting the reed-pipes to the holes. Strawberry and John accompanied him, and by sunset their work was complete."
29,"The next morning when they went out, only Malachi and John took their axes with them, for John could use his very well for so young a lad. They first went to the tree which Martin had discovered; he had given a description where to find it. They cut it down, but did not attempt to take the honey till the night, when they lighted a fire, and drove away the bees by throwing leaves upon it, and making a great smoke; they then opened the tree, and gained about two pails full of honey, which they brought in just as the family were about to go to bed. When they went out the next morning, they found a bear very busy at the remains of the comb, but the animal made off before they could get a shot at him."
30,"Every morning the Strawberry collected all the sap which had run out of the trees, and poured it into the coppers which had been fixed up by Malachi, ready for a fire to be lighted under them. They continued their search, and found three more hives of bees, which they marked and allowed to remain till later in the season, when they could take them at their leisure. In a fortnight, they had collected sufficient liquor from the trees to fill both the coppers to the brim, besides several pails. The fires were therefore lighted under the coppers, and due notice given to Mrs. Campbell and the girls, that the next day they must go out into the woods and see the operation; as the liquor would, toward the afternoon, be turned into coolers, which were some of the large washing-tubs then in use, and which had been thoroughly cleansed for the purpose."
31,"As this was to be a holiday in the woods, they prepared a cold dinner in a large basket, and gave it in charge of Henry. Mr. Campbell joined the party, and they all set off to the spot, which was about two miles distant. On their arrival, they examined the trees and the trays into which the juice first ran, the boilers in which the liquor was now simmering over the fire, and asked questions of Malachi, so that they might, if necessary, be able to make the sugar themselves, after which the first cooler was filled with the boiling liquor, that they might see how the sugar crystallized as the liquor became cold. They then sat down under a large tree and dined. The tree was at some distance from the boilers, as there was no shade in the open spot where Malachi had placed them, and the afternoon was passed very agreeably in listening to Malachi's and Martin's stories of their adventures in the woods. While they were still at dinner, Oscar and the other dogs which had accompanied them had strayed to about a hundred yards distant, and were soon very busy scraping and barking at a large hole."
32,"""What are the dogs after?"" said Alfred."
33,"""Just what the Strawberry wants, and told me to get for her,"" replied Malachi; ""we'll dig him out to-morrow."""
34,"""What is it, Strawberry?"" said Mary."
35,"The Strawberry pointed to her moccasins, and then put her finger on the porcupine-quills with which they were embroidered."
36,"""I don't know the English name,"" said she, softly."
37,"""A porcupine you mean,"" said Mary, ""the animal those quills come from."""
38,"""Yes,"" replied the Strawberry."
39,"""Is there a porcupine there, Malachi?"" said Mrs. Campbell."
40,"""Yes, ma'am, that is certain; the dogs know that well enough, or they would not make such a noise. If you like, we will go for the shovels and dig him out."""
41,"""Do, pray; I should like to see him caught,"" said Emma, ""it shall be our evening's amusement."""
42,"Martin got up and went for the shovels; during his absence, the dinner was cleared away, and the articles replaced in the basket; they then all adjourned to where the dogs were still barking and scratching."
43,"It was more than an hour before they could dig out the animal, and when at last it burst away from the hole, they could not help laughing as they witnessed the way in which one or two of the dogs were pricked with the quills of the animal, who needed no other defense; the dogs ran back, pawed their noses, and then went on again. Oscar was too knowing to attack it in that way; he attempted to turn it over, so that he might get at its stomach, when he would soon have killed it, but Martin dispatched the poor beast with a blow on the nose, and the dogs then rushed in upon it. They amused themselves selecting all the best of the quills for the Strawberry, and then they went back again to the coolers, to see the sugar which had been made."
44,"As they neared the spot, Emma cried out, ""There is a bear at the cooler; look at him."""
45,"Malachi and John had their rifles ready immediately. Mrs. Campbell and Mary were much alarmed, as the animal was not one hundred yards from them."
46,"""Do not be afraid, ma'am,"" said Malachi; ""the animal is only after the sugar. He likes sugar just as well as honey."""
47,"""I don't doubt but he's the same beast that you saw at the honeycomb the other day,"" said Martin. ""Let us stay where we are, and watch him. We may lose a few pounds of sugar, but I expect he will make you laugh."""
48,"""I really see nothing laughable in such a terrific brute,"" said Mrs. Campbell."
49,"""You are quite safe, ma'am,"" said Martin, ""Malachi and Mr. John have both their rifles."""
50,"""Well, then, I will trust to them,"" said Mrs. Campbell, ""but I should prefer being at home, nevertheless. What a great brute it is."""
51,"""Yes, ma'am; it is a very large animal, that's certain; but they are not very fat at this time of the year. See how he's smelling at the liquor, now he's licking the top of it with his tongue. He won't be satisfied with that, now that he has once tasted it. I told you so."""
52,"The eyes of the whole party, some frightened and some not, were now fixed upon the bear, who, approving of what he had tasted as a sample, now proceeded to help himself more liberally."
53,"He therefore placed his paw down into the contents of the cooler, but although the surface of the liquor was cool, the lower part was still scalding hot, and he had not put his paw in for a moment, when he withdrew it with a loud roar, rearing up and sitting upon his hind legs, and throwing his burned paw in the air."
54,"""I said so,"" observed Malachi, chuckling; ""he has found it hotter than he expected."""
55,"John, Alfred, and Martin burst out laughing at the sight; and even Mrs. Campbell and the two girls could not help being amused."
56,"""He'll try it again,"" said Martin."
57,"""Yes, that he will,"" replied Malachi. ""John, be all ready with your rifle, for the brute has seen us."""
