id,paragraph
1,CHAPTER IV. ALL SETTLED.
2," That Sunday--that last Sunday I somehow feel inclined to call it--stands out in my memory quite differently from its fellows. Both Haddie and I felt dull and depressed, partly owing no doubt to the weather, but still more, I think, from that vague fear of something being wrong which we were both suffering from, though we would not speak of it to each other."
3,"It cleared up a little in the evening, and though it was cold and chilly we went to church. Mamma had said to us we might if we liked, and Lydia was going."
4,"When we came in, cook sent us a little supper which we were very glad of; it cheered us up."
5,"""Aren't you thankful they're coming home to-morrow?"" I said to Haddie. ""I've never minded their being away so much before."""
6,"They had been away two or three times that we could remember, though never for longer than a day or two."
7,"""Yes,"" said Haddie, ""I'm very glad."""
8,But that was all he said.
9,"They did come back the next day, pretty early in the morning, as father had to be at the bank. He went straight there from the railway station, and mamma drove home with the luggage. She was very particular when she went to stay with her godmother to take nice dresses, for Mrs. Selwood would not have been pleased to see her looking shabby, and it would not have made her any more sympathising or anxious to help, but rather the other way. Long afterwards--at least some years afterwards, when I was old enough to understand--I remember Mrs. Selwood saying to me that it was mamma's courage and good management which made everybody respect her."
10,"I was watching at the dining-room window, which looked out to the street, when the cab drove up. After the heavy rain the day before, it was for once a fine day, with some sunshine. And sunshine was rare at Great Mexington, especially in late November."
11,"Mamma was looking out to catch the first glimpse of me--of course she knew that my brother would be at school. There was a sort of sunshine on her face, at least I thought so at first, for she was smiling. But when I looked more closely there was something in the smile which gave me a queer feeling, startling me almost more than if I had seen that she was crying."
12,I think for my age I had a good deal of self-control of a certain kind. I waited till she had come in and kissed me and sent away the cab and we were alone. Then I shut the door and drew her to father's special arm-chair beside the fire.
13,"""Mamma, dear,"" I half said, half whispered, ""what is it?"""
14,"Mamma gave a sort of gasp or choke before she answered. Then she said,"
15,"""Why, dear, why should you think--oh, I don't know what I am saying,"" and she tried to laugh."
16,But I wouldn't let her.
17,"""It's something in your face, mamma,"" I persisted."
18,She was silent for a moment.
19,"""We had meant to tell you and Haddie this evening,"" she said, ""father and I together; but perhaps it is better. Yes, my Geraldine, there is something. Till now it was not quite certain, though it has been hanging over us for some weeks, ever since----"""
20,"""Since that day I asked you--the morning after father came home so late and you had been crying?"""
21,"""Yes, since then,"" said mamma."
22,"She put her arm round me, and then she told me all that I have told already, or at least as much of it as she thought I could understand. She told it quietly, but she did not try not to cry--the tears just came trickling down her face, and she wiped them away now and then. I think the letting them come made her able to speak more calmly."
23,"And I listened. I was very sorry for her, very _very_ sorry. But you may think it strange--I have often looked back upon it with wonder myself, though I now feel as if I understood the causes of it better--when I tell you that I was _not_ fearfully upset or distressed myself. I did not feel inclined to cry, _except_ out of pity for mamma. And I listened with the most intense interest, and even curiosity. I was all wound up by excitement, for this was the first great event I had ever known, the first change in my quiet child-life."
24,And my excitement grew even greater when mamma came to the subject of what was decided about us children.
25,"""Haddie of course must go to school,"" she said; ""to a larger and better school--Mrs. Selwood speaks of Rugby, if it can be managed. He will be happy there, every one says. But about you, my Geraldine."""
26,"""Oh, mamma,"" I interrupted, ""do let me go to school too. I have always wanted to go, you know, and except for being away from you, I would far rather be a boarder. It's really being at school then. I know they rather look down upon day-scholars--Haddie says so."""
