id,paragraph
1,CHAPTER 2. The Young Writer.
2," For the next four days, Charlie followed his uncle's instructions and amused himself. He visited Exeter Change, took a boat and rowed down the river to Greenwich, and a coach and visited the palace of Hampton Court. He went to see the coaches make their start, in the morning, for all places in England, and marvelled at the perfection of the turnouts. He went to the playhouses twice, in the evening, and saw Mr. Garrick in his performance as Richard the Third."
3,"On the fifth day, a great surprise awaited him. His uncle, at breakfast, had told him briefly that he did not wish him to go out before dinner, as someone might want to see him; and Charlie, supposing that a messenger might be coming down from the India House, waited indoors; and an hour later he was astonished, when the door of the room opened and his mother and sisters entered."
4,"With a shout of gladness and surprise, Charlie rushed into their arms."
5,"""My dear mother, my dear girls, this is an unexpected pleasure, indeed! Why, what has brought you here?"""
6,"""Didn't you know we were coming, Charlie? Didn't Uncle tell you?"" they exclaimed."
7,"""Not a word,"" Charlie said. ""I never dreamt of such a thing. What, has he called you up here to stay till I go?"""
8,"""Oh, my dear, he has been so kind,"" his mother said; ""and so funny! He wrote me such a scolding letter, just as if I had been a very naughty little girl. He said he wasn't going to allow me to bring disgrace upon him, by living in wretched lodgings at Yarmouth, nor by his grandnieces being sent out as governesses. So he ordered me at once--ordered me Charlie, as if I had no will of my own--to give up the lodgings, and to take our places in the coach, yesterday morning. He said we were not to shame him by appearing here in rags, and he sent me a hundred pounds, every penny of which, he said, was to be laid out in clothes. As to the future, he said it would be his duty to see that I brought no further disgrace upon the family."""
9,"""Yes, and he's been just as kind to me, Mother. As I told you when I wrote, he had ordered an enormous outfit, which will, I am sure, cost hundreds of pounds. He makes me go to the playhouses, and all sorts of amusements; and all the time he has been so kind he scolds, and grumbles, and predicts that I shall be hanged."""
10,"""I'm sure you won't,"" Kate, his youngest sister, said indignantly. ""How can he say such a thing?"""
11,"""He doesn't mean it,"" Charlie laughed. ""It's only his way. He will go on just the same way with you, I have no doubt; but you mustn't mind, you know, and mustn't laugh, but must look quite grave and serious."
12,"""Ah! Here he is."
13,"""Oh, Uncle, this is kind of you!"""
14,"""Hold your tongue, sir,"" said his uncle, ""and try and learn not to speak to your elders, unless you are addressed."
15,"""Niece Mary,"" he said, kissing her upon the forehead, ""I am glad to see you again. You are not so much changed as I expected."
16,"""And these are my grandnieces, Elizabeth and Kate, though why Kate I don't know. It is a fanciful name, and new to the family, and I am surprised that you didn't call her Susanna, after your grandmother."""
17,"Kate made a little face at the thought of being called Susanna. However, a warning glance from Charlie closed her lips, just as she was about to express her decided preference for her own name. Mr. Tufton kissed them both, muttering to himself:"
18,"""I suppose I ought to kiss them. Girls always expect to be kissed at every opportunity."
19,"""What are you laughing at, grandniece?"""
20,"""I don't think girls expect to be kissed, except by people they like,"" Kate said; ""but we do like kissing you, Uncle,"" throwing her arms round his neck, and kissing him heartily; ""because you have been so kind to Charlie, and have brought us up to see him again."""
21,"""You have disarranged my white tie, Niece,"" Mr. Tufton said, extricating himself from Kate's embrace."
22,"""Niece Mary, I fear that you have not taught your daughters to restrain their emotions, and there is nothing so dreadful as emotional women."""
23,"""Perhaps I have not taken so much pains with their education, in that way, as in some others,"" Mrs. Marryat said, smiling. ""But of course, Uncle, if you object to be kissed, the girls will abstain from doing so."""
24,"""No,"" Mr. Tufton said, thoughtfully. ""It is the duty of nieces to kiss their uncles, in moderation--in moderation, mind--and it is the duty of the uncles to receive those salutations, and I do not know that the duty is altogether an unpleasant one. I am, myself, unaccustomed to be kissed, but it is an operation to which I may accustom myself, in time."""
25,"""I never heard it called an operation, Uncle,"" Lizzie said demurely; ""but I now understand the meaning of the phrase of a man's undergoing a painful operation. I used to think it meant cutting off a leg, or something of that sort, but I see it's much worse."""
26,Her uncle looked at her steadily.
27,"""I am afraid, Grandniece, that you intend to be sarcastic. This is a hateful habit in a man, worse in a woman. Cure yourself of it as speedily as possible, or Heaven help the unhappy man who may some day be your husband."
28,"""And now,"" he said, ""ring the bell. The housekeeper will show you to your rooms. My nephew will tell you what are the hours for meals. Of course, you will want to be gadding about with him. You will understand that there is no occasion to be in to meals; but if you are not present when they are upon the table, you will have to wait for the next. I cannot have my house turned upside down, by meals being brought up at all sorts of hours."
29,"""You must not expect me, Niece, to be at your beck and call during the day, as I have my business to attend to; but of an evening I shall, of course, feel it my duty to accompany you to the playhouse. It will not do for you to be going about with only the protection of a hare-brained boy."""
30,"The remainder of Charlie's stay in London passed most pleasantly. They visited all the sights of town, Mr. Tufton performing what he called his duty with an air of protest, but showing a general thoughtfulness and desire to please his visitors, which was very apparent even when he grunted and grumbled the most."
31,"On the evening before he started, he called Charlie down into his counting house."
32,"""Tomorrow you are going to sail,"" he said, ""and to start in life on your own account, and I trust that you will, as far as possible, be steady, and do your duty to your employers. You will understand that, although the pay of a writer is not high, there are opportunities for advancement. The Company have the monopoly of the trade of India, and in addition to their great factories at Bombay, Calcutta, and Madras, they have many other trading stations. Those who, by their good conduct, attract the attention of their superiors, rise to positions of trust and emolument. There are many who think that the Company will, in time, enlarge its operations; and as they do so, superior opportunities will offer themselves; and since the subject of India has been prominently brought before my notice, I have examined the question, and am determined to invest somewhat largely in the stock of the Company, a step which will naturally give me some influence with the board. That influence I shall, always supposing that your conduct warrants it, exercise on your behalf."
33,"""As we are now at war with France, and it is possible that the vessel in which you are proceeding may be attacked by the way, I have thought it proper that you should be armed. You will, therefore, find in your cabin a brace of pistols, a rifle, and a double-barrel shotgun: which last, I am informed, is a useful weapon at close quarters. Should your avocations in India permit your doing so, you will find them useful in the pursuit of game. I hope that you will not be extravagant; but as a matter of business I find that it is useful to be able to give entertainments, to persons who may be in a position to benefit or advance you. I have, therefore, arranged that you will draw from the factor at Madras the sum of two hundred pounds, annually, in addition to your pay. It is clearly my duty to see that my nephew has every fair opportunity for making his way."
34,"""Now, go upstairs at once to your mother. I have letters to write, and am too busy for talking."""
35,"So saying, with a peremptory wave of his hand he dismissed his nephew."
36,"""Well, Mother,"" Charlie said, after telling her of his uncle's generosity, ""thank goodness you will be all right now, anyhow. No doubt Uncle intends to do something for you and the girls, though he has said nothing at present, beyond the fact that you are not to be in wretched lodgings, and they are not to go out as governesses. But even if he should change his mind, and I don't think he ever does that, I shall be able to help you."
37,"""Oh, he is kind, isn't he?"""
38,"The parting was far less sad than that which had taken place at Yarmouth. Charlie was now assured that his mother and sisters would be comfortable, and well cared for in his absence; while his mother, happy in the lightening of her anxiety as to the future of her daughters, and as to the prospects of her son, was able to bear with better heart the thought of their long separation."
