id,paragraph
1,CHAPTER XXXII.
2," An unexpected discovery, and a bold, reckless defiance, with its consequences--Plans of escape, and heroic resolves."
3,"When we returned to the shore, and related to our friend what had passed, he was greatly distressed, and groaned in spirit; but we had not sat long in conversation, when we were interrupted by the arrival of Tararo on the beach, accompanied by a number of followers bearing baskets of vegetables and fruits on their heads."
4,"We advanced to meet him, and he expressed, through our interpreter, much pleasure in seeing us."
5,"""And what is it that my friends wish to say to me?"" he inquired."
6,The teacher explained that we came to beg that Avatea might be spared.
7,"""Tell him,"" said Jack, ""that I consider that I have a right to ask this of him, having not only saved the girl's life, but the lives of his own people also; and say that I wish her to be allowed to follow her own wishes, and join the Christians."""
8,"While this was being translated, the chiefs brow lowered, and we could see plainly that our request met with no favourable reception.  He replied with considerable energy, and at some length."
9,"""What says he?"" inquired Jack."
10,"""I regret to say that he will not listen to the proposal.  He says he has pledged his word to his friend that the girl shall be sent to him, and a deputy is even now on this island awaiting the fulfilment of the pledge."""
11,"Jack bit his lip in suppressed anger.  ""Tell Tararo,"" he exclaimed with flashing eye, ""that if he does not grant my demand, it will be worse for him.  Say I have a big gun on board my schooner that will blow his village into the sea, if he does not give up the girl."""
12,"""Nay, my friend,"" said the teacher, gently, ""I will not tell him that; we must overcome evil with good.'"""
13,"""What does my friend say?"" inquired the chief, who seemed nettled by Jack's looks of defiance."
14,"""He is displeased,"" replied the teacher."
15,"Tararo turned away with a smile of contempt, and walked towards the men who carried the baskets of vegetables, and who had now emptied the whole on the beach in an enormous pile."
16,"""What are they doing there?"" I inquired."
17,"""I think that they are laying out a gift which they intend to present to some one,"" said the teacher."
18,"At this moment a couple of men appeared leading a young girl between them; and, going towards the heap of fruits and vegetables, placed her on the top of it.  We started with surprise and fear, for in the young female before us we recognised the Samoan girl, Avatea!"
19,We stood rooted to the earth with surprise and thick coming fears.
20,"""Oh! my dear young friend,"" whispered the teacher, in a voice of deep emotion, while he seized Jack by the arm, ""she is to be made a sacrifice even now!"""
21,"""Is she?"" cried Jack, with a vehement shout, spurning the teacher aside, and dashing over two natives who stood in his way, while he rushed towards the heap, sprang up its side, and seized Avatea by the arm.  In another moment he dragged her down, placed her back to a large tree, and, wrenching a war-club from the hand of a native who seemed powerless and petrified with surprise, whirled it above his head, and yelled, rather than shouted, while his face blazed with fury, ""Come on, the whole nation of you, an ye like it, and do your worst!"""
22,"It seemed as though the challenge had been literally accepted; for every savage on the ground ran precipitately at Jack with club and spear, and, doubtless, would speedily have poured out his brave blood on the sod, had not the teacher rushed in between them, and, raising his voice to its utmost, cried.--"
23,"""Stay your hands, warriors!  It is not your part to judge in this matter. It is for Tararo, the chief, to say whether or not the young man shall live or die."""
24,"The natives were arrested; and I know not whether it was the gratifying acknowledgment of his superiority thus made by the teacher, or some lingering feeling of gratitude for Jack's former aid in time of need, that influenced Tararo, but he stepped forward, and, waving his hand, said to his people,--""Desist.  The young man's life is mine.""  Then, turning to Jack, he said, ""You have forfeited your liberty and life to me.  Submit yourself, for we are more numerous than the sand upon the shore.  You are but one; why should you die?"""
25,"""Villain!"" exclaimed Jack, passionately, ""I may die, but, assuredly, I shall not perish alone.  I will not submit until you promise that this girl shall not be injured."""
26,"""You are very bold,"" replied the chief, haughtily, ""but very foolish.  Yet I will say that Avatea shall not be sent away, at least for three days."""
27,"""You had better accept these terms,"" whispered the teacher, entreatingly. ""If you persist in this mad defiance, you will be slain, and Avatea will be lost.  Three days are worth having."""
