id,paragraph
1,CHAPTER I. THE OLD HOUSE.
2,"     ""Somewhat back from the village street     Stands the old-fashioned country seat."""
3," Once upon a time in an old town, in an old street, there stood a very old house. Such a house as you could hardly find nowadays, however you searched, for it belonged to a gone-by time--a time now quite passed away."
4,"It stood in a street, but yet it was not like a town house, for though the front opened right on to the pavement, the back windows looked out upon a beautiful, quaintly terraced garden, with old trees growing so thick and close together that in summer it was like living on the edge of a forest to be near them; and even in winter the web of their interlaced branches hid all clear view behind."
5,"There was a colony of rooks in this old garden. Year after year they held their parliaments and cawed and chattered and fussed; year after year they built their nests and hatched their eggs; year after year, I _suppose_, the old ones gradually died off and the young ones took their place, though, but for knowing this _must_ be so, no one would have suspected it, for to all appearance the rooks were always the same--ever and always the same."
6,"Time indeed seemed to stand still in and all about the old house, as if it and the people who inhabited it had got _so_ old that they could not get any older, and had outlived the possibility of change."
7,"But one day at last there did come a change. Late in the dusk of an autumn afternoon a carriage drove up to the door of the old house, came rattling over the stones with a sudden noisy clatter that sounded quite impertinent, startling the rooks just as they were composing themselves to rest, and setting them all wondering what could be the matter."
8,"A little girl was the matter! A little girl in a grey merino frock and grey beaver bonnet, grey tippet and grey gloves--all grey together, even to her eyes, all except her round rosy face and bright brown hair. Her name even was rather grey, for it was Griselda."
9,"A gentleman lifted her out of the carriage and disappeared with her into the house, and later that same evening the gentleman came out of the house and got into the carriage which had come back for him again, and drove away. That was all that the rooks saw of the change that had come to the old house. Shall we go inside to see more?"
10,"Up the shallow, wide, old-fashioned staircase, past the wainscoted walls, dark and shining like a mirror, down a long narrow passage with many doors, which but for their gleaming brass handles one would not have known were there, the oldest of the three old servants led little Griselda, so tired and sleepy that her supper had been left almost untasted, to the room prepared for her. It was a queer room, for everything in the house was queer; but in the dancing light of the fire burning brightly in the tiled grate, it looked cheerful enough."
11,"""I am glad there's a fire,"" said the child. ""Will it keep alight till the morning, do you think?"""
12,The old servant shook her head.
13,"""'Twould not be safe to leave it so that it would burn till morning,"" she said. ""When you are in bed and asleep, little missie, you won't want the fire. Bed's the warmest place."""
14,"""It isn't for that I want it,"" said Griselda; ""it's for the light I like it. This house all looks so dark to me, and yet there seem to be lights hidden in the walls too, they shine so."""
15,The old servant smiled.
16,"""It will all seem strange to you, no doubt,"" she said; ""but you'll get to like it, missie. 'Tis a _good_ old house, and those that know best love it well."""
17,"""Whom do you mean?"" said Griselda. ""Do you mean my great-aunts?"""
18,"""Ah, yes, and others beside,"" replied the old woman. ""The rooks love it well, and others beside. Did you ever hear tell of the 'good people,' missie, over the sea where you come from?"""
19,"""Fairies, do you mean?"" cried Griselda, her eyes sparkling. ""Of course I've _heard_ of them, but I never saw any. Did you ever?"""
20,"""I couldn't say,"" answered the old woman."
21,"""My mind is not young like yours, missie, and there are times when strange memories come back to me as of sights and sounds in a dream. I am too old to see and hear as I once could. We are all old here, missie. 'Twas time something young came to the old house again."""
22,"""How strange and queer everything seems!"" thought Griselda, as she got into bed. ""I don't feel as if I belonged to it a bit. And they are all _so_ old; perhaps they won't like having a child among them?"""
23,"The very same thought that had occurred to the rooks! They could not decide as to the fors and againsts at all, so they settled to put it to the vote the next morning, and in the meantime they and Griselda all went to sleep."
24,"I never heard if _they_ slept well that night; after such unusual excitement it was hardly to be expected they would. But Griselda, being a little girl and not a rook, was so tired that two minutes after she had tucked herself up in bed she was quite sound asleep, and did not wake for several hours."
