id,paragraph
1,CHAPTER XVIII.
2,
3,"Margaret had borne the meeting much too well for her own good, and a wakeful night of palpitation was the consequence; but she would not allow any one to take it to heart, and declared that she should be ready to enjoy Harry by the time he should return, and meantime, she should dwell on the delight of his meeting Flora."
4,"No one had rested too soundly that night, and Dr. May had not been able to help looking in at his sleeping boy at five in the morning, to certify himself that he had not only figured his present bliss to himself, in his ten minutes’ dream. And looking in again at half-past seven, he found Harry half dressed, with his arm round Mary; laughing, almost sobbing, over the treasures in his cupboard, which he had newly discovered in their fresh order."
5,"Dr. May looked like a new man that morning, with his brightened eye and bearing, as if there were a well-spring of joy within him, ready to brim over at once in tear and in smile, and finding an outlet in the praise and thanksgiving that his spirit chanted, and his face expressed, and in that sunny genial benevolence that must make all share his joy."
6,"He was going to run over half the town--every one would like to hear it from him; Ethel and Mary must go to the rest--the old women in the almshouses, where lived an old cook who used to be fond of Harry--they should have a feast; all who were well enough in the hospital should have a tea-drinking; Dr. Hoxton had already granted a holiday to the school; every boy with whom they had any connection should come to dinner, and Edward Anderson should be asked to meet Harry on his return, because, poor fellow, he was so improved."
7,"Dr. May was in such a transport of kind-hearted schemes, that he was not easily made to hear that Harry had not a sixpence wherewith to reach London."
8,"Ethel, meanwhile, was standing beside her brother tendering to him some gold, as his last quarter."
9,"“How did you get it, Ethel? do you keep the purse?”"
10,"“No, but papa took Cocksmoor in your stead, when--”"
11,"“Nonsense, Ethel,” said Harry; “I don’t want it. Have I not all my pay and allowance for the whole time I was dead? And as to robbing Cocksmoor--”"
12,"“Yes, keep it, Ethel,” said her father; “do you think I would take it now, when if there were a thank-offering in the world.--And, by the bye, your Cocksmoor children must have something to remember this by--”"
13,"Every one could have envied Norman, for travelling to London with Harry, but that he must proceed to Oxford in two days, when Harry would return to them. The station-master, thinking he could not do enough for the returned mariner, put the two brothers into the coupe, as if they had been a bridal couple, and they were very glad of the privacy, having, as yet, hardly spoken to each other, when Harry’s attention was dispersed among so many."
14,"Norman asked many questions about the mission work in the southern hemisphere, and ended by telling his brother of his design, which met with Harry’s hearty approbation."
15,"“That’s right, old June. There’s nothing they want so much, as such as you. How glad my aunt will be! Perhaps you will see David! Oh, if you were to go out to the Loyalty group!”"
16,"“Very possibly I might,” said Norman."
17,"“Tell them you are my brother, and how they will receive you! I can see the mop-heads they will dress in honour of you, and what a feast of pork and yams you will have to eat! But there is plenty of work among the Maoris for you--they want a clergyman terribly at the next village to my uncle’s place. I say, Norman, it will go hard if I don’t get a ship bound for the Pacific, and come and see you.”"
18,"“I shall reckon on you. That is, if I have not to stay to help my father.”"
19,"“To be sure,” exclaimed Harry; “I thought you would have stayed at home, and married little Miss Rivers!”"
20,"Thus broadly and boyishly did he plunge into that most tender subject, making his brother start and wince, as if he had touched a wound."
21,"“Nonsense!” he cried, almost angrily."
22,"“Well! you used to seem very much smitten, but so, to be sure, were some of the Alcestes with the young ladies at Valparaiso. How we used to roast Owen about that Spanish Donna, and he was as bad at Sydney about the young lady whose father, we told him, was a convict, though he kept such a swell carriage. He had no peace about his father-in-law, the house-breaker! Don’t I remember how you pinched her hand the night you were righted!”"
23,"“You know nothing about it,” said Norman shortly. “She is far beyond my reach.”"
24,"“A fine lady? Ha! Well, I should have thought you as good as Flora any day,” said Harry indignantly."
25,"“She is what she always was,” said Norman, anxious to silence him; “but it is unreasonable to think of it. She is all but engaged to Sir Henry Walkinghame.”"
26,"“Walkinghame!” cried the volatile sailor. “I have half a mind to send in my name to Flora as Miss Walkinghame!” and he laughed heartily over that adventure, ending, however, with a sigh, as he said, “It had nearly cost me a great deal! But tell me, Norman, how has that Meta, as they called her, turned out? I never saw anything prettier or nicer than she was that day of the Roman encampment, and I should be sorry if that fine fashionable aunt of hers, had made her stuck-up and disdainful.”"
27,"“No such thing,” said Norman."
28,"“Ha!” said Harry to himself, “I see how it is! She has gone and made poor old June unhappy, with her scornful airs--a little impertinent puss!--I wonder Flora does not teach her better manners.”"
29,"Norman, meanwhile, as the train sped over roofs, and among chimneys, was reproaching himself for running into the fascination of her presence, and then recollecting that her situation, as well as his destiny, both guaranteed that they could meet only as friendly connections."
30,"No carriage awaited them at the station, which surprised Norman, till he recollected that the horses had probably been out all day, and it was eight o’clock. Going to Park Lane in a cab, the brothers were further surprised to find themselves evidently not expected. The butler came to speak to them, saying that Mr. and Mrs. Rivers were gone out to dinner, but would return, probably, at about eleven o’clock. He conducted them upstairs, Harry following his brother, in towering vexation and disappointment, trying to make him turn to hear that they would go directly--home--to Eton--anywhere--why would he go in at all?"
31,"The door was opened, Mr. May was announced, and they were in a silk-lined boudoir, where a little slender figure in black started up, and came forward with outstretched hand."
32,"“Norman!” she cried, “how are you? Are you come on your way to Oxford?”"
33,“Has not Flora had Mary’s letter?”
34,"“Yes, she said she had one. She was keeping it till she had time to read it.”"
35,"As she spoke, Meta had given her hand to Harry, as it was evidently expected; she raised her eyes to his face, and said, smiling’ and blushing, “I am sure I ought to know you, but I am afraid I don’t.”"
36,"“Look again,” said Norman. “See if you have ever seen him before.”"
37,"Laughing, glancing, and casting down her eyes, she raised them with a sudden start of joy, but colouring more deeply, said, “Indeed, I cannot remember. I dare say I ought.”"
38,"“I think you see a likeness,” said Norman."
39,"“Oh, yes, I see,” she answered, faltering; but perceiving how bright were the looks of both, “No? Impossible! Yes, it is!”"
40,"“Yes, it is,” said both brothers with one voice. She clasped her hands, absolutely bounded with transport, then grasped both Harry’s hands, and then Norman’s, her whole countenance radiant with joy and sympathy beyond expression."
41,"“Dear, dear Dr. May!” was her first exclamation. “Oh, how happy you must all be! And Margaret?” She looked up at Norman, and came nearer. “Is not Mr. Ernescliffe come?” she asked softly, and trembling."
42,"“No,” was the low answer, which Harry could not bear to hear, and therefore walked to the window. “No, Meta, but Margaret is much comforted about him. He died in great peace--in his arms”--as he signed towards his brother. And as Harry continued to gaze out on the stars of gas on the opposite side of the park, he was able to add a few of the particulars."
