id,paragraph
1,"CHAPTER 32. THE ""DOMINICAN"" COMES ROUND."
2,"The Fifth were a good while coming round on the question of Greenfield senior.  But the delay was more on account of pride than because they still considered their old class-fellow a knave.  They had taken up such a grand position last term, and talked so magnificently about honour, and morality, and the credit of the school, that it was a sad come-down now to have to admit they had all been wrong, and still more that they had all been fools.  And yet, after what had happened, they could no longer retain their suspicions of Oliver Greenfield."
3,"A few of the better sort, like Pembury and Bullinger, had the courage, at whatever cost, to act up to their convictions, and declared at once that they had been wrong, and were ashamed of it."
4,"The next step was to approach Oliver, and that was more difficult, for he was such a queer fellow there was no knowing where to have him. However, Pembury's wit helped him over the difficulty as usual."
5,"He was hobbling down the passage one morning when he suddenly encountered Oliver and Wraysford, arm-in-arm, approaching him.  If at any time in his life Pembury did feel uncomfortable and awkward he felt it now.  If he let Oliver go by this time without making it up somehow, the chance might never come again; but how to set about it, that was the difficulty, and every half-second brought the two nearer.  Twenty different ideas flashed through his mind.  He was not the sort of fellow to go to any one and eat humble-pie straight off.  That was far too tame a proceeding.  No, there was only one way he could think of, and he would chance that."
6,"""Noll, old man,"" said he, in the old familiar tones, ""you've got a spare arm.  May I take it?"""
7,"Oliver stopped short and looked at him for an instant in astonishment. Next moment, with a hearty ""Rather!"" he slipped his arm into that of the happy Pembury, and the three went on their way rejoicing, a sight and a moral for all Saint Dominic's."
8,"That was the whole of Anthony Pembury's making up.  As for Bullinger, he wrote his man a letter, worded in beautiful English, in the most elegant handwriting and punctuated to a nicety, setting forth his contrition, and his hope that Greenfield would henceforth reckon him among his friends--""Yours very sincerely, H. Bullinger.""  This literary effort he carefully dispatched by a Guinea-pig to its destination, and awaited a reply with the utmost impatience.  The reply was laconic, but highly satisfactory.  It was a verbal one, given by Oliver himself in class that afternoon, who volunteered the information to the delighted Bullinger that it was a ""jolly day."""
9,"It was indeed a jolly day to that contrite youth.  He never believed it would all be got over so easily.  He had dreaded all sorts of scenes and lectures and humiliations, but here he was, by a single word, passed back straight into friendship, and no questions asked."
10,"The sight of Oliver surrounded by these three friends, of whom it would have been hard to say which was the happiest, made a deep impression on the rest of the Fifth, and certainly did not tend to make them feel more comfortable as to what they ought to do in a similar direction."
11,"""It's all very well,"" said Ricketts, when the question was being canvassed for the hundredth time among his immediate friends.  ""I dare say they are all right, but it makes it jolly uncomfortable for us."""
12,"""They oughtn't to have given in in this way without letting the rest of us know first,"" said Braddy.  ""Just see what a corner it puts us in."""
13,"""All I can say is,"" said Tom Senior, ""I'll be better satisfied when I know who _did_ collar that paper if Greenfield didn't."""
14,"""Oh, but,"" said Simon, seeing a chance, ""I can assure you I saw him when he took it.  I was going--"""
15,"""Shut up, you great booby!"" cried Ricketts; ""who asked _you_ anything about it?"""
16,"Simon modestly retired hereupon, and Braddy took up the talk."
17,"""Yes, who did take the paper? that's it.  Greenfield must have done it. Why, he as good as admitted it last term."""
18,"""Well, then, it's very queer those fellows making up to him,"" said Ricketts.  ""It's no use our trying to send the fellow to Coventry when the others don't back us up."""
19,"""Wraysford always was daft about Greenfield,"" said Tom Senior, ""but I am astonished at Pembury and Bullinger."""
20,"""All I can say is,"" said Braddy, ""Greenfield will have to ask me before I have anything to do with him."""
21,"""And do you know,"" said Ricketts, ""I heard to-day he is down to play in the match against the County."""
22,"""Is he?"" exclaimed Braddy in excitement; ""very well, then.  _I_ shall not play if he does.  That's all about that."""
23,Ricketts laughed.
24,"""Awfully sorry, old man, but you're not in the fifteen this time."""
25,Braddy's face was a picture at this moment--he turned red and blue and white in his astonishment.
26,"""What!"" he exclaimed, as soon as he could find words.  ""I'm not in the team!"""
27,"""You'll see the list on the notice board; you'd better go and look."""
28,Off went the wretched Braddy to be convinced of his fate.
29,"""You're in the team, Ricketts, I see,"" said Tom Senior.  ""Shall _you_ play if Greenfield does?"""
30,"""Don't know,"" said Ricketts.  ""A fellow doesn't get a chance to play against the County every day.  It's precious awkward."""
31,"""So it is; that's just where we began, too,"" said Tom, philosophically. And, as a matter of fact, whenever these young gentlemen of the Fifth started the subject of Greenfield senior among themselves, they always found themselves in the end at the identical place from which they had set out."
