id,paragraph
1,CHAPTER 5. ITS WALLS WERE AS OF JASPER
2," IN the long winter evenings, when we had the picture-books out on the floor, and sprawled together over them with elbows deep in the hearth-rug, the first business to be gone through was the process of allotment. All the characters in the pictures had to be assigned and dealt out among us, according to seniority, as far as they would go. When once that had been satisfactorily completed, the story was allowed to proceed; and thereafter, in addition to the excitement of the plot, one always possessed a personal interest in some particular member of the cast, whose successes or rebuffs one took as so much private gain or loss."
3,"For Edward this was satisfactory enough. Claiming his right of the eldest, he would annex the hero in the very frontispiece, and for the rest of the story his career, if chequered at intervals, was sure of heroic episodes and a glorious close. But his juniors, who had to put up with characters of a clay more mixed--nay, sometimes with undiluted villany--were hard put to it on occasion to defend their other selves (as it was strict etiquette to do) from ignominy perhaps only too justly merited."
4,"Edward was indeed a hopeless grabber. In the ""Buffalo-book,"" for instance (so named from the subject of its principal picture, though indeed it dealt with varied slaughter in every zone), Edward was the stalwart, bearded figure, with yellow leggings and a powder-horn, who undauntedly discharged the fatal bullet into the shoulder of the great bull bison, charging home to within a yard of his muzzle. To me was allotted the subsidiary character of the friend who had succeeded in bringing down a cow; while Harold had to be content to hold Edward's spare rifle in the background, with evident signs of uneasiness. Farther on, again, where the magnificent chamois sprang rigid into mid-air, Edward, crouched dizzily against the precipice-face, was the sportsman from whose weapon a puff of white smoke was floating away. A bare-kneed guide was all that fell to my share, while poor Harold had to take the boy with the haversack, or abandon, for this occasion at least, all Alpine ambitions."
5,"Of course the girls fared badly in this book, and it was not surprising that they preferred the ""Pilgrim's Progress"" (for instance), where women had a fair show, and there was generally enough of 'em to go round; or a good fairy story, wherein princesses met with a healthy appreciation. But indeed we were all best pleased with a picture wherein the characters just fitted us, in number, sex, and qualifications; and this, to us, stood for artistic merit."
6,"All the Christmas numbers, in their gilt frames on the nursery-wall, had been gone through and allotted long ago; and in these, sooner or later, each one of us got a chance to figure in some satisfactory and brightly coloured situation. Few of the other pictures about the house afforded equal facilities. They were generally wanting in figures, and even when these were present they lacked dramatic interest. In this picture that I have to speak about, although the characters had a stupid way of not doing anything, and apparently not wanting to do anything, there was at least a sufficiency of them; so in due course they were allotted, too."
7,"In itself the picture, which--in its ebony and tortoise-shell frame--hung in a corner of the dining-room, had hitherto possessed no special interest for us, and would probably never have been dealt with at all but for a revolt of the girls against a succession of books on sport, in which the illustrator seemed to have forgotten that there were such things as women in the world. Selina accordingly made for it one rainy morning, and announced that she was the lady seated in the centre, whose gown of rich, flowered brocade fell in such straight, severe lines to her feet, whose cloak of dark blue was held by a jewelled clasp, and whose long, fair hair was crowned with a diadem of gold and pearl. Well, we had no objection to that; it seemed fair enough, especially to Edward, who promptly proceeded to ""grab"" the armour-man who stood leaning on his shield at the lady's right hand. A dainty and delicate armour-man this! And I confess, though I knew it was all right and fair and orderly, I felt a slight pang when he passed out of my reach into Edward's possession. His armour was just the sort I wanted myself--scalloped and fluted and shimmering and spotless; and, though he was but a boy by his beardless face and golden hair, the shattered spear-shaft in his grasp proclaimed him a genuine fighter and fresh from some such agreeable work. Yes, I grudged Edward the armour-man, and when he said I could have the fellow on the other side, I hung back and said I'd think about it."
8,"This fellow had no armour nor weapons, but wore a plain jerkin with a leather pouch--a mere civilian--and with one hand he pointed to a wound in his thigh. I didn't care about him, and when Harold eagerly put in his claim I gave way and let him have the man. The cause of Harold's anxiety only came out later. It was the wound he coveted, it seemed. He wanted to have a big, sore wound of his very own, and go about and show it to people, and excite their envy or win their respect. Charlotte was only too pleased to take the child-angel seated at the lady's feet, grappling with a musical instrument much too big for her. Charlotte wanted wings badly, and, next to those, a guitar or a banjo. The angel, besides, wore an amber necklace, which took her fancy immensely."
9,"This left the picture allotted, with the exception of two or three more angels, who peeped or perched behind the main figures with a certain subdued drollery in their faces, as if the thing had gone on long enough, and it was now time to upset something or kick up a row of some sort. We knew these good folk to be saints and angels, because we had been told they were; otherwise we should never have guessed it. Angels, as we knew them in our Sunday books, were vapid, colourless, uninteresting characters, with straight up-and-down sort of figures, white nightgowns, white wings, and the same straight yellow hair parted in the middle. They were serious, even melancholy; and we had no desire to have any traffic with them. These bright bejewelled little persons, however, piquant of face and radiant of feather, were evidently hatched from quite a different egg, and we felt we might have interests in common with them. Short-nosed, shock-headed, with mouths that went up at the corners and with an evident disregard for all their fine clothes, they would be the best of good company, we felt sure, if only we could manage to get at them. One doubt alone disturbed my mind. In games requiring agility, those wings of theirs would give them a tremendous pull. Could they be trusted to play fair? I asked Selina, who replied scornfully that angels _always_ played fair. But I went back and had another look at the brown-faced one peeping over the back of the lady's chair, and still I had my doubts."
10,"When Edward went off to school a great deal of adjustment and re-allotment took place, and all the heroes of illustrated literature were at my call, did I choose to possess them. In this particular case, however, I made no haste to seize upon the armour-man. Perhaps it was because I wanted a _fresh_ saint of my own, not a stale saint that Edward had been for so long a time. Perhaps it was rather that, ever since I had elected to be saintless, I had got into the habit of strolling off into the background, and amusing myself with what I found there."
11,"A very fascinating background it was, and held a great deal, though so tiny. Meadowland came first, set with flowers, blue and red, like gems. Then a white road ran, with wilful, uncalled-for loops, up a steep, conical hill, crowned with towers, bastioned walls, and belfries; and down the road the little knights came riding, two and two. The hill on one side descended to water, tranquil, far-reaching, and blue; and a very curly ship lay at anchor, with one mast having an odd sort of crow's-nest at the top of it."
12,"There was plenty to do in this pleasant land. The annoying thing about it was, one could never penetrate beyond a certain point. I might wander up that road as often as I liked, I was bound to be brought up at the gateway, the funny galleried, top-heavy gateway, of the little walled town. Inside, doubtless, there were high jinks going on; but the password was denied to me. I could get on board a boat and row up as far as the curly ship, but around the headland I might not go. On the other side, of a surety, the shipping lay thick. The merchants walked on the quay, and the sailors sang as they swung out the corded bales. But as for me, I must stay down in the meadow, and imagine it all as best I could."
13,"Once I broached the subject to Charlotte, and found, to my surprise, that she had had the same joys and encountered the same disappointments in this delectable country. She, too, had walked up that road and flattened her nose against that portcullis; and she pointed out something that I had overlooked--to wit, that if you rowed off in a boat to the curly ship, and got hold of a rope, and clambered aboard of her, and swarmed up the mast, and got into the crow's-nest, you could just see over the headland, and take in at your ease the life and bustle of the port. She proceeded to describe all the fun that was going on there, at such length and with so much particularity that I looked at her suspiciously. ""Why, you talk as if you'd been in that crow's-nest yourself!"" I said. Charlotte answered nothing, but pursed her mouth up and nodded violently for some minutes; and I could get nothing more out of her. I felt rather hurt. Evidently she had managed, somehow or other, to get up into that crow's-nest. Charlotte had got ahead of me on this occasion."
14,"It was necessary, no doubt, that grown-up people should dress themselves up and go forth to pay calls. I don't mean that we saw any sense in the practice. It would have been so much more reasonable to stay at home in your old clothes and play. But we recognised that these folk had to do many unaccountable things, and after all it was _their_ life, and not ours, and we were not in a position to criticise. Besides, they had many habits more objectionable than this one, which to us generally meant a free and untrammelled afternoon, wherein to play the devil in our own way. The case was different, however, when the press-gang was abroad, when prayers and excuses were alike disregarded, and we were forced into the service, like native levies impelled toward the foe less by the inherent righteousness of the cause than by the indisputable rifles of their white allies. This was unpardonable and altogether detestable. Still, the thing happened, now and again; and when it did, there was no arguing about it. The order was for the front, and we just had to shut up and march."
15,"Selina, to be sure, had a sneaking fondness for dressing up and paying calls, though she pretended to dislike it, just to keep on the soft side of public opinion. So I thought it extremely mean in her to have the earache on that particular afternoon when Aunt Eliza ordered the pony-carriage and went on the war-path. I was ordered also, in the same breath as the pony-carriage; and, as we eventually trundled off, it seemed to me that the utter waste of that afternoon, for which I had planned so much, could never be made up nor atoned for in all the tremendous stretch of years that still lay before me."
16,"The house that we were bound for on this occasion was a ""big house;"" a generic title applied by us to the class of residence that had a long carriage-drive through rhododendrons; and a portico propped by fluted pillars; and a grave butler who bolted back swing-doors, and came down steps, and pretended to have entirely forgotten his familiar intercourse with you at less serious moments; and a big hall, where no boots or shoes or upper garments were allowed to lie about frankly and easily, as with us; and where, finally, people were apt to sit about dressed up as if they were going on to a party."
