id,paragraph
1,CHAPTER X.
2," After nearly a year's captivity, the King engaged to pay a ransom, and, until the terms could be arranged, his two sons were to be placed as hostages in the hands of the Normans, whilst he returned to his own domains.  The Princes were to be sent to Bayeux; whither Richard had returned, under the charge of the Centevilles, and was now allowed to ride and walk abroad freely, provided he was accompanied by a guard."
3,"""I shall rejoice to have Carloman, and make him happy,"" said Richard; ""but I wish Lothaire were not coming."""
4,"""Perhaps,"" said good Father Lucas, ""he comes that you may have a first trial in your father's last lesson, and Abbot Martin's, and return good for evil."""
5,"The Duke's cheek flushed, and he made no answer."
6,"He and Alberic betook themselves to the watch-tower, and, by and by, saw a cavalcade approaching, with a curtained vehicle in the midst, slung between two horses.  ""That cannot be the Princes,"" said Alberic; ""that must surely be some sick lady."""
7,"""I only hope it is not the Queen,"" exclaimed Richard, in dismay.  ""But no; Lothaire is such a coward, no doubt he was afraid to ride, and she would not trust her darling without shutting him up like a demoiselle. But come down, Alberic; I will say nothing unkind of Lothaire, if I can help it."""
8,"Richard met the Princes in the court, his sunny hair uncovered, and bowing with such becoming courtesy, that Fru Astrida pressed her son's arm, and bade him say if their little Duke was not the fairest and noblest child in Christendom."
9,"With black looks, Lothaire stepped from the litter, took no heed of the little Duke, but, roughly calling his attendant, Charlot, to follow him, he marched into the hall, vouchsafing neither word nor look to any as he passed, threw himself into the highest seat, and ordered Charlot to bring him some wine."
10,"Meanwhile, Richard, looking into the litter, saw Carloman crouching in a corner, sobbing with fright."
11,"""Carloman!--dear Carloman!--do not cry.  Come out!  It is I--your own Richard!  Will you not let me welcome you?"""
12,"Carloman looked, caught at the outstretched hand, and clung to his neck."
13,"""Oh, Richard, send us back!  Do not let the savage Danes kill us!"""
14,"""No one will hurt you.  There are no Danes here.  You are my guest, my friend, my brother.  Look up! here is my own Fru Astrida."""
15,"""But my mother said the Northmen would kill us for keeping you captive. She wept and raved, and the cruel men dragged us away by force.  Oh, let us go back!"""
16,"""I cannot do that,"" said Richard; ""for you are the King of Denmark's captives, not mine; but I will love you, and you shall have all that is mine, if you will only not cry, dear Carloman.  Oh, Fru Astrida, what shall I do?  You comfort him--"" as the poor boy clung sobbing to him."
17,"Fru Astrida advanced to take his hand, speaking in a soothing voice, but he shrank and started with a fresh cry of terror--her tall figure, high cap, and wrinkled face, were to him witch-like, and as she knew no French, he understood not her kind words.  However, he let Richard lead him into the hall, where Lothaire sat moodily in the chair, with one leg tucked under him, and his finger in his mouth."
18,"""I say, Sir Duke,"" said he, ""is there nothing to be had in this old den of yours?  Not a drop of Bordeaux?"""
19,"Richard tried to repress his anger at this very uncivil way of speaking, and answered, that he thought there was none, but there was plenty of Norman cider."
20,"""As if I would taste your mean peasant drinks! I bade them bring my supper--why does it not come?"""
21,"""Because you are not master here,"" trembled on Richard's lips, but he forced it back, and answered that it would soon be ready, and Carloman looked imploringly at his brother, and said, ""Do not make them angry, Lothaire."""
22,"""What, crying still, foolish child?"" said Lothaire.  ""Do you not know that if they dare to cross us, my father will treat them as they deserve? Bring supper, I say, and let me have a pasty of ortolans."""
23,"""There are none--they are not in season,"" said Richard."
24,"""Do you mean to give me nothing I like?  I tell you it shall be the worse for you."""
25,"""There is a pullet roasting,"" began Richard."
26,"""I tell you, I do not care for pullets--I will have ortolans."""
27,"""If I do not take order with that boy, my name is not Eric,"" muttered the Baron."
28,"""What must he not have made our poor child suffer!"" returned Fru Astrida, ""but the little one moves my heart.  How small and weakly he is, but it is worth anything to see our little Duke so tender to him."""
29,"""He is too brave not to be gentle,"" said Osmond; and, indeed, the high-spirited, impetuous boy was as soft and kind as a maiden, with that feeble, timid child.  He coaxed him to eat, consoled him, and, instead of laughing at his fears, kept between him and the great bloodhound Hardigras, and drove it off when it came too near."
