id,paragraph
1,CHAPTER XIII. HOME AT LAST
2,"     ""I will arise and go to my father."""
3,"     ""Ach! ein Schicksal droht,      Und es droht nicht lange!      Auf der holden Wange      Brennt ein böses Roth!""--TIEDGE."
4,"Eric Williams pursued his disconsolate way to the station, and found that his money only just sufficed to get him something to eat during the day, and carry him third class by the parliamentary train to Charlesbury, the little station where he had to take the branch line to Ayrton."
5,"He got into the carriage, and sat in the far corner, hiding himself from notice as well as he could. The weary train--(it carried poor people for the most part, so, of course it could matter but little how tedious or slow it was!)--the weary train, stopping at every station, and often waiting on the rail until it had been passed by trains that started four or five hours after it,--dragged its slow course through the fair counties of England. Many people got in and out of the carriage, which was generally full, and some of them tried occasionally to enter into conversation with him. But poor Eric was too sick and tired, and his heart was too full to talk much, and he contented himself with civil answers to the questions put to him, dropping the conversation as soon as he could."
6,"At six in the evening the train stopped at Charlesbury, and he got down."
7,"""Ticket,"" said the station-man."
8,"Eric gave it, turning his head away, for the man knew him well from having often seen him there. It was no use; the man looked hard at him, and then, opening his eyes wide, exclaimed,"
9,"""Well, I never! what, Master Williams of Fairholm, can that be you?"""
10,"""Hush, John, hush! yes, I am Eric Williams. But don't say a word, that's a good fellow; I'm going on to Ayrton this evening."""
11,"""Well, sir, I _am_, hurt like to see you looking so ragged and poorly. Let me give you a bed to-night, and send you on by first train to-morrow."""
12,"""O no, thank you, John. I've got no money, and--"""
13,"""Tut, tut, sir; I thought you'd know me better nor that. Proud I'd be any day to do anything for Mrs. Trevor's nephew, let alone a young gentleman like you. Well, then, let me drive you, sir, in my little cart this evening."""
14,"""No, thank you, John, never mind; you are very, very good, but,"" he said, and the tears were in his eyes, ""I want to walk in alone to-night."""
15,"""Well, God keep and bless you, sir,"" said the man, ""for you look to need it;"" and touching his cap, he watched the boy's painful walk across some fields to the main road."
16,"""Who'd ha' thought it, Jenny?"" he said to his wife. ""There's that young Master Williams, whom we've always thought so noble like, just been here as ragged as ragged, and with a face the color o' my white signal flag."""
17,"""Lawks!"" said the woman; ""well, well! poor young gentleman, I'm afeard he's been doing something bad."""
