id,paragraph
1,CHAPTER VI. Humpty Dumpty
2,"However, the egg only got larger and larger, and more and more human: when she had come within a few yards of it, she saw that it had eyes and a nose and mouth; and when she had come close to it, she saw clearly that it was HUMPTY DUMPTY himself. ‘It can’t be anybody else!’ she said to herself. ‘I’m as certain of it, as if his name were written all over his face.’"
3,"It might have been written a hundred times, easily, on that enormous face. Humpty Dumpty was sitting with his legs crossed, like a Turk, on the top of a high wall--such a narrow one that Alice quite wondered how he could keep his balance--and, as his eyes were steadily fixed in the opposite direction, and he didn’t take the least notice of her, she thought he must be a stuffed figure after all."
4,"‘And how exactly like an egg he is!’ she said aloud, standing with her hands ready to catch him, for she was every moment expecting him to fall."
5,"‘It’s VERY provoking,’ Humpty Dumpty said after a long silence, looking away from Alice as he spoke, ‘to be called an egg--VERY!’"
6,"‘I said you LOOKED like an egg, Sir,’ Alice gently explained. ‘And some eggs are very pretty, you know’ she added, hoping to turn her remark into a sort of a compliment."
7,"‘Some people,’ said Humpty Dumpty, looking away from her as usual, ‘have no more sense than a baby!’"
8,"Alice didn’t know what to say to this: it wasn’t at all like conversation, she thought, as he never said anything to HER; in fact, his last remark was evidently addressed to a tree--so she stood and softly repeated to herself:--"
9,      ‘Humpty Dumpty sat on a wall:      Humpty Dumpty had a great fall.      All the King’s horses and all the King’s men      Couldn’t put Humpty Dumpty in his place again.’
10," ‘That last line is much too long for the poetry,’ she added, almost out loud, forgetting that Humpty Dumpty would hear her."
11,"‘Don’t stand there chattering to yourself like that,’ Humpty Dumpty said, looking at her for the first time, ‘but tell me your name and your business.’"
12,"‘My NAME is Alice, but--’"
13,‘It’s a stupid enough name!’ Humpty Dumpty interrupted impatiently. ‘What does it mean?’
14,‘MUST a name mean something?’ Alice asked doubtfully.
15,"‘Of course it must,’ Humpty Dumpty said with a short laugh: ‘MY name means the shape I am--and a good handsome shape it is, too. With a name like yours, you might be any shape, almost.’"
16,"‘Why do you sit out here all alone?’ said Alice, not wishing to begin an argument."
17,"‘Why, because there’s nobody with me!’ cried Humpty Dumpty. ‘Did you think I didn’t know the answer to THAT? Ask another.’"
18,"‘Don’t you think you’d be safer down on the ground?’ Alice went on, not with any idea of making another riddle, but simply in her good-natured anxiety for the queer creature. ‘That wall is so VERY narrow!’"
19,"‘What tremendously easy riddles you ask!’ Humpty Dumpty growled out. ‘Of course I don’t think so! Why, if ever I DID fall off--which there’s no chance of--but IF I did--’ Here he pursed up his lips and looked so solemn and grand that Alice could hardly help laughing. ‘IF I did fall,’ he went on, ‘THE KING HAS PROMISED ME--ah, you may turn pale, if you like! You didn’t think I was going to say that, did you? THE KING HAS PROMISED ME-- WITH HIS VERY OWN MOUTH--to--to--’"
20,"‘To send all his horses and all his men,’ Alice interrupted, rather unwisely."
21,"‘Now I declare that’s too bad!’ Humpty Dumpty cried, breaking into a sudden passion. ‘You’ve been listening at doors--and behind trees--and down chimneys--or you couldn’t have known it!’"
22,"‘I haven’t, indeed!’ Alice said very gently. ‘It’s in a book.’"
23,"‘Ah, well! They may write such things in a BOOK,’ Humpty Dumpty said in a calmer tone. ‘That’s what you call a History of England, that is. Now, take a good look at me! I’m one that has spoken to a King, _I_ am: mayhap you’ll never see such another: and to show you I’m not proud, you may shake hands with me!’ And he grinned almost from ear to ear, as he leant forwards (and as nearly as possible fell off the wall in doing so) and offered Alice his hand. She watched him a little anxiously as she took it. ‘If he smiled much more, the ends of his mouth might meet behind,’ she thought: ‘and then I don’t know what would happen to his head! I’m afraid it would come off!’"
24,"‘Yes, all his horses and all his men,’ Humpty Dumpty went on. ‘They’d pick me up again in a minute, THEY would! However, this conversation is going on a little too fast: let’s go back to the last remark but one.’"
25,"‘I’m afraid I can’t quite remember it,’ Alice said very politely."
26,"‘In that case we start fresh,’ said Humpty Dumpty, ‘and it’s my turn to choose a subject--’ (‘He talks about it just as if it was a game!’ thought Alice.) ‘So here’s a question for you. How old did you say you were?’"
27,"Alice made a short calculation, and said ‘Seven years and six months.’"
28,‘Wrong!’ Humpty Dumpty exclaimed triumphantly. ‘You never said a word like it!’
29,‘I though you meant “How old ARE you?”’ Alice explained.
30,"‘If I’d meant that, I’d have said it,’ said Humpty Dumpty."
31,"Alice didn’t want to begin another argument, so she said nothing."
32,"‘Seven years and six months!’ Humpty Dumpty repeated thoughtfully. ‘An uncomfortable sort of age. Now if you’d asked MY advice, I’d have said “Leave off at seven”--but it’s too late now.’"
33,"‘I never ask advice about growing,’ Alice said indignantly."
34,‘Too proud?’ the other inquired.
35,"Alice felt even more indignant at this suggestion. ‘I mean,’ she said, ‘that one can’t help growing older.’"
36,"‘ONE can’t, perhaps,’ said Humpty Dumpty, ‘but TWO can. With proper assistance, you might have left off at seven.’"
37,‘What a beautiful belt you’ve got on!’ Alice suddenly remarked.
38,"(They had had quite enough of the subject of age, she thought: and if they really were to take turns in choosing subjects, it was her turn now.) ‘At least,’ she corrected herself on second thoughts, ‘a beautiful cravat, I should have said--no, a belt, I mean--I beg your pardon!’ she added in dismay, for Humpty Dumpty looked thoroughly offended, and she began to wish she hadn’t chosen that subject. ‘If I only knew,’ she thought to herself, ‘which was neck and which was waist!’"
39,"Evidently Humpty Dumpty was very angry, though he said nothing for a minute or two. When he DID speak again, it was in a deep growl."
40,"‘It is a--MOST--PROVOKING--thing,’ he said at last, ‘when a person doesn’t know a cravat from a belt!’"
41,"‘I know it’s very ignorant of me,’ Alice said, in so humble a tone that Humpty Dumpty relented."
42,"‘It’s a cravat, child, and a beautiful one, as you say. It’s a present from the White King and Queen. There now!’"
43,"‘Is it really?’ said Alice, quite pleased to find that she HAD chosen a good subject, after all."
44,"‘They gave it me,’ Humpty Dumpty continued thoughtfully, as he crossed one knee over the other and clasped his hands round it, ‘they gave it me--for an un-birthday present.’"
45,‘I beg your pardon?’ Alice said with a puzzled air.
46,"‘I’m not offended,’ said Humpty Dumpty."
47,"‘I mean, what IS an un-birthday present?’"
48,"‘A present given when it isn’t your birthday, of course.’"
49,"Alice considered a little. ‘I like birthday presents best,’ she said at last."
50,‘You don’t know what you’re talking about!’ cried Humpty Dumpty. ‘How many days are there in a year?’
51,"‘Three hundred and sixty-five,’ said Alice."
52,‘And how many birthdays have you?’
53,‘One.’
54,"‘And if you take one from three hundred and sixty-five, what remains?’"
55,"‘Three hundred and sixty-four, of course.’"
56,"Humpty Dumpty looked doubtful. ‘I’d rather see that done on paper,’ he said."
57,"Alice couldn’t help smiling as she took out her memorandum-book, and worked the sum for him:"
58,                365                 1                ____
59,               364                ___
60,"Humpty Dumpty took the book, and looked at it carefully. ‘That seems to be done right--’ he began."
61,‘You’re holding it upside down!’ Alice interrupted.
62,"‘To be sure I was!’ Humpty Dumpty said gaily, as she turned it round for him. ‘I thought it looked a little queer. As I was saying, that SEEMS to be done right--though I haven’t time to look it over thoroughly just now--and that shows that there are three hundred and sixty-four days when you might get un-birthday presents--’"
63,"‘Certainly,’ said Alice."
64,"‘And only ONE for birthday presents, you know. There’s glory for you!’"
65,"‘I don’t know what you mean by “glory,”’ Alice said."
66,Humpty Dumpty smiled contemptuously. ‘Of course you don’t--till I tell you. I meant “there’s a nice knock-down argument for you!”’
67,"‘But “glory” doesn’t mean “a nice knock-down argument,”’ Alice objected."
68,"‘When _I_ use a word,’ Humpty Dumpty said in rather a scornful tone, ‘it means just what I choose it to mean--neither more nor less.’"
69,"‘The question is,’ said Alice, ‘whether you CAN make words mean so many different things.’"
70,"‘The question is,’ said Humpty Dumpty, ‘which is to be master--that’s all.’"
71,"Alice was too much puzzled to say anything, so after a minute Humpty Dumpty began again. ‘They’ve a temper, some of them--particularly verbs, they’re the proudest--adjectives you can do anything with, but not verbs--however, _I_ can manage the whole lot of them! Impenetrability! That’s what _I_ say!’"
72,"‘Would you tell me, please,’ said Alice ‘what that means?’"
73,"‘Now you talk like a reasonable child,’ said Humpty Dumpty, looking very much pleased. ‘I meant by “impenetrability” that we’ve had enough of that subject, and it would be just as well if you’d mention what you mean to do next, as I suppose you don’t mean to stop here all the rest of your life.’"
74,"‘That’s a great deal to make one word mean,’ Alice said in a thoughtful tone."
75,"‘When I make a word do a lot of work like that,’ said Humpty Dumpty, ‘I always pay it extra.’"
76,‘Oh!’ said Alice. She was too much puzzled to make any other remark.
77,"‘Ah, you should see ‘em come round me of a Saturday night,’ Humpty Dumpty went on, wagging his head gravely from side to side: ‘for to get their wages, you know.’"
78,(Alice didn’t venture to ask what he paid them with; and so you see I can’t tell YOU.)
79,"‘You seem very clever at explaining words, Sir,’ said Alice. ‘Would you kindly tell me the meaning of the poem called “Jabberwocky”?’"
80,"‘Let’s hear it,’ said Humpty Dumpty. ‘I can explain all the poems that were ever invented--and a good many that haven’t been invented just yet.’"
81,"This sounded very hopeful, so Alice repeated the first verse:"
82,"     ‘Twas brillig, and the slithy toves       Did gyre and gimble in the wabe;      All mimsy were the borogoves,       And the mome raths outgrabe."
83,"‘That’s enough to begin with,’ Humpty Dumpty interrupted: ‘there are plenty of hard words there. “BRILLIG” means four o’clock in the afternoon--the time when you begin BROILING things for dinner.’"
84,"‘That’ll do very well,’ said Alice: ‘and “SLITHY”?’"
85,"‘Well, “SLITHY” means “lithe and slimy.” “Lithe” is the same as “active.” You see it’s like a portmanteau--there are two meanings packed up into one word.’"
86,"‘I see it now,’ Alice remarked thoughtfully: ‘and what are “TOVES”?’"
87,"‘Well, “TOVES” are something like badgers--they’re something like lizards--and they’re something like corkscrews.’"
88,‘They must be very curious looking creatures.’
89,"‘They are that,’ said Humpty Dumpty: ‘also they make their nests under sun-dials--also they live on cheese.’"
90,‘And what’s the “GYRE” and to “GIMBLE”?’
91,‘To “GYRE” is to go round and round like a gyroscope. To “GIMBLE” is to make holes like a gimlet.’
92,"‘And “THE WABE” is the grass-plot round a sun-dial, I suppose?’ said Alice, surprised at her own ingenuity."
93,"‘Of course it is. It’s called “WABE,” you know, because it goes a long way before it, and a long way behind it--’"
94,"‘And a long way beyond it on each side,’ Alice added."
95,"‘Exactly so. Well, then, “MIMSY” is “flimsy and miserable” (there’s another portmanteau for you). And a “BOROGOVE” is a thin shabby-looking bird with its feathers sticking out all round--something like a live mop.’"
96,‘And then “MOME RATHS”?’ said Alice. ‘I’m afraid I’m giving you a great deal of trouble.’
