id,paragraph
1,CHAPTER X. FIELD AND WILD
2," Where were we to go next?  Into the far west, to see how all the way along the railroads the new rocks and soils lie above the older, and yet how, when we get westward, the oldest rocks rise highest into the air."
3,"Well, we will go: but not, I think, to-day.  Indeed I hardly know how we could get as far as Reading; for all the world is in the hay-field, and even the old horse must go thither too, and take his turn at the hay-cart.  Well, the rocks have been where they are for many a year, and they will wait our leisure patiently enough: but Midsummer and the hay- field will not wait.  Let us take what God gives when He sends it, and learn the lesson that lies nearest to us.  After all, it is more to my old mind, and perhaps to your young mind too, to look at things which are young and fresh and living, rather than things which are old and worn and dead.  Let us leave the old stones, and the old bones, and the old shells, the wrecks of ancient worlds which have gone down into the kingdom of death, to teach us their grand lessons some other day; and let us look now at the world of light and life and beauty, which begins here at the open door, and stretches away over the hay-fields, over the woods, over the southern moors, over sunny France, and sunnier Spain, and over the tropic seas, down to the equator, and the palm-groves of the eternal summer.  If we cannot find something, even at starting from the open door, to teach us about Why and How, we must be very short-sighted, or very shallow-hearted."
4,"There is the old cock starling screeching in the eaves, because he wants to frighten us away, and take a worm to his children, without our finding out whereabouts his hole is.  How does he know that we might hurt him? and how again does he not know that we shall not hurt him? we, who for five-and-twenty years have let him and his ancestors build under those eaves in peace?  How did he get that quantity of half-wit, that sort of stupid cunning, into his little brain, and yet get no more?  And why (for this is a question of Why, and not of How) does he labour all day long, hunting for worms and insects for his children, while his wife nurses them in the nest?  Why, too, did he help her to build that nest with toil and care this spring, for the sake of a set of nestlings who can be of no gain or use to him, but only take the food out of his mouth?  Simply out of--what shall I call it, my child?--Love; that same sense of love and duty, coming surely from that one Fountain of all duty and all love, which makes your father work for you.  That the mother should take care of her young, is wonderful enough; but that (at least among many birds) the father should help likewise, is (as you will find out as you grow older) more wonderful far.  So there already the old starling has set us two fresh puzzles about How and Why, neither of which we shall get answered, at least on this side of the grave."
5,"Come on, up the field, under the great generous sun, who quarrels with no one, grudges no one, but shines alike upon the evil and the good.  What a gay picture he is painting now, with his light-pencils; for in them, remember, and not in the things themselves the colour lies.  See how, where the hay has been already carried, he floods all the slopes with yellow light, making them stand out sharp against the black shadows of the wood; while where the grass is standing still, he makes the sheets of sorrel-flower blush rosy red, or dapples the field with white oxeyes."
6,"But is not the sorrel itself red, and the oxeyes white?"
7,"What colour are they at night, when the sun is gone?"
8,Dark.
9,"That is, no colour.  The very grass is not green at night."
10,"Oh, but it is if you look at it with a lantern."
11,"No, no.  It is the light of the lantern, which happens to be strong enough to make the leaves look green, though it is not strong enough to make a geranium look red."
12,Not red?
13,"No; the geranium flowers by a lantern look black, while the leaves look green.  If you don't believe me, we will try."
14,But why is that?
15,"Why, I cannot tell: and how, you had best ask Professor Tyndall, if you ever have the honour of meeting him."
16,"But now--hark to the mowing-machine, humming like a giant night-jar.  Come up and look at it, and see how swift and smooth it shears the long grass down, so that in the middle of the swathe it seems to have merely fallen flat, and you must move it before you find that it has been cut off."
17,"Ah, there is a proof to us of what men may do if they will only learn the lessons which Madam How can teach them.  There is that boy, fresh from the National School, cutting more grass in a day than six strong mowers could have cut, and cutting it better, too; for the mowing-machine goes so much nearer to the ground than the scythe, that we gain by it two hundredweight of hay on every acre.  And see, too, how persevering old Madam How will not stop her work, though the machine has cut off all the grass which she has been making for the last three months; for as fast as we shear it off, she makes it grow again.  There are fresh blades, here at our feet, a full inch long, which have sprung up in the last two days, for the cattle when they are turned in next week."
18,"But if the machine cuts all the grass, the poor mowers will have nothing to do."
19,"Not so.  They are all busy enough elsewhere.  There is plenty of other work to be done, thank God; and wholesomer and easier work than mowing with a burning sun on their backs, drinking gallons of beer, and getting first hot and then cold across the loins, till they lay in a store of lumbago and sciatica, to cripple them in their old age.  You delight in machinery because it is curious: you should delight in it besides because it does good, and nothing but good, where it is used, according to the laws of Lady Why, with care, moderation, and mercy, and fair-play between man and man.  For example: just as the mowing-machine saves the mowers, the threshing-machine saves the threshers from rheumatism and chest complaints,--which they used to catch in the draught and dust of the unhealthiest place in the whole parish, which is, the old-fashioned barn's floor.  And so, we may hope, in future years all heavy drudgery and dirty work will be done more and more by machines, and people will have more and more chance of keeping themselves clean and healthy, and more and more time to read, and learn, and think, and be true civilised men and women, instead of being mere live ploughs, or live manure-carts, such as I have seen ere now."
20,A live manure-cart?
21,"Yes, child.  If you had seen, as I have seen, in foreign lands, poor women, haggard, dirty, grown old before their youth was over, toiling up hill with baskets of foul manure upon their backs, you would have said, as I have said, ""Oh for Madam How to cure that ignorance!  Oh for Lady Why to cure that barbarism!  Oh that Madam How would teach them that machinery must always be cheaper in the long run than human muscles and nerves!  Oh that Lady Why would teach them that a woman is the most precious thing on earth, and that if she be turned into a beast of burden, Lady Why--and Madam How likewise--will surely avenge the wrongs of their human sister!""  There, you do not quite know what I mean, and I do not care that you should.  It is good for little folk that big folk should now and then ""talk over their heads,"" as the saying is, and make them feel how ignorant they are, and how many solemn and earnest questions there are in the world on which they must make up their minds some day, though not yet.  But now we will talk about the hay: or rather do you and the rest go and play in the hay and gather it up, build forts of it, storm them, pull them down, build them up again, shout, laugh, and scream till you are hot and tired.  You will please Madam How thereby, and Lady Why likewise."
22,How?
23,"Because Madam How naturally wants her work to succeed, and she is at work now making you."
24,Making me?
25,"Of course.  Making a man of you, out of a boy.  And that can only be done by the life-blood which runs through and through you.  And the more you laugh and shout, the more pure air will pass into your blood, and make it red and healthy; and the more you romp and play--unless you overtire yourself--the quicker will that blood flow through all your limbs, to make bone and muscle, and help you to grow into a man."
26,But why does Lady Why like to see us play?
27,"She likes to see you happy, as she likes to see the trees and birds happy.  For she knows well that there is no food, nor medicine either, like happiness.  If people are not happy enough, they are often tempted to do many wrong deeds, and to think many wrong thoughts: and if by God's grace they know the laws of Lady Why, and keep from sin, still unhappiness, if it goes on too long, wears them out, body and mind; and they grow ill and die, of broken hearts, and broken brains, my child; and so at last, poor souls, find ""Rest beneath the Cross."""
