id,paragraph
1,CHAPTER XIII.
2," The sun rose and beat down on the bare expanse of snow. But soon they lurched headlong down again into the forest. But it was forest not so dense as the forest of the Minimul mounds, nor by a tenth part as dark as the forest where haunts the Telateuti. At scent of Nod every small beast and bird scuttled off and flew away. And it was dreary marching for the travellers where all that lived feared even their savour on the wind. But by evening they had pushed on past Battle's farthest hunting, and being wearied with their long day's march, nor any tracks of leopards to be seen, they made no fire with their fire-sticks, but gathered a big heap of dry leaves scattered in abundance by this strange cold, this Witzaweelwūllah, and huddled themselves close for warmth in sleep."
3,"Next day they broke out into the open again, and before them, clear as amber or coral, still and beautiful in the sunrise, rose afar off upon the horizon the solitary peaks, which are seven--Kush, Zut, and Kippel, Solmi, Makkri, Mōōt, and Mulgar-meerez--the Mountains of Arakkaboa."
4,"All this day they trudged on in difficulty and discomfort, for the ground was sharp and stony, and sloped now perpetually upward. And though at first sight of them it had seemed they had need but to stretch out a finger to touch the mountain-tops, they found the farther they journeyed towards them the more distant seemed these wonderful peaks to be. And their spirits began to sink."
5,"On the evening of the fifth day Thumb and Thimble were stooping together over their fire-sticks in a great waste of bare rocks, while Nod was pounding up a sweet but unknown fruit they had found in their day's march growing close upon the ground, when suddenly they heard in the distance a hubbub of shouts and cries the like of which they had never heard in their lives before. They hastily concealed their small bundles of food in a crevice of the rocks, and, creeping cautiously, peered out in the last rays of the sun in order to discover the cause of this prodigious uproar."
6,"And they saw advancing towards them a vast host and multitude of the painted Babbabōōma-mulgars, travelling, as is their custom, in company across these desolate wastes. On they came rapidly, the biggest males on the margins. But presently, while they were yet some little way off, at sound of a great shout all came to a standstill, the sun now being set, to take up their night-quarters. Even in the fading light their body-colours glowed, scarlet and purple, and bright Candar blue, where, squatting in their hundreds at supper (some meanwhile pacing sedately on the outskirts of the company like watchmen, to and fro on all fours, with long, doglike snouts and jutting teeth), they made their evening encampment."
7,"All that night our Mulla-mulgars never ventured to kindle a fire. They huddled for warmth as best they could in a crevice of the rocks, warmed only by their own hairy bodies. For they had heard of old from Seelem how these Babbabōōma troops resent with ferocity the least meddling with them. They will speedily stone to death any intruder, and will tear a leopard in pieces with their teeth. But the travellers, all three, curiously, cautiously peeping out, watched their doings while there was the least light left, taking good care that not a spark of their jackets should be seen, for these Babbabōōmas fret more fiercely even than our bulls at the colour red."
8,"They watched them sprinkling, scratching themselves, like the Mullabruks, with their feet, and dusting their great bodies with dry snow, rubbing it in with their hands, though for what purpose, seeing that snow had never whitened their pilgrimages before, who can say? The children, the Karakeena-Babbabōōmas, squealed and frisked and gambolled in the last sunshine together, quarrelling and at play. The old men sat silent, munching with half-closed eyes, and watching them. And it seemed that the big shes of the Babbabōōmas had brought some small tufty, goatlike animals with them, which they now sat milking into pots or gourds. And with this milk they presently fed the littlest of the young ones."
9,"For many hours after the sun had gone down the three brothers sat wide awake, whispering together, listening to the talk and palaver of the chiefs of the Babbabōōmas. Sometimes they seemed to be clamouring, fifty together; and then presently a great still voice would be lifted over them, and all would fall silent; while of its calm authority the master-voice said, ""So shall it be,"" or ""Thus do we make it."" Then once more the clamour of the rabble would break out again. But what its meaning was, and whether they were merely gossiping together, or quarrelling, or holding consultation, or whether it was that the loud voice gave law and justice to the rest, Nod tried in vain to discover. So at last, though much against his brothers' counsel, very curious to see what could occasion all this talk, he crept gradually, boulder by boulder, nearer to their great rocky bivouac. And there, by the silvery lustre of a dying moon, he peeped and peered. But though he plainly saw against the whiteness the pacing sentinels, and others of the Babbabōōmas, huddling by families close for warmth in sleep beneath the rocks, he could not discover where their parliament or talkers were assembled. But still he heard them gabbling, and still, ever and anon, the great harsh voice sounding above all until at last this, too, ceased, and save for the befrosted watchmen, the whole innumerable horde of them lay--with the peaks of Arakkaboa to north of them, and Sulemnāgar to south--in that still dying moonlight fast asleep. Then he, too, scuffled softly back by the way he had come."
10,"By morning (for the Babbabōōmas are on the march before daybreak), when the brothers awoke, cold and cramped, in their rocky cavern, the whole concourse was gone, and not a sign left of them except their scattered shells and husks, their innumerable footprints, and the stones they had rooted up in search of whatever small creeping food might lurk beneath. Else they seemed a dream--Meermuts of the moonlight!"
