id,paragraph
1,REKA DOM.
2,"    ""What is home, and where, but with the loving?"""
3,FELICIA HEMANS.
4," At last Ida was allowed to go out. She was well wrapped up, and escorted by Nurse in a short walk for the good of her health. It was not very amusing, but the air was fresh and the change pleasant, although the street did not prove quite that happy region it had looked from the nursery windows. Moreover, however strong one may fancy one has become indoors, the convalescent's first efforts out of doors are apt to be as feeble as those of a white moth that has just crept from the shelter of its cocoon, giddy with daylight, and trembling in the open air. By-and-by this feeling passed away, and one afternoon Ida was allowed to go by herself into the garden, ""just for a run."""
5,"The expression was metaphorical, for she was far from being able to run; but she crept quietly up and down the walks, and gathered some polyanthuses, putting them to her face with that pleasure which the touch of fresh flowers gives to an invalid. Then she saw that the hedge was budding, and that the gap through which she had scrambled was filled up. Ida thought of the expedition and smiled. It had certainly made her very ill, but--it had led to Mrs. Overtheway."
6,"The little old lady did not come that day, and in the evening Ida was sent for by her uncle. She had not been downstairs in the evenings since her illness. These interviews with the reserved old gentleman were always formal, uncomfortable affairs, from which Ida escaped with a sense of relief, and that evening--being weak with illness and disappointed by Mrs. Overtheway's absence--her nervousness almost amounted to terror."
7,"Nurse did her best in the way of encouragement. It was true that Ida's uncle was not a merry gentleman, but there was such a nice dessert! What could a well-behaved young lady desire more than to wear her best frock, and eat almonds and raisins in the dining-room, as if she were the lady of the house?"
8,"""Though I am sorry for the child,"" Nurse confided to the butler when she had left Ida with her uncle, ""for his looks are enough to frighten a grown person, let alone a little girl. And do you go in presently, like a good soul, if you can find an excuse, and let her see a cheerful face."""
9,"But before the kind-hearted old man-servant could find a plausible pretext for intruding into the dining-room, and giving an encouraging smile from behind his master's chair, Ida was in the nursery once more."
10,"She had honestly endeavoured to be good. She had made her curtsey at the door without a falter--weak as she was. She had taken her place at the head of the table with all dignity, and had accepted the almonds and raisins with sufficiently audible thanks. She had replied prettily enough to her uncle's inquiries after her health; and, anxious to keep up the conversation, had told him that the hedge was budding."
11,"""_What's_ the matter with the hedge?"" he had asked rather sharply; and when Ida repeated her bit of spring news, he had not seemed to be interested. It was no part of the gardener's work."
12,"Ida relapsed into silence, and so did her uncle. But this was not all. He had sharp eyes, and fierce bushy eyebrows, from under which he was apt to scrutinize Ida in a way that seemed to scatter all her presence of mind. This night of all nights she found his eyes upon her oftener than usual. Whenever she looked up he was watching her, and her discomfort increased accordingly. At last he broke the silence abruptly by saying:"
13,"""You were very sorry, child, were you not, when the news came of your father's death?"""
14,The sudden introduction of this sacred subject made Ida's head reel.
15,"""What?"" she cried, and could get no further."
16,"""Have you forgotten already?"" the old gentleman said, almost reprovingly. ""You did not know him, it is true; but you must remember hearing that your poor father had been drowned at sea?"""
17,"Ida's only reply was such a passionate outburst of weeping that her uncle rang the bell in helpless dismay, and was thankful when the old butler lifted the child tenderly in his arms and carried her back to Nurse. The old gentleman's feelings were more kindly than his looks, and he was really as much concerned as puzzled by the effect of his remarks. When the butler returned with the report that Ida was going quietly to bed, he sent her his ""love"" (the word seemed to struggle with some difficulty from behind his neck-cloth), and all the remaining almonds and raisins."
18,"""I can't eat them,"" said Ida, smiling feebly, for her head was aching, ""but it is very kind of him; and please tell Brown to tell him that I am very sorry, and please put the almonds and raisins into my box. I will make a dolls feast with them, if ever I make dolls' feasts again."""
19,"With which the weary little maid turned upon her pillow, and at last forgot her troubles in sleep."
20,"The next morning Brown delivered a similar message from the old gentleman. He had gone away by an early train on business, but had left Ida his love."
21,"""It's very kind of him,"" said Ida, again. But she went sadly on with some paper she was cutting into shapes. She was in low spirits this morning."
22,"Comfort was at hand, however. In the course of the day there came a message from Mrs. Overtheway, asking Nurse to allow Ida to go to tea with her that evening. And Nurse consented."
23,Ida could hardly believe her senses when she found herself by the little old lady's own fireside. How dainty her room was! How full the bookshelves were! How many pictures hung upon the walls!
24,"Above a little table, on which were innumerable pretty things, hung two pictures. One of these was a portrait of a man who, from his apparent age, might have been the old lady's son, but that he was not at all like her. He might have been good-looking, though, Ida thought, and he had a kind, intelligent face, full of energy and understanding, and that is better still. Close under his portrait hung a little sketch. It was of a road running by a river. Opposite to the river was a house and some trees. It was a pretty sketch, Ida thought, and the road looked interesting, as some roads do in pictures--making one wish to get into the frame and walk down them to see whither they lead. Below the sketch were some curious-looking characters written in ink, and of these Ida could make nothing."
25,"Tea was soon ready. It was spread out on a little table by itself. The white cloth seemed to Ida the whitest she had ever seen, the silver and glass glittered, the china was covered with a rosebud pattern, and a reading-lamp threw a clear soft light over all. The tea, the cream, the brown bread and butter, the fresh eggs, and the honey--all were of the very best--even the waiting-maid was pretty, and had something of the old lady's smile."
26,"When she had finished her duties by taking away the things, and putting the tea-table into a corner, the two friends drew up to the fire."
27,"""You look better for tea, my child,"" said the little old lady. ""Do you eat enough at home?"""
28,"""As much as I can,"" said Ida, ""but I am more hungry when somebody else has tea with me. There very seldom was anybody till you came though. Only once or twice Lady Cheetham's housekeeper has been to tea. She is Nurse's father's first cousin, and 'quite the lady,' Nurse says. So she won't let her have tea in the kitchen, so both she and Nurse have tea in the nursery, and we have lots of tea-cakes and jam, and Nurse keeps saying, 'Help yourself, Miss Ida! Make yourself at home, Mrs. Savory!' And, you know, at other times, she's always telling me not to be all night over my tea. So I generally eat a good deal then, and I often laugh, for Nurse and Mrs. Savory are so funny together. But Mrs. Savory's very kind, and last time she came she brought me a pincushion, and the time before she gave me a Spa mug and two apples."""
29,"Mrs. Overtheway laughed, too, at Ida's rambling account, and the two were in high good-humour."
30,"""What shall I do to amuse you?"" asked the little old lady."
31,"""You couldn't tell me another story?"" said Ida, with an accent that meant, ""I hope you can!"""
32,"""I would, gladly, my dear, but I don't know what to tell you about;"" and she looked round the room as if there were stories in the furniture which perhaps there were. Ida's eyes followed her, and then she remembered the picture, and said:"
33,"""Oh! would you please tell me what the writing means under that pretty little sketch?"""
34,"The little old lady smiled rather sadly, and looked at the sketch in silence for a few moments. Then she said:"
35,"""It is Russian, my dear. Their letters are different from ours. The words are 'Reka Dom' and they mean 'River House.'"""
36,Ida gazed at the drawing with increased interest.
37,"""Oh, do you remember anything about it? If you would tell me about _that_!"" she cried."
38,"But Mrs. Overtheway was silent again. She was looking down, and twisting some of the rings upon her little hand, and Ida felt ashamed of having asked."
39,"""I beg your pardon,"" she said, imploringly. ""I was very rude, dear Mrs. Overtheway; tell me what you like, please."""
40,"""You are a good child,"" said the little old lady, ""a very good child, my dear. I _do_ remember so much about that house, that I fall into day-dreams when I look at it. It brings back the memories of a great deal of pleasure and a great deal of pain. But it is one advantage of being old, little Ida, that Time softens the painful remembrances, and leaves us the happy ones, which grow clearer every day."""
41,"""Is it about yourself?"" Ida asked, timidly. She had not quite understood the little old lady's speech; indeed, she did not understand many things that Mrs. Overtheway said, but they were very satisfactory companions for all that."
42,"""Yes, it is about myself. And since there is a dear child who cares about old Mrs. Overtheway, and her prosy stories, and all that befell her long ago,"" said the little old lady, smiling affectionately at Ida, ""I will tell her the story--my story--the story of Reka Dom."""
43,"""Oh, how good of you!"" cried Ida."
44,"""There is not much merit in it,"" said the little old lady. ""The story is as much for myself as you. I tell myself bits of it every evening after tea, more so now than I used to do. I look far back, and I endeavour to look far forward. I try to picture a greater happiness, and companionship more perfect than any I have known; and when I shall be able to realize them, I shall have found a better Home than Reka Dom."""
45,"Ida crept to the little old lady's feet, and softly stroked the slipper that rested on the fender. Then, while the March wind howled beyond the curtains, she made herself a cosy corner by the fire, and composed herself to hear the story."
46,"""I remember,"" said Mrs. Overtheway. ""I remember Reka Dom. It was our new home."
