id,paragraph
1,CHAPTER 11. WHAT BEFELL WHILE THE QUEEN WAS HOPING.
2,"The secret cipher letters went now faster than ever, and seem to have been so urgent about speedy help and rescue as to have appeared somewhat peevish to friends at a distance.  The queen's sister wrote from Brussels that she hoped the royal family did not doubt the anxiety of their friends: that the danger appeared indeed as pressing as it could be represented; but that some prudence was necessary on the part of those who were preparing help, and some patience on the part of those who were awaiting it.--Alas!  It was difficult for the poor queen to be patient, expecting, as she did daily, the murder of the king.  Though this fear seems to have been unfounded, it caused her as much suffering as if it had been just.--She had a breastplate made for the king, of silk many times folded, and well wadded, so that it would resist the blow of a dagger, and even a pistol-ball.  This under-dress was made at Madame Campan's house; and she brought it into the palace, wearing it as an under-petticoat, that no one might see it.  For three days, in the beginning of July, did Madame Campan wear this heavy warm petticoat before an opportunity could be found for the king to try it on.  The occasion for which it was wanted was the 14th of July, the anniversary of the destruction of the Bastille, and the date of the Independence of the Nation, as the nation chose to say: on which day the king was to appear in public."
3,"When he tried on the breastplate, he said in a low voice to Madame Campan that he wore this to satisfy the queen, but that he was persuaded he should not be assassinated, but left to be disposed of in another way.  The queen afterwards made Madame Campan repeat to her what the king had said, and then observed that this was not new to her: she had seen the king much occupied of late in studying the history of Charles the First of England.  The king declared that he studied this history in order to learn how to avoid the errors of Charles in dealing with his people.  Alas!  If he had done so twenty years before, it is doubtful whether such study could have been of any use to a ruler who had neither the knowledge nor the spirit necessary for the times.  Now it was by many years too late.  No one believed in his sincerity: every one despised his weakness; and he was so humbled that no act of his could have the force or the grace of freedom.  The history of Charles the First is indeed a most instructive lesson to kings: but it is a lesson which must be learned and used while kings are still sitting on an honoured and unshaken throne."
4,"There were people enough in Paris grieved and shocked at the proceedings of the 20th of June to have made some stand in defence of the king,-- some delay in the dissolution of society; and these people declared themselves by public acts, particularly by petitions to the Assembly.  A man of spirit would have seized the occasion: and if the king had been such a man, he might possibly have risen from this point out of his misfortunes, and so have made a favourable day out of that most miserable one.  But, as usual, the royal family overlooked the opportunity.  They were so occupied in looking for help from Germany, that they had no attention, no trust, for friends nearer home.  The Duke of Brunswick was coming with an army to rescue them.  The people knew this well enough; and their panic about an invasion did not make them love the more the family at whose call the invaders were coming.  On the 25th of July, the Duke of Brunswick began his march into France, and issued a proclamation which said that the whole French nation should be protected by him in rallying round their king; but that, if any parties should insult the king, or carry him away from Paris, such persons should be destroyed, and Paris blown to pieces with his cannon.  As the French nation did not wish or intend to rally round their king, this proclamation made them furious, and caused the destruction of the royal family in a shorter time than it would otherwise have happened; if it had otherwise happened at all.  Was ever such mournful folly heard of as marks the whole history of this unhappy king?  One's compassion, however, is chiefly for the three who were victims of this folly without sharing it.  The king and queen brought much of their misery upon themselves; but the sweet Princess Elizabeth and the two children suffered without having sinned.  The darkness of their lot was now gathering fast about them."
5,"It was impossible, after the late proceedings, to consider the palace safe at any hour.  The queen feared assassination for herself as a foreigner, and a trial for the king, preparatory to his death upon the scaffold; and she desired to guard against any seizure of papers, which might now take place at any time.  She deposited her ready money in the hands of a faithful person; and the king employed his old companion, Gamin, the locksmith, to make, in great secrecy, a safe for papers in a place where no one would suspect its existence.  This fellow betrayed the secret; first, luckily, to some friends; and the queen, hearing of this, persuaded the king to empty out the safe.  Gamin afterwards publicly informed the enemies of the king of this cupboard, and moreover swore that the king attempted to poison him when it was done, that the secret might be safe.  This absurd calumny was believed, like everything else that was said against the royal family; and the wretch had a pension given him.  Such was the king's reward for submitting, like a timid apprentice, to this man's insolence, while learning lock-making from him, for ten years past."
6,"General Lafayette came to Paris, to remonstrate, at the head of twenty-thousand petitioners, against the late treatment of the king.  Of course, those who had done it looked coldly upon him; and so did the king.  The king forbade his officers to support anything proposed by General Lafayette; and the queen refused to allow him to remove her and her family to the loyal city of Rouen.  Lafayette, thus unsupported, had to hasten back to the army; and in this way the royal family insulted and dismissed the last person who could have rescued them from their impending fate."
7,"Whenever even the children appeared out of doors, they experienced such insults that they left off going anywhere beyond the palace gardens, from which the public were excluded, in order to allow the family to take the air unmolested.  Such cries, however, were heard from the terrace outside, that, after being twice driven in by them, the family gave up going out at all Louis had to give up his gardening, and the sight of the flowers he had sown, and to keep within doors all these long bright summer days."
8,"The queen could not sleep much; and she ordered that neither the shutters nor blinds of her chamber should be closed, that the nights might appear less long.  One night, as Madame Campan watched beside her, she fixed her eyes on the moon, and said softly, that before she saw the same moon next month, she and the king should be free.  She declared that their affairs were now proceeding fast and well, and told how the army from Germany was to march, and how soon it might arrive.  She admitted that there were alarming differences of advice and opinion among their followers, and spoke of the fatal consequences of the king's irresolution; but still she hoped that another month would set them free.  She was, as usual, completely mistaken.  She found it so hard to bear the insults daily offered, even while expecting so speedy an end to them, that she declared she should have preferred imprisonment in a tower, on a lonely sea-shore, to her present condition.  On their way through the corridor to the chapel, one Sunday, the king and she were greeted by the cry from some of the guards of ""Long live the king!"" but others broke in with ""No, no; no king!  Down with the veto!""  This struck upon the queen's heart; for it was she who had persuaded the king to put his veto, or prohibition, upon the banishment of the priests. When they were in the chapel, something worse happened.  The passage ""He bringeth down the mighty from their seat,"" had to be sung; and when the choir came to it, they sang, or shouted it, three times as loud as any other part of the service.  The king's adherents were so angry at this that when the words came ""And may the Lord keep the king in safety,"" the royalists shouted out three times ""And the Queen.""  This indecent contention went on during the whole time of service; and the royal family found that they were no longer permitted even to worship in peace."
9,"On the 9th of August, there was much noise and confusion throughout Paris; and it became known that an insurrection was to take place the next morning.  Louis knew that something was dreaded, but he slept as usual.  His servant, Clery, put him to bed at half-past eight, while it was still daylight, and then went out, to try what he could learn of the proceedings of the people.  The king and queen supped at nine o'clock. While Madame Campan waited on them at table, a noise was heard outside the door.  Madame Campan went to see what it was.  Two of the guards were fighting,--one abusing the king, and the other insisting that he was sincere in professing to stand by the Constitution.  If the queen had not before given over all idea of safety, she would now have done so.  She said she knew that some of their fiercest enemies were among their guards;--not their Swiss guards, but those who wore the national uniform."
10,"This was a terrible night.  It was oppressively hot; and the rooms of the palace were crowded with gentlemen, adherents of the court, who had come to devote themselves finally for their king and his family.  The Swiss guards,--picked Swiss soldiers, strong and brave, hired to guard the person and palace of the sovereign,--stood silently at their posts, their red uniforms contrasting with the black clothes of the seven hundred gentlemen who waited to see what they were to do.  Though these seemed a large number when collected under a roof,--though the rooms were so full that the windows had to be thrown open, and the mayor Petion went down to walk in the gardens because the heat was so oppressive within, this was no force to oppose to a siege from the population of Paris.  The king caused the plan of defence, prepared by General Viomenil, to be communicated to an officer, who said to Madame Campan, ""Put your jewels and money into your pockets.  There is no chance for us.  The measures of defence are good for nothing.  Our only chance is in the resolution of the king; and with all his virtues, he has not that."""
11,"Never yet had the king cut such a wretched figure as on this occasion. He often congratulated himself on no blood having been shed by his order: and this was one of his dying consolations.  It seems never to have occurred to him that his weakness caused more destruction than even cruelty would have done.  It caused not only the loss of many lives; it encouraged the breaking up of society from its very foundations; it spared the wicked, while it betrayed the faithful.  It did moral injury, which it may be worse to have to answer for in the end than some acts of bloodshed.  He would not have half a dozen shots fired to make a way for his coach over the bridge of Varennes; but he deserted, without a moment's scruple, his devoted Swiss guards, as we shall see; and as he refused to suffer with them, he may be considered answerable for their lives."
12,"The clang of bells was heard by the inmates of the palace, as they stood, this summer night, by the open windows.  Steeple after steeple rang out; and every one knew that this was the token of insurrection in the respective parishes.  Petion had been sent for, to answer for what was doing; he had not been civilly treated within doors, as might be supposed,--the king speaking very roughly to him.  He could not get away again, as the gates were all guarded, and no one allowed to pass; so that the only thing he could well do was to walk in the gardens."
13,"At four in the morning, the National Assembly sent for him, to appear and give an account of Paris.  Considering that he had been pacing the garden walks all night, the Mayor of Paris was as little able as anybody to give an account of the city; but he was glad to get away, considering his situation one of great danger."
