id,paragraph
1,CHAPTER III. The old gentleman.
2," After the adventure of Peter’s Coal-mine, it seemed well to the children to keep away from the station--but they did not, they could not, keep away from the railway. They had lived all their lives in a street where cabs and omnibuses rumbled by at all hours, and the carts of butchers and bakers and candlestick makers (I never saw a candlestick-maker’s cart; did you?) might occur at any moment. Here in the deep silence of the sleeping country the only things that went by were the trains. They seemed to be all that was left to link the children to the old life that had once been theirs. Straight down the hill in front of Three Chimneys the daily passage of their six feet began to mark a path across the crisp, short turf. They began to know the hours when certain trains passed, and they gave names to them. The 9.15 up was called the Green Dragon. The 10.7 down was the Worm of Wantley. The midnight town express, whose shrieking rush they sometimes woke from their dreams to hear, was the Fearsome Fly-by-night. Peter got up once, in chill starshine, and, peeping at it through his curtains, named it on the spot."
3,"It was by the Green Dragon that the old gentleman travelled. He was a very nice-looking old gentleman, and he looked as if he were nice, too, which is not at all the same thing. He had a fresh-coloured, clean-shaven face and white hair, and he wore rather odd-shaped collars and a top-hat that wasn’t exactly the same kind as other people’s. Of course the children didn’t see all this at first. In fact the first thing they noticed about the old gentleman was his hand."
4,"It was one morning as they sat on the fence waiting for the Green Dragon, which was three and a quarter minutes late by Peter’s Waterbury watch that he had had given him on his last birthday."
5,"“The Green Dragon’s going where Father is,” said Phyllis; “if it were a really real dragon, we could stop it and ask it to take our love to Father.”"
6,"“Dragons don’t carry people’s love,” said Peter; “they’d be above it.”"
7,"“Yes, they do, if you tame them thoroughly first. They fetch and carry like pet spaniels,” said Phyllis, “and feed out of your hand. I wonder why Father never writes to us.”"
8,"“Mother says he’s been too busy,” said Bobbie; “but he’ll write soon, she says.”"
9,"“I say,” Phyllis suggested, “let’s all wave to the Green Dragon as it goes by. If it’s a magic dragon, it’ll understand and take our loves to Father. And if it isn’t, three waves aren’t much. We shall never miss them.”"
10,"So when the Green Dragon tore shrieking out of the mouth of its dark lair, which was the tunnel, all three children stood on the railing and waved their pocket-handkerchiefs without stopping to think whether they were clean handkerchiefs or the reverse. They were, as a matter of fact, very much the reverse."
11,And out of a first-class carriage a hand waved back. A quite clean hand. It held a newspaper. It was the old gentleman’s hand.
12,After this it became the custom for waves to be exchanged between the children and the 9.15.
13,"And the children, especially the girls, liked to think that perhaps the old gentleman knew Father, and would meet him ‘in business,’ wherever that shady retreat might be, and tell him how his three children stood on a rail far away in the green country and waved their love to him every morning, wet or fine."
14,"For they were now able to go out in all sorts of weather such as they would never have been allowed to go out in when they lived in their villa house. This was Aunt Emma’s doing, and the children felt more and more that they had not been quite fair to this unattractive aunt, when they found how useful were the long gaiters and waterproof coats that they had laughed at her for buying for them."
15,"Mother, all this time, was very busy with her writing. She used to send off a good many long blue envelopes with stories in them--and large envelopes of different sizes and colours used to come to her. Sometimes she would sigh when she opened them and say:--"
16,"“Another story come home to roost. Oh, dear, Oh, dear!” and then the children would be very sorry."
17,"But sometimes she would wave the envelope in the air and say:--“Hooray, hooray. Here’s a sensible Editor. He’s taken my story and this is the proof of it.”"
18,"At first the children thought ‘the Proof’ meant the letter the sensible Editor had written, but they presently got to know that the proof was long slips of paper with the story printed on them."
19,Whenever an Editor was sensible there were buns for tea.
20,"One day Peter was going down to the village to get buns to celebrate the sensibleness of the Editor of the Children’s Globe, when he met the Station Master."
21,"Peter felt very uncomfortable, for he had now had time to think over the affair of the coal-mine. He did not like to say “Good morning” to the Station Master, as you usually do to anyone you meet on a lonely road, because he had a hot feeling, which spread even to his ears, that the Station Master might not care to speak to a person who had stolen coals. ‘Stolen’ is a nasty word, but Peter felt it was the right one. So he looked down, and said Nothing."
22,"It was the Station Master who said “Good morning” as he passed by. And Peter answered, “Good morning.” Then he thought:--"
23,"“Perhaps he doesn’t know who I am by daylight, or he wouldn’t be so polite.”"
24,"And he did not like the feeling which thinking this gave him. And then before he knew what he was going to do he ran after the Station Master, who stopped when he heard Peter’s hasty boots crunching the road, and coming up with him very breathless and with his ears now quite magenta-coloured, he said:--"
25,“I don’t want you to be polite to me if you don’t know me when you see me.”
26,“Eh?” said the Station Master.
27,"“I thought perhaps you didn’t know it was me that took the coals,”  Peter went on, “when you said ‘Good morning.’ But it was, and I’m sorry. There.”"
28,"“Why,” said the Station Master, “I wasn’t thinking anything at all about the precious coals. Let bygones be bygones. And where were you off to in such a hurry?”"
29,"“I’m going to buy buns for tea,” said Peter."
30,"“I thought you were all so poor,” said the Station Master."
31,"“So we are,” said Peter, confidentially, “but we always have three pennyworth of halfpennies for tea whenever Mother sells a story or a poem or anything.”"
32,"“Oh,” said the Station Master, “so your Mother writes stories, does she?”"
33,"“The beautifulest you ever read,” said Peter."
34,“You ought to be very proud to have such a clever Mother.”
35,"“Yes,” said Peter, “but she used to play with us more before she had to be so clever.”"
36,"“Well,” said the Station Master, “I must be getting along. You give us a look in at the Station whenever you feel so inclined. And as to coals, it’s a word that--well--oh, no, we never mention it, eh?”"
37,"“Thank you,” said Peter. “I’m very glad it’s all straightened out between us.” And he went on across the canal bridge to the village to get the buns, feeling more comfortable in his mind than he had felt since the hand of the Station Master had fastened on his collar that night among the coals."
38,"Next day when they had sent the threefold wave of greeting to Father by the Green Dragon, and the old gentleman had waved back as usual, Peter proudly led the way to the station."
39,“But ought we?” said Bobbie.
40,"“After the coals, she means,” Phyllis explained."
41,"“I met the Station Master yesterday,” said Peter, in an offhand way, and he pretended not to hear what Phyllis had said; “he expresspecially invited us to go down any time we liked.”"
42,“After the coals?” repeated Phyllis. “Stop a minute--my bootlace is undone again.”
43,"“It always IS undone again,” said Peter, “and the Station Master was more of a gentleman than you’ll ever be, Phil--throwing coal at a chap’s head like that.”"
44,"Phyllis did up her bootlace and went on in silence, but her shoulders shook, and presently a fat tear fell off her nose and splashed on the metal of the railway line. Bobbie saw it."
45,"“Why, what’s the matter, darling?” she said, stopping short and putting her arm round the heaving shoulders."
46,"“He called me un-un-ungentlemanly,” sobbed Phyllis. “I didn’t never call him unladylike, not even when he tied my Clorinda to the firewood bundle and burned her at the stake for a martyr.”"
47,Peter had indeed perpetrated this outrage a year or two before.
48,"“Well, you began, you know,” said Bobbie, honestly, “about coals and all that. Don’t you think you’d better both unsay everything since the wave, and let honour be satisfied?”"
49,"“I will if Peter will,” said Phyllis, sniffling."
50,"“All right,” said Peter; “honour is satisfied. Here, use my hankie, Phil, for goodness’ sake, if you’ve lost yours as usual. I wonder what you do with them.”"
51,"“You had my last one,” said Phyllis, indignantly, “to tie up the rabbit-hutch door with. But you’re very ungrateful. It’s quite right what it says in the poetry book about sharper than a serpent it is to have a toothless child--but it means ungrateful when it says toothless. Miss Lowe told me so.”"
52,"“All right,” said Peter, impatiently, “I’m sorry. THERE! Now will you come on?”"
53,They reached the station and spent a joyous two hours with the Porter. He was a worthy man and seemed never tired of answering the questions that begin with “Why--” which many people in higher ranks of life often seem weary of.
54,"He told them many things that they had not known before--as, for instance, that the things that hook carriages together are called couplings, and that the pipes like great serpents that hang over the couplings are meant to stop the train with."
55,"“If you could get a holt of one o’ them when the train is going and pull ‘em apart,” said he, “she’d stop dead off with a jerk.”"
56,“Who’s she?” said Phyllis.
57,"“The train, of course,” said the Porter. After that the train was never again ‘It’ to the children."
58,"“And you know the thing in the carriages where it says on it, ‘Five pounds’ fine for improper use.’ If you was to improperly use that, the train ‘ud stop.”"
59,“And if you used it properly?” said Roberta.
60,"“It ‘ud stop just the same, I suppose,” said he, “but it isn’t proper use unless you’re being murdered. There was an old lady once--someone kidded her on it was a refreshment-room bell, and she used it improper, not being in danger of her life, though hungry, and when the train stopped and the guard came along expecting to find someone weltering in their last moments, she says, ‘Oh, please, Mister, I’ll take a glass of stout and a bath bun,’ she says. And the train was seven minutes behind her time as it was.”"
61,“What did the guard say to the old lady?”
62,"“_I_ dunno,” replied the Porter, “but I lay she didn’t forget it in a hurry, whatever it was.”"
63,In such delightful conversation the time went by all too quickly.
64,"The Station Master came out once or twice from that sacred inner temple behind the place where the hole is that they sell you tickets through, and was most jolly with them all."
65,"“Just as if coal had never been discovered,” Phyllis whispered to her sister."
66,"He gave them each an orange, and promised to take them up into the signal-box one of these days, when he wasn’t so busy."
67,"Several trains went through the station, and Peter noticed for the first time that engines have numbers on them, like cabs."
68,"“Yes,” said the Porter, “I knowed a young gent as used to take down the numbers of every single one he seed; in a green note-book with silver corners it was, owing to his father being very well-to-do in the wholesale stationery.”"
69,"Peter felt that he could take down numbers, too, even if he was not the son of a wholesale stationer. As he did not happen to have a green leather note-book with silver corners, the Porter gave him a yellow envelope and on it he noted:--"
70,     379      663
71,and felt that this was the beginning of what would be a most interesting collection.
72,That night at tea he asked Mother if she had a green leather note-book with silver corners. She had not; but when she heard what he wanted it for she gave him a little black one.
73,"“It has a few pages torn out,” said she; “but it will hold quite a lot of numbers, and when it’s full I’ll give you another. I’m so glad you like the railway. Only, please, you mustn’t walk on the line.”"
74,"“Not if we face the way the train’s coming?” asked Peter, after a gloomy pause, in which glances of despair were exchanged."
