id,paragraph
1,CHAPTER 26.
2,"     Hence, bashful cunning,      And prompt me, plain and holy innocence.      I am your wife if you will marry me.                                  --TEMPEST"
3," Amabel awoke to such a sense of relief and repose that she scarcely liked to ask herself the cause, lest it might ruffle her complete peace. Those words ‘all right,’ seemed to be enough to assure her that the cloud was gone."
4,"Her mother came in, told her one or two of the main facts, and took her down under her wing, only stopping by the way for a greeting to Charles, who could not rise till after breakfast. He held her fast, and gazed up in her face, but she coloured so deeply, cast down her eyes, and looked so meek and submissive, that he let her go, and said nothing."
5,"The breakfast party were for the most part quiet, silent, and happy. Even Charlotte was hushed by the subdued feeling of the rest, and Mr. Edmonstone’s hilarity, though replied to in turn by each, failed to wake them into mirth. Guy ran up and down-stairs continually, to wait upon Charles; and thus the conversation was always interrupted as fast as it began, so that the only fact that came out was the cause of the lateness of their arrival yesterday. Mr. Edmonstone had taken it for granted that Guy, like Philip, would watch for the right time, and warn him, while Guy, being excessively impatient, had been so much afraid of letting himself fidget, as to have suffered the right moment to pass, and then borne all the blame."
6,"‘How you must have wanted to play the Harmonious Blacksmith,’ said Charlotte."
7,"‘I caught myself going through the motions twice,’ said Guy."
8,"Mrs. Edmonstone said to herself that he might contest the palm of temper with Amy even; the difference being, that hers was naturally sweet, his a hasty one, so governed that the result was the same. When breakfast was over, as they were rising, Guy made two steps towards Amabel, at whom he had hitherto scarcely looked, and said, very low, in his straightforward way: ‘Can I speak to you a little while?’"
9,"Amy’s face glowed as she moved towards him, and her mother said something about the drawing-room, where the next moment she found herself. She did not use any little restless arts to play with her embarrassment; she did not torment the flowers or the chimney ornaments, nor even her own rings, she stood with her hands folded and her head a little bent down, like a pendant blossom, ready to listen to whatever might be said to her."
10,"He did not speak at first, but moved uneasily about. At last he came nearer, and began speaking fast and nervously."
11,"‘Amabel, I want you to consider--you really ought to think whether this is not a very bad thing for you.’"
12,"The drooping head was raised, the downcast lids lifted up, and the blue eyes fixed on him with a look at once confiding and wondering. He proceeded--"
13,"‘I have brought you nothing but unhappiness already. So far as you have taken any interest in me, it could cause you only pain, and the more I think of it, the more unfit it seems that one so formed for light, and joy, and innocent mirth, should have anything to do with the darkness that is round me. Think well of it. I feel as if I had done a selfish thing by you, and now, you know, you are not bound. You are quite free! No one knows anything about it, or if they did, the blame would rest entirely with me. I would take care it should. So, Amy, think, and think well, before you risk your happiness.’"
14,"‘As to that,’ replied Amy, in a soft, low voice, with _such_ a look of truth in her clear eyes, ‘I must care for whatever happens to you, and I had rather it was with you, than without you,’ she said, casting them down again."
15,"‘My Amy!--my own!--my Verena!’--and he held fast one of her hands, as they sat together on the sofa--‘I had a feeling that so it might be through the very worst, yet I can hardly believe it now.’"
16,"‘Guy,’ said Amy, looking up, with the gentle resolution that had lately grown on her, ‘you must not take me for more than I am worth, and I should like to tell you fairly. I did not speak last time, because it was all so strange and so delightful, and I had no time to think, because I was so confused. But that is a long time ago, and this has been a very sad winter, and I have thought a great deal. I know, and you know, too, that I am a foolish little thing; I have been silly little Amy always; you and Charlie have helped me to all the sense I have, and I don’t think I could ever be a clever, strong-minded woman, such as one admires.’"
17,"‘Heaven forbid!’ ejaculated Guy; moved, perhaps, by a certain remembrance of St. Mildred’s."
18,"‘But,’ continued Amy, ‘I believe I do really wish to be good, and I know you have helped me to wish it much more, and I have been trying to learn to bear things, and so’--out came something, very like a sunny smile, though some tears followed--‘so if you do like such a silly little thing, it can’t be helped, and we will try to make the best of her. Only don’t say any more about my being happier without you, for one thing I am very sure of, Guy, I had rather bear anything with you, than know you were bearing it alone. I am only afraid of being foolish and weak, and making things worse for you.’"
19,"‘So much worse! But still,’ he added, ‘speak as you may, my Amy, I cannot, must not, feel that I have a right to think of you as my own, till you have heard all. You ought to know what my temper is before you risk yourself in its power. Amy, my first thought towards Philip was nothing short of murder.’"
20,"She raised her eyes, and saw how far entirely he meant what he said."
21,"‘The first--not the second,’ she murmured."
22,"‘Yes, the second--the third. There was a moment when I could have given my soul for my revenge!’"
23,‘Only a moment!’
24,"‘Only a moment, thank Heaven! and I have not done quite so badly since. I hope I have not suffered quite in vain; but if that shock could overthrow all my wonted guards, it might, though I pray Heaven it may not, it might happen again.’"
25,"‘I think you conquered yourself then, and that you will again,’ said Amy."
26,‘And suppose I was ever to be mad enough to be angry with you?’
27,"Amy smiled outright here. ‘Of course, I should deserve it; but I think the trouble would be the comforting you afterwards. Mamma said’--she added, after a long silence, during which Guy’s feeling would not let him speak--‘mamma said, and I think, that you are much safer and better with such a quick temper as yours, because you are always struggling and fighting with it, on the real true religious ground, than a person more even tempered by nature, but not so much in earnest in doing right.’"
28,"‘Yes, if I did not believe myself to be in earnest about that, I could never dare to speak to you at all.’"
29,"‘We will help each other,’ said Amy; ‘you have always helped me, long before we knew we cared for each other!’"
30,"‘And, Amy, if you knew how the thought of you helped me last winter, even when I thought I had forfeited you for ever.’"
31,"Their talk only ceased when, at one o’clock, Mrs. Edmonstone, who had pronounced in the dressing-room that three hours was enough for them at once, came in, and asked Guy to go and help to carry Charles down-stairs."
32,"He went, and Amy nestled up to her mother, raising her face to be kissed."
33,"‘It is very nice!’ she whispered; and then arranged her brother’s sofa, as she heard his progress down-stairs beginning. He was so light and thin as to be very easily carried, and was brought in between Guy and one of the servants. When he was settled on the sofa, he began thus,--‘There was a grand opportunity lost last winter. I was continually rehearsing the scene, and thinking what waste it was to go through such a variety of torture without the dignity of danger. If I could but have got up ever so small an alarm, I would have conjured my father to send for Guy, entreated pathetically that the reconciliation might be effected, and have drawn my last breath clasping their hands, thus! The curtain falls!’"
34,"He made a feint of joining their hands, put his head back, and shut his eyes with an air and a grace that put Charlotte into an ecstasy, and made even Amy laugh, as she quitted the room, blushing."
35,"‘But if it had been your last breath,’ said Charlotte, ‘you would not have been much the wiser.’"
36,"‘I would have come to life again in time to enjoy the “coup de theatre”. I had some thoughts of trying an overdose of opium; but I thought Dr. Mayerne would have found me out. I tell you, because it is fair I should have the credit; for, Guy, if you knew what she was to me all the winter, you would perceive my superhuman generosity in not receiving you as my greatest enemy.’"
37,"‘I shall soon cease to be surprised at any superhuman generosity,’ said Guy. ‘But how thin you are, Charlie; you are a very feather to carry; I had no notion it had been such a severe business.’"
38,"‘Most uncommon!’ said Charles, shaking his head, with a mock solemnity."
39,"‘It was the worst of all,’ said Mrs. Edmonstone, ‘six weeks of constant pain.’"
40,‘How very sorry Philip must have been!’ exclaimed Guy.
41,‘Philip?’ said Charlotte.
42,"‘Why, was it not owing to him? Surely, your father told me so. Did not he let you fall on the stairs?’"
43,"‘My dear father!’ exclaimed Charles, laughing; ‘every disaster that happens for the next twelvemonth will be imputed to Philip.’"
44,"‘How was it, then?’ said Guy."
45,"‘The fact was this,’ said Charles; ‘it was in the thick of the persecution of you, and I was obliged to let Philip drag me upstairs, because I was in a hurry. He took the opportunity of giving me some impertinent advice which I could not stand. I let go his arm, forgetting what a dependent mortal I am, and down I should assuredly have gone, if he had not caught me, and carried me off, as a fox does a goose, so it was his fault, as one may say, in a moral, though not in a physical sense.’"
46,"‘Then,’ said his mother, ‘you do think your illness was owing to that accident?’"
47,"‘I suppose the damage was brewing, and that the shake brought it into an active state. There’s a medical opinion for you!’"
48,"‘Well, I never knew what you thought of it before,’ said Mrs. Edmonstone."
49,"‘Why, when I had a condor to pick on Guy’s account with Philip, I was not going to pick a crow on my own,’ said Charles. ‘Oh! is luncheon ready; and you all going? I never see anybody now. I want the story of the shipwreck, though, of course, Ben What’s-his-name was the hero, and Sir Guy Morville not a bit of it.’"
50,"Laura wanted to walk to East Hill, and the other young people agreed to go thither, too."
51,"‘It will be nice to go to church there to-day’ said Amy, in a half-whisper, heard only by Guy, and answered by a look that showed how well he understood and sympathized."
52,"‘Another thing,’ said Amy, colouring a good deal; ‘shall you mind my telling Mary? I behaved so oddly last night, and she was so kind to me that I think I ought.’"
53,"Mary had seen enough last night to be very curious to-day, though hardly expecting her curiosity to be gratified. However, as she was putting on her bonnet for church, she looked out of her window, and saw the four coming across the fields from Hollywell. Guy and Amy did not walk into the village arm-in-arm; but, as they came under the church porch, Guy, unseen by all held out his hand, sought hers, and, for one moment, pressed it fervently. Amy knew he felt this like their betrothal."
54,"After the service, they stood talking with Mr. Ross and Mary, for some little time. Amy held apart, and Mary saw how it was. As they were about to turn homewards, Amy said quickly, ‘Come and walk a little way home with me.’"
55,"She went on with Mary before the rest, and when out of sight of them all, said, ‘Mary!’ and then stopped short."
56,"‘I guess something, Amy,’ said Mary."
