id,paragraph
1,THE FISHERMAN'S COTTAGE.
2," Nearly a century and a half ago, there lived, in a little cottage on the eastern coast, an aged widow and her two grandsons. Although neither carpenter nor bricklayer was employed in the construction of this cottage, it was as neat a fisherman's cabin as any in that part of England. James Mayhew, the widow's son, had ingeniously built it on the sea-beach, under the cliffs. It was formed of pebbles and sea-stones; and he had, with great toil and labour, carried down earth from the cliffs, and made a nice little kitchen-garden, which formed a pleasing contrast with the barren sands that surrounded the cottage; and this, with a shed for a cow, (which got her living on the common belonging to the adjacent town,) made a very comfortable little dwelling place. It was poor James's summer work; and at Michaelmas he brought to live in it his widowed mother, old Amy Mayhew, and his wife, who had formerly been a tidy dairy-maid, and to whom he had been married just a twelvemonth. Now James was very clever and industrious; he could turn his hand to any sort of work; he would labour for the farmers at harvest and seed-time, and pursued the trade of a fisherman the rest of the year. He made one harvest on the land, and two more from the sea; for he used to go out in a boat and catch herrings and mackerel at those seasons when they abound so plentifully on our coasts. James was an excellent son and husband, and would, no doubt, have been as good a father. His wife had just presented him with two twin little boys, when James was forced to leave her, to go to sea for the herring-fishery; and, sad it is to tell what followed! though such events are too common on these coasts. From the cottage window, his boat was seen to founder; and the wife never beheld her husband, nor the mother her son, until the tide threw up his corpse within a few yards of his own door. His poor wife, in her weak state, was unable to bear so severe a shock, and sank into a state of stupefaction, which was soon succeeded by death. The neighbouring townsmen contributed a sum to bury the poor young people: and many, who were standing by at the funeral, and saw the sorrow of the aged Amy, and thought of the hard trial which had befallen her, said it would have been a mercy if the orphan little twins had been buried in the same grave with their unfortunate parents! But Amy did not think so. ""God bless the poor babes!"" she said; ""they are all that is left me of my good dutiful James: I will do my best to bring them up; and, if my life be spared so long, I may see them prove a blessing and a comfort to me; and, perhaps, they may lay my head in the same grave with my poor son!"""
3,"Amy did, indeed, strive to do her best to rear her poor little grandsons. She was often seen with a baby on each arm coming into the town to fetch the cow off the common; and then the good-hearted sailors, who had known her son, would give her a white loaf for the babes, or a piece of meat or cheese for herself. With these helps, and with the milk from the cow and the vegetables from the garden, she contrived to get through that trying year. ""Before the winter comes again,"" she said to a friendly old pilot who had called to see her, ""my little boys will run alone; and when these aged arms are relieved from their heavy burden, I shall be able to work hard for their living."""
4,"Amy was firm in her resolution: and, by her good nursing, the little orphans throve and grew nicely,--so that by the end of the next summer they could run about, holding by each other, to assist their steps. They were very good and quiet, and fond of each other, and gave much less trouble than could have been expected."
5,"Amy was now able to earn a little money by netting; and by the time the children were three years old, James and Michael learned to fill her netting needles with the twine she made the herring-nets of; and the little creatures would stand by her the whole day, each watching until his turn came to fill granny's needle. When they grew a little older, they used to pick up stones on the beach, which were wanted in the town for building. They carried them up the cliffs by little baskets-full at a time, and laid them in a heap, and then the bricklayers gave for them a halfpenny a bushel. And when the cold snowy winter nights came, they learned to net, and helped their grandmother a great deal. By the time they were twelve years old, the boys nearly earned their living. James got something every week, by fetching his neighbours' cows off the common: he was always up by five in the summer, and before light in the winter, that he might not be too late. He soon got work at the Hall farm, in the next parish; and though it was a long way to walk, night and morning, he was always there in time, and contrived to do some work for his grandmother in the hours he had for his meals. James took delight in the quiet employments of the country; he greatly preferred the husbandman's life to the unsettled condition of the fisherman or sailor. Michael, on the contrary, loved the sea, and always tried, in getting his daily bread, to remain, if possible, by the beach, as it was his most ardent desire to be a sailor. It may be supposed this wish gave pain to his poor grandmother, who never heard him express it without thinking of the death of his father. To divert him from his inclination, she did her best to teach him to read; but, though both he and his brother were very apt, and could soon read a chapter in the Bible, yet, even in that holy book, Michael contrived to find something to flatter his passion for ships and sailors. By the time the boys had attained the age of fourteen, James had learned so much of the duties of husbandry, that his employer, as a reward for his diligence and industry, promised to hire him for the following year at man's wages. Poor Michael was much hurt that his brother would now be able to maintain his grandmother, and give her those comforts that her age required, whilst he could merely fish on the beach with lines for whiting or cod, or pick up stones for the bricklayers; and that he could do when he was but seven years old. He was so ashamed of his inferiority, that he made a resolution of going to labourer's work with his brother, and was determined to give up his favourite wish, to please his good grandmother; but an accident which happened that winter altered his intention."
6,"The day had closed-in some time, on the Christmas eve; and, though the moon showed a bright light, yet the wind had risen as the night came on, and soon blew a furious easterly gale directly on to this dangerous coast. Amy had swept her cottage clean, and looked out some time for her grandsons, when James trudged in with a billet of wood on his shoulder, which he threw on the hearth. ""I have staid later than usual, granny,"" he said, ""to look after the horses of some gentry, who have just arrived at the Hall to spend the Christmas holidays; but the good 'Squire has sent you this nice piece of beef for your dinner to-morrow, and this wood to warm your poor limbs this bitter weather."""
7,"""May heaven bless both you and your good master!"" said the grateful Amy: ""and may both he and his ever have good cheer and warm fires, when the cold and hard weather comes on! But, James, have you seen your brother?"""
8,"At that minute, Michael opened the door: he brought with him some fine whiting on the lid of an old basket. ""I have been lucky to-day, grandmother,"" said he; ""I have caught as many fish along-shore as I sold in the town for seven groats. Here is the money; let it be put in the earthen pot, with the rest that is to buy you a red cloak this cold weather."""
9,"""Thank you, my dear Michael,"" said Amy: ""how good and dutiful you both are! The time was, when I thought that the Almighty had dealt hardly in taking from the lone widow her only son,--but he has restored me that blessing in a twofold degree; and if I could but see you take to quiet farming-work like James--"""
10,"""Well,"" said Michael, ""I will do my best to like it: though, I am afraid, I shall never get over my wish to be a sailor. But look at these fine fish! I might have sold them in town; but, I thought, as it was Christmas-tide, that you should have them for supper."""
11,"Amy now began to bestir herself to dress the supper. She soon raised a cheerful blaze; but just as she was putting on the fish, the loud report of a gun at sea made her start and drop them. It seemed so close to the cottage, that the concussion made everything rattle and ring around."
12,"""Heaven help them!"" said Amy; ""it is some poor distressed ship's crew at sea, firing guns for help this stormy night. Oh, Michael! this is what you wish for! This is the life you love so much! Can you say you wish to be a sailor now?"""
13,"""I wish,"" answered Michael, ""I had been sailor enough to go off in the pilot-boat I saw trying to put off just now as I came under the cliffs. There's a brave ship--a king's ship, I believe,--has been in distress all the evening; and they want a pilot to go to her, for they fear she will be driven by the gale right on to the bar;--but the wind and waves run so contrary, that though they have been trying for this hour, they cannot get the boat off. Hark! there is another gun! She has certainly struck! Oh that I could help them!"""
14,"Michael now started up, and sprang to the door; but Amy ran after him, and held him back. ""Oh, stay, my dear boy,"" she cried; ""don't go off to sea! Don't let me see another child perish before these old eyes!"""
15,"""No,"" said Michael, turning round, ""I will not disobey you; besides, I have not experience enough to be of any great use. Our brave pilots would help them, if help were possible."""
16,"""See, brother!"" said James, ""there lies the ship; she is beating on the Barnet-reef, sure enough; and yet the moon shines bright through the storm."""
17,"""Yes,"" said Michael; ""and could they have got a pilot that knew the coast, they might have been saved. Look! they are putting out boats. See! There are two!"""
18,"""Where? where?"" asked James: ""the white flashing billows dazzle my eyes. I can see but one little black speck dancing among the waves."""
19,"""Oh, yes!"" said Amy, ""even I can see two; but they will never reach the shore. See, there goes down one of them!"""
20,"""No, no! I hope not,"" said James; ""it is only hidden for a moment between the high waves."""
21,"""I tell you it is gone,"" said Amy. ""Alas! I know that shocking sight too well?--Don't I _know_ what it is to see a boat swallowed by the sea? Come in, boys, or I shall think I see your father again washed on shore at my feet."""
22,"""Go you in,"" said Michael; ""but I will stay and see if indeed some one be thrown on shore; for we may give timely help."""
23,"As he spoke, he plainly discovered some one struggling with the waves at a little distance. The brothers hastened to the spot just as the man was thrown with violence on the sands by the huge breakers; they seized and dragged him out of the reach of the waves, and Amy ran out of the cottage to help them."
24,"""Is he dead?"" said she, fearfully."
25,"""I am afraid,"" said Michael, ""that the waves, in throwing him ashore, have beaten the breath out of him; but he was alive just now, for I saw him struggle with the breakers."""
26,"They carried the poor man into the cottage, and tried every means in their power to revive him; but Amy had nothing better than a little elder wine to give him. This she hastened to warm; and James ran to the town to borrow or buy a little brandy, and to get medical assistance. He soon procured the liquor; but the doctor was so busy attending other sufferers who had been washed ashore, that he could not leave them. James thought it best to return quickly with the spirits; and he had the pleasure to see the person they had saved sitting in the chimney-corner; and after he had taken the brandy which James had brought, he seemed considerably revived."
27,"It was not till he was out of danger that the kind cottagers remarked that the dress and appearance of their guest were far above those of a common seaman. Amy had put him on some dry clothes, which were more comfortable (though very coarse) than his dripping garments; and on holding up the latter to dry, an elegant watch fell from one of the pockets. This she hung up before the fireplace; and soon afterwards the weary stranger retired to rest, the brothers having cheerfully given up their bed, and slept that night on a heap of old nets and sea-weed in the cow-shed."
28,"Early in the morning, the doctor came to visit the shipwrecked stranger, and brought with him one of the sailors, who had got safe to land in the other boat. As soon as they entered the cottage, the seaman cast his eyes on the uniform that hung at the fire, and eagerly asked if the owner of it were alive. He was informed that he was alive, and likely to do well; but that he was then asleep."
29,"""Then the storm has spared one of the bravest captains in his Majesty's fleet,"" said the sailor."
30,"""What! is he a sea-captain?"" asked Michael."
31,"""Yes,"" answered the sailor: ""our brave Captain Lucas."""
32,"A voice from the inner room now called, ""Is that you, Tom?"""
33,"""Yes, your Honour,"" said the sailor, who immediately recognised the voice of Captain Lucas, his commander. Captain Lucas called the sailor to him, and asked, with much anxiety, how many of the ship's company were lost? ""Only ten,"" said he; ""the long-boat came safe ashore; and several of those in the boat with you were picked up by the good town's-people. We thought all night that you were lost: it would have been a bitter loss to us, Captain; for you are, indeed, the sailor's friend. It was a dreadful sight for us to see your boat go down; but your Honour knows that we all begged you to go in the long-boat, for we said the other could not live in such a sea."""
