id,paragraph
1,The Tale of Squirrel Nutkin Beatrix Potter
2,A STORY FOR NORAH
3,BOOK 1.
4,"This is a Tale about a tail--a tail that belonged to a little red squirrel, and his name was Nutkin."
5,"He had a brother called Twinkleberry, and a great many cousins: they lived in a wood at the edge of a lake."
6,
7,"In the middle of the lake there is an island covered with trees and nut bushes; and amongst those trees stands a hollow oak-tree, which is the house of an owl who is called Old Brown."
8,
9,"One autumn when the nuts were ripe, and the leaves on the hazel bushes were golden and green--Nutkin and Twinkleberry and all the other little squirrels came out of the wood, and down to the edge of the lake."
10,
11,"They made little rafts out of twigs, and they paddled away over the water to Owl Island to gather nuts."
12,"Each squirrel had a little sack and a large oar, and spread out his tail for a sail."
13,
14,"They also took with them an offering of three fat mice as a present for Old Brown, and put them down upon his door-step."
15,"Then Twinkleberry and the other little squirrels each made a low bow, and said politely--"
16,"""Old Mr. Brown, will you favour us with permission to gather nuts upon your island?"""
17,
18,"But Nutkin was excessively impertinent in his manners. He bobbed up and down like a little red _cherry_, singing--"
19,"    ""Riddle me, riddle me, rot-tot-tote!      A little wee man, in a red red coat!      A staff in his hand, and a stone in his throat;      If you'll tell me this riddle, I'll give you a groat."""
20,Now this riddle is as old as the hills; Mr. Brown paid no attention whatever to Nutkin.
21,He shut his eyes obstinately and went to sleep.
22,
23,"The squirrels filled their little sacks with nuts, and sailed away home in the evening."
24,
25,"But next morning they all came back again to Owl Island; and Twinkleberry and the others brought a fine fat mole, and laid it on the stone in front of Old Brown's doorway, and said--"
26,"""Mr. Brown, will you favour us with your gracious permission to gather some more nuts?"""
27,
28,"But Nutkin, who had no respect, began to dance up and down, tickling old Mr. Brown with a _nettle_ and singing--"
29,"    ""Old Mr. B! Riddle-me-ree!      Hitty Pitty within the wall,      Hitty Pitty without the wall;      If you touch Hitty Pitty,      Hitty Pitty will bite you!"""
30,Mr. Brown woke up suddenly and carried the mole into his house.
31,
32,"He shut the door in Nutkin's face. Presently a little thread of blue _smoke_ from a wood fire came up from the top of the tree, and Nutkin peeped through the key-hole and sang--"
33,"    ""A house full, a hole full!      And you cannot gather a bowl-full!"""
34,
35,
36,The squirrels searched for nuts all over the island and filled their little sacks.
37,"But Nutkin gathered oak-apples--yellow and scarlet--and sat upon a beech-stump playing marbles, and watching the door of old Mr. Brown."
38,
39,On the third day the squirrels got up very early and went fishing; they caught seven fat minnows as a present for Old Brown.
40,They paddled over the lake and landed under a crooked chestnut tree on Owl Island.
41,
42,"Twinkleberry and six other little squirrels each carried a fat minnow; but Nutkin, who had no nice manners, brought no present at all. He ran in front, singing--"
43,"    ""The man in the wilderness said to me,     'How many strawberries grow in the sea?'      I answered him as I thought good--      'As many red herrings as grow in the wood.'"""
44,But old Mr. Brown took no interest in riddles--not even when the answer was provided for him.
45,
46,"On the fourth day the squirrels brought a present of six fat beetles, which were as good as plums in _plum-pudding_ for Old Brown. Each beetle was wrapped up carefully in a dock-leaf, fastened with a pine-needle pin."
47,But Nutkin sang as rudely as ever--
48,"     ""Old Mr. B! riddle-me-ree       Flour of England, fruit of Spain,       Met together in a shower of rain;       Put in a bag tied round with a string,     If you'll tell me this riddle, I'll give you a ring!"""
49," Which was ridiculous of Nutkin, because he had not got any ring to give to Old Brown."
50,
51,"The other squirrels hunted up and down the nut bushes; but Nutkin gathered robin's pincushions off a briar bush, and stuck them full of pine-needle pins."
52,
53,On the fifth day the squirrels brought a present of wild honey; it was so sweet and sticky that they licked their fingers as they put it down upon the stone. They had stolen it out of a bumble _bees'_ nest on the tippitty top of the hill.
54,"But Nutkin skipped up and down, singing--"
55,"    ""Hum-a-bum! buzz! buzz! Hum-a-bum buzz!       As I went over Tipple-tine       I met a flock of bonny swine;     Some yellow-nacked, some yellow backed!       They were the very bonniest swine       That e'er went over Tipple-tine."""
56,
57,Old Mr. Brown turned up his eyes in disgust at the impertinence of Nutkin.
58,But he ate up the honey!
59,
60,The squirrels filled their little sacks with nuts.
