id,paragraph
1,BOOK 8. _THE TOWN IN THE LIBRARY IN THE TOWN IN THE LIBRARY_
2," ROSAMUND and Fabian were left alone in the library. You may not believe this; but I advise you to believe everything I tell you, because it is true. Truth is stranger than story-books, and when you grow up you will hear people say this till you grow quite sick of listening to them: you will then want to write the strangest story that ever was—just to show that _some_ stories can be stranger than truth."
3,"Mother was obliged to leave the children alone, because Nurse was ill with measles, which seems a babyish thing for a grown-up nurse to have—but it is quite true. If I had wanted to make up anything I could have said she was ill of a broken heart or a brain-fever, which always happens in books. But I wish to speak the truth even if it sounds silly. And it _was_ measles."
4,"Mother could not stay with the children, because it was Christmas Eve, and on that day a lot of poor old people came up to get their Christmas presents, tea and snuff, and flannel petticoats, and warm capes, and boxes of needles and cottons and things like that. Generally the children helped to give out the presents, but this year Mother was afraid they might be going to have measles themselves, and measles is a nasty forward illness with no manners at all. You can catch it from a person before they know they’ve got it, and if Rosamund and Fabian had been going to have it they might have given it to all the old men and women who came up to get their Christmas presents. And measles is a present no old men or women want to have given them, even at Christmas time, no matter how old they may be. They would not mind brain-fever or a broken heart so much perhaps—because it is more interesting. But no one can think it interesting to have measles, at any rate till you come to the part where they give you jelly and boiled sole."
5,So the children were left alone. Before Mother went away she said—
6,"“Look here, dears, you may play with your bricks, or make pictures with your pretty blocks that kind Uncle Thomas gave you, but you must not touch the two top-drawers of the bureau. Now don’t forget. And if you’re good you shall have tea with me, and perhaps there will be cake. Now you _will_ be good, won’t you?”"
7,"Fabian and Rosamund promised faithfully that they would be _very_ good and that they would not touch the two top-drawers, and Mother went away to see about the flannel petticoats and the tea and snuff and tobacco and things. When the children were left alone, Fabian said—"
8,"“I am going to be very good, I shall be much more good than Mother expects me to.”"
9,"“We _won’t_ look in the drawers,” said Rosamund, stroking the shiny top of the bureau."
10,"“We won’t even _think_ about the insides of the drawers,” said Fabian. He stroked the bureau too and his fingers left four long streaks on it, because he had been eating toffee."
11,"“I suppose,” he said presently, “we may open the two _bottom_ drawers? Mother couldn’t have made a mistake—could she?”"
12,"So they opened the two bottom drawers just to be sure that Mother hadn’t made a mistake, and to see whether there was anything in the bottom drawers that they ought not to look at."
13,"But the bottom drawer of all had only old magazines in it. And the next to the bottom drawer had a lot of papers in it. The children knew at once by the look of the papers that they belonged to Father’s great work about the Domestic Life of the Ancient Druids, and they knew it was not right—or even interesting—to try to read other people’s papers."
14,"So they shut the drawers and looked at each other, and Fabian said, “I think it would be right to play with the bricks and the pretty blocks that Uncle Thomas gave us.”"
15,"But Rosamund was younger than Fabian, and she said, “I am tired of the blocks, and I am tired of Uncle Thomas. I would rather look in the drawers.”"
16,"“So would I,” said Fabian. And they stood looking at the bureau."
17,"Perhaps you don’t know what a bureau is—children learn very little at school nowadays—so I will tell you that a bureau is a kind of chest of drawers. Sometimes it has a bookcase on the top of it, and instead of the two little top corner drawers like the chests of drawers in a bedroom it has a sloping lid, and when it is quite open you pull out two little boards underneath—and then it makes a sort of shelf for people to write letters on. The shelf lies quite flat, and lets you see little drawers inside with mother of pearl handles—and a row of pigeon holes—(which are not holes pigeons live in, but places for keeping the letters carrier-pigeons could carry round their necks if they liked). And there is very often a tiny cupboard in the middle of the bureau, with a pattern on the door in different coloured woods. So now you know."
18,"Fabian stood first on one leg and then on the other, till Rosamund said—"
19,"“Well, you might as well pull up your stockings.”"
20,"So he did. His stockings were always just like a concertina or a very expensive photographic camera, but he used to say it was not his fault, and I suppose he knew best. Then he said—"
21,"“I say, Rom! mother only said we weren’t to _touch_ the two top-drawers——”"
22,"“I _should_ like to be good,” said Rosamund."
23,"“I _mean_ to be good,” said Fabian. “But if you took the little thin poker that is not kept for best you could put it through one of the brass handles and I could hold the other handle with the tongs. And then we could open the drawer without touching it.”"
24,"“So we could! How clever you are, Fabe,” said Rosamund. And she admired her brother very much. So they took the poker and the tongs. The front of the bureau got a little scratched, but the top drawer came open, and there they saw two boxes with glass tops and narrow gold paper going all round; though you could only see paper shavings through the glass they knew it was soldiers. Besides these boxes there was a doll and a donkey standing on a green grass plot that had wooden wheels, and a little wicker-work doll’s cradle, and some brass cannons, and a bag that looked like marbles, and some flags, and a mouse that seemed as though it moved with clockwork; only, of course, they had promised not to touch the drawer, so they could not make sure. There was a wooden box, too, and it was wrong way up and on the bottom of it was written in pencil, “Vill: and anim: 5/9-1/2.” They looked at each other, and Fabian said:"
25,“I wish it was to-morrow!”
26,"You have seen that Fabian was quite a clever boy; and he knew at once that these were the Christmas presents which Santa Claus had brought for him and Rosamund. But Rosamund said, “Oh dear, I wish we hadn’t!”"
27,"However, she consented to open the other drawer—without touching it, of course, because she had promised faithfully—and when, with the poker and tongs, the other drawer came open, there were large wooden boxes—the kind that hold raisins and figs—and round boxes with paper on—smooth on the top and folded in pleats round the edge; and the children knew what was inside without looking. Every one knows what candied fruit looks like on the outside of the box. There were square boxes, too—the kind that have crackers in—with a cracker going off on the lid, very different in size and brightness from what it does really, for, as no doubt you know, a cracker very often comes in two quite calmly, without any pop at all, and then you only have the motto and the sweet, which is never nice. Of course, if there is anything else in the cracker, such as brooches or rings, you have to let the little girl who sits next you at supper have it."
28,When they had pushed back the drawer Fabian said—
29,“Let us pull out the writing drawer and make a castle.”
30,"So they pulled the drawer out and put it on the floor. Please do not try to do this if your father has a bureau, because it leads to trouble. It was only because this one was broken that they were able to do it."
31,"Then they began to build. They had the two boxes of bricks—the wooden bricks with the pillars and the coloured glass windows, and the rational bricks which are made of clay like tiles, and their father called them the All-Wool bricks, which seems silly, only of course grown-up people always talk sense. When all the bricks were used up they got the pretty picture blocks that kind Uncle Thomas gave them, and they built with these; but one box of blocks does not go far. Picture blocks are only good for building, except just at first. When you have made the pictures a few times you know exactly how they go, and then what’s the good? This is a fault which belongs to many very expensive toys. These blocks had six pictures—Windsor Castle with the Royal Standard hoisted; ducks in a pond, with a very handsome green and blue drake; Rebecca at the well; a snowball fight—but none of the boys knew how to chuck a snowball; the Harvest Home; and the Death of Nelson."
32,"These did not go far, as I said. There are six times as few blocks as there are pictures, because every block has six sides. If you don’t understand this it shows they don’t teach arithmetic at your school, or else that you don’t do your home lessons."
33,"But the best of a library is the books. Rosamund and Fabian made up with books. They got Shakespeare in fourteen volumes, and Rollin’s “Ancient History,” and Gibbon’s “Decline and Fall,” and “The Beauties of Literature” in fifty-six fat little volumes, and they built not only a castle, but a town—and a big town—that presently towered high above them on the top of the bureau."
34,"“It’s almost big enough to get into,” said Fabian, “if we had some steps.” So they made steps with the “British Essayists,” the “Spectator,” and the “Rambler,” and the “Observer,” and the “Tatler”; and when the steps were done they walked up them."
35,"You may think that they could not have walked up these steps and into a town they had built themselves, but I assure you people have often done it, and anyway this is a true story. They had made a lovely gateway with two fat volumes of Macaulay and Milton’s poetical works on top, and as they went through it they felt all the feelings which people have to feel when they are tourists and see really fine architecture. (Architecture means buildings, but it is a grander word, as you see.)"
36,"Rosamund and Fabian simply walked up the steps into the town they had built. Whether they got larger or the town got smaller, I do not pretend to say. When they had gone under the great gateway they found that they were in a street which they could not remember building. But they were not disagreeable about it, and they said it was a very nice street all the same."
37,"There was a large square in the middle of the town, with seats, and there they sat down, in the town they had made, and wondered how they could have been so clever as to build it. Then they went to the walls of the town—high, strong walls built of the Encyclopedia and the Biographical Dictionary—and far away over the brown plain of the carpet they saw a great thing like a square mountain. It was very shiny. And as they looked at it a great slice of it pushed itself out, and Fabian saw the brass handles shine, and he said:"
38,"“Why, Rom, that’s the bureau.”"
39,"“It’s larger than I want it to be,” said Rosamund, who was a little frightened. And indeed it did seem to be an extra size, for it was higher than the town."
40,"The drawer of the great mountain bureau opened slowly, and the children could see something moving inside; then they saw the glass lid of one of the boxes go slowly up till it stood on end and looked like one side of the Crystal Palace, it was so large—and inside the box they saw something moving. The shavings and tissue-paper and the cotton-wool heaved and tossed like a sea when it is rough and you wish you had not come for a sail. And then from among the heaving whiteness came out a blue soldier, and another and another. They let themselves down from the drawer with ropes of shavings, and when they were all out there were fifty of them—foot soldiers with rifles and fixed bayonets, as well as a thin captain on a horse and a sergeant and a drummer."
41,"The drummer beat his drum and the whole company formed fours and marched straight for the town. They seemed to be quite full-size soldiers—indeed, _extra_ large."
42,The children were very frightened. They left the walls and ran up and down the streets of the town trying to find a place to hide.
43,"“Oh, there’s our very own house,” cried Rosamund at last; “we shall be safe there.” She was surprised as well as pleased to find their own house inside the town they had built."
