id,paragraph
1,CHAPTER 19. _The Reckoning_
2,     MONTR.   The father is victorious.      BELF.                              Let us haste               To gratulate his conquest.      1ST CAPT.                          We to mourn               The fortune of the son.                         MASSINGER. _The Unnatural Combat._
3," Poor Mr. Bultitude, springing wildly upstairs in a last desperate effort to avoid capture, had now almost reached his goal. Just above him was the nursery landing, with its little wooden gate, and near it, leaning against the wall, was a pair of kitchen steps, with which he had hopes of reaching the roof, or the cistern loft, or some other safe and inaccessible place. Better a night spent on the slates amongst the chimney-pots than a bed in that terrible No. 6 Dormitory!"
4,"But here, too, fate was against him. He was not more than half-a-dozen steps from the top, when, to his unspeakable horror, he saw a small form in a white frock and cardinal-red sash come running out of the nursery, and begin to descend slowly and cautiously, clinging to the banisters with one chubby little hand."
5,"It was his youngest son, Roly, and as soon as he saw this, he lost hope once and for all; he could not escape being recognised, the child would probably refuse to leave him, and even if he did contrive to get away from him, it would be hopeless to make Roly understand that he was not to betray his hiding-place."
6,"So he stopped on the stairs, aghast at this new misfortune, and feeling himself at the end of all his resources. Roly knew him at once, and began to dance delightedly up and down on the stair in his little bronze shoes. ""Buzzer Dicky,"" he cried, ""dear buzzer Dicky, tum 'ome to party!"""
7,"""It's not brother Dicky,"" said Paul miserably; ""it's all a mistake."""
8,"""Oh, but it is though,"" said Roly; ""and you don't know what Roly's found."""
9,"""No, no,"" said Paul, trying to pass (which, as Roly persisted in leaping joyously from side to side of the narrow stair, was difficult); ""you shall show me another time. I'm in a hurry, my boy, I've got an appointment."""
10,"""Roly's got something better than that,"" observed the child."
11,"Mr. Bultitude, in spite of his terror, was too much afraid of hurting him by brushing roughly past to attempt such a thing, so he tried diplomacy. ""Well, what has Roly found--a cracker?"""
12,"""No, no, better than a cwacker--you guess."""
13,"""I can't guess,"" said Paul; ""never mind, I don't want to know."""
14,"""Well then,"" said Roly, ""there."" And he slowly unclosed a fat little fist, and in it Paul saw, with a revulsion of feeling that turned him dizzy and faint, the priceless talisman itself, the identical Garudâ Stone, with part of the frail gilt ring still attached to it."
15,"The fastening had probably given way during Master Dick's uproarious revels in the drawing-room, and Roly must have picked it up on the carpet shortly afterwards."
16,"""Isn't it a pitty sing?"" said Roly, insisting that his treasure should be duly admired."
17,"""A very pretty thing,"" said his father, hoarse and panting; ""but it's mine, Roly, it's mine!"""
18,"And he tried to snatch it, but Roly closed his fist over it and pouted, ""It isn't yours,"" he said, ""it's Roly's. Roly found it."""
19,"Paul's fears rose again; would he be wrecked in port after all? His ear, unnaturally strained, caught the sound of the front door being opened, he heard the Doctor's deep voice booming faintly below, then the noise of persons ascending."
20,"""Roly shall have it, then,"" he said perfidiously, ""if he will say after me what I tell him. Say, 'I wish Papa and Brother Dick back as they were before,' Roly."""
21,"""Ith it a game?"" asked Roly, his face clearing and evidently delighted with his eccentric brother Dick, who had run all the way home from school to play games with him on the staircase."
22,"""No--yes!"" cried Paul, ""it's a very funny game; only do what I tell you. Now say, 'I wish Papa and Brother Dick back again as they were before.' I'll give you a sugar-plum if you say it nicely."""
23,"""What sort of sugar-plum?"" demanded Roly, who inherited business instincts."
24,"""Any sort you like best!"" almost shrieked Paul; ""oh, do get on!"""
25,"""Lots of sugar-plums, then. 'I with'--I forget what you told me--oh, 'I with Papa and----' there'th thomebody tummin' upsthairs!"" he broke off suddenly; ""it'h nurth tummin' to put me to bed. I don't want to go to bed yet."""
26,"""And you shan't go to bed!"" cried Paul, for he too thought he heard some one. ""Never mind nurse, finish the--the game."""
27,"--'Papa and Buzzy Dicky back again as--as they were before,' repeated Roly at last. ""What a funny--ow, ow, it'h Papa! it'h Papa! and he told me it wath Dicky. I'm afwaid! Whereth Dicky gone to? I want Bab, take me to Bab!"""
28,"For the Stone had done its work once more, and this time with happier results; with a supreme relief and joy, which no one who has read this book can fail to understand, Mr. Bultitude felt that he actually was his old self again."
29,"Just when all hope seemed cut off and relief was most unlikely, the magic spell that had caused him such intolerable misery for one hideous week was reversed by the hand of his innocent child."
30,"He caught Roly up in his arms and kissed him as he had never been kissed in his whole life before, at least by his father, and comforting him as well as he could, for the poor child had naturally received rather a severe shock, he stepped airily down the staircase, which he had mounted with such different emotions five minutes before."
