id,paragraph
1,CHAPTER XIX. DIAMOND’S FRIENDS
2," ONE day when old Diamond was standing with his nose in his bag between Pall Mall and Cockspur Street, and his master was reading the newspaper on the box of his cab, which was the last of a good many in the row, little Diamond got down for a run, for his legs were getting cramped with sitting. And first of all he strolled with his hands in his pockets up to the crossing, where the girl and her broom were to be found in all weathers. Just as he was going to speak to her, a tall gentleman stepped upon the crossing. He was pleased to find it so clean, for the streets were muddy, and he had nice boots on; so he put his hand in his pocket, and gave the girl a penny. But when she gave him a sweet smile in return, and made him a pretty courtesy, he looked at her again, and said:"
3,"“Where do you live, my child?”"
4,"“Paradise Row,” she answered; “next door to the Adam and Eve--down the area.”"
5,“Whom do you live with?” he asked.
6,"“My wicked old grannie,” she replied."
7,"“You shouldn’t call your grannie wicked,” said the gentleman."
8,"“But she is,” said the girl, looking up confidently in his face. “If you don’t believe me, you can come and take a look at her.”"
9,"The words sounded rude, but the girl’s face looked so simple that the gentleman saw she did not mean to be rude, and became still more interested in her."
10,"“Still you shouldn’t say so,” he insisted."
11,"“Shouldn’t I? Everybody calls her wicked old grannie--even them that’s as wicked as her. You should hear her swear. There’s nothing like it in the Row. Indeed, I assure you, sir, there’s ne’er a one of them can shut my grannie up once she begins and gets right a-going. You must put her in a passion first, you know. It’s no good till you do that--she’s so old now. How she do make them laugh, to be sure!”"
12,"Although she called her wicked, the child spoke so as plainly to indicate pride in her grannie’s pre-eminence in swearing."
13,"The gentleman looked very grave to hear her, for he was sorry that such a nice little girl should be in such bad keeping. But he did not know what to say next, and stood for a moment with his eyes on the ground. When he lifted them, he saw the face of Diamond looking up in his."
14,"“Please, sir,” said Diamond, “her grannie’s very cruel to her sometimes, and shuts her out in the streets at night, if she happens to be late.”"
15,“Is this your brother?” asked the gentleman of the girl.
16,"“No, sir.”"
17,"“How does he know your grandmother, then? He does not look like one of her sort.”"
18,"“Oh no, sir! He’s a good boy--quite.”"
19,Here she tapped her forehead with her finger in a significant manner.
20,"“What do you mean by that?” asked the gentleman, while Diamond looked on smiling."
21,"“The cabbies call him God’s baby,” she whispered. “He’s not right in the head, you know. A tile loose.”"
22,"Still Diamond, though he heard every word, and understood it too, kept on smiling. What could it matter what people called him, so long as he did nothing he ought not to do? And, besides, God’s baby was surely the best of names!"
23,"“Well, my little man, and what can you do?” asked the gentleman, turning towards him--just for the sake of saying something."
24,"“Drive a cab,” said Diamond."
25,"“Good; and what else?” he continued; for, accepting what the girl had said, he regarded the still sweetness of Diamond’s face as a sign of silliness, and wished to be kind to the poor little fellow."
26,"“Nurse a baby,” said Diamond."
27,“Well--and what else?”
28,"“Clean father’s boots, and make him a bit of toast for his tea.”"
29,"“You’re a useful little man,” said the gentleman. “What else can you do?”"
30,"“Not much that I know of,” said Diamond. “I can’t curry a horse, except somebody puts me on his back. So I don’t count that.”"
31,“Can you read?”
32,"“No. But mother can and father can, and they’re going to teach me some day soon.”"
33,"“Well, here’s a penny for you.”"
34,"“Thank you, sir.”"
35,"“And when you have learned to read, come to me, and I’ll give you sixpence and a book with fine pictures in it.”"
36,"“Please, sir, where am I to come?” asked Diamond, who was too much a man of the world not to know that he must have the gentleman’s address before he could go and see him."
37,"“You’re no such silly!” thought he, as he put his hand in his pocket, and brought out a card. “There,” he said, “your father will be able to read that, and tell you where to go.”"
38,"“Yes, sir. Thank you, sir,” said Diamond, and put the card in his pocket."
39,"The gentleman walked away, but turning round a few paces off, saw Diamond give his penny to the girl, and, walking slower heard him say:"
40,"“I’ve got a father, and mother, and little brother, and you’ve got nothing but a wicked old grannie. You may have my penny.”"
41,"The girl put it beside the other in her pocket, the only trustworthy article of dress she wore. Her grandmother always took care that she had a stout pocket."
42,“Is she as cruel as ever?” asked Diamond.
43,"“Much the same. But I gets more coppers now than I used to, and I can get summats to eat, and take browns enough home besides to keep her from grumbling. It’s a good thing she’s so blind, though.”"
44,“Why?” asked Diamond.
45,"“‘Cause if she was as sharp in the eyes as she used to be, she would find out I never eats her broken wittles, and then she’d know as I must get something somewheres.”"
46,"“Doesn’t she watch you, then?”"
