id,paragraph
1,CHAPTER VI. THE LISTS.
2, The third day after the arrival of the Earl of Evesham there was a great banquet given by the King of France to King Richard and his principal nobles.
3,"Among those present was the Earl of Evesham, and Cuthbert as his page followed him to the great tent where the banquet was prepared."
4,"Here, at the top of the tent, on a raised dais, sat the King of France, surrounded by his courtiers."
5,"The Earl of Evesham, having been conducted by the herald to the dais, paid his compliments to the king, and was saluted by him with many flattering words."
6,"The sound of a trumpet was heard, and Richard of England, accompanied by his principal nobles, entered."
7,It was the first time that Cuthbert had seen the king.
8,"Richard was a man of splendid stature and of enormous strength. His appearance was in some respects rather Saxon than Norman, for his hair was light and his complexion clear and bright. He wore the moustache and pointed beard at that time in fashion; and although his expression was generally that of frankness and good humour, there might be observed in his quick motions and piercing glances signs of the hasty temper and unbridled passion which went far to wreck the success of the enterprise upon which he was embarked."
9,"Richard possessed most of the qualities which make a man a great king and render him the idol of his subjects, especially in a time of semi-civilization, when personal prowess is placed at the summit of all human virtues. In all his dominions there was not one man who in personal conflict was a match for his king."
10,"Except during his fits of passion, King Richard was generous, forgiving, and royal in his moods. He was incapable of bearing malice. Although haughty of his dignity, he was entirely free from any personal pride, and while he would maintain to the death every right and privilege against another monarch, he could laugh and joke with the humblest of his subjects on terms of hearty good fellowship. He was impatient of contradiction, eager to carry out whatever he had determined upon; and nothing enraged him so much as hesitation or procrastination. The delays which were experienced in the course of the Crusade angered him more than all the opposition offered by the Saracens, or than the hardships through which the Christian host had to pass."
11,"At a flourish of trumpets all took their seats at dinner, their places being marked for them by a herald, whose duty it was to regulate nicely the various ranks and dignities."
12,"The Earl of Evesham was placed next to a noble of Brabant. Cuthbert took his place behind his lord and served him with wines and meats, the Brabant being attended by a tall youth, who was indeed on the verge of manhood."
13,"As the dinner went on the buzz of conversation became fast and furious. In those days men drank deep, and quarrels often arose over the cups. From the time that the dinner began, Cuthbert noticed that the manner of Sir de Jacquelin Barras, Count of Brabant, was rude and offensive."
