id,paragraph,tokens
1,CHAPTER X. The Lobster Quadrille,
2,"The Mock Turtle sighed deeply, and drew the back of one flapper across his eyes. He looked at Alice, and tried to speak, but for a minute or two sobs choked his voice. ‘Same as if he had a bone in his throat,’ said the Gryphon: and it set to work shaking him and punching him in the back. At last the Mock Turtle recovered his voice, and, with tears running down his cheeks, he went on again:--",sigh draw back flapper eye look try speak minute sob choke voice same have bone throat say set work shake punch back last recover voice tear run cheek go 
3,"‘You may not have lived much under the sea--’ (‘I haven’t,’ said Alice)--‘and perhaps you were never even introduced to a lobster--’ (Alice began to say ‘I once tasted--’ but checked herself hastily, and said ‘No, never’) ‘--so you can have no idea what a delightful thing a Lobster Quadrille is!’",live sea say introduce lobster begin say taste check say have idea delightful thing lobster quadrille 
4,"‘No, indeed,’ said Alice. ‘What sort of a dance is it?’",say sort dance 
5,"‘Why,’ said the Gryphon, ‘you first form into a line along the sea-shore--’",say form line sea shore -.m. 
6,"‘Two lines!’ cried the Mock Turtle. ‘Seals, turtles, salmon, and so on; then, when you’ve cleared all the jelly-fish out of the way--’",line cry seal turtle salmon clear jelly fish way 
7,"‘THAT generally takes some time,’ interrupted the Gryphon.",take time interrupt 
8,‘--you advance twice--’,advance 
9,‘Each with a lobster as a partner!’ cried the Gryphon.,lobster partner cry 
10,"‘Of course,’ the Mock Turtle said: ‘advance twice, set to partners--’",course say advance set partner 
11,"‘--change lobsters, and retire in same order,’ continued the Gryphon.",change lobster retire same order continue 
12,"‘Then, you know,’ the Mock Turtle went on, ‘you throw the--’",know go throw 
13,"‘The lobsters!’ shouted the Gryphon, with a bound into the air.",lobster shout bind air 
14,‘--as far out to sea as you can--’,sea 
15,‘Swim after them!’ screamed the Gryphon.,swim scream 
16,"‘Turn a somersault in the sea!’ cried the Mock Turtle, capering wildly about.",turn somersault sea cry caper 
17,‘Change lobsters again!’ yelled the Gryphon at the top of its voice.,change lobster yell top voice 
18,"‘Back to land again, and that’s all the first figure,’ said the Mock Turtle, suddenly dropping his voice; and the two creatures, who had been jumping about like mad things all this time, sat down again very sadly and quietly, and looked at Alice.",land first figure say drop voice creature jump mad thing time sit look 
19,"‘It must be a very pretty dance,’ said Alice timidly.",pretty dance say 
20,‘Would you like to see a little of it?’ said the Mock Turtle.,like see little say 
21,"‘Very much indeed,’ said Alice.",say 
22,"‘Come, let’s try the first figure!’ said the Mock Turtle to the Gryphon. ‘We can do without lobsters, you know. Which shall sing?’",come let try first figure say do lobster know sing 
23,"‘Oh, YOU sing,’ said the Gryphon. ‘I’ve forgotten the words.’",sing say forget word 
24,"So they began solemnly dancing round and round Alice, every now and then treading on her toes when they passed too close, and waving their forepaws to mark the time, while the Mock Turtle sang this, very slowly and sadly:--",begin dance tread toe pass wave forepaw mark time sing 
25," ‘“Will you walk a little faster?” said a whiting to a snail.  “There’s a porpoise close behind us, and he’s treading on my tail.",walk little fast say whiting snail be porpoise close tread tail 
26, See how eagerly the lobsters and the turtles all advance!  They are waiting on the shingle--will you come and join the dance?,see lobster turtle advance wait shingle come join dance 
27," Will you, won’t you, will you, won’t you, will you join the dance?  Will you, won’t you, will you, won’t you, won’t you join the dance?",join dance join dance 
28," “You can really have no notion how delightful it will be  When they take us up and throw us, with the lobsters, out to sea!”   But the snail replied “Too far, too far!” and gave a look askance--  Said he thanked the whiting kindly, but he would not join the dance.",have notion delightful take throw lobster sea snail reply give look askance said thank whiting join dance 
29," Would not, could not, would not, could not, would not join the dance.  Would not, could not, would not, could not, could not join the dance.",join dance join dance 
30," ‘“What matters it how far we go?” his scaly friend replied.  “There is another shore, you know, upon the other side.  The further off from England the nearer is to France--  Then turn not pale, beloved snail, but come and join the dance.",matter go scaly friend reply be shore know other side further nearer turn pale beloved snail come join dance 
31," Will you, won’t you, will you, won’t you, will you join the dance?  Will you, won’t you, will you, won’t you, won’t you join the dance?”’",join dance join dance 
32,"‘Thank you, it’s a very interesting dance to watch,’ said Alice, feeling very glad that it was over at last: ‘and I do so like that curious song about the whiting!’",thank interesting dance watch say feel glad last curious song whiting 
33,"‘Oh, as to the whiting,’ said the Mock Turtle, ‘they--you’ve seen them, of course?’",whiting say see course 
34,"‘Yes,’ said Alice, ‘I’ve often seen them at dinn--’ she checked herself hastily.",say see dinn check 
35,"‘I don’t know where Dinn may be,’ said the Mock Turtle, ‘but if you’ve seen them so often, of course you know what they’re like.’",know say see course know 
36,"‘I believe so,’ Alice replied thoughtfully. ‘They have their tails in their mouths--and they’re all over crumbs.’",believe reply have tail mouth crumb 
