id,paragraph,tokens
1,CHAPTER X. HIGHLY RESPECTABLE.,respectable 
2," As old Oliver was stooping over his desk on the counter, and bringing his dim eyes as close as he could to the letter he was writing, his shop-door was darkened by the unexpected entrance of his sister Charlotte herself. She was dressed with her usual extreme neatness, bordering upon gentility, and she carried upon her arm a small fancy reticule, which contained some fresh eggs, and a few russet apples, brought up expressly from the country. Oliver welcomed her with more than ordinary pleasure, and led her at once into his room behind. Charlotte's quick eyes detected in an instant the traces of a child's dwelling there; and before Oliver could utter a word, she picked up a little frock, and was holding it out at arm's length, with an air of utter surprise and misgiving.",old stoop desk counter bring dim eye close letter write shop door darken unexpected entrance sister dress usual extreme neatness border gentility carry arm small fancy reticule contain fresh egg few russet apple bring country welcome more ordinary pleasure lead room quick eye detect instant trace child dwelling utter word pick little frock hold arm length air utter surprise misgiving 
3,"""Brother James!"" she exclaimed, and her questioning voice, with its tone of amazement, rang very clearly into his ears.",brother exclaim question voice tone amazement ring ear 
4,"""It's my little Dolly's,"" he answered, in haste; ""poor Susan's little girl, who's gone out with her husband, young Raleigh, to India, because he's 'listed, and left her little girl with me, her grandfather. She came on the very last day you were here.""",little answer haste poor little girl go husband young list leave little girl grandfather come very last day 
5,"""Well, to be sure!"" cried his sister, sinking down on a chair, but still keeping the torn little frock in her hand.",sure cry sister sink chair keep tear little frock hand 
6,"""I've had two letters from poor Susan,"" he continued, in a tremulous voice, ""and I'll read them to you. The child's such a precious treasure to me, Charlotte--such a little love, a hundred times better than any gold; and now you're come to mend up her clothes a bit, and see what she wants for me, there's nothing else that I desire. I was writing about her to you when you came in.""",have letter poor continue tremulous voice read child precious treasure little love time good gold come mend clothes bit see want be else desire write come 
7,"""I thought you'd gone and picked up a lost child out of the streets,"" said Charlotte, with a sigh of relief.",think go pick lose child street say sigh relief 
8,"""No, no; she's my own,"" he answered. ""You hearken while I read poor Susan's letters, and then you'll understand all about it. I couldn't give her up for a hundred gold guineas--not for a deal more than that.""",own answer hearken read poor letter understand give gold guinea deal more 
9,"He knew Susan's letters off by heart, and did not need his spectacles, nor a good light to read them by. Charlotte listened with emphatic nods, and many exclamations of astonishment.",know letter heart need spectacle good light read listen emphatic nod many exclamation astonishment 
10,"""That's very pretty of Susan,"" she remarked, ""saying as Aunt Charlotte'll do her sewing, and see to her manners. Ay, that I will! for who should know manners better than me, who used to work for the Staniers, and dine at the housekeeper's table, with the butler and all the head servants? to be sure I'll take care that she does not grow up ungenteel. Where is the dear child, brother James?""",pretty remark say do sewing see manners know manners good use work dine housekeeper table butler head servant sure take care grow ungenteel dear child brother 
