id,paragraph,tokens
1,The Tale Of Benjamin Bunny Beatrix Potter,
2,    FOR THE CHILDREN OF SAWREY,children 
3,    FROM     OLD MR. BUNNY,old 
4,BOOK 1.,
5, One morning a little rabbit sat on a bank.,morning little rabbit sit bank 
6,"He pricked his ears and listened to the trit-trot, trit-trot of a pony.",prick ear listen trit trot trit trot pony 
7,"A gig was coming along the road; it was driven by Mr. McGregor, and beside him sat Mrs. McGregor in her best bonnet.",gig come road drive sit good bonnet 
8,"As soon as they had passed, little Benjamin Bunny slid down into the road, and set off--with a hop, skip, and a jump--to call upon his relations, who lived in the wood at the back of Mr. McGregor's garden.",pass little slide road set hop skip jump call relation live wood back garden 
9,,
10,"That wood was full of rabbit holes; and in the neatest, sandiest hole of all lived Benjamin's aunt and his cousins--Flopsy, Mopsy, Cotton-tail, and Peter.",wood full rabbit hole neatest sandiest hole live aunt cousin tail 
11,"Old Mrs. Rabbit was a widow; she earned her living by knitting rabbit-wool mittens and muffatees (I once bought a pair at a bazaar). She also sold herbs, and rosemary tea, and rabbit-tobacco (which is what we call lavender).",old widow earn living knitting rabbit wool mitten muffatee buy pair bazaar sell herb rosemary tea rabbit tobacco call lavender 
12,Little Benjamin did not very much want to see his Aunt.,little want see aunt 
13,"He came round the back of the fir-tree, and nearly tumbled upon the top of his Cousin Peter.",come back fir tree tumble top cousin 
14,,
15,"Peter was sitting by himself. He looked poorly, and was dressed in a red cotton pocket-handkerchief.",sit look dress red cotton pocket handkerchief 
16,"""Peter,"" said little Benjamin, in a whisper, ""who has got your clothes?""",say little whisper get clothes 
17,"Peter replied, ""The scarecrow in Mr. McGregor's garden,"" and described how he had been chased about the garden, and had dropped his shoes and coat.",reply scarecrow garden describe chase garden drop shoe coat 
18,"Little Benjamin sat down beside his cousin and assured him that Mr. McGregor had gone out in a gig, and Mrs. McGregor also; and certainly for the day, because she was wearing her best bonnet.",little sit cousin assure go gig day wear good bonnet 
19,,
20,Peter said he hoped that it would rain.,say hope rain 
21,"At this point old Mrs. Rabbit's voice was heard inside the rabbit hole, calling: ""Cotton-tail! Cotton-tail! fetch some more camomile!""",point old voice hear rabbit hole call cotton tail cotton tail fetch more camomile 
22,Peter said he thought he might feel better if he went for a walk.,say think feel good go walk 
23,"They went away hand in hand, and got upon the flat top of the wall at the bottom of the wood. From here they looked down into Mr. McGregor's garden. Peter's coat and shoes were plainly to be seen upon the scarecrow, topped with an old tam-o'-shanter of Mr. McGregor's.",go hand hand get flat top wall bottom wood look garden coat shoe see scarecrow top old tam o' shanter 
24,,
25,"Little Benjamin said: ""It spoils people's clothes to squeeze under a gate; the proper way to get in is to climb down a pear-tree.""",little say spoil person clothes squeeze gate proper way get climb pear tree 
26,"Peter fell down head first; but it was of no consequence, as the bed below was newly raked and quite soft.",fall head consequence bed rake soft 
27,It had been sown with lettuces.,sow lettuce 
28,"They left a great many odd little footmarks all over the bed, especially little Benjamin, who was wearing clogs.",leave great many odd little footmark bed little wear clog 
29,,
30,"Little Benjamin said that the first thing to be done was to get back Peter's clothes, in order that they might be able to use the pocket-handkerchief.",little say first thing do get clothes order able use pocket handkerchief 
31,"They took them off the scarecrow. There had been rain during the night; there was water in the shoes, and the coat was somewhat shrunk.",take scarecrow be rain night be water shoe coat shrink 
32,"Benjamin tried on the tam-o'-shanter, but it was too big for him.",try tam o' shanter big 
33,"Then he suggested that they should fill the pocket-handkerchief with onions, as a little present for his Aunt.",suggest fill pocket handkerchief onion little present aunt 
34,Peter did not seem to be enjoying himself; he kept hearing noises.,seem enjoy keep hear noise 
35,,
