id,paragraph,tokens
1,CHAPTER IV.,
2," Mr. Campbell was a person of many amiable qualities. He was a religious, good man, very fond of his wife, to whose opinions he yielded in preference to his own, and very partial to his children, to whom he was inclined to be over indulgent. He was not a person of much energy of character, but he was sensible and well-informed. His goodness of heart rendered him liable to be imposed upon, for he never suspected any deceit, notwithstanding that he was continually deceived. His character was therefore that of a simple, good, honest man.",person many amiable quality religious good man fond wife opinion yield preference own partial child inclined indulgent person much energy character sensible inform goodness heart render liable impose suspect deceit deceive character simple good honest man 
3,"Mrs. Campbell was well matched with him as a wife, as she had all that energy and decision of character which was sometimes wanting in her husband. Still there was nothing masculine in her manners and appearance; on the contrary, she was delicate in her form, and very soft in her manners. She had great firmness and self-possession, and had brought up all her children admirably. Obedience to their parents was the principle instilled into them after their duty to God; for she knew too well that a disobedient child can never prosper. If ever there was a woman fitted to meet the difficulty and danger which threatened them, it was Mrs. Campbell, for she had courage and presence of mind, joined to activity and cleverness.",match wife have energy decision character want husband be masculine manners appearance contrary delicate form soft manners have great firmness self possession bring child obedience parent principle instill duty know disobedient child prosper be woman fit meet difficulty danger threaten have courage presence mind join activity cleverness 
4,"Henry, the eldest son, was now nearly twenty years of age. He possessed much of the character of his father, was without vice, but rather inclined to inaction than otherwise. Much was to be ascribed to his education and college life, and more to his natural disposition.",old son year age possess much character father vice inclined inaction much ascribe education college life more natural disposition 
5,"Alfred, the sailor, was, on the contrary, full of energy and active in every thing, patient and laborious, if required, and never taking any thing in hand without finishing it, if possible. He was rough, but not rude, both in his speech and his manners, very kind-hearted, at the same time very confident in himself and afraid of nothing.",sailor contrary full energy active thing patient laborious require take thing hand finish possible rough rude speech manners kind hearted same time confident afraid 
6,"Mary Percival was a very amiable, reflective girl, quiet without being sad, not often indulging in conversation, except when alone with her sister Emma. She was devotedly attached to her uncle and aunt, and was capable of more than she had any idea of herself, for she was of a modest disposition, and thought humbly of herself. Her disposition was sweet, and was portrayed in her countenance. She was now seventeen years old, and very much admired.",amiable reflective girl quiet sad indulg conversation alone sister attach uncle aunt capable more have idea modest disposition think disposition sweet portray countenance year old admire 
7,"Her sister Emma, who was but fifteen, was of a very different disposition, naturally gay, and inclined to find amusement in every thing--cheerful as the lark, and singing from morning to night. Her disposition, owing to Mrs. Campbell's care and attention, was equally amiable as her sister's, and her high spirits seldom betrayed her into indiscretion. She was the life of the family when Alfred was away: he only was her equal in high spirits.",sister different disposition gay inclined find amusement thing cheerful lark sing morning night disposition ow care attention amiable sister high spirit betray indiscretion life family equal high spirit 
8,"Percival, the third boy, was now twelve years old; he was a quiet, clever lad, very obedient and very attentive to what was told him, very fond of obtaining information, being naturally very inquisitive.",third boy year old quiet clever lad obedient attentive tell fond obtain information inquisitive 
9,"John, the fourth boy, was ten years old--a sturdy, John Bull sort of a boy, not very fond of learning, but a well-disposed boy in most things. He preferred any thing to his book; at the same time, he was obedient, and tried to keep up his attention as well as he could, which was all that could be expected from a boy of his age. He was very slow in every thing, very quiet, and seldom spoke unless first spoken to. He was not silly, although many people would have thought him so, but he certainly was a very strange boy, and it was difficult to say what he would turn out.",fourth boy year old sturdy sort boy fond learning dispose boy most thing prefer thing book same time obedient try keep attention expect boy age slow thing quiet speak speak silly many person think strange boy difficult say turn 
10,"I have now described the family as they appeared at the time that they embarked on board of the London Merchant; and have only to add, that on the third day after their embarkation, they made sail with a fair wind, and ran down the Irish Channel.",describe family appear time embark board have add third day embarkation make sail fair wind run irish 
