id,paragraph,tokens
1,CHAPTER III. COMING EVENTS.,coming events 
2, The shadow of coming changes began to fall over us very soon after that.,shadow come change begin fall 
3,"Indeed, the very next morning at breakfast I noticed that mamma looked pale and almost as if she had been crying, and father was, so to say, ""extra"" kind to her and to me. He talked and laughed more than usual, partly perhaps to prevent our noticing how silent dear mamma was, but mostly I think because that is the way men do when they are really anxious or troubled.",next morning breakfast notice mamma look pale cry father say extra kind talk laugh more usual prevent notice silent dear mamma think way man do anxious troubled 
4,I don't fancy Haddie thought there was anything wrong--he was in a hurry to get off to school.,fancy think be wrong hurry get school 
5,"After breakfast mamma told me to go and practise for half an hour, and if she did not come to me then, I had better go on doing some of my lessons alone. She would look them over afterwards. And as I was going out of the room she called me back and kissed me again--almost as she had done the night before.",breakfast mamma tell go practise hour come go do lesson look go room call kiss do night 
6,"That gave me courage to say something. For children were not, in my childish days, on such free and easy terms with their elders as they are now. And kind and gentle as mamma was, we knew very distinctly the sort of things she would think forward or presuming on our part.",give courage say child childish day such free easy term elder kind gentle mamma know sort thing think presume part 
7,"""Mamma,"" I said, still hesitating a little.",say hesitate little 
8,"""Well, dear,"" she replied. She was buttoning, or pretending to button, the band of the little brown holland apron I wore, so that I could not see her face, but something in the tone of her voice told me that my instinct was not mistaken.",dear reply button pretend button band little brown apron wear see face tone voice tell instinct mistaken 
9,"""Mamma,"" I repeated, ""may I say something? I have a feeling that--that you are--that there is something the matter.""",repeat say have feeling be matter 
10,"Mamma did not answer at once. Then she said very gently, but quite kindly,",answer say 
11,"""Geraldine, my dear, you know that I tell you as much as I think it right to tell any one as young as you--I tell you more, of our plans and private matters and such things, than most mothers tell their little daughters. This has come about partly through your being so much alone with me. But when I _don't_ tell you anything, even though you may suspect there is something to tell, you should trust me that there is good reason for my not doing so.""",dear know tell much think right tell one young tell more plan private matter such thing most mother tell little daughter come alone tell suspect be tell trust be good reason do 
12,"""Yes,"" I said, but I could not stifle a little sigh. ""Would you just tell me one thing, mamma,"" I went on; ""it isn't anything that you're really unhappy about, is it?""",say stifle little sigh tell thing mamma go unhappy 
13,Again mamma hesitated.,mamma hesitate 
14,"""Dear child,"" she said, ""try to put it out of your mind. I can only say this much to you, I am _anxious_ more than troubled. There is nothing the matter that should really be called a trouble. But your father and I have a question of great importance to decide just now, and we are very--I may say really _terribly_--anxious to decide for the best. That is all I can tell you. Kiss me, my darling, and try to be your own bright little self. That will be a comfort and help to me.""",dear child say try put mind say much more troubled be matter call trouble father have question great importance decide say anxious decide good tell kiss darling try own bright little self comfort help 
15,"I kissed her and I promised I would try to do as she wished. But it was with rather a heavy heart that I went to my practising. What _could_ it be? I did try not to think of it, but it would keep coming back into my mind. And I was only a child. I had no experience of trouble or anxiety. After a time my spirits began to rise again--there was a sort of excitement in the wondering what this great matter could be. I am afraid I did not succeed in putting it out of my mind as mamma wished me to do.",kiss promise try do wish heavy heart go practising try think keep come mind child have experience trouble anxiety time spirit begin rise be sort excitement wonder great matter afraid succeed put mind mamma wish do 
