id,paragraph,tokens
1,CHAPTER 28. The Defeat Of Lally.,defeat 
2," A large quantity of plunder was obtained at Masulipatam. Half was at once divided among the troops, according to promise, and the other half retained until the permission, applied for by Colonel Forde, was received from Madras for its division among them.",large quantity plunder obtain half divide troops accord promise other half retain permission apply receive division 
3,"The morning after the capture of the town, the Mahratta horse of Salabut Jung appeared. The nizam was furious when he found that he had arrived too late; but he resolved that when the three hundred French troops, daily expected by sea, arrived, he would besiege Forde in his turn; as, with the new arrivals, Du Rocher's force would alone be superior to that of Forde, and there would be, in addition, his own army of forty thousand men.",morning capture town horse appear furious find arrive late resolve french troops expect sea arrive besiege turn new arrival force superior be addition own army man 
4,"The ships arrived off the port three days later, and sent a messenger on shore to Conflans. Finding that no answer was returned, and that the fire had entirely ceased, they came to the conclusion that the place was captured by the English, and sailed away to Pondicherry again. Had Du Rocher taken the precaution of having boats in readiness to communicate with them, inform them of the real state of affairs, and order them to land farther along the coast and join him, Forde would have been besieged in his turn, although certainly the siege would have been ineffectual.",ship arrive port day send messenger shore find answer return fire cease come conclusion place capture sail take precaution have boat readiness communicate inform real state affair order land coast join besiege turn siege ineffectual 
5,"Rajah Anandraz, greatly terrified at the approach of the nizam, had, two days after the capture of the place, received a portion of the plunder as his share, and marched away to his own country; Forde, disgusted with his conduct throughout the campaign, making no effort whatever to retain him.",terrify approach day capture place receive portion plunder share march own country disgust conduct campaign make effort retain 
6,"When Salabut Jung heard that the French had sailed away to Pondicherry, he felt that his prospects of retaking the town were small; and, at the same time receiving news that his own dominions were threatened by an enemy, he concluded a treaty with Forde, granting Masulipatam and the Northern Sirkars to the English, and agreeing never again to allow any French troops to enter his dominions. He then marched back to his own country.",hear sail feel prospect retake town small same time receive news own dominion threaten enemy conclude treaty grant northern agree allow french troops enter dominion march own country 
7,"Colonel Forde sailed with a portion of the force to Calcutta, where he shortly afterwards commanded at the battle of Chinsurah, where the Dutch, who had made vast preparations to dispute the supremacy of the English, were completely defeated; and thenceforth they, as well as the French, sunk to the rank of small trading colonies under British protection, in Bengal.",sail portion force command battle make vast preparation dispute supremacy defeat thenceforth sink rank small trading colony british protection 
8,"Charlie returned to Madras, and journeying up the country he joined the main body of his troop, under Peters. They had been engaged in several dashing expeditions, and had rendered great service; but they had been reduced in numbers, by action and sickness; and the whole force, when reunited, only numbered eighty sabres--Lieutenant Hallowes being killed. Peters had been twice wounded. The two friends were greatly pleased to meet again, and had much to tell each other of their adventures, since they parted.",return journey country join main body troop engage several dash expedition render great service reduce number action sickness whole force reunite number sabre kill wound friend pleased meet have much tell other adventure part 
9,"The next morning, a deputation of four of the men waited upon Charlie. They said that, from their share of the booty of the various places they had taken, all were now possessed of sums sufficient, in India, to enable them to live in comfort for the rest of their lives. They hoped, therefore, that Charlie would ask the authorities at Madras to disband the corps, and allow them to return home. Their commander, however, pointed out to them that the position was still a critical one; that the French possessed a very powerful army at Pondicherry, which would shortly take the field; and that the English would need every one of their soldiers, to meet the storm. If victorious, there could be no doubt that a final blow would be dealt to French influence, and that the Company would then be able to reduce its forces. A few months would settle the event, and it would, he knew, be useless to apply for their discharge before that time. He thought he could promise them, however, that by the end of the year, at latest, their services would be dispensed with.",next morning deputation man wait say share booty various place take possess sum sufficient enable live comfort rest life hope ask authority disband corps allow return commander point position critical one possess powerful army take field need one soldier meet storm victorious be doubt final blow deal french influence company able reduce force few month settle event know useless apply discharge time think promise end year late service dispens 
10,"The men, although rather disappointed, retired, content to make the best of the circumstances. Desertions were very frequent in the Sepoy force of the Company, as the men, returning to their native villages and resuming their former dress and occupation, were in no danger whatever of discovery. But in Charlie's force not a single desertion had taken place since it was raised; as the men knew that, by leaving the colours, they would forfeit their share of the prize money, held for them in the Madras treasury.",man disappointed retire content make good circumstance desertion frequent force man return native village resume former dress occupation danger discovery force single desertion take place raise man know leave colour forfeit share prize money hold treasury 
11,"""Have you heard from home lately?"" Peters asked.",hear home ask 
12,"""Yes,"" Charlie said. ""There was a large batch of letters lying for me, at Madras. My eldest sister, who has now been married three years, has just presented me with a second nephew. Katie and my mother are well.""",say be large batch letter lie old sister marry year present second nephew mother well 
13,"""Your sister is not engaged yet?"" Peters asked.",sister engage ask 
14,"""No. Katie says she's quite heart whole at present. Let me see--how old is she now? It is just eight years and a half since we left England, and she was twelve years old then. She is now past twenty.",say heart whole present let see old year half leave year old 
15,"""She would do nicely for you, Peters, when you go back. It would be awfully jolly, if you two were to fall in love with each other.""",do go jolly fall love other 
16,"""I feel quite disposed to do so,"" Peters said, laughing, ""from your descriptions of her. I've heard so much of her, in all the time we've been together; and she writes such bright merry letters, that I seem to know her quite well.""",feel dispose do say laugh description hear much time write such bright merry letter seem know 
17,"For Charlie, during the long evenings by the campfires, had often read to his friend the lively letters which he received from his sisters. Peters had no sisters of his own; and he had more than once sent home presents, from the many articles of jewelry which fell to his share of the loot of captured fortresses, to his friend's sisters, saying to Charlie that he had no one in England to send things to, and that it kept up his tie with the old country; for he had been left an orphan, as a child.",long evening campfire read friend lively letter receive sister have sister own have more send home present many article jewelry fall share loot capture fortress friend sister say have send thing keep tie old country leave orphan child 
18,"The day after the deputation from his men had spoken to Charlie, Tim said:",day deputation man speak say 
19,"""I hope, yer honor, that whin the troop's disbanded, you will be going home for a bit, yourself.""",hope honor troop disband go bit 
20,"""I intend to do so, Tim. I have been wanting to get away, for the last two years, but I did not like to ask for leave until everything was settled here. And what is more, when I once get back, I don't think they will ever see me in India again. I have sufficient means to live as a wealthy man in England, and I've seen enough fighting to last a lifetime.""",intend do want get last year like ask leave settle more get think see have sufficient means live wealthy man see enough fighting last lifetime 
21,"""Hooroo!"" shouted Tim. ""That's the best word I've heard for a long time. And I shall settle down as yer honor's butler, and look after the grand house, and see that you're comfortable.""",shout good word hear long time settle honor butler look grand house see comfortable 
22,"""You must never leave me, Tim, that's certain,"" Charlie said. ""At least, till you marry and set up an establishment of your own.""",leave certain say least marry set establishment own 
23,"""If I can't marry without leaving yer honor, divil a wife will Tim Kelly ever take.""",marry leave honor divil wife take 
24,"""Wait till you see the right woman, Tim. There is no saying what the strongest of us will do, when he's once caught in a woman's net. However, we'll talk of that when the time comes.""",wait see right woman be say strong do catch woman net talk time come 
25,"""And there's Hossein, yer honor. Fire and water wouldn't keep him away from you, though what he'll do in the colds of the winter at home is more than I know. It makes me laugh to see how his teeth chatter, and how the creetur shivers of a cold morning, here. But, cold or no cold, he'd follow you to the north pole, and climb up it if yer honor told him.""",be honor fire water keep do cold winter home more know make laugh see tooth chatter creetur shiver cold morning cold cold follow north pole climb honor tell 
26,Charlie laughed.,laugh 
27,"""He is safe not to be put to the test there, Tim. However, you may be sure that if Hossein is willing to go to England with me, he shall go. He has saved my life more than once; and you and he shall never part from me, so long as you are disposed to stay by my side.""",safe put test sure willing go go save life more part dispose stay side 
28,"For some months, no great undertaking was attempted on either side. Many petty sieges and skirmishes took place, each party preparing for the great struggle, which was to decide the fate of Southern India.",month great undertaking attempt side many petty siege skirmishe take place party prepare great struggle decide fate southern 
29,"At last, in January, 1760, the rival armies approached each other. Captain Sherlock, with thirty Europeans and three hundred Sepoys, were besieged by the French in the fort of Vandivash, which had shortly before been captured by them from the French.",last rival army approach other besiege fort capture 
30,"Lally was himself commanding the siege, having as his second in command Monsieur Bussy, of whom, however, he was more jealous than ever. Lally's own incapacity was so marked that the whole army, and even Lally's own regiment, recognized the superior talents of Bussy. But although Lally constantly asked the advice of his subordinate, his jealousy of that officer generally impelled him to neglect it.",commanding siege have second command jealous own incapacity mark whole army own regiment recognize superior talent ask advice subordinate jealousy officer impell neglect 
31,"When the English, under Colonel Coote, who now commanded their forces in Madras, were known to be advancing against him, Bussy strongly advised that the siege should be abandoned, and a strong position taken up for the battle. The advice was unquestionably good, but Lally neglected it, and remained in front of Vandivash until the English were seen approaching. The French cavalry, among whom were three hundred European dragoons, and a cloud of Mahratta horse moved forward against the English, whose troops were scattered on the line of march.",command force know advance advise siege abandon strong position take battle advice good neglect remain front see approach french cavalry european dragoon cloud horse move troops scatter line march 
32,"Colonel Coote brought up two guns, and these, being kept concealed from the enemy until they came within two hundred yards, opened suddenly upon them, while the Sepoys fired heavily with their muskets. The Mahrattas rapidly turned and rode off, and the French cavalry, finding themselves alone, retired in good order.",bring gun keep conceal enemy come yard open fire musket turn ride french cavalry find alone retire good order 
33,"Colonel Coote now drew up his army in order of battle, and marched his troops so as to take up a position in front of some gardens, and other inclosures, which extended for some distance from the foot of the mountains out on to the plain. These inclosures would serve as a defence, in case the army should be forced to retire from the open.",draw army order battle march troops take position front garden other inclosure extend distance foot mountain plain inclosure serve defence case army force retire open 
34,"The French remained immovable in their camp. Seeing this, Colonel Coote marched his troops to the right, the infantry taking up their post in the stony ground at the foot of the mountain, at a mile and a half from the French camp. Some of the French cavalry came out to reconnoitre; but, being fired upon, returned.",remain immovable camp see march troops right infantry take post stony ground foot mountain mile half french camp french cavalry come reconnoitre fire return 
