id,paragraph,tokens
1,CHAPTER XXVI.,
2, Mischief brewing--My blood is made to run cold--Evil consultations and wicked resolves--Bloody Bill attempts to do good and fails--The attack--Wholesale murder--The flight--The escape.,mischief brewing blood make run cold evil consultation wicked resolve bloody attempt do good fail attack wholesale murder flight escape 
3,"Next morning I awoke with a feverish brow and a feeling of deep depression at my heart; and the more I thought on my unhappy fate, the more wretched and miserable did I feel.",next morning awoke feverish brow feeling deep depression heart more think unhappy fate wretched miserable feel 
4,"I was surrounded on all sides by human beings of the most dreadful character, to whom the shedding of blood was mere pastime.  On shore were the natives, whose practices were so horrible that I could not think of them without shuddering.  On board were none but pirates of the blackest dye, who, although not cannibals, were foul murderers, and more blameworthy even than the savages, inasmuch as they knew better.  Even Bill, with whom I had, under the strange circumstances of my lot, formed a kind of intimacy, was so fierce in his nature as to have acquired the title of ""Bloody"" from his vile companions.  I felt very much cast down the more I considered the subject and the impossibility of delivery, as it seemed to me, at least for a long time to come.  At last, in my feeling of utter helplessness, I prayed fervently to the Almighty that he would deliver me out of my miserable condition; and when I had done so I felt some degree of comfort.",surround side human being dreadful character shedding blood mere pastime shore native practice horrible think shudder board pirate blackest dye cannibal foul murderer blameworthy savage know good have strange circumstance lot form kind intimacy fierce nature acquire title bloody vile companion feel cast more consider subject impossibility delivery seem least long time come last feeling utter helplessness pray deliver miserable condition do feel degree comfort 
5,"When the captain came on deck, before the hour at which the men usually started for the woods, I begged of him to permit me to remain aboard that day, as I did not feel well; but he looked at me angrily, and ordered me, in a surly tone, to get ready to go on shore as usual.  The fact was that the captain had been out of humour for some time past.  Romata and he had had some differences, and high words had passed between them, during which the chief had threatened to send a fleet of his war-canoes, with a thousand men, to break up and burn the schooner; whereupon the captain smiled sarcastically, and going up to the chief gazed sternly in his face, while he said, ""I have only to raise my little finger just now, and my big gun will blow your whole village to atoms in five minutes!"" Although the chief was a bold man, he quailed before the pirate's glance and threat, and made no reply; but a bad feeling had been raised and old sores had been opened.",captain come deck hour man start wood begg permit remain day feel look order surly tone get ready go shore usual fact captain humour time past have difference high word pass chief threaten send fleet war canoe man break burn schooner captain smile go chief gaze face say have raise little finger big gun blow whole village atom minute chief bold man quail pirate glance threat make reply bad feeling raise old sore open 
6,"I had, therefore, to go with the wood-cutters that day.  Before starting, however, the captain called me into the cabin, and said,--",go wood cutter day start captain call cabin say 
7,"""Here, Ralph, I've got a mission for you, lad.  That blackguard Romata is in the dumps, and nothing will mollify him but a gift; so do you go up to his house and give him these whales' teeth, with my compliments.  Take with you one of the men who can speak the language.""",get mission lad blackguard dump mollify gift go house give whale tooth compliment take man speak language 
8,"I looked at the gift in some surprise, for it consisted of six white whales' teeth, and two of the same dyed bright red, which seemed to me very paltry things.  However, I did not dare to hesitate or ask any questions; so, gathering them up, I left the cabin and was soon on my way to the chief's house, accompanied by Bill.  On expressing my surprise at the gift, he said,--",look gift surprise consist white whale tooth same dyed bright red seem paltry thing dare hesitate ask question gather leave cabin way chief house accompany express surprise gift say 
9,"""They're paltry enough to you or me, Ralph, but they're considered of great value by them chaps.  They're a sort o' cash among them.  The red ones are the most prized, one of them bein' equal to twenty o' the white ones.  I suppose the only reason for their bein' valuable is that there ain't many of them, and they're hard to be got.""",paltry consider great value chap sort cash red one prize equal white one suppose only reason bein' valuable be many hard get 
10,"On arriving at the house we found Romata sitting on a mat, in the midst of a number of large bales of native cloth and other articles, which had been brought to him as presents from time to time by inferior chiefs.  He received us rather haughtily, but on Bill explaining the nature of our errand he became very condescending, and his eyes glistened with satisfaction when he received the whales' teeth, although he laid them aside with an assumption of kingly indifference.",arrive house find sit mat midst number large bale native cloth other article bring present time time inferior chief receive explain nature errand become condescending eye glisten satisfaction receive whale tooth lay assumption kingly indifference 
11,"""Go,"" said he, with a wave of the hand,--""go, tell your captain that he may cut wood to-day, but not to-morrow.  He must come ashore,--I want to have a palaver with him.""",go say wave hand go tell captain cut wood day come want have palaver 
12,"As we left the house to return to the woods, Bill shook his head:",leave house return wood shake head 
13,"""There's mischief brewin' in that black rascal's head.  I know him of old.  But what comes here?""",be mischief brewin black rascal head know old come 
