id,paragraph,tokens
1,CHAPTER 2. WHY MR TOOKE CAME.,chapter come 
2,"After tea the young people had to learn their lessons for the next day. They always tried to get these done, and the books put away, before Mr Proctor came in on his shop being shut, and the business of the day being finished.  He liked to find his children at liberty for a little play, or half an hour of pleasant reading; or, in the winter evenings, for a dance to the music of his violin.  Little Harry had been known to be kept up far too late, that he might hear the violin, and that his papa might enjoy the fun of seeing him run about among the rest, putting them all out, and fancying he was dancing.  All believed there would be time for play with papa to-night, tea had been so much earlier than usual.  But Agnes soon feared there would be no play for Hugh.  Though Jane pored over her German, twisting her forefinger in the particular curl which she always twisted when she was deep in her lessons; though Agnes rocked herself on her chair, as she always did when she was learning by heart; and though Mrs Proctor kept Harry quiet at the other end of the room with telling him long stories, in a very low voice, about the elephant and Brighton pier, in the picture-book, Hugh could not learn his capital cities.  He even spoke out twice, and stopped himself when he saw all the heads in the room raised in surprise.  Then he set himself to work again, and he said ""Copenhagen"" so often over that he was not likely to forget the word; but what country it belonged to he could not fix in his mind, though Agnes wrote it down large on the slate, in hopes that the sight of the letters would help him to remember.  Before he had got on to ""Constantinople,"" the well-known sound was heard of the shop-boy taking the shop-shutters out of their day-place, and Mr Proctor would certainly be coming presently.  Jane closed her dictionary, and shook back her curls from over her eyes; Mrs Proctor put down Harry from her lap, and let him call for papa as loud as he would; and papa came bustling in, and gave Harry a long toss, and several topplings over his shoulder, and yet Hugh was not ready.",tea young person have learn lesson next day try get do book put come shop shut business day finish like find child liberty little play hour pleasant reading winter evening dance music violin little know keep late hear violin papa enjoy fun see run rest put fancy dance believe be time play papa night tea early usual fear be play pore twist forefinger particular curl twist deep lesson rock chair do learn heart keep quiet other end room tell long story low voice elephant pier picture book learn capital city speak stop see head room raise surprise set work say likely forget word country belong fix mind write large slate hope sight letter help remember get know sound hear shop boy take shop shutter day place come close dictionary shake curl eye put lap let call papa loud come bustle give long toss several toppling shoulder ready 
3,"""Come, children,"" said Mr Proctor to Agnes and Hugh, ""we have all done enough for to-day.  Away with books and slates!""",come child say do day book slate 
4,"""But, papa,"" said Agnes, ""Hugh has not quite done.  If he might have just five minutes more, Miss Harold--""",say do have minute more 
5,"""Never mind what Miss Harold says!  That is, you girls must; but between this and Michaelmas--""",mind say girl 
6,"He stopped short, and the girls saw that it was a sign from their mother that made him do so.  He immediately proceeded to make so much noise with Harry, that Hugh discovered nothing more than that he might put away his books, and not mind Miss Harold this time.  If she asked him to-morrow why he had not got down to ""Constantinople,"" he could tell her exactly what his father had said.  So merry was Hugh's play this evening.  He stood so perfectly upright on his father's shoulders, that he could reach the top of his grandmamma's picture, and show by his finger-ends how thick the dust lay upon the frame: and neither he nor his father minded being told that he was far too old for such play.",stop short girl see sign mother make do proceed make much noise discover more put book mind time ask get tell father say play evening stand upright father shoulder reach top grandmamma picture show finger end thick dust lay frame father minded tell old such play 
7,"In the midst of the fun, Hugh had a misgiving, more than once, of his mother having something severe to say to him when she should come up to his room, to hear him say his prayer, and to look back a little with him upon the events of the day.  Besides his consciousness that he had done nothing well this day, there were grave looks from his mother which made him think that she was not pleased with him.  When he was undressing, therefore, he listened with some anxiety for her footsteps, and, when she appeared, he was ready with his confession of idleness.  She stopped him in the beginning, saying that she had rather not hear any more such confessions.  She had listened to too many, and had allowed him to spend in confessions some of the strength which should have been applied to mending his faults.  For the present, while she was preparing a way to help him to conquer his inattention, she advised him to say nothing to her, or to any one else, on the subject; but this need not prevent him from praying to God to give him strength to overcome his great fault.",midst fun have misgiving more mother have severe say come room hear say prayer look little event day consciousness do day be grave look mother make think pleased undress listen anxiety footstep appear ready confession idleness stop beginning say hear more such confession listen many allow spend confession strength apply mend fault present prepare way help conquer inattention advise say one else subject prevent pray give strength overcome great fault 
8,"""Oh, mother!  Mother!"" cried Hugh, in an agony, ""you give me up!  What shall I do if you will not help me any more?""",mother mother cry agony give do help more 
9,"His mother smiled, and told him he need not fear any such thing.  It would be very cruel to leave off providing him with food and clothes, because it gave trouble to do so; and it would be far more cruel to abandon him to his faults, for such a reason.  She would never cease to help him till they were cured: but, as all means yet tried had failed, she must plan some others; and meantime she did not wish him to become hardened to his faults, by talking about them every night, when there was no amendment during the day.",mother smile tell fear such thing cruel leave provide food clothes give trouble do cruel abandon fault reason cease help cure means try fail plan other meantime wish become harden fault talk night be amendment day 
10,"Though she spoke very kindly, and kissed him before she went away, Hugh felt that he was punished.  He felt more unhappy than if his mother had told him all she thought of his idleness.  Though his mother had told him to go to sleep, and blessed him, he could not help crying a little, and wishing that he was a Crofton boy.  He supposed the Crofton boys all got their lessons done somehow, as a matter of course; and then they could go to sleep without any uncomfortable feelings or any tears.",speak kiss go feel punish feel unhappy mother tell think idleness mother tell go sleep bless help cry little wish boy suppose boy get lesson do matter course go sleep uncomfortable feeling tear 
11,"In the morning all these thoughts were gone.  He had something else to think about; for he had to play with Harry, and take care of him, while Susan swept and dusted the parlour: and Harry was bent upon going into the shop--a place where, according to the rule of the house, no child of the family was ever to set foot till it was old enough to be trusted; nor to taste anything there, asked or unasked.  There were some poisonous things in the shop, and some few nice syrups and gums; and no child could be safe and well there who could not let alone whatever might be left on the counter, or refuse any nice taste that a good-natured shopman might offer.  Harry was, as yet, far too young; but, as often as the cook washed the floor-cloth in the passage, so that the inner shop-door had to be opened, Master Harry was seized with an unconquerable desire to go and see the blue and red glass bowls which he was permitted to admire from the street, as he went out and came in from his walks.  Mr Proctor came down this morning as Hugh was catching Harry in the passage.  He snatched up his boys, packed one under each arm, and ran with them into the yard, where he rolled Harry up in a new mat, which the cook was going to lay at the house-door.",morning thought gone have else think have play take care sweep dust parlour bend go shop place accord rule house child family set foot old trust taste ask unasked be poisonous thing shop few nice syrup gum child safe let alone leave counter refuse nice taste good natured shopman offer young cook wash floor cloth passage inner shop door have open seize unconquerable desire go see blue red glass bowl permit admire street go come walk come morning catching passage snatch boy pack arm run yard roll new mat cook go lay house door 
12,"""There!"" said he.  ""Keep him fast, Hugh, till the passage-door is shut. What shall we do with the rogue when you are at Crofton, I wonder?""",say keep passage door shut do rogue wonder 
13,"""Why, papa!  He will be big enough to take care of himself by that time.""",papa big take care time 
14,"""Bless me!  I forgot again,"" exclaimed Mr Proctor, as he made haste away into the shop.",bless forget exclaim make haste shop 
