id,paragraph,tokens
1,CHAPTER 9. CROFTON QUIET.,quiet 
2,"The boys were all in the school-room in the grey of the morning;--no one late.  Mr Tooke was already there.  Almost every boy looked wistfully in the grave face of the master;--almost every one but his own son.  He looked down; and it seemed natural: for his eyes were swollen with crying.  He had been crying as much as Proctor: but, then, so had Dale.",boy school room grey morning late boy look grave face master one own son look seem natural eye swollen cry cry much have 
3,"""Your school-fellow is doing well,"" said Mr Tooke, in a low voice, which, however, was heard to the farthest end of the room.  ""His brother will tell you that he saw him quietly asleep; and I have just seen him so.  He deserves to do well; for he is a brave little boy.  He is the youngest of you; but I doubt whether there is a more manly heart among you all.""",school fellow do say low voice hear farthest end room brother tell see asleep see deserve do brave little boy young doubt be manly heart 
4,"There was a murmur, as if everybody wished to agree to this.  That murmur set Phil crying again.",be murmur wish agree murmur set cry 
5,"""As to how this accident happened,"" continued the master, ""I have only to say this.  The coping-stone of the wall was loose,--had become loosened by the frost.  Of that I am aware.  But it would not,--it could not have fallen, if your school-fellow had not been pulled from the top of the wall.  Several hands pulled him,--as many as could get a hold. Whose these hands were, it would be easy to ascertain; and it would not be difficult to discover whose was the hand which first laid hold, and gave the rest their grasp.  But--"" How earnestly here did every one look for the next words!--""But your school-fellow considers the affair an accident,--says he himself was cross.""",accident happen continue master have say coping stone wall loose become loosen frost aware fall school fellow pull top wall several hand pull many get hold hand easy ascertain difficult discover hand lay hold give rest grasp one look next word school fellow consider affair accident say cross 
6,"""No!  No!  We plagued him,"" cried many voices.",plague cry many voice 
7,"""Well!  He is sure no one meant him any harm, and earnestly desires that no further inquiry may be made.  For his part, nothing, he declares, shall ever induce him to tell who first seized him.""",sure mean harm desire further inquiry make part declare induce tell seize 
8,"The boys were about to give a loud cheer, but stopped, for Hugh's sake, just in time.  There was no want of signs of what they felt.  There was no noise; but there were many tears.",boy about give loud cheer stop sake time be want sign feel be noise be many tear 
9,"""I do not think that a promise of impunity can be any great comfort to those concerned,"" continued Mr Tooke: ""but such comfort as they can find in it, they may.  Both from my wish to indulge one who has just sustained so great a misfortune, and because I think he is right, I shall never inquire,--never wish to know more than I do of the origin of this accident.  His mother declares the same, on the part of both of his parents.  I hope you will every one feel yourselves put upon honour, to follow my example.""",think promise impunity great comfort concerned continue such comfort find wish indulge sustain great misfortune think right inquire wish know more do origin accident mother declare same part parent hope one feel put honour follow example 
10,"Another general murmur, in sign of agreement.",general murmur sign agreement 
11,"""The only thing you can now do for your school-fellow,"" concluded the master, ""is to be quiet throughout the day.  As soon as he can be removed, he will be carried to Mr Shaw's.  Till then, you will take care that he loses no rest through you,--Now, first class, come up.""",only thing do school fellow conclude master quiet day remove carry take care lose rest first class come 
12,"While this class was up, Phil's neighbour began whispering; and the next boy leaned over to hear; and one or two came softly up behind: but, though they were busily engaged in question and answer, the master's stern voice was not heard (as usual when there was talking) to say ""Silence there!""  His class saw him looking that way, once or twice; but he took no notice.  Phil had seen his brother, and was privileged to tell.",class neighbour begin whisper next boy learn hear come engage question answer master stern voice hear usual be talk say silence class see look way take notice see brother privileged tell 
13,"""So you saw him!  Did you get a real good sight of him?""",see get real good sight 
14,"""Yes.  I stayed some time; half-an-hour, I dare say.""",stay time half hour say 
15,"""What did he look like?  Did he say anything?""",look say 
16,"""Say anything!"" cried Dale: ""why, did you not hear he was asleep?""",say cry hear asleep 
17,"""What did he look like, then?""",look 
18,"""He looked as he always does when he is asleep, as far as I could see. But we did not bring the light too near, for fear of waking him.""",look do asleep see bring light fear wake 
19,"""Did you hear--did anybody tell you anything about it?""",hear tell 
20,"""Yes: my mother told me whatever I wanted to know.""",mother tell want know 
21,"""What?  What did she tell you?""",tell 
22,"""She says it will not be so very bad a lameness as it might have been-- as if he had not had his knee left.  That makes a great difference. They make a false foot now, very light; and if his leg gets quite properly well, and we are not too much in a hurry, and we all take pains to help Hugh to practise walking carefully at first, he may not be very lame.""",say bad lameness have knee leave make great difference make false foot light leg get much hurry take pain help practise walk lame 
23,"""Oh!  Then, it is not so bad,"" said one, while Tooke, who was listening, gave a deep sigh of relief.",bad say listen give deep sigh relief 
