id,paragraph,tokens
1,CHAPTER XXIII.,
2,,
3,"     Oh! the golden-hearted daisies,        Witnessed there before my youth,      To the truth of things, with praises        Of the beauty of the truth.--E. B. BROWNING.",golden hearted daisy witness youth truth thing praise beauty truth 
4," “Margaret, see here.”",see 
5,"The doctor threw into her lap a letter, which made her cheeks light up.",doctor throw lap letter make cheek light 
6,"Mr. Ernescliffe wrote that his father’s friend, Captain Gordon, having been appointed to the frigate Alcestis, had chosen him as one of his lieutenants, and offered a nomination as naval cadet for his brother. He had replied that the navy was not Hector’s destination, but, as Captain Gordon had no one else in view, had prevailed on him to pass on the proposal to Harry May.",write father friend appoint frigate choose lieutenant offer nomination naval cadet brother reply navy destination have else view prevail pass proposal 
7,"Alan wrote in high terms of his captain, declaring that he esteemed the having sailed with him as one of the greatest advantages he had ever received, and adding that, for his own part, Dr. May needed no promise from him to be assured that he would watch over Harry like his own brother. It was believed that the Alcestis was destined for the South American station.",write high term captain declare esteem sail great advantage receive add own part need promise assure watch own brother believe destine american station 
8,"“A three years’ business,” said Dr. May, with a sigh. “But the thing is done, and this is as good as we can hope.”",year business say sigh thing do good hope 
9,“Far better!” said Margaret. “What pleasure it must have given him! Dear Harry could not sail under more favourable circumstances.”,good say pleasure give dear sail favourable circumstance 
10,"“No, I would trust to Ernescliffe as I would to Richard. It is kindly done, and I will thank him at once. Where does he date from?”",trust do thank date 
11,“From Portsmouth. He does not say whether he has seen Harry.”,say see 
12,"“I suppose he waited for my answer. Suppose I enclose a note for him to give to Harry. There will be rapture enough, and it is a pity he should not have the benefit of it.”",suppose wait answer suppose enclose note give be rapture pity have benefit 
13,"The doctor sat down to write, while Margaret worked and mused, perhaps on outfits and new shirts--perhaps on Harry’s lion-locks, beneath a blue cap and gold band, or, perchance, on the coral shoals of the Pacific.",doctor sit write work muse outfit new shirt lion lock blue cap gold band perchance coral shoal 
14,"It was one of the quiet afternoons, when all the rest were out, and which the doctor and his daughter especially valued, when they were able to spend one together without interruption. Soon, however, a ring at the door brought an impatient exclamation from the doctor; but his smile beamed out at the words, “Miss Rivers.” They were great friends; in fact, on terms of some mutual sauciness, though Meta was, as yet, far less at home with his daughters, and came in, looking somewhat shy.",quiet afternoon rest doctor daughter value able spend interruption ring door bring impatient exclamation doctor smile beam word great friend fact term mutual sauciness less home daughter come look shy 
15,"“Ah, your congeners are gone out!” was the doctor’s reception. “You must put up with our sober selves.”",congener go doctor reception put sober selve 
16,“Is Flora gone far?” asked Meta.,go ask 
17,"“To Cocksmoor,” said Margaret. “I am very sorry she has missed you.”",say sorry miss 
18,"“Shall I be in your way?” said Meta timidly. “Papa has several things to do, and said he would call for me here.”",way say have several thing do say call 
19,"“Good luck for Margaret,” said Dr. May.",good luck say 
20,“So they are gone to Cocksmoor!” said Meta. “How I envy them!”,gone say envy 
21,"“You would not if you saw the place,” said Dr. May. “I believe Norman is very angry with me for letting them go near it.”",see place say believe angry let go 
22,“Ah! but they are of real use there!”,real use 
23,"“And Miss Meta is obliged to take to envying the black-hole of Cocksmoor, instead of being content with the eglantine bowers of Abbotstoke! I commiserate her!” said the doctor.",oblige take envy black hole content eglantine bower commiserate say doctor 
24,“If I did any good instead of harm at Abbotstoke!”,do good harm 
25,“Harm!” exclaimed Margaret.,harm exclaim 
26,"“They went on very well without me,” said Meta; “but ever since I have had the class they have been getting naughtier and noisier every Sunday; and, last Sunday, the prettiest of all--the one I liked best, and had done everything for--she began to mimic me--held up her finger, as I did, and made them all laugh!”",go say have class get naughty noisy last prettiest one like good do begin mimic hold finger make laugh 
27,"“Well, that is very bad!” said Margaret; “but I suppose she was a very little one.”",bad say suppose little one 
28,"“No, a quick clever one, who knew much better, about nine years old. She used to be always at home in the week, dragging about a great baby; and we managed that her mother should afford to stay at home and send her to school. It seemed such a pity her cleverness should be wasted.”",quick clever one know good year old use home week drag great baby manage mother afford stay home send school seem pity cleverness waste 
29,"The doctor smiled. “Ah! depend upon it, the tyrant-baby was the best disciplinarian.”",doctor smile depend tyrant baby good disciplinarian 
30,Meta looked extremely puzzled.,look puzzled 
31,"“Papa means,” said Margaret, “that if she was inclined to be conceited, the being teased at home might do her more good than being brought forward at school.”",mean say inclined conceit tease home do good bring school 
32,"“I have done everything wrong, it seems,” said Meta, with a shade of what the French call depit. “I thought it must be right and good--but it has only done mischief; and now papa says they are an ungrateful set, and that, if it vexes me, I had better have no more to do with them!”",do wrong seem say shade french call depit think right good do mischief say ungrateful set vexe have more do 
33,"“It does not vex you so much as that, I hope,” said Margaret.",vex hope say 
34,"“Oh, I could not bear that!” said Meta; “but it is so different from what I thought!”",bear say different think 
35,"“Ah! you had an Arcadia of good little girls in straw hats, such as I see in Blanche’s little books,” said the doctor, “all making the young lady an oracle, and doing wrong--if they do it at all--in the simplest way, just for an example to the others.”",have good little girl straw hat such see little book say doctor make young lady oracle do wrong do simple way example other 
36,"“Dr. May! How can you know so well? But do you really think it is their fault, or mine?”",know think fault 
37,“Do you think me a conjurer?”,think conjurer 
38,"“Well, but what do you think?”",think 
39,“What do Mr. and Mrs. Charles Wilmot think?”,think 
40,"“I know Mrs. Wilmot thinks I spoil my class. She spoke to me about making favourites, and sometimes has seemed surprised at things which I have done. Last Sunday she told me she thought I had better have a steadier class, and I know whom she will give me--the great big, stupid ones, at the bottom of the first class! I do believe it is only out of good-nature that she does not tell me not to teach at all. I have a great mind I will not; I know I do nothing but harm.”",know think spoil class speak make favourite seem surprise thing do last tell think have steady class know give great big stupid one bottom first class believe good nature tell teach have great mind know do harm 
41,“What shall you say if I tell you I think so too?” asked the doctor.,say tell think ask doctor 
42,"“Oh, Dr. May, you don’t really? Now, does he, Miss May? I am sure I only want to do them good. I don’t know what I can have done.”",sure want do good know do 
