id,paragraph,tokens
1,CHAPTER 23. A TURN OF THE TIDE.,chapter turn tide 
2,"An earthquake could hardly have produced a greater shock than Oliver's strange conduct produced on the Fifth Form at Saint Dominic's.  For a moment or two they remained almost stupefied with astonishment, and then rose a sudden clamour of tongues on every hand.",earthquake produce great shock strange conduct produce fifth moment remain stupefy astonishment rise sudden clamour tongue hand 
3,"""What can he mean?"" exclaimed one.",mean exclaim 
4,"""Mean!  It's easy enough to see what he means,"" said another, ""the hypocrite!""",mean easy see mean say hypocrite 
5,"""I should never have thought Greenfield senior went in for that sort of thing!""",think senior go sort thing 
6,"""Went in for what sort of thing?"" cried Wraysford, with pale face and in a perfect tremble.",go sort thing cry pale face perfect tremble 
7,"""Why--cheating!"" replied the other.",cheating reply other 
8,"""You're a liar to say so!"" shouted Wraysford, walking rapidly up to the speaker.",liar say shout walk speaker 
9,"The other boys, however, intervened, and held the indignant Wraysford back.",other boy interven hold indignant 
10,"""I tell you you're a liar to say so!"" again he exclaimed.  ""He's not a cheat, I tell you; he never cheated.  You're a pack of liars, all of you!""",tell liar say exclaim cheat tell cheat pack liar 
11,"""I say, draw it mild, Wray, you know,"" interposed Pembury.  ""You needn't include me in your compliments.""",say draw mild know interpose include compliment 
12,Wraysford glared at him a moment and then coloured slightly.,glare moment coloured 
13,"""_You_ don't call Oliver a cheat?"" he said, inquiringly.",call cheat say 
14,"""I shouldn't till I was cock-sure of the fact,"" replied the cautious editor of the _Dominican_.",cock sure fact reply cautious editor 
15,"""Do you mean to say you aren't sure?"" said Wraysford.",mean say sure say 
16,"Pembury vouchsafed no answer, but whistled to himself.",vouchsafe answer whistle 
17,"""All I can say is,"" said Bullinger, who was one of Wraysford's chums, ""it looks uncommonly ugly, if what Simon says is true.""",say say chum look ugly say true 
18,"""I don't believe a word that ass says.""",believe word ass say 
19,"""Oh, but,"" began Simon, with a most aggravating cheerfulness, ""I assure you I'm not telling a lie, Wraysford.  I'm sorry I said anything about it.  I never thought there would be a row about it.  I promise I'll not mention it to anybody.""",begin aggravating cheerfulness assure tell lie sorry say think be row promise mention 
20,"""You blockhead! who cares for your promises?  I don't believe you.""",blockhead care promise believe 
21,"""Well, I know I met Greenfield senior coming out of the Doctor's study on Saturday evening, about five minutes past nine.  I'm positive of that,"" said Simon.",know meet senior come study evening minute positive say 
22,"""And I suppose he had the paper in his hand?"" sneered Wraysford, looking very miserable.",suppose have paper hand sneer look miserable 
23,"""No; I expect he'd put it in his pocket, you know, at least, that is, I would have.""",expect put pocket know least have 
24,"This candid admission on the part of the ingenious poet was too much for the gravity of one or two of the Fifth.  Wraysford, however, was in no laughing mood, and went off to his study in great perturbation.",candid admission part ingenious poet much gravity fifth laugh mood go study great perturbation 
25,"He could not for a moment believe that his friend could be guilty of such a dishonourable act as stealing an examination paper, and his impulse was to go at once to Oliver's study and get the suspicions of the Fifth laid there and then.  But the fear of seeming in the least degree to join in those suspicions kept him back.  He tried to laugh the thing to scorn inwardly, and called himself a villain and a traitor twenty times for admitting even the shadow of a doubt into his own mind. Yet, as Wraysford sat that afternoon and brooded over his friend's new trouble, he became more and more uncomfortable.",moment believe friend guilty dishonourable act steal examination paper impulse go study get suspicion fifth lay fear seem least degree join suspicion keep try laugh thing scorn call villain traitor time admit shadow doubt own mind sit afternoon brood friend new trouble become uncomfortable 
