id,paragraph,tokens
1,"CHAPTER II. Uncle James, or The Purple Stranger",purple 
2, The Princess and the gardener's boy were playing in the backyard.,gardener boy play backyard 
3,"""What will you do when you grow up, Princess?"" asked the gardener's boy.",do grow ask gardener boy 
4,"""I should like to marry you, Tom,"" said the Princess. ""Would you mind?""",like marry say mind 
5,"""No,"" said the gardener's boy. ""I shouldn't mind much. I'll marry you if you like--if I have time.""",say gardener boy mind much marry like have time 
6,"For the gardener's boy meant, as soon as he was grown up, to be a general and a poet and a Prime Minister and an admiral and a civil engineer. Meanwhile, he was top of all his classes at school, and tip-top of the geography class.",gardener boy mean grow general poet prime admiral civil engineer top class school tip top geography class 
7,"As for the Princess Mary Ann, she was a very good little girl, and everyone loved her. She was always kind and polite, even to her Uncle James and to other people whom she did not like very much; and though she was not very clever, for a Princess, she always tried to do her lessons. Even if you know perfectly well that you can't do your lessons, you may as well try, and sometimes you find that by some fortunate accident they really _are_ done. Then the Princess had a truly good heart: She was always kind to her pets. She never slapped her hippopotamus when it broke her dolls in its playful gambols, and she never forgot to feed her rhinoceroses in their little hutch in the backyard. Her elephant was devoted to her, and sometimes Mary Ann made her nurse quite cross by smuggling the dear little thing up to bed with her and letting it go to sleep with its long trunk laid lovingly across her throat, and its pretty head cuddled under the Royal right ear.",good little girl love kind polite other person like clever try do lesson know do lesson try find fortunate accident do have good heart kind pet slap hippopotamus break doll playful gambol forget feed rhinocerose little hutch backyard elephant devote make nurse cross smuggle dear little thing bed let go sleep long trunk lay throat pretty head cuddle royal right ear 
8,"When the Princess had been good all through the week--for, like all real, live, nice children, she was sometimes naughty, but never bad--Nurse would allow her to ask her little friends to come on Wednesday morning early and spend the day, because Wednesday is the end of the week in that country. Then, in the afternoon, when all the little dukes and duchesses and marquises and countesses had finished their rice pudding and had had their hands and faces washed after it, Nurse would say: ""Now, my dears, what would you like to do this afternoon?"" just as if she didn't know. And the answer would be always the same:",good week real live nice child naughty bad allow ask little friend come morning spend day end week country afternoon little duke duchess marquise countess finish rice pudding have hand face wash say dear like do afternoon know answer same 
9,"""Oh, do let's go to the Zoological Gardens and ride on the big guinea pig and feed the rabbits and hear the dormouse asleep.""",let go zoological ride big guinea pig feed rabbit hear dormouse asleep 
10,"So their pinafores were taken off and they all went to the Zoological Gardens, where twenty of them could ride at a time on the guinea pig, and where even the little ones could feed the great rabbits if some grown-up person were kind enough to lift them up for the purpose.",pinafore take go zoological ride time guinea pig little one feed great rabbit grow person kind lift purpose 
11,"There always was some such person, because in Rotundia everybody was kind--except one.",be such person kind 
12,"Now that you have read as far as this you know, of course, that the Kingdom of Rotundia was a very remarkable place; and if you are a thoughtful child--as of course you are--you will not need me to tell you what was the most remarkable thing about it. But in case you are not a thoughtful child--and it is just possible of course that you are not--I will tell you at once what that most remarkable thing was. _All the animals were the wrong sizes!_ And this was how it happened.",read know course remarkable place thoughtful child course need tell remarkable thing case thoughtful child possible course tell remarkable thing animal wrong size happen 
