id,paragraph,tokens
1,CHAPTER 5. ITS WALLS WERE AS OF JASPER,chapter walls 
2," IN the long winter evenings, when we had the picture-books out on the floor, and sprawled together over them with elbows deep in the hearth-rug, the first business to be gone through was the process of allotment. All the characters in the pictures had to be assigned and dealt out among us, according to seniority, as far as they would go. When once that had been satisfactorily completed, the story was allowed to proceed; and thereafter, in addition to the excitement of the plot, one always possessed a personal interest in some particular member of the cast, whose successes or rebuffs one took as so much private gain or loss.",long winter evening have picture book floor sprawl elbow deep hearth rug first business go process allotment character picture have assign deal accord seniority go complete story allow proceed addition excitement plot possess personal interest particular member cast success rebuff take much private gain loss 
3,"For Edward this was satisfactory enough. Claiming his right of the eldest, he would annex the hero in the very frontispiece, and for the rest of the story his career, if chequered at intervals, was sure of heroic episodes and a glorious close. But his juniors, who had to put up with characters of a clay more mixed--nay, sometimes with undiluted villany--were hard put to it on occasion to defend their other selves (as it was strict etiquette to do) from ignominy perhaps only too justly merited.",satisfactory claim right old annex hero very frontispiece rest story career chequer interval sure heroic episode glorious close junior have put character clay mix undiluted villany hard put occasion defend other selve strict etiquette do ignominy merite 
4,"Edward was indeed a hopeless grabber. In the ""Buffalo-book,"" for instance (so named from the subject of its principal picture, though indeed it dealt with varied slaughter in every zone), Edward was the stalwart, bearded figure, with yellow leggings and a powder-horn, who undauntedly discharged the fatal bullet into the shoulder of the great bull bison, charging home to within a yard of his muzzle. To me was allotted the subsidiary character of the friend who had succeeded in bringing down a cow; while Harold had to be content to hold Edward's spare rifle in the background, with evident signs of uneasiness. Farther on, again, where the magnificent chamois sprang rigid into mid-air, Edward, crouched dizzily against the precipice-face, was the sportsman from whose weapon a puff of white smoke was floating away. A bare-kneed guide was all that fell to my share, while poor Harold had to take the boy with the haversack, or abandon, for this occasion at least, all Alpine ambitions.",hopeless grabber book instance name subject principal picture deal varied slaughter zone stalwart bearded figure yellow legging powder horn discharge fatal bullet shoulder great bull bison charge yard muzzle allot subsidiary character friend succeed bring cow have content hold spare rifle background evident sign uneasiness magnificent chamois spring rigid mid-air crouch precipice face sportsman weapon puff white smoke float bare kneed guide fall share poor have take boy haversack abandon occasion least ambition 
5,"Of course the girls fared badly in this book, and it was not surprising that they preferred the ""Pilgrim's Progress"" (for instance), where women had a fair show, and there was generally enough of 'em to go round; or a good fairy story, wherein princesses met with a healthy appreciation. But indeed we were all best pleased with a picture wherein the characters just fitted us, in number, sex, and qualifications; and this, to us, stood for artistic merit.",course girl fare book surprising prefer instance woman have fair show be enough go good fairy story princess meet healthy appreciation pleased picture character fit number sex qualification stand artistic merit 
6,"All the Christmas numbers, in their gilt frames on the nursery-wall, had been gone through and allotted long ago; and in these, sooner or later, each one of us got a chance to figure in some satisfactory and brightly coloured situation. Few of the other pictures about the house afforded equal facilities. They were generally wanting in figures, and even when these were present they lacked dramatic interest. In this picture that I have to speak about, although the characters had a stupid way of not doing anything, and apparently not wanting to do anything, there was at least a sufficiency of them; so in due course they were allotted, too.",number gilt frame nursery wall go allot one get chance figure satisfactory coloured situation few other picture house afford equal facility want figure present lack dramatic interest picture have speak character have stupid way do want do be least sufficiency due course allot 
7,"In itself the picture, which--in its ebony and tortoise-shell frame--hung in a corner of the dining-room, had hitherto possessed no special interest for us, and would probably never have been dealt with at all but for a revolt of the girls against a succession of books on sport, in which the illustrator seemed to have forgotten that there were such things as women in the world. Selina accordingly made for it one rainy morning, and announced that she was the lady seated in the centre, whose gown of rich, flowered brocade fell in such straight, severe lines to her feet, whose cloak of dark blue was held by a jewelled clasp, and whose long, fair hair was crowned with a diadem of gold and pearl. Well, we had no objection to that; it seemed fair enough, especially to Edward, who promptly proceeded to ""grab"" the armour-man who stood leaning on his shield at the lady's right hand. A dainty and delicate armour-man this! And I confess, though I knew it was all right and fair and orderly, I felt a slight pang when he passed out of my reach into Edward's possession. His armour was just the sort I wanted myself--scalloped and fluted and shimmering and spotless; and, though he was but a boy by his beardless face and golden hair, the shattered spear-shaft in his grasp proclaimed him a genuine fighter and fresh from some such agreeable work. Yes, I grudged Edward the armour-man, and when he said I could have the fellow on the other side, I hung back and said I'd think about it.",picture ebony tortoise shell frame hang corner dining room possess special interest deal revolt girl succession book sport illustrator seem forget be such thing woman world make rainy morning announce lady seat centre gown rich flower brocade fall such straight severe line foot cloak dark blue hold jewell clasp long fair hair crown diadem gold pearl have objection seem fair proceed grab armour man stand lean shield lady right hand dainty delicate armour man confess know right fair orderly feel slight pang pass reach possession armour sort want scallop flute shimmer spotless boy beardless face golden hair shattered spear shaft grasp proclaim genuine fighter fresh such agreeable work grudge armour man say have fellow other side hang say think 
8,"This fellow had no armour nor weapons, but wore a plain jerkin with a leather pouch--a mere civilian--and with one hand he pointed to a wound in his thigh. I didn't care about him, and when Harold eagerly put in his claim I gave way and let him have the man. The cause of Harold's anxiety only came out later. It was the wound he coveted, it seemed. He wanted to have a big, sore wound of his very own, and go about and show it to people, and excite their envy or win their respect. Charlotte was only too pleased to take the child-angel seated at the lady's feet, grappling with a musical instrument much too big for her. Charlotte wanted wings badly, and, next to those, a guitar or a banjo. The angel, besides, wore an amber necklace, which took her fancy immensely.",fellow have armour weapon wear plain jerkin leather pouch mere civilian hand point wound thigh care put claim give way let have man cause anxiety come wound covete seem want have big sore wound own go show person excite envy win respect pleased take child angel seat lady foot grapple musical instrument big want wing guitar banjo angel wear amber necklace take fancy 
9,"This left the picture allotted, with the exception of two or three more angels, who peeped or perched behind the main figures with a certain subdued drollery in their faces, as if the thing had gone on long enough, and it was now time to upset something or kick up a row of some sort. We knew these good folk to be saints and angels, because we had been told they were; otherwise we should never have guessed it. Angels, as we knew them in our Sunday books, were vapid, colourless, uninteresting characters, with straight up-and-down sort of figures, white nightgowns, white wings, and the same straight yellow hair parted in the middle. They were serious, even melancholy; and we had no desire to have any traffic with them. These bright bejewelled little persons, however, piquant of face and radiant of feather, were evidently hatched from quite a different egg, and we felt we might have interests in common with them. Short-nosed, shock-headed, with mouths that went up at the corners and with an evident disregard for all their fine clothes, they would be the best of good company, we felt sure, if only we could manage to get at them. One doubt alone disturbed my mind. In games requiring agility, those wings of theirs would give them a tremendous pull. Could they be trusted to play fair? I asked Selina, who replied scornfully that angels _always_ played fair. But I went back and had another look at the brown-faced one peeping over the back of the lady's chair, and still I had my doubts.",leave picture allot exception more angel peep perch main figure certain subdued drollery face thing go time upset kick row sort know good folk saint angel tell guess angel know book vapid colourless uninteresting character straight sort figure white nightgown white wing same straight yellow hair part middle serious melancholy have desire have traffic bright bejewell little person piquant face radiant feather hatch different egg feel have interest common short nosed shock headed mouth go corner evident disregard fine clothes good good company feel sure manage get doubt disturb mind game require agility wing give tremendous pull trust play fair ask reply angel play fair go have look brown face one peep back lady chair have doubt 
10,"When Edward went off to school a great deal of adjustment and re-allotment took place, and all the heroes of illustrated literature were at my call, did I choose to possess them. In this particular case, however, I made no haste to seize upon the armour-man. Perhaps it was because I wanted a _fresh_ saint of my own, not a stale saint that Edward had been for so long a time. Perhaps it was rather that, ever since I had elected to be saintless, I had got into the habit of strolling off into the background, and amusing myself with what I found there.",go school great deal adjustment re-allotment take place hero illustrate literature call choose possess particular case make haste seize armour man want saint own stale saint long time elect saintless get habit stroll background amusing find 
