id,paragraph,tokens
1,CHAPTER XI.,
2," As the Baron had said, there was more peace now that Lothaire had learnt to know that he must submit, and that no one cared for his threats of his father's or his mother's vengeance.  He was very sulky and disagreeable, and severely tried Richard's forbearance; but there were no fresh outbursts, and, on the whole, from one week to another, there might be said to be an improvement.  He could not always hold aloof from one so good-natured and good-humoured as the little Duke; and the fact of being kept in order could not but have some beneficial effect on him, after such spoiling as his had been at home.",say be more peace learn know submit care threat father mother vengeance sulky disagreeable try forbearance be fresh outburst whole week say improvement hold aloof good natured good humoured little fact keep order have beneficial effect such spoil home 
3,"Indeed, Osmond was once heard to say, it was a pity the boy was not to be a hostage for life; to which Sir Eric replied, ""So long as we have not the training of him.""",hear say pity boy hostage life reply training 
4,"Little Carloman, meanwhile, recovered from his fears of all the inmates of the Castle excepting Hardigras, at whose approach he always shrank and trembled.",little recover fear inmate except approach shrank tremble 
5,"He renewed his friendship with Osmond, no longer started at the entrance of Sir Eric, laughed at Alberic's merry ways, and liked to sit on Fru Astrida's lap, and hear her sing, though he understood not one word; but his especial love was still for his first friend, Duke Richard. Hand-in-hand they went about together, Richard sometimes lifting him up the steep steps, and, out of consideration for him, refraining from rough play; and Richard led him to join with him in those lessons that Father Lucas gave the children of the Castle, every Friday and Sunday evening in the Chapel.  The good Priest stood on the Altar steps, with the children in a half circle round him--the son and daughter of the armourer, the huntsman's little son, the young Baron de Montemar, the Duke of Normandy, and the Prince of France, all were equal there--and together they learnt, as he explained to them the things most needful to believe; and thus Carloman left off wondering why Richard thought it right to be good to his enemies; and though at first he had known less than even the little leather-coated huntsman, he seemed to take the holy lessons in faster than any of them--yes, and act on them, too.  His feeble health seemed to make him enter into their comfort and meaning more than even Richard; and Alberic and Father Lucas soon told Fru Astrida that it was a saintly-minded child.",renew friendship start entrance laugh merry way like sit lap hear sing understand word especial love first friend hand hand go lift steep step consideration refrain rough play lead join lesson give child evening good stand step child half circle son daughter armourer huntsman little son young equal learn explain thing needful believe leave wonder think right good enemy first know less little leather coat huntsman seem take holy lesson fast act feeble health seem make enter comfort meaning more tell saintly minded child 
6,"Indeed, Carloman was more disposed to thoughtfulness, because he was incapable of joining in the sports of the other boys.  A race round the court was beyond his strength, the fresh wind on the battlements made him shiver and cower, and loud shouting play was dreadful to him.  In old times, he used to cry when Lothaire told him he must have his hair cut, and be a priest; now, he only said quietly, he should like it very much, if he could be good enough.",dispose thoughtfulness incapable join sport other boy race court strength fresh wind battlement make shiver cower loud shouting play dreadful old time use cry tell have hair cut priest say like good 
7,"Fru Astrida sighed and shook her head, and feared the poor child would never grow up to be anything on this earth.  Great as had been the difference at first between him and Richard, it was now far greater. Richard was an unusually strong boy for ten years old, upright and broad-chested, and growing very fast; while Carloman seemed to dwindle, stooped forward from weakness, had thin pinched features, and sallow cheeks, looking like a plant kept in the dark.",sigh shake head fear poor child grow earth great difference first great strong boy year old upright broad chested grow seem dwindle stoop weakness have thin pinch feature sallow cheek look plant keep dark 
8,"The old Baron said that hardy, healthy habits would restore the puny children; and Lothaire improved in health, and therewith in temper; but his little brother had not strength enough to bear the seasoning.  He pined and drooped more each day; and as the autumn came on, and the wind was chilly, he grew worse, and was scarcely ever off the lap of the kind Lady Astrida.  It was not a settled sickness, but he grew weaker, and wasted away.  They made up a little couch for him by the fire, with the high settle between it and the door, to keep off the draughts; and there he used patiently to lie, hour after hour, speaking feebly, or smiling and seeming pleased, when any one of those he loved approached.  He liked Father Lucas to come and say prayers with him; and he never failed to have a glad look, when his dear little Duke came to talk to him, in his cheerful voice, about his rides and his hunting and hawking adventures. Richard's sick guest took up much of his thoughts, and he never willingly spent many hours at a distance from him, softening his step and lowering his voice, as he entered the hall, lest Carloman should be asleep.",old say hardy healthy habit restore puny child improve health temper little brother strength bear seasoning pine droop day autumn come wind chilly grow bad lap kind settle sickness grow weak waste make little couch fire high settle door keep draught use lie hour hour speak smile seem pleased one love approach like come say prayer fail have glad look dear little come talk cheerful voice ride hunting hawking adventure sick guest take much thought spend many hour distance soften step lower voice enter hall asleep 
9,"""Richard, is it you?"" said the little boy, as the young figure came round the settle in the darkening twilight.",say little boy young figure come settle darken twilight 
10,"""Yes.  How do you feel now, Carloman; are you better?""",feel good 
