id,paragraph,tokens
1,CHAPTER VI. A CASTLE AND NO DINNER,castle dinner 
2," The others were to be kept in as a punishment for the misfortunes of the day before. Of course Martha thought it was naughtiness, and not misfortune--so you must not blame her. She only thought she was doing her duty. You know, grown-up people often say they do not like to punish you, and that they only do it for your own good, and that it hurts them as much as it hurts you--and this is really very often the truth.",other keep punishment misfortune day course think naughtiness misfortune blame think do duty know grow person say like punish do own good hurt much hurt truth 
3,"Martha certainly hated having to punish the children quite as much as they hated to be punished. For one thing, she knew what a noise there would be in the house all day. And she had other reasons.",hate have punish child much hate punish thing know noise house day have other reason 
4,"""I declare,"" she said to the cook, ""it seems almost a shame keeping of them indoors this lovely day; but they are that audacious, they'll be walking in with their heads knocked off some of these days, if I don't put my foot down. You make them a cake for tea to-morrow, dear. And we'll have Baby along of us soon as we've got a bit forrard with our work. Then they can have a good romp with him, out of the way. Now, Eliza, come, get on with them beds. Here's ten o'clock nearly, and no rabbits caught!""",declare say cook seem shame keep lovely day audacious walk head knock day put foot make cake tea dear have get bit work have good romp way come get bed o'clock rabbit catch 
5,"People say that in Kent when they mean ""and no work done.""",person say mean work do 
6,"So all the others were kept in, but Robert, as I have said, was allowed to go out for half an hour to get something they all wanted. And that, of course, was the day's wish.",other keep say allow go hour get want course day wish 
7,"He had no difficulty in finding the Sand-fairy, for the day was already so hot that it had actually, for the first time, come out of its own accord, and was sitting in a sort of pool of soft sand, stretching itself, and trimming its whiskers, and turning its snail's eyes round and round.",have difficulty find fairy day hot first time come own accord sit sort pool soft sand stretch trimm whisker turn snail eye 
8,"""Ha!"" it said when its left eye saw Robert; ""I've been looking for you. Where are the rest of you? Not smashed themselves up with those wings, I hope?""",say left eye see look rest smash wing hope 
9,"""No,"" said Robert; ""but the wings got us into a row, just like all the wishes always do. So the others are kept indoors, and I was only let out for half an hour--to get the wish. So please let me wish as quickly as I can.""",say wing get row wish do other keep let hour get wish let wish 
10,"""Wish away,"" said the Psammead, twisting itself round in the sand. But Robert couldn't wish away. He forgot all the things he had been thinking about, and nothing would come into his head but little things for himself, like candy, a foreign stamp album, or a knife with three blades and a corkscrew. He sat down to think better of things the others would not have cared for--such as a football, or a pair of leg-guards, or to be able to lick Simpkins Minor thoroughly when he went back to school.",wish say twist sand wish forget thing think come head little thing candy foreign stamp album knife blade corkscrew sit think good thing other care such football pair leg guard able lick go school 
11,"""Well,"" said the Psammead at last, ""you'd better hurry up with that wish of yours. Time flies.""",say last hurry wish time fly 
12,"""I know it does,"" said Robert. ""_I_ can't think what to wish for. I wish you could give one of the others their wish without their having to come here to ask for it. Oh, _don't_!""",know say think wish wish give other wish have come ask 
13,"But it was too late. The Psammead had blown itself out to about three times its proper size, and now it collapsed like a pricked bubble, and with a deep sigh leaned back against the edge of the sand-pool, quite faint with the effort.",late blow time proper size collapse prick bubble deep sigh learn edge sand pool faint effort 
14,"""There!"" it said in a weak voice; ""it was tremendously hard--but I did it. Run along home, or they're sure to wish for something silly before you get there.""",say weak voice hard do run home sure wish silly get 
