id,paragraph,tokens
1,CHAPTER VII. A SIEGE AND BED,siege bed 
2," The children were sitting in the gloomy banqueting-hall, at the end of one of the long bare wooden tables. There was now no hope. Martha had brought in the dinner, and the dinner was invisible, and unfeelable too; for, when they rubbed their hands along the table, they knew but too well that for them there was nothing there _but_ table.",child sit gloomy banqueting hall end long bare wooden table be hope bring dinner dinner invisible unfeelable rub hand table know be table 
3,Suddenly Cyril felt in his pocket.,feel pocket 
4,"""Right, _oh_!"" he cried. ""Look here! Biscuits.""",right cry look biscuit 
5,"Somewhat broken and crumbled, certainly, but still biscuits. Three whole ones, and a generous handful of crumbs and fragments.",break crumble biscuit whole one generous handful crumb fragment 
6,"""I got them this morning--cook--and I'd quite forgotten,"" he explained as he divided them with scrupulous fairness into four heaps.",get morning cook forget explain divide scrupulous fairness heap 
7,"They were eaten in a happy silence, though they had an odd taste, because they had been in Cyril's pocket all the morning with a hank of tarred twine, some green fir-cones, and a ball of cobbler's wax.",eat happy silence have odd taste pocket morning hank tar twine green fir cone ball cobbler wax 
8,"""Yes, but look here, Squirrel,"" said Robert; ""you're so clever at explaining about invisibleness and all that. How is it the biscuits are here, and all the bread and meat and things have disappeared?""",look say clever explain invisibleness biscuit bread meat thing disappear 
9,"""I don't know,"" said Cyril after a pause, ""unless it's because _we_ had them. Nothing about _us_ has changed. Everything's in my pocket all right.""",know say pause have change pocket right 
10,"""Then if we _had_ the mutton it would be real,"" said Robert. ""Oh, don't I wish we could find it!""",_had mutton real say wish find 
11,"""But we can't find it. I suppose it isn't ours till we've got it in our mouths.""",find suppose get mouth 
12,"""Or in our pockets,"" said Jane, thinking of the biscuits.",pocket say think biscuit 
13,"""Who puts mutton in their pockets, goose-girl?"" said Cyril. ""But I know--at any rate, I'll try it!""",put mutton pocket goose girl say know rate try 
14,"He leaned over the table with his face about an inch from it, and kept opening and shutting his mouth as if he were taking bites out of air.",learn table face inch keep open shut mouth take bite air 
15,"""It's no good,"" said Robert in deep dejection. ""You'll only---- Hullo!""",good say deep dejection 
16,"Cyril stood up with a grin of triumph, holding a square piece of bread in his mouth. It was quite real. Everyone saw it. It is true that, directly he bit a piece off, the rest vanished; but it was all right, because he knew he had it in his hand though he could neither see nor feel it. He took another bite from the air between his fingers, and it turned into bread as he bit. The next moment all the others were following his example, and opening and shutting their mouths an inch or so from the bare-looking table. Robert captured a slice of mutton, and--but I think I will draw a veil over the rest of this painful scene. It is enough to say that they all had enough mutton, and that when Martha came to change the plates she said she had never seen such a mess in all her born days.",stand grin triumph hold square piece bread mouth real see true bite piece rest vanish right know have hand see feel take bite air finger turn bread bite next moment other follow example open shut mouth inch bare look table capture slice mutton think draw veil rest painful scene enough say have enough mutton come change plate say see mess bear day 
17,"The pudding was, fortunately, a plain suet one, and in answer to Martha's questions the children all with one accord said that they would _not_ have molasses on it--nor jam, nor sugar--""Just plain, please,"" they said. Martha said, ""Well, I never--what next, I wonder!"" and went away.",pudding plain suet one answer question child accord say have molasses jam sugar plain say say wonder go 
18,"Then ensued another scene on which I will not dwell, for nobody looks nice picking up slices of suet pudding from the table in its mouth, like a dog.",ensue scene dwell look nice pick slice suet pudding table mouth dog 
19,"The great thing, after all, was that they had had dinner; and now everyone felt more courage to prepare for the attack that was to be delivered before sunset. Robert, as captain, insisted on climbing to the top of one of the towers to reconnoitre, so up they all went. And now they could see all round the castle, and could see, too, that beyond the moat, on every side, tents of the besieging party were pitched. Rather uncomfortable shivers ran down the children's backs as they saw that all the men were very busy cleaning or sharpening their arms, re-stringing their bows, and polishing their shields. A large party came along the road, with horses dragging along the great trunk of a tree; and Cyril felt quite pale, because he knew this was for a battering-ram.",great thing have dinner feel more courage prepare attack deliver sunset captain insist climb top tower reconnoitre go see castle see moat side tent besieg party pitch uncomfortable shiver run child back see man busy clean sharpen arm re-string bow polish shield large party come road horse drag great trunk tree feel pale know battering ram 
20,"""What a good thing we've got a moat,"" he said; ""and what a good thing the drawbridge is up--I should never have known how to work it.""",good thing get moat say good thing drawbridge know work 
21,"""Of course it would be up in a besieged castle.""",course besiege castle 
22,"""You'd think there ought to have been soldiers in it, wouldn't you?"" said Robert.",think be soldier say 
23,"""You see you don't know how long it's been besieged,"" said Cyril darkly; ""perhaps most of the brave defenders were killed early in the siege and all the provisions eaten, and now there are only a few intrepid survivors,--that's us, and we are going to defend it to the death.""",see know besiege say most brave defender kill siege provision eat be few intrepid survivor go defend death 
24,"""How do you begin--defending to the death, I mean?"" asked Anthea.",begin defend death mean ask 
25,"""We ought to be heavily armed--and then shoot at them when they advance to the attack.""",armed shoot advance attack 
26,"""They used to pour boiling lead down on besiegers when they got too close,"" said Anthea. ""Father showed me the holes on purpose for pouring it down through at Bodiam Castle. And there are holes like it in the gate-tower here.""",use pour boil lead besieger get close say father show hole purpose pour be hole gate tower 
27,"""I think I'm glad it's only a game; it _is_ only a game, isn't it?"" said Jane.",think glad game game say 
28,But no one answered.,answer 
29,"The children found plenty of strange weapons in the castle, and if they were armed at all it was soon plain that they would be, as Cyril said, ""armed heavily""--for these swords and lances and crossbows were far too weighty even for Cyril's manly strength; and as for the longbows, none of the children could even begin to bend them. The daggers were better; but Jane hoped that the besiegers would not come close enough for daggers to be of any use.",child find plenty strange weapon castle armed plain say armed sword lance crossbow weighty manly strength longbow child begin bend dagger good hope besieger come dagger use 
30,"""Never mind, we can hurl them like javelins,"" said Cyril, ""or drop them on people's heads. I say--there are lots of stones on the other side of the courtyard. If we took some of those up? Just to drop on their heads if they were to try swimming the moat.""",mind hurl javelin say drop person head say be lot stone other side courtyard take drop head try swim moat 
31,"So a heap of stones grew apace, up in the room above the gate; and another heap, a shiny spiky dangerous-looking heap, of daggers and knives.",heap stone grow room gate heap shiny spiky dangerous look heap dagger knife 
32,"As Anthea was crossing the courtyard for more stones, a sudden and valuable idea came to her.",cross courtyard more stone sudden valuable idea come 
33,"She went to Martha and said, ""May we have just biscuits for tea? We're going to play at besieged castles, and we'd like the biscuits to provision the garrison. Put mine in my pocket, please, my hands are so dirty. And I'll tell the others to fetch theirs.""",go say have biscuit tea go play besiege castle like biscuit provision garrison put pocket hand dirty tell other fetch 
34,"This was indeed a happy thought, for now with four generous handfuls of air, which turned to biscuits as Martha crammed it into their pockets, the garrison was well provisioned till sundown.",happy thought generous handful air turn biscuit cramm pocket garrison provision sundown 
35,"They brought up some iron pots of cold water to pour on the besiegers instead of hot lead, with which the castle did not seem to be provided.",bring iron pot cold water pour besieger hot lead castle seem provide 
36,"The afternoon passed with wonderful quickness. It was very exciting; but none of them, except Robert, could feel all the time that this was real deadly dangerous work. To the others, who had only seen the camp and the besiegers from a distance, the whole thing seemed half a game of make-believe, and half a splendidly distinct and perfectly safe dream. But it was only now and then that Robert could feel this.",afternoon pass wonderful quickness exciting feel time real deadly dangerous work other see camp besieger distance whole thing seem game make believe distinct safe dream feel 
37,"When it seemed to be tea-time the biscuits were eaten, with water from the deep well in the courtyard, drunk out of horns. Cyril insisted on putting by eight of the biscuits, in case anyone should feel faint in stress of battle.",seem tea time biscuit eat water deep courtyard drunk horn insist put biscuit case feel faint stress battle 
38,"Just as he was putting away the reserve biscuits in a sort of little stone cupboard without a door, a sudden sound made him drop three. It was the loud fierce cry of a trumpet.",put reserve biscuit sort little stone cupboard door sudden sound make drop loud fierce cry trumpet 
39,"""You see it _is_ real,"" said Robert, ""and they are going to attack.""",see real say go attack 
40,All rushed to the narrow windows.,rush narrow window 
41,"""Yes,"" said Robert, ""they're all coming out of their tents and moving about like ants. There's that Jakin dancing about where the bridge joins on. I wish he could see me put my tongue out at him! Yah!""",say come tent move ant be dance bridge join wish see put tongue 
42,The others were far too pale to wish to put their tongues out at anybody. They looked at Robert with surprised respect. Anthea said--,other pale wish put tongue look surprise respect say 
43,"""You really _are_ brave, Robert.""",brave 
44,"""Rot!"" Cyril's pallor turned to redness now, all in a minute. ""He's been getting ready to be brave all the afternoon. And I wasn't ready, that's all. I shall be braver than he is in half a jiffy.""",pallor turn redness minute get ready brave afternoon ready brave jiffy 
45,"""Oh dear!"" said Jane, ""what does it matter which of you is the bravest? I think Cyril was a perfect silly to wish for a castle, and I don't want to play.""",dear say matter bravest think perfect silly wish castle want play 
46,"""It _isn't_""--Robert was beginning sternly, but Anthea interrupted--",begin interrupt 
47,"""Oh yes, you do,"" she said coaxingly; ""it's a very nice game, really, because they can't possibly get in, and if they do the women and children are always spared by civilised armies.""",say nice game get do woman child spare civilised army 
48,"""But are you quite, quite sure they _are_ civilised?"" asked Jane, panting. ""They seem to be such a long time ago.""",sure civilised ask pant seem long time 
49,"""Of course they are."" Anthea pointed cheerfully through the narrow window. ""Why, look at the little flags on their lances, how bright they are--and how fine the leader is! Look, that's him--isn't it, Robert?--on the gray horse.""",course point narrow window look little flag lance bright fine leader look gray horse 
50,"Jane consented to look, and the scene was almost too pretty to be alarming. The green turf, the white tents, the flash of pennoned lances, the gleam of armour, and the bright colours of scarf and tunic--it was just like a splendid coloured picture. The trumpets were sounding, and when the trumpeters stopped for breath the children could hear the cling-clang of armour and the murmur of voices.",consent look scene pretty alarming green turf white tent flash pennon lance gleam armour bright colour scarf tunic splendid coloured picture trumpet sound trumpeter stop breath child hear cling clang armour murmur voice 
51,"A trumpeter came forward to the edge of the moat, which now seemed very much narrower than at first, and blew the longest and loudest blast they had yet heard. When the blaring noise had died away, a man who was with the trumpeter shouted--",trumpeter come edge moat seem narrower first blow long loudest blast hear blare noise die man trumpeter shout 
