id,paragraph,tokens
1,The Tale of the Flopsy Bunnies Beatrix Potter,
2,    FOR ALL LITTLE FRIENDS,little frilnd 
3,    OF,
4,    MR. MCGREGOR & PETER & BENJAMIN,
5,BOOK 1.,
6," It is said that the effect of eating too much lettuce is ""soporific.""",say effect eat much lettuce soporific 
7,_I_ have never felt sleepy after eating lettuces; but then _I_ am not a rabbit.,feel sleepy eat lettuce rabbit 
8,They certainly had a very soporific effect upon the Flopsy Bunnies!,have soporific effect bunny 
9,"When Benjamin Bunny grew up, he married his Cousin Flopsy. They had a large family, and they were very improvident and cheerful.",grow marry cousin have large family improvident cheerful 
10,"I do not remember the separate names of their children; they were generally called the ""Flopsy Bunnies.""",remember separate name child call 
11,,
12,"As there was not always quite enough to eat,--Benjamin used to borrow cabbages from Flopsy's brother, Peter Rabbit, who kept a nursery garden.",be enough eat use borrow cabbage brother keep nursery garden 
13,Sometimes Peter Rabbit had no cabbages to spare.,have cabbage spare 
14,,
15,"When this happened, the Flopsy Bunnies went across the field to a rubbish heap, in the ditch outside Mr. McGregor's garden.",happen go field rubbish heap ditch garden 
16,"Mr. McGregor's rubbish heap was a mixture. There were jam pots and paper bags, and mountains of chopped grass from the mowing machine (which always tasted oily), and some rotten vegetable marrows and an old boot or two. One day--oh joy!--there were a quantity of overgrown lettuces, which had ""shot"" into flower.",rubbish heap mixture be jam pot paper bag mountain choppe grass mowing machine taste oily rotten vegetable marrow old boot day joy be quantity overgrown lettuce have shot flower 
17," The Flopsy Bunnies simply stuffed lettuces. By degrees, one after another, they were overcome with slumber, and lay down in the mown grass.",stuff lettuce degree overcome slumber lay mown grass 
18,Benjamin was not so much overcome as his children. Before going to sleep he was sufficiently wide awake to put a paper bag over his head to keep off the flies.,overcome child go sleep wide awake put paper bag head keep fly 
19,"The little Flopsy Bunnies slept delightfully in the warm sun. From the lawn beyond the garden came the distant clacketty sound of the mowing machine. The bluebottles buzzed about the wall, and a little old mouse picked over the rubbish among the jam pots.",little sleep warm sun lawn garden come distant clacketty sound mowing machine bluebottle buzz wall little old mouse pick rubbish jam pot 
20,"(I can tell you her name, she was called Thomasina Tittlemouse, a woodmouse with a long tail.)",tell name call woodmouse long tail 
21,,
22,"She rustled across the paper bag, and awakened Benjamin Bunny.",rustle paper bag awaken 
23,"The mouse apologized profusely, and said that she knew Peter Rabbit.",mouse apologize say know 
24,"While she and Benjamin were talking, close under the wall, they heard a heavy tread above their heads; and suddenly Mr. McGregor emptied out a sackful of lawn mowings right upon the top of the sleeping Flopsy Bunnies! Benjamin shrank down under his paper bag. The mouse hid in a jam pot.",talk wall hear heavy tread head empty sackful lawn mowing top sleeping shrank paper bag mouse hide jam pot 
25,,
26,The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.,little rabbit smile sleep shower grass awake lettuce soporific 
27,They dreamt that their mother Flopsy was tucking them up in a hay bed.,dreamt mother tuck hay bed 
