id,paragraph,tokens
1,CHAPTER XXII.,
2," Edward was certain that Mr. Langton would not have advised him to leave London if he had not considered that it was dangerous to remain. He therefore first called upon the Hamburgh merchant, who, upon his explanation, gave him a letter of credit to a friend who resided in the city of York; and then returned to the hotel, packed up his saddle-bags, paid his reckoning, and, mounting his horse, set off on the northern road. As it was late in the afternoon before he was clear of the metropolis, he did not proceed farther than Barnet, where he pulled up at the inn. As soon as he had seen his horse attended to, Edward, with his saddle-bags on his arm, went into the room in the inn where all the travelers congregated. Having procured a bed, and given his saddle-bags into the charge of the hostess, he sat down by the fire, which, although it was warm weather, was nevertheless kept alight.",certain advise leave consider dangerous remain call merchant explanation give letter credit friend reside city return hotel pack saddle bag pay reckoning mount horse set northern road afternoon clear metropolis proceed pull inn see horse attend saddle bag arm go room inn traveler congregate procure bed give saddle bag charge hostess sit fire warm weather keep alight 
3,"Edward had made no alteration in the dress which he had worn since he had been received in the house of Mr. Heatherstone. It was plain, although of good materials. He wore a high-crowned hat, and, altogether, would, from his attire, have been taken for one of the Roundhead party. His sword and shoulder-belt were indeed of more gay appearance than those usually worn by the Roundheads; but this was the only difference.",make alteration dress wear receive house plain good material wear high crown hat attire take sword shoulder belt gay appearance wear only difference 
4,"When Edward first entered the room, there were three persons in it, whose appearance was not very prepossessing. They were dressed in what had once been gay attire, but which now exhibited tarnished lace, stains of wine, arid dust from traveling. They eyed him as he entered with his saddle-bags, and one of them said--",enter room be person appearance prepossessing dress gay attire exhibit tarnish lace stain wine arid dust travel eye enter saddle bag say 
5,"""That's a fine horse you were riding, sir. Has he much speed?""",fine horse ride sir much speed 
6,"""He has,"" replied Edward, as he turned away and went into the bar to speak with the hostess, and give his property into her care.",reply turn go bar speak hostess give property care 
7,"""Going north, sir?"" inquired the same person when Edward returned.",go sir inquire same person return 
8,"""Not exactly,"" replied Edward, walking to the window to avoid further conversation.",reply walk window avoid further conversation 
9,"""The Roundhead is on the stilts,"" observed another of the party.",stilt observe party 
10,"""Yes,"" replied the first; ""it is easy to see that he has not been accustomed to be addressed by gentlemen; for half a pin I would slit his ears!""",reply first easy see accustom address gentleman pin slit ear 
11,Edward did not choose to reply; he folded his arms and looked at the man with contempt.,choose reply fold arm look man contempt 
12,"The hostess, who had overheard the conversation, now called for her husband, and desired him to go into the room and prevent any further insults to the young gentleman who had just come in. The host, who knew the parties, entered the room, and said--",hostess overhear conversation call husband desire go room prevent further insult young gentleman come host know party enter room say 
13,"""Now you'll clear out of this as fast as you can; be off with you, and go to the stables, or I'll send for somebody whom you will not like.""",clear go stable send like 
14,"The three men rose and swaggered, but obeyed the host's orders, and left the room.",man rise swagger obey host order leave room 
