id,paragraph,tokens
1,CHAPTER 13. THE SECRET DRAWER,secret drawer 
2,"IT must surely have served as a boudoir for the ladies of old time, this little used, rarely entered chamber where the neglected old bureau stood. There was something very feminine in the faint hues of its faded brocades, in the rose and blue of such bits of china as yet remained, and in the delicate old-world fragrance of pot-pourri from the great bowl--blue and white, with funny holes in its cover--that stood on the bureau’s flat top. Modern aunts disdained this out-of-the-way, back-water, upstairs room, preferring to do their accounts and grapple with their correspondence in some central position more in the whirl of things, whence one eye could be kept on the carriage drive, while the other was alert for malingering servants and marauding children. Those aunts of a former generation--I sometimes felt--would have suited our habits better. But even by us children, to whom few places were private or reserved, the room was visited but rarely. To be sure, there was nothing particular in it that we coveted or required,--only a few spindle-legged gilt-backed chairs; an old harp, on which, so the legend ran, Aunt Eliza herself used once to play, in years remote, unchronicled; a corner-cupboard with a few pieces of china; and the old bureau. But one other thing the room possessed, peculiar to itself; a certain sense of privacy,--a power of making the intruder feel that he WAS intruding,--perhaps even a faculty of hinting that some one might have been sitting on those chairs, writing at the bureau, or fingering the china, just a second before one entered.",serve boudoir lady old time little use enter chamber neglect old bureau stand be feminine faint hue fade brocade rose blue such bit china remain delicate old world fragrance pot great bowl blue white funny hole cover stand bureau flat top modern aunt disdain way water upstairs room prefer do account grapple correspondence central position whirl thing eye keep carriage drive other alert malingering servant maraud child aunt former generation feel suit habit good child few place private reserve room visit sure be particular covete require few spindle legge gilt back chair old harp legend run use play year remote unchronicled corner cupboard few piece china old bureau other thing room possess peculiar certain sense privacy power make intruder feel intrude faculty hint sit chair write bureau finger china second enter 
3,"No such violent word as “haunted” could possibly apply to this pleasant old-fashioned chamber, which indeed we all rather liked; but there was no doubt it was reserved and stand-offish, keeping itself to itself.",such violent word haunt apply pleasant old fashioned chamber like be doubt reserve stand offish keep 
4,"Uncle Thomas was the first to draw my attention to the possibilities of the old bureau. He was pottering about the house one afternoon, having ordered me to keep at his heels for company,--he was a man who hated to be left one minute alone,--when his eye fell on it. “H’m! Sheraton!” he remarked. (He had a smattering of most things, this uncle, especially the vocabularies.) Then he let down the flap, and examined the empty pigeon-holes and dusty panelling. “Fine bit of inlay,” he went on: “good work, all of it. I know the sort. There’s a secret drawer in there somewhere.” Then, as I breathlessly drew near, he suddenly exclaimed: “By Jove, I do want to smoke!” and wheeling round he abruptly fled for the garden, leaving me with the cup dashed from my lips. What a strange thing, I mused, was this smoking, that takes a man suddenly, be he in the court, the camp, or the grove, grips him like an Afreet, and whirls him off to do its imperious behests! Would it be even so with myself, I wondered, in those unknown grown-up years to come?",first draw attention possibility old bureau potter house afternoon order keep heel company man hate leave minute eye fall remark have smattering most thing uncle vocabulary let flap examine empty pigeon hole dusty panelling fine bit inlay go good work know sort be secret drawer draw exclaim want smoke flead garden leave cup dash lip strange thing muse smoking take man court camp grove grip whirl do imperious behest wonder unknown grow year come 
5,"But I had no time to waste in vain speculations. My whole being was still vibrating to those magic syllables, “secret drawer;” and that particular chord had been touched that never fails to thrill responsive to such words as CAVE, TRAP-DOOR, SLIDING-PANEL, BULLION, INGOTS, or SPANISH DOLLARS. For, besides its own special bliss, who ever heard of a secret drawer with nothing in it? And oh, I did want money so badly! I mentally ran over the list of demands which were pressing me the most imperiously.",have time waste vain speculation whole being vibrate magic syllable secret drawer particular chord touch fail thrill responsive such word cave trap door sliding panel bullion ingots spanish dollar own special bliss hear secret drawer want money run list demand press 
6,"First, there was the pipe I wanted to give George Jannaway. George, who was Martha’s young man, was a shepherd, and a great ally of mine; and the last fair he was at, when he bought his sweetheart fairings, as a right-minded shepherd should, he had purchased a lovely snake expressly for me; one of the wooden sort, with joints, waggling deliciously in the hand; with yellow spots on a green ground, sticky and strong-smelling, as a fresh-painted snake ought to be; and with a red-flannel tongue, pasted cunningly into its jaws. I loved it much, and took it to bed with me every night, till what time its spinal cord was loosed and it fell apart, and went the way of all mortal joys. I thought it so nice of George to think of me at the fair, and that’s why I wanted to give him a pipe. When the young year was chill and lambing-time was on, George inhabited a little wooden house on wheels, far out on the wintry downs, and saw no faces but such as were sheepish and woolly and mute; ant when he and Martha were married, she was going to carry his dinner out to him every day, two miles; and after it, perhaps he would smoke my pipe. It seemed an idyllic sort of existence, for both the parties concerned; but a pipe of quality, a pipe fitted to be part of a life such as this, could not be procured (so Martha informed me) for a less sum than eighteen pence. And meantime--!",be pipe want give young man shepherd great ally last fair buy sweetheart fairing right minded shepherd purchase lovely snake wooden sort joint waggle hand yellow spot green ground sticky strong smelling fresh paint snake red flannel tongue paste jaw love take bed night time spinal cord loose fall go way mortal joy think nice think fair want give pipe young year chill lamb time inhabit little wooden house wheel wintry down see face such sheepish woolly mute ant married go carry dinner day mile smoke pipe seem idyllic sort existence party concern pipe quality pipe fit part life such procure inform less sum pence 
7,"Then there was the fourpence I owed Edward; not that he was bothering me for it, but I knew he was in need of it himself, to pay back Selina, who wanted it to make up a sum of two shillings, to buy Harold an ironclad for his approaching birthday,--H. M. S. Majestic, now lying uselessly careened in the toyshop window, just when her country had such sore need of her.",be fourpence owe bother know need pay want make sum shilling buy ironclad approaching birthday lie careen toyshop window country have such sore need 
8,"And then there was that boy in the village who had caught a young squirrel, and I had never yet possessed one, and he wanted a shilling for it, but I knew that for ninepence in cash--but what was the good of these sorry, threadbare reflections? I had wants enough to exhaust any possible find of bullion, even if it amounted to half a sovereign. My only hope now lay in the magic drawer, and here I was standing and letting the precious minutes slip by. Whether “findings” of this sort could, morally speaking, be considered “keepings,” was a point that did not occur to me.",be boy village catch young squirrel possess want shilling know ninepence cash good sorry threadbare reflection want enough exhaust possible find bullion amount sovereign only hope lay magic drawer stand let precious minute slip finding sort speak consider keeping point occur 
9,"The room was very still as I approached the bureau,--possessed, it seemed to be, by a sort of hush of expectation. The faint odour of orris-root that floated forth as I let down the flap, seemed to identify itself with the yellows and browns of the old wood, till hue and scent were of one quality and interchangeable.",room approach bureau possess seem sort hush expectation faint odour orris root float let flap seem identify yellow brown old wood hue scent quality interchangeable 
10,"Even so, ere this, the pot-pourri had mixed itself with the tints of the old brocade, and brocade and pot-pourri had long been one.",pot pourri mix tint old brocade brocade pot -pourri 
