id,paragraph,tokens
1,CHAPTER VIII. THE BROKEN KEY.,broken 
2,"  First he moved his right leg,   Then he moved his left leg,   Then he said, ""I pardon beg,""           And sat upon his seat.",move right leg move left leg say pardon beg sit seat 
3," ""Oh! uncle David! uncle David!"" cried Laura, when they arrived from Holiday House, ""I would jump out of the carriage window with joy to see you again; only the persons passing in the street might be surprised!""",uncle uncle cry arrive jump carriage window joy see person pass street surprise 
4,"""Not at all! They are quite accustomed to see people jumping out of the windows with joy, whenever I appear.""",accustom see person jump window joy appear 
5,"""We have so much to tell you,"" exclaimed Harry and Laura, each seizing hold of a hand, ""we hardly know where to begin!""",have much tell exclaim seize hold hand know begin 
6,"""Ladies and gentlemen! If you both talk at once, I must get a new pair of ears! So you have not been particularly miserable at Holiday House?""",lady gentleman talk get new pair ear miserable 
7,"""No! no! uncle David! we did not think there had been so much happiness in the world,"" answered Laura, eagerly. ""The last two days we could do nothing but play and laugh, and""----",uncle think be much happiness world answer last day do play laugh 
8,"""And grow fat! Why! you both look so well fed, you are just fit for killing! I shall be obliged to shut you up two or three days, without anything to eat, as is done to pet lap-dogs, when they are getting corpulent and gouty.""",grow fat look feed fit kill oblige shut day eat do pet lap dog get corpulent gouty 
9,"""Then we shall be like bears living on our paws,"" replied Harry, ""and uncle David! I would rather do that, than be a glutton like Peter Grey. He went to a cheap shop lately, where old cheese-cakes were sold at half-price, and greedily devoured nearly a dozen, thinking that the dead flies scattered on the top were currants, till Frank shewed him his mistake!""",bear live paw reply uncle do glutton go cheap shop old cheese cake sell half price devoure think dead fly scatter top currant shew mistake 
10,"""Frank should have let him eat in peace! There is no accounting for tastes. I once knew a lady who liked to swallow spiders! She used to crack and eat them with the greatest delight, whenever she could catch one.""",let eat peace be accounting taste know lady like swallow spider use crack eat great delight catch 
11,"""Oh! what a horrid woman! That is even worse than grandmama's story about Dr. Manvers having dined on a dish of mice, fried in crumbs of bread!""",horrid woman bad grandmama story dine dish mouse fry crumb bread 
12,"""You know the old proverb, Harry, 'one man's meat is another man's poison.' The Persians are disgusted at our eating lobsters; and the Hindoos think us scarcely fit to exist, because we live on beef; while we are equally amazed at the Chinese for devouring dog pies, and birds'-nest soup. You turn up your nose at the French for liking frogs; and they think us ten times worse with our singed sheep's head, oat cakes, and haggis.""",know old proverb man meat man poison disgust eating lobster think fit exist live beef amaze chinese devour dog pie birds'- nest soup turn nose like frog think time bad singed sheep head oat cake haggis 
13,"""That reminds me,"" said Lady Harriet, ""that when Charles X. lived in what he called the 'dear Canongate,' His Majesty was heard to say, that he tried every sort of Scotch goose, 'the solan goose, the wild goose, and the tame goose; but the best goose of all, was the hag-goose.'""",remind say live call dear hear say try sort goose solan goose wild goose tame goose good goose hag goose 
14,"""Very polite, indeed, to adopt our national taste so completely,"" observed uncle David, smiling. ""When my regiment was quartered in Spain, an officer of ours, a great epicure, and not quite so complaisant, used to say that the country was scarcely fit to live in, because there it is customary to dress almost every dish with sugar. At last, one day, in a rage, he ordered eggs to be brought up in their shells for dinner, saying, 'that is the only thing the cook cannot possibly spoil.' We played him a trick, however, which was very like what you would have done, Harry, on a similar occasion. I secretly put pounded sugar into the salt-cellar, and when he tasted his first mouthful, you should have seen the look of fury with which he sprung off his seat, exclaiming, 'the barbarians eat sugar even with their eggs!'""",polite adopt national taste observe uncle smile regiment quarter officer great epicure complaisant use say country fit live customary dress dish sugar last day rage order egg bring shell dinner say only thing cook spoil play trick do similar occasion put pound sugar salt cellar taste first mouthful see look fury spring seat exclaim barbarian eat sugar egg 
15,"""That would be the country for me to travel in,"" said Harry. ""I could live in a barrel of sugar; and my little pony, Tom Thumb, would be happy to accompany me there, as he likes anything sweet.""",country travel say live barrel sugar little pony happy accompany like sweet 
16,"""All animals are of the same opinion. I remember the famous rider, Ducrow, telling a brother-officer of mine, that the way in which he gains so much influence over his horses, is merely by bribing them with sugar. They may be managed in that way like children, and are quite aware, if it be taken from them as a punishment for being restive.""",animal same opinion remember famous rider tell brother officer way gain much influence horse bribe sugar manage way child aware take punishment restive 
17,"""Oh! those beautiful horses at Ducrow's! How often I think of them since we were there!"" exclaimed Harry. ""They were quite like fairies, with fine arched necks, and long tails!""",beautiful horse think exclaim fairy fine arched neck long tail 
18,"""I never heard before of a fairy with a long tail, Master Harry; but perhaps in the course of your travels you may have seen such a thing.""",hear fairy long tail course travel see thing 
19,"""How I should like to ride upon Tom Thumb, in Ducrow's way, with my toe on the saddle!""",like ride way toe saddle 
20,"""Fine doings indeed!"" exclaimed Mrs. Crabtree, who had entered the room at this moment. ""Have you forgotten already, Master Harry, how many of the nursery plates you broke one day when I was out, in trying to copy that there foolish Indian juggler, who tossed his plates in the air, and twirled them on his thumb! There must be no more such nonsense; for if once your neck is broke by a fall off Tom Thumb, no doctor that I know of can mend it again. Remember what a terrible tumble you had off Jessy last year!""",fine doing exclaim enter room moment forget many nursery plate break day try copy foolish indian juggler toss plate air twirl thumb be more such nonsense neck break fall doctor know mend remember terrible tumble have last year 
21,"""You are always speaking about that little overturn, Mrs. Crabtree; and it was not worth recollecting above a week! Did you never see a man thrown off his horse before?""",speak little overturn worth recollect week see man throw horse 
22,"""A man and horse indeed!"" said uncle David, laughing, when he looked at Harry. ""You and your charger were hardly large enough then for a toy-shop; and you must grow a little more, Captain Gulliver, before you will be fit for a dragoon regiment.""",man horse say uncle laugh look charge large toy shop grow little more fit dragoon regiment 
23,"Harry and Laura stayed very quietly at home for several weeks after their return from Holiday House, attending so busily to lessons, that uncle David said he felt much afraid they were going to be a pair of little wonders, who would die of too much learning.",stay home several week return attend lesson uncle say feel afraid go pair little wonder die much learning 
24,"""You will be taken ill of the multiplication table some day, and confined to bed with a violent fit of geography! Pray take care of yourselves, and do not devour above three books at once,"" said Major Graham one day, entering the room with a note in his hand. ""Here is an invitation that I suppose you are both too busy to accept, so perhaps I might as well send an apology; eh, Harry?""",take ill multiplication table day confine bed violent fit geography pray take care devour book say day enter room note hand invitation suppose busy accept send apology 
25,"Down dropped the lesson-books upon the floor, and up sprung Harry in an ecstacy of delight. ""An invitation! Oh! I like an invitation so very much! Pray tell us all about it!""",drop lesson book floor spring ecstacy delight invitation like invitation pray tell 
