id,paragraph,tokens
1,CHAPTER X. FIELD AND WILD,chapter x. field 
2," Where were we to go next?  Into the far west, to see how all the way along the railroads the new rocks and soils lie above the older, and yet how, when we get westward, the oldest rocks rise highest into the air.",go far west see way railroad new rock soil lie old get old rock rise high air 
3,"Well, we will go: but not, I think, to-day.  Indeed I hardly know how we could get as far as Reading; for all the world is in the hay-field, and even the old horse must go thither too, and take his turn at the hay-cart.  Well, the rocks have been where they are for many a year, and they will wait our leisure patiently enough: but Midsummer and the hay- field will not wait.  Let us take what God gives when He sends it, and learn the lesson that lies nearest to us.  After all, it is more to my old mind, and perhaps to your young mind too, to look at things which are young and fresh and living, rather than things which are old and worn and dead.  Let us leave the old stones, and the old bones, and the old shells, the wrecks of ancient worlds which have gone down into the kingdom of death, to teach us their grand lessons some other day; and let us look now at the world of light and life and beauty, which begins here at the open door, and stretches away over the hay-fields, over the woods, over the southern moors, over sunny France, and sunnier Spain, and over the tropic seas, down to the equator, and the palm-groves of the eternal summer.  If we cannot find something, even at starting from the open door, to teach us about Why and How, we must be very short-sighted, or very shallow-hearted.",go think day know get reading world hay field old horse go take turn hay cart rock many year wait leisure midsummer hay field wait let take give send learn lesson lie near more old mind young mind look thing young fresh live thing old wear dead let leave old stone old bone old shell wreck ancient world go kingdom death teach grand lesson other day let look world light life beauty begin open door stretch hay field wood southern moor sunny sunnier tropic sea equator palm grove eternal summer find start open door teach short sight shallow hearted 
4,"There is the old cock starling screeching in the eaves, because he wants to frighten us away, and take a worm to his children, without our finding out whereabouts his hole is.  How does he know that we might hurt him? and how again does he not know that we shall not hurt him? we, who for five-and-twenty years have let him and his ancestors build under those eaves in peace?  How did he get that quantity of half-wit, that sort of stupid cunning, into his little brain, and yet get no more?  And why (for this is a question of Why, and not of How) does he labour all day long, hunting for worms and insects for his children, while his wife nurses them in the nest?  Why, too, did he help her to build that nest with toil and care this spring, for the sake of a set of nestlings who can be of no gain or use to him, but only take the food out of his mouth?  Simply out of--what shall I call it, my child?--Love; that same sense of love and duty, coming surely from that one Fountain of all duty and all love, which makes your father work for you.  That the mother should take care of her young, is wonderful enough; but that (at least among many birds) the father should help likewise, is (as you will find out as you grow older) more wonderful far.  So there already the old starling has set us two fresh puzzles about How and Why, neither of which we shall get answered, at least on this side of the grave.",be old cock starling screech eave want frighten take worm child find whereabouts hole know hurt know hurt year let ancestor build eave peace get quantity half wit sort stupid cunning little brain get more question labour day hunt worm insect child wife nurse nest help build nest toil care spring sake set nestling gain use take food mouth call child love same sense love duty come duty love make father work mother take care young wonderful least many bird father help find grow old wonderful old starling set fresh puzzle answer least side grave 
5,"Come on, up the field, under the great generous sun, who quarrels with no one, grudges no one, but shines alike upon the evil and the good.  What a gay picture he is painting now, with his light-pencils; for in them, remember, and not in the things themselves the colour lies.  See how, where the hay has been already carried, he floods all the slopes with yellow light, making them stand out sharp against the black shadows of the wood; while where the grass is standing still, he makes the sheets of sorrel-flower blush rosy red, or dapples the field with white oxeyes.",come field great generous sun quarrel grudge shine alike evil good gay picture paint light pencil remember thing colour lie see hay carry flood slope yellow light make stand sharp black shadow wood grass stand make sheet sorrel flower blush rosy red dapple field white oxeye 
6,"But is not the sorrel itself red, and the oxeyes white?",sorrel red oxeye white 
7,"What colour are they at night, when the sun is gone?",colour night sun gone 
8,Dark.,dark 
9,"That is, no colour.  The very grass is not green at night.",colour very grass green night 
10,"Oh, but it is if you look at it with a lantern.",look lantern 
