id,paragraph,tokens
1,CHAPTER IV.,
2,"     ""Greater love hath no man than this, that a man lay down his      life for his friends.""--JOHN XV. 13.",great love have man man lay life friend 
3," Twenty and odd years later the Grey Goose was still alive, and in full possession of her faculties, such as they were. She lived slowly and carefully, and she lived long. So did Miss Jessamine; but the General was dead.",odd year alive full possession faculty such live live dead 
4,"He had lived on the Green for many years, during which he and the Postman saluted each other with a punctiliousness that it almost drilled one to witness. He would have completely spoiled Jackanapes if Miss Jessamine's conscience would have let him; otherwise he somewhat dragooned his neighbors, and was as positive about parish matters as a ratepayer about the army. A stormy-tempered, tender-hearted soldier, irritable with the suffering of wounds of which he never spoke, whom all the village followed to his grave with tears.",live many year salute other punctiliousness drill witness spoiled conscience let dragoon neighbor positive parish matter ratepayer army stormy temper tender hearted soldier irritable suffering wound speak village follow grave tear 
5,"The General's death was a great shock to Miss Jessamine, and her nephew stayed with her for some little time after the funeral. Then he was obliged to join his regiment, which was ordered abroad.",death great shock nephew stay little time funeral oblige join regiment order 
6,"One effect of the conquest which the General had gained over the affections of the village, was a considerable abatement of the popular prejudice against ""the military."" Indeed the village was now somewhat importantly represented in the army. There was the General himself, and the Postman, and the Black Captain's tablet in the church, and Jackanapes, and Tony Johnson, and a Trumpeter.",effect conquest gain affection village considerable abatement popular prejudice military village represent army be black tablet church 
7," Tony Johnson had no more natural taste for fighting than for riding, but he was as devoted as ever to Jackanapes, and that was how it came about that Mr. Johnson bought him a commission in the same cavalry regiment that the General's grandson (whose commission had been given him by the Iron Duke) was in, and that he was quite content to be the butt of the mess where Jackanapes was the hero; and that when Jackanapes wrote home to Miss Jessamine, Tony wrote with the same purpose to his mother; namely, to demand her congratulations that they were on active service at last, and were ordered to the front. And he added a postscript to the effect that she could have no idea how popular Jackanapes was, nor how splendidly he rode the wonderful red charger whom he had named after his old friend Lollo.",have more natural taste fighting ride devoted come buy commission same cavalry regiment grandson commission give content butt mess hero write write same purpose mother demand congratulation active service last order front add postscript effect have idea popular ride wonderful red charge name old friend 
8,       *       *       *       *       *,
9,"""Sound Retire!""",sound retire 
10,"A Boy Trumpeter, grave with the weight of responsibilities and accoutrements beyond his years, and stained, so that his own mother would not have known him, with the sweat and dust of battle, did as he was bid; and then pushing his trumpet pettishly aside, adjusted his weary legs for the hundredth time to the horse which was a world too big for him, and muttering, ""'Tain't a pretty tune,"" tried to see something of this, his first engagement, before it came to an end.",grave weight responsibility accoutrement year stain own mother know sweat dust battle bid push trumpet adjust weary leg hundredth time horse world big mutter pretty tune try see first engagement come end 
11,"Being literally in the thick of it, he could hardly have seen less or known less of what happened in that particular skirmish if he had been at home in England. For many good reasons; including dust and smoke, and that what attention he dared distract from his commanding officer was pretty well absorbed by keeping his hard-mouthed troop-horse in hand, under pain of execration by his neighbors in the mêlée. By-and-by, when the newspapers came out, if he could get a look at one before it was thumbed to bits, he would learn that the enemy had appeared from ambush in overwhelming numbers, and that orders had been given to fall back, which was done slowly and in good order, the men fighting as they retired.",thick see less know less happen particular skirmish home many good reason include dust smoke attention dare distract commanding officer absorb keep hard mouthed troop horse hand pain execration neighbor mêlée newspaper come get look thumb bit learn enemy appear ambush overwhelming number order give fall do good order man fight retire 
