id,paragraph,tokens
1,The Tale of Jemima Puddle-Duck Beatrix Potter,
2,,
3,,
4,,
5,    A FARMYARD TALE     FOR     RALPH AND BETSY,tale 
6, BOOK 1.,
7,,
8,What a funny sight it is to see a brood of ducklings with a hen!,funny sight see brood duckling hen 
9,"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs.",listen story duck annoyed farmer wife let hatch own egg 
10," Her sister-in-law, Mrs. Rebeccah Puddle-duck, was perfectly willing to leave the hatching to some one else--""I have not the patience to sit on a nest for twenty-eight days; and no more have you, Jemima. You would let them go cold; you know you would!""",sister law duck willing leave hatching one else have patience sit nest day have let go cold know 
11,"""I wish to hatch my own eggs; I will hatch them all by myself,"" quacked Jemima Puddle-duck.",wish hatch own egg hatch quack duck 
12, She tried to hide her eggs; but they were always found and carried off.,try hide egg find carry 
13,Jemima Puddle-duck became quite desperate. She determined to make a nest right away from the farm.,duck become desperate determine make nest farm 
14, She set off on a fine spring afternoon along the cart-road that leads over the hill.,set fine spring afternoon cart road lead hill 
15,She was wearing a shawl and a poke bonnet.,wear shawl poke bonnet 
16," When she reached the top of the hill, she saw a wood in the distance.",reach top hill see wood distance 
17,She thought that it looked a safe quiet spot.,think look safe quiet spot 
18," Jemima Puddle-duck was not much in the habit of flying. She ran downhill a few yards flapping her shawl, and then she jumped off into the air.",duck habit fly run few yard flap shawl jump air 
19, She flew beautifully when she had got a good start.,fly get good start 
20,"She skimmed along over the tree-tops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared.",skimm tree top see open place middle wood tree brushwood clear 
21," Jemima alighted rather heavily, and began to waddle about in search of a convenient dry nesting-place. She rather fancied a tree-stump amongst some tall fox-gloves.",alight begin waddle search convenient dry nest place fancy tree stump tall fox glove 
22,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper.",seat stump startle find dress gentleman read newspaper 
23,He had black prick ears and sandy coloured whiskers.,have black prick ear sandy coloured whisker 
24,"""Quack?"" said Jemima Puddle-duck, with her head and her bonnet on one side--""Quack?""",quack say duck head bonnet side quack 
25, The gentleman raised his eyes above his newspaper and looked curiously at Jemima--,gentleman raise eye newspaper look 
26,"""Madam, have you lost your way?"" said he. He had a long bushy tail which he was sitting upon, as the stump was somewhat damp.",lose way say have long bushy tail sit stump damp 
27,"Jemima thought him mighty civil and handsome. She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place.",think mighty civil handsome explain lose way try find convenient dry nest place 
28," ""Ah! is that so? indeed!"" said the gentleman with sandy whiskers, looking curiously at Jemima. He folded up the newspaper, and put it in his coat-tail pocket.",say gentleman sandy whisker look fold newspaper put coat tail pocket 
29,Jemima complained of the superfluous hen.,complain superfluous hen 
30,"""Indeed! how interesting! I wish I could meet with that fowl. I would teach it to mind its own business!""",interesting wish meet fowl teach mind own business 
31," ""But as to a nest--there is no difficulty: I have a sackful of feathers in my wood-shed. No, my dear madam, you will be in nobody's way. You may sit there as long as you like,"" said the bushy long-tailed gentleman.",nest be difficulty have sackful feather wood shed dear madam way sit like say bushy long tail gentleman 
32,"He led the way to a very retired, dismal-looking house amongst the fox-gloves.",lead way retire dismal look house fox glove 
33,"It was built of faggots and turf, and there were two broken pails, one on top of another, by way of a chimney.",build faggot turf be break pail top way chimney 
34," ""This is my summer residence; you would not find my earth--my winter house--so convenient,"" said the hospitable gentleman.",summer residence find earth winter house convenient say hospitable gentleman 
35,"There was a tumble-down shed at the back of the house, made of old soap-boxes. The gentleman opened the door, and showed Jemima in.",be tumble shed back house make old soap box gentleman open door show 
36, The shed was almost quite full of feathers--it was almost suffocating; but it was comfortable and very soft.,shed full feather suffocate comfortable soft 
37,Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers. But it was very comfortable; and she made a nest without any trouble at all.,duck surprised find vast quantity feather comfortable make nest trouble 
38," When she came out, the sandy whiskered gentleman was sitting on a log reading the newspaper--at least he had it spread out, but he was looking over the top of it.",come sandy whiskered gentleman sit log read newspaper least have spread look top 
39,"He was so polite, that he seemed almost sorry to let Jemima go home for the night. He promised to take great care of her nest until she came back again next day.",polite seem sorry let go night promise take great care nest come next day 
