id,paragraph,tokens
1,CHAPTER VIII. AN UNEXPECTED VISITOR.,unexpected visitor 
2," When Jessica came to the street into which the court where she lived opened, she saw an unusual degree of excitement among the inhabitants, a group of whom were gathered about a tall gentleman whom she recognized in an instant to be the minister. She elbowed her way through the midst of them, and the minister’s face brightened as she presented herself before him. He followed her up the low entry, across the squalid court, through the stable, empty of the donkeys just then, up the creaking rounds of the ladder, and into the miserable loft where the tiles were falling in and the broken window-panes were stuffed with rags and paper. Near to the old rusty stove, which served as a grate when there was any fire, there was a short board laid across some bricks, and upon this the minister took his seat, while Jessica sat upon the floor before him.",come street court live open see unusual degree excitement inhabitant group gather tall gentleman recognize instant minister elbow way midst minister face brighten present follow low entry squalid court stable empty donkey creaking round ladder miserable loft tile fall break window pane stuff rag paper old rusty stove serve grate be fire be short board lay brick minister take seat sit floor 
3,"“Jessica,” he said, sadly, “is this where you live?”",say live 
4,"“Yes,” she answered; “but we’d a nicer room than this when I was a fairy and mother played at the theatre; we shall be better off when I’m grown up, if I’m pretty enough to play like her.”",answer nice room fairy mother play theatre good grow enough play 
5,"“My child,” he said, “I’m come to ask your mother to let you go to school in a pleasant place down in the country. Will she let you go?”",child say come ask mother let go school pleasant place country let go 
6,"“No,” answered Jessica; “mother says she’ll never let me learn to read, or go to church; she says it would make me good for nothing. But please, sir, she doesn’t know any thing about your church, it’s such a long way off, and she hasn’t found me out yet. She always gets very drunk of a Sunday.”",answer mother say let learn read go church say make good sir know thing church long way find get drunk 
7,"The child spoke simply, and as if all she said was a matter of course; but the minister shuddered, and he looked through the broken window to the little patch of gloomy sky overhead.",child speak say matter course minister shudder look break window little patch gloomy sky 
8,"“What can I do?” he cried mournfully, as though speaking to himself.",do cry speak 
9,"“Nothing, please, sir,” said Jessica, “only let me come to hear you of a Sunday, and tell me about God. If you was to give me fine clothes--like your little girls’--mother ’ud only pawn them for gin. You can’t do any thing more for me.”",sir say let come hear tell give fine clothes little girl mother ud pawn gin do thing more 
10,“Where is your mother?” he asked.,mother ask 
11,"“Out on a spree,” said Jessica. “She wont be home for a day or two. She’d not hearken to you, sir. There’s the missionary came, and she pushed him down the ladder till he was nearly killed. They used to call mother ‘the vixen’ at the theatre, and nobody durst say a word to her.”",spree say day hearken sir be missionary come push ladder kill use call mother vixen theatre say word 
12,"The minister was silent for some minutes, thinking painful thoughts, for his eyes seemed to darken as he looked round the miserable room, and his face wore an air of sorrow and disappointment. At last he spoke again.",minister silent minute think painful thought eye seem dark look miserable room face wear air sorrow disappointment last speak 
13,"“Who is Mr. Daniel, Jessica?” he inquired.",inquire 
14,"“Oh,” she said cunningly, “he’s only a friend of mine as gives me sups of coffee. You don’t know all the folks in London, sir!”",say friend give sup coffee know folk sir 
15,"“No,” he answered, smiling, “but does he keep a coffee-stall?”",answer smile keep coffee stall 
16,"Jessica nodded her head, but did not trust herself to speak.",nod head trust speak 
17,“How much does a cup of coffee cost?” asked the minister.,cup coffee cost ask minister 
18,"“A full cup’s a penny,” she answered promptly; “but you can have half a cup; and there are half-penny and penny buns.”",full cup penny answer have cup be half penny penny bun 
19,"“Good coffee and buns?” he said, with another smile.",good coffee bun say smile 
20,"“Prime,” replied Jessica, smacking her lips.",prime reply smack lip 
21,"“Well,” continued the minister, “tell your friend to give you a full cup of coffee and a penny bun every morning, and I’ll pay for them as often as he chooses to come to me for the money.”",continue minister tell friend give full cup coffee penny bun morning pay choose come money 
22,"Jessica’s face beamed with delight, but in an instant it clouded over as she recollected Daniel’s secret, and her lips quivered as she spoke her disappointed reply.",face beam delight instant cloude recollect secret lip quiver speak disappointed reply 
23,"“Please, sir,” she said, “I’m sure he couldn’t come; oh! he couldn’t. It’s such a long way, and Mr. Daniel has plenty of customers. No, he never would come to you for money.”",sir say sure come long way have plenty customer come money 
24,"“Jessica,” he answered, “I will tell you what I will do. I will trust you with a shilling every Sunday, if you’ll promise to give it to your friend the very first time you see him. I shall be sure to know if you cheat me.” And the keen, piercing eyes of the minister looked down into Jessica’s, and once more the tender and pitying smile returned to his face.",answer tell do trust shilling promise give friend very first time see sure know cheat keen piercing eye minister look tender pitying smile return face 
