id,paragraph,tokens
1,CHAPTER XXVII. I COME TO MR. RANKEILLOR,come 
2,"The next day it was agreed that Alan should fend for himself till sunset; but as soon as it began to grow dark, he should lie in the fields by the roadside near to Newhalls, and stir for naught until he heard me whistling. At first I proposed I should give him for a signal the “Bonnie House of Airlie,” which was a favourite of mine; but he objected that as the piece was very commonly known, any ploughman might whistle it by accident; and taught me instead a little fragment of a Highland air, which has run in my head from that day to this, and will likely run in my head when I lie dying. Every time it comes to me, it takes me off to that last day of my uncertainty, with Alan sitting up in the bottom of the den, whistling and beating the measure with a finger, and the grey of the dawn coming on his face.",next day agree fend sunset begin grow dark lie field roadside stir naught hear whistle first propose give signal favourite object piece know ploughman whistle accident teach little fragment air run head day run head lie die time come take last day uncertainty sit bottom dan whistle beat measure finger grey dawn come face 
3,"I was in the long street of Queensferry before the sun was up. It was a fairly built burgh, the houses of good stone, many slated; the town-hall not so fine, I thought, as that of Peebles, nor yet the street so noble; but take it altogether, it put me to shame for my foul tatters.",long street sun build burgh house good stone many slate town hall fine think street noble take put shame foul tatter 
4,,
5,"As the morning went on, and the fires began to be kindled, and the windows to open, and the people to appear out of the houses, my concern and despondency grew ever the blacker. I saw now that I had no grounds to stand upon; and no clear proof of my rights, nor so much as of my own identity. If it was all a bubble, I was indeed sorely cheated and left in a sore pass. Even if things were as I conceived, it would in all likelihood take time to establish my contentions; and what time had I to spare with less than three shillings in my pocket, and a condemned, hunted man upon my hands to ship out of the country? Truly, if my hope broke with me, it might come to the gallows yet for both of us. And as I continued to walk up and down, and saw people looking askance at me upon the street or out of windows, and nudging or speaking one to another with smiles, I began to take a fresh apprehension: that it might be no easy matter even to come to speech of the lawyer, far less to convince him of my story.",morning go fire begin kindle window open person appear house concern despondency grow blacker see have grounds stand clear proof right much own identity bubble cheat leave sore pass thing conceive likelihood take time establish contention time have spare less shilling pocket condemn hunt man hand ship country hope break come gallow continue walk see person look askance street window nudge speak smile begin take fresh apprehension easy matter come speech lawyer less convince story 
6,"For the life of me I could not muster up the courage to address any of these reputable burghers; I thought shame even to speak with them in such a pickle of rags and dirt; and if I had asked for the house of such a man as Mr. Rankeillor, I suppose they would have burst out laughing in my face. So I went up and down, and through the street, and down to the harbour-side, like a dog that has lost its master, with a strange gnawing in my inwards, and every now and then a movement of despair. It grew to be high day at last, perhaps nine in the forenoon; and I was worn with these wanderings, and chanced to have stopped in front of a very good house on the landward side, a house with beautiful, clear glass windows, flowering knots upon the sills, the walls new-harled* and a chase-dog sitting yawning on the step like one that was at home. Well, I was even envying this dumb brute, when the door fell open and there issued forth a shrewd, ruddy, kindly, consequential man in a well-powdered wig and spectacles. I was in such a plight that no one set eyes on me once, but he looked at me again; and this gentleman, as it proved, was so much struck with my poor appearance that he came straight up to me and asked me what I did.",life muster courage address reputable burgher think shame speak pickle rag dirt ask house man suppose burst laugh face go street harbour side dog lose master strange gnawing inwards movement despair grow high day last forenoon wear wandering chance stop front good house landward side house beautiful clear glass window flowering knot sill wall new harl chase dog sit yawn step home envy dumb brute door fall open issue shrewd ruddy kindly consequential man powder wig spectacle plight set eye look gentleman prove strike poor appearance come ask 
7,     * Newly rough-cast.,rough cast 
8,"I told him I was come to the Queensferry on business, and taking heart of grace, asked him to direct me to the house of Mr. Rankeillor.",tell come business take heart grace ask direct house 
9,"“Why,” said he, “that is his house that I have just come out of; and for a rather singular chance, I am that very man.”",say house come singular chance man 
10,"“Then, sir,” said I, “I have to beg the favour of an interview.”",sir say have beg favour interview 
11,"“I do not know your name,” said he, “nor yet your face.”",know name say face 
12,"“My name is David Balfour,” said I.",name say 
13,"“David Balfour?” he repeated, in rather a high tone, like one surprised. “And where have you come from, Mr. David Balfour?” he asked, looking me pretty drily in the face.",repeat high tone surprise come ask look face 
14,"“I have come from a great many strange places, sir,” said I; “but I think it would be as well to tell you where and how in a more private manner.”",come great many strange place sir say think tell private manner 
15,"He seemed to muse awhile, holding his lip in his hand, and looking now at me and now upon the causeway of the street.",seem muse hold lip hand look causeway street 
16,"“Yes,” says he, “that will be the best, no doubt.” And he led me back with him into his house, cried out to some one whom I could not see that he would be engaged all morning, and brought me into a little dusty chamber full of books and documents. Here he sate down, and bade me be seated; though I thought he looked a little ruefully from his clean chair to my muddy rags. “And now,” says he, “if you have any business, pray be brief and come swiftly to the point. Nec gemino bellum Trojanum orditur ab ovo--do you understand that?” says he, with a keen look.",say good doubt lead house cry one see engage morning bring little dusty chamber full book document sate bid seat think look little clean chair muddy rag say have business pray brief come point understand say keen look 
17,"“I will even do as Horace says, sir,” I answered, smiling, “and carry you in medias res.” He nodded as if he was well pleased, and indeed his scrap of Latin had been set to test me. For all that, and though I was somewhat encouraged, the blood came in my face when I added: “I have reason to believe myself some rights on the estate of Shaws.”",do say sir answer smile carry media res nod pleased scrap set test encourage blood come face add have reason believe right estate 
18,He got a paper book out of a drawer and set it before him open. “Well?”  said he.,get paper book drawer set open say 
19,But I had shot my bolt and sat speechless.,shoot bolt sit speechless 
20,"“Come, come, Mr. Balfour,” said he, “you must continue. Where were you born?”",come come say continue bear 
21,"“In Essendean, sir,” said I, “the year 1733, the 12th of March.”",say year 12th 
22,He seemed to follow this statement in his paper book; but what that meant I knew not. “Your father and mother?” said he.,seem follow statement paper book mean know father mother say 
23,"“My father was Alexander Balfour, schoolmaster of that place,” said I, “and my mother Grace Pitarrow; I think her people were from Angus.”",father schoolmaster place say mother think person 
24,“Have you any papers proving your identity?” asked Mr. Rankeillor.,paper prove identity ask 
25,"“No, sir,” said I, “but they are in the hands of Mr. Campbell, the minister, and could be readily produced. Mr. Campbell, too, would give me his word; and for that matter, I do not think my uncle would deny me.”",sir say hand minister produce give word matter think uncle deny 
26,“Meaning Mr. Ebenezer Balfour?” says he.,mean say 
27,"“The same,” said I.",same say 
28,“Whom you have seen?” he asked.,see ask 
29,"“By whom I was received into his own house,” I answered.",receive own house answer 
30,“Did you ever meet a man of the name of Hoseason?” asked Mr. Rankeillor.,meet man name ask 
31,"“I did so, sir, for my sins,” said I; “for it was by his means and the procurement of my uncle, that I was kidnapped within sight of this town, carried to sea, suffered shipwreck and a hundred other hardships, and stand before you to-day in this poor accoutrement.”",do sir sin say means procurement uncle kidnap sight town carry sea suffer shipwreck other hardship stand day poor accoutrement 
32,"“You say you were shipwrecked,” said Rankeillor; “where was that?”",say shipwreck say 
33,"“Off the south end of the Isle of Mull,” said I. “The name of the isle on which I was cast up is the Island Earraid.”",south end say name isle cast 
34,"“Ah!” says he, smiling, “you are deeper than me in the geography. But so far, I may tell you, this agrees pretty exactly with other informations that I hold. But you say you were kidnapped; in what sense?”",say smile deep geography tell agree other information hold say kidnap sense 
35,"“In the plain meaning of the word, sir,” said I. “I was on my way to your house, when I was trepanned on board the brig, cruelly struck down, thrown below, and knew no more of anything till we were far at sea. I was destined for the plantations; a fate that, in God’s providence, I have escaped.”",plain meaning word sir say way house trepann board brig strike throw know more sea destine plantation fate escape 
36,"“The brig was lost on June the 27th,” says he, looking in his book, “and we are now at August the 24th. Here is a considerable hiatus, Mr. Balfour, of near upon two months. It has already caused a vast amount of trouble to your friends; and I own I shall not be very well contented until it is set right.”",brig lose 27th say look book 24th considerable hiatus month cause vast amount trouble friend own content set right 
37,"“Indeed, sir,” said I, “these months are very easily filled up; but yet before I told my story, I would be glad to know that I was talking to a friend.”",sir say month fill tell story glad know talk friend 
