id,paragraph,tokens
1,CHAPTER VI. Little Meg's Last Money,little last money 
2,"'What's the matter with you?' asked Meg, laying her small rough hand upon the girl's head.",matter ask lay small rough hand girl head 
3,"'Oh, Meg, Meg!' she cried, 'I do want to be good, and I can't.  You don't know how wicked I am; but once I was a good little girl like you. And now I can never, never be good again.'",cry want good know wicked good little girl good 
4,"'Yes, you can,' answered little Meg, 'if you ask God.'",answer little ask 
5,"'You don't know anything about it,' she said, pushing away Meg's hand.",know say push hand 
6,"'I don't know much,' replied Meg meekly; 'but Jesus says in the Bible, that if our fathers 'll give us good things, God 'll much more give good things to anybody as asks for 'em.'",know much reply say father give good thing give good thing ask 
7,"'But I'm too bad to ask Him,' said the girl.",bad ask say girl 
8,"'I don't know what's to be done, then,' answered Meg.  'The Bible says, ""Those that ask Him""; and if you are too bad to ask Him, I suppose He won't give you any good things.'",know do answer say ask bad ask suppose give good thing 
9,"The girl made no reply, but crouching down upon the hearth at Meg's feet, she sat looking into the fire with the expression of one who is thinking deeply.  Meg too was silent for a time, smiling now and then as she recollected that father would be at home to-morrow.",girl make reply crouch hearth foot sit look fire expression think silent time smile recollect father home 
10,"'I don't know what you're called,' said Meg, after a very long silence.",know call say long silence 
11,"'Oh, they call me Kitty, and Puss, and Madcap, and all sorts o' names,' answered the girl, with a deep sigh.",call sort name answer girl deep sigh 
12,'But that's not your christen name?' said Meg.,christen name say 
13,"'No,' she replied.",reply 
14,'What does your mother call you?' asked Meg.,mother call ask 
15,"For a moment little Meg was terrified, for the girl seized her hands in a strong and painful grasp, and her red eyes flamed with anger; but she loosed her hold gradually, and then, in a choking voice, she said, 'Don't you never speak to me about my mother!'",moment little terrify girl seize hand strong painful grasp red eye flame anger loose hold choke voice say speak mother 
16,"'Have you got any money, Kitty?' inquired Meg, by way of turning the conversation.",get money inquire way turn conversation 
17,"'Not a rap,' said Kitty, laughing hoarsely.",rap say laugh 
18,"'I've got two shillings left,' continued Meg, 'and I'll give you one; only, if you please, you mustn't come into my room again, at least till father's at home.  I promised mother not to let anybody at all come here.  You'll not be angry, will you?'",get shilling leave continue give come room least father home promise mother let come angry 
19,"'No, I'm not angry,' said Kitty gently, 'and you must always do what your mother told you, little Meg.  She spoke kind to me once, she did. So I'll go away now, dear, and never come in again: but you wouldn't mind me listening at the door when Robbie's saying his prayers sometimes?'",angry say do mother tell little speak kind go dear come mind listen door say prayer 
20,"'No,' answered Meg; 'and you may listen when I read up loud, if you like.  I always read something afore I go to bed, and I'll speak up loud enough for you to hear.'",answer listen read like read go bed speak hear 
21,"'I'll listen,' said Kitty, standing up to go to her own dark, cold attic, and looking round sadly at Meg's tidy room, all ready as it was for her father's arrival.  'I suppose you'd not mind me kissing the children afore I go?'",listen say stand go own dark cold attic look tidy room ready father arrival suppose mind kiss child go 
22,"'Oh no,' said Meg, going with her to the bedside, and looking down fondly upon the children's sleeping faces.  The baby's pale small face wore a smile upon it, as did Robin's also, for he was dreaming of the gardens he had visited on his birthday.  The girl bent over them, but she drew back without kissing them, and with a sharp painful tone in her voice she said, 'I wish I was dead, I do.'",say go bedside look child sleeping face baby pale small face wear smile dreaming garden visit birthday girl bend draw kiss sharp painful tone voice say wish dead 
23,,
24, ,
