id,paragraph,tokens
1,CHAPTER 1. IN MOONFLEET VILLAGE,chapter village 
2,So sleeps the pride of former days--_More_,sleep pride former day 
3," The village of Moonfleet lies half a mile from the sea on the right or west bank of the Fleet stream. This rivulet, which is so narrow as it passes the houses that I have known a good jumper clear it without a pole, broadens out into salt marshes below the village, and loses itself at last in a lake of brackish water. The lake is good for nothing except sea-fowl, herons, and oysters, and forms such a place as they call in the Indies a lagoon; being shut off from the open Channel by a monstrous great beach or dike of pebbles, of which I shall speak more hereafter. When I was a child I thought that this place was called Moonfleet, because on a still night, whether in summer, or in winter frosts, the moon shone very brightly on the lagoon; but learned afterwards that 'twas but short for 'Mohune-fleet', from the Mohunes, a great family who were once lords of all these parts.",village lie mile sea right west bank stream rivulet narrow pass house know good jumper clear pole broaden salt marsh village lose last lake brackish water lake good sea fowl heron oyster form place call lagoon shut open monstrous great beach dike pebble speak child think place call still night summer winter frost moon shine lagoon learn twa short fleet great family lord part 
4,"My name is John Trenchard, and I was fifteen years of age when this story begins. My father and mother had both been dead for years, and I boarded with my aunt, Miss Arnold, who was kind to me in her own fashion, but too strict and precise ever to make me love her.",name year age story begin father mother dead year board aunt kind own fashion strict precise make love 
5,"I shall first speak of one evening in the fall of the year 1757. It must have been late in October, though I have forgotten the exact date, and I sat in the little front parlour reading after tea. My aunt had few books; a Bible, a Common Prayer, and some volumes of sermons are all that I can recollect now; but the Reverend Mr. Glennie, who taught us village children, had lent me a story-book, full of interest and adventure, called the _Arabian Nights Entertainment_. At last the light began to fail, and I was nothing loth to leave off reading for several reasons; as, first, the parlour was a chilly room with horse-hair chairs and sofa, and only a coloured-paper screen in the grate, for my aunt did not allow a fire till the first of November; second, there was a rank smell of molten tallow in the house, for my aunt was dipping winter candles on frames in the back kitchen; third, I had reached a part in the _Arabian Nights_ which tightened my breath and made me wish to leave off reading for very anxiousness of expectation. It was that point in the story of the 'Wonderful Lamp', where the false uncle lets fall a stone that seals the mouth of the underground chamber; and immures the boy, Aladdin, in the darkness, because he would not give up the lamp till he stood safe on the surface again. This scene reminded me of one of those dreadful nightmares, where we dream we are shut in a little room, the walls of which are closing in upon us, and so impressed me that the memory of it served as a warning in an adventure that befell me later on. So I gave up reading and stepped out into the street. It was a poor street at best, though once, no doubt, it had been finer. Now, there were not two hundred souls in Moonfleet, and yet the houses that held them straggled sadly over half a mile, lying at intervals along either side of the road. Nothing was ever made new in the village; if a house wanted repair badly, it was pulled down, and so there were toothless gaps in the street, and overrun gardens with broken-down walls, and many of the houses that yet stood looked as though they could stand but little longer.",speak evening fall year late forget exact date sit little front parlour reading tea aunt have few book common volume sermon recollect teach village child loan story book full interest adventure call last light begin fail loth leave read several reason parlour chilly room horse hair chair sofa coloured paper screen grate aunt allow fire first be rank smell molten tallow house aunt dip winter candle frame back kitchen third reach part tighten breath make wish leave read anxiousness expectation point story wonderful lamp false uncle let fall stone seal mouth underground chamber immure boy darkness give lamp stand safe surface scene remind dreadful nightmare dream shut little room wall close impress memory serve warning adventure befell give reading step street poor street good doubt finer be soul house hold straggle mile lie interval side road make new village house want repair pull be toothless gap street overrun garden break wall many house stand look stand little 
6,"The sun had set; indeed, it was already so dusk that the lower or sea-end of the street was lost from sight. There was a little fog or smoke-wreath in the air, with an odour of burning weeds, and that first frosty feeling of the autumn that makes us think of glowing fires and the comfort of long winter evenings to come. All was very still, but I could hear the tapping of a hammer farther down the street, and walked to see what was doing, for we had no trades in Moonfleet save that of fishing. It was Ratsey the sexton at work in a shed which opened on the street, lettering a tombstone with a mallet and graver. He had been mason before he became fisherman, and was handy with his tools; so that if anyone wanted a headstone set up in the churchyard, he went to Ratsey to get it done. I lent over the half-door and watched him a minute, chipping away with the graver in a bad light from a lantern; then he looked up, and seeing me, said:",sun set dusk low sea end street lose sight be little fog smoke wreath air odour burn weed first frosty feeling autumn make think glow fire comfort long winter evening come hear tapping hammer street walk see do have trade save fishing sexton work shed open street letter tombstone mallet graver mason become fisherman handy tool want headstone set churchyard go get do loan half door watch minute chip graver bad light lantern look see say 
7,"'Here, John, if you have nothing to do, come in and hold the lantern for me, 'tis but a half-hour's job to get all finished.'",have do come hold lantern half hour job get finish 
8,"Ratsey was always kind to me, and had lent me a chisel many a time to make boats, so I stepped in and held the lantern watching him chink out the bits of Portland stone with a graver, and blinking the while when they came too near my eyes. The inscription stood complete, but he was putting the finishing touches to a little sea-piece carved at the top of the stone, which showed a schooner boarding a cutter. I thought it fine work at the time, but know now that it was rough enough; indeed, you may see it for yourself in Moonfleet churchyard to this day, and read the inscription too, though it is yellow with lichen, and not so plain as it was that night. This is how it runs:",kind loan chisel time make boat step hold lantern watch chink bit stone graver blink while come eye inscription stand complete put finish touch little sea piece carve top stone show schooner board cutter think fine work time know rough see churchyard day read inscription yellow lichen plain night run 
9,SACRED TO THE MEMORY OF DAVID BLOCK,sacred memory block 
10,"Aged 15, who was killed by a shot fired from the _Elector_ Schooner, 21 June 1757.",aged kill shot fire 
11,"Of life bereft (by fell design),   I mingle with my fellow clay. On God's protection I recline   To save me in the Judgement Day.",life bereft fall design mingle fellow clay protection recline save 
12,"There too must you, cruel man, appear,   Repent ere it be all too late; Or else a dreadful sentence fear,   For God will sure revenge my fate.",cruel man appear repent late dreadful sentence fear revenge fate 
13,"The Reverend Mr. Glennie wrote the verses, and I knew them by heart, for he had given me a copy; indeed, the whole village had rung with the tale of David's death, and it was yet in every mouth. He was only child to Elzevir Block, who kept the Why Not? inn at the bottom of the village, and was with the contrabandiers, when their ketch was boarded that June night by the Government schooner. People said that it was Magistrate Maskew of Moonfleet Manor who had put the Revenue men on the track, and anyway he was on board the _Elector_ as she overhauled the ketch. There was some show of fighting when the vessels first came alongside of one another, and Maskew drew a pistol and fired it off in young David's face, with only the two gunwales between them. In the afternoon of Midsummer's Day the _Elector_ brought the ketch into Moonfleet, and there was a posse of constables to march the smugglers off to Dorchester Jail. The prisoners trudged up through the village ironed two and two together, while people stood at their doors or followed them, the men greeting them with a kindly word, for we knew most of them as Ringstave and Monkbury men, and the women sorrowing for their wives. But they left David's body in the ketch, so the boy paid dear for his night's frolic.",write verse know heart give copy whole village rung tale death mouth child keep inn bottom village contrabandier ketch board night government schooner person say put revenue man track board overhaul ketch be show fighting vessel come draw pistol fire young face gunwale afternoon bring ketch be posse constable march smuggler prisoner trudge village iron person stand door follow man greeting kindly word know most man woman sorrow wife leave body ketch boy pay dear night frolic 
14,"'Ay, 'twas a cruel, cruel thing to fire on so young a lad,' Ratsey said, as he stepped back a pace to study the effect of a flag that he was chiselling on the Revenue schooner, 'and trouble is likely to come to the other poor fellows taken, for Lawyer Empson says three of them will surely hang at next Assize. I recollect', he went on, 'thirty years ago, when there was a bit of a scuffle between the _Royal Sophy_ and the _Marnhull_, they hanged four of the contrabandiers, and my old father caught his death of cold what with going to see the poor chaps turned off at Dorchester, and standing up to his knees in the river Frome to get a sight of them, for all the countryside was there, and such a press there was no place on land. There, that's enough,' he said, turning again to the gravestone. 'On Monday I'll line the ports in black, and get a brush of red to pick out the flag; and now, my son, you've helped with the lantern, so come down to the Why Not? and there I'll have a word with Elzevir, who sadly needs the talk of kindly friends to cheer him, and we'll find you a glass of Hollands to keep out autumn chills.'",twat cruel cruel thing fire young lad say step pace study effect flag chisell revenue schooner trouble likely come other poor fellow take say hang next recollect go year be bit scuffle hang contrabandier old father catch death cold go see poor chap turn stand knee river get sight countryside press be place land enough say turn gravestone line port black get brush red pick flag son help lantern come have word need talk kindly friend cheer find glass keep autumn chill 
15,"I was but a lad, and thought it a vast honour to be asked to the Why Not?--for did not such an invitation raise me at once to the dignity of manhood. Ah, sweet boyhood, how eager are we as boys to be quit of thee, with what regret do we look back on thee before our man's race is half-way run! Yet was not my pleasure without alloy, for I feared even to think of what Aunt Jane would say if she knew that I had been at the Why Not?--and beside that, I stood in awe of grim old Elzevir Block, grimmer and sadder a thousand times since David's death.",lad think vast honour ask invitation raise dignity manhood sweet boyhood eager boy quit regret look man race half way run pleasure alloy fear think say know stand awe grim old grimmer sadder time death 
16,"The Why Not? was not the real name of the inn; it was properly the Mohune Arms. The Mohunes had once owned, as I have said, the whole of the village; but their fortunes fell, and with them fell the fortunes of Moonfleet. The ruins of their mansion showed grey on the hillside above the village; their almshouses stood half-way down the street, with the quadrangle deserted and overgrown; the Mohune image and superscription was on everything from the church to the inn, and everything that bore it was stamped also with the superscription of decay. And here it is necessary that I say a few words as to this family badge; for, as you will see, I was to bear it all my life, and shall carry its impress with me to the grave. The Mohune shield was plain white or silver, and bore nothing upon it except a great black 'Y'. I call it a 'Y', though the Reverend Mr. Glennie once explained to me that it was not a 'Y' at all, but what heralds call a _cross-pall. Cross-pall_ or no _cross-pall,_ it looked for all the world like a black 'Y', with a broad arm ending in each of the top corners of the shield, and the tail coming down into the bottom. You might see that cognizance carved on the manor, and on the stonework and woodwork of the church, and on a score of houses in the village, and it hung on the signboard over the door of the inn. Everyone knew the Mohune 'Y' for miles around, and a former landlord having called the inn the Why Not? in jest, the name had stuck to it ever since.",real name inn own say whole village fortune fall fall fortune ruin mansion show grey hillside village almshouse stand half way street quadrangle desert overgrown image superscription church inn bear stamp superscription decay necessary say few word family badge see bear life carry impress grave shield plain white silver bear great black y call y explain y herald call _cross-pall cross pall_ _cross pall look world black y broad arm end top corner shield tail come bottom see cognizance carve manor stonework woodwork church score house village hang signboard door inn know y mile former landlord call jest name stick 
17,"More than once on winter evenings, when men were drinking in the Why Not?, I had stood outside, and listened to them singing 'Ducky-stones', or 'Kegs bobbing One, Two, Three', or some of the other tunes that sailors sing in the west. Such songs had neither beginning nor ending, and very little sense to catch hold of in the middle. One man would crone the air, and the others would crone a solemn chorus, but there was little hard drinking, for Elzevir Block never got drunk himself, and did not like his guests to get drunk either. On singing nights the room grew hot, and the steam stood so thick on the glass inside that one could not see in; but at other times, when there was no company, I have peeped through the red curtains and watched Elzevir Block and Ratsey playing backgammon at the trestle-table by the fire. It was on the trestle-table that Block had afterwards laid out his son's dead body, and some said they had looked through the window at night and seen the father trying to wash the blood-matting out of the boy's yellow hair, and heard him groaning and talking to the lifeless clay as if it could understand. Anyhow, there had been little drinking in the inn since that time, for Block grew more and more silent and morose. He had never courted customers, and now he scowled on any that came, so that men looked on the Why Not? as a blighted spot, and went to drink at the Three Choughs at Ringstave.",more winter evening man drink stand listen sing stone bob other tune sailor sing west such song have beginning end little sense catch hold middle man crone air other crone solemn chorus be little hard drinking get drunk like guest get drunk sing night room grow hot steam stand thick glass see other time be company peep red curtain watch play backgammon trestle table fire trestle table have lay son dead body say look window night see father try wash blood matt boy yellow hair hear groan talk lifeless clay understand be little drinking inn time grow more silent morose court customer scowl come man look blight spot go drink 
