id,paragraph,tokens
1,CHAPTER IV.,
2," A little before evening Thumb suddenly stopped, and stood listening. They went on a little farther, and again he stood still, with lifted head, snuffing the air. And soon they all heard plainly the sound of a great river. In the last light of sunset the travellers broke out of the forest and looked down on the waters of the deep and swollen Obea-munza. Along its banks grew giant sedge, stiff and grey with frost like meal. In this sedge little birds were disporting themselves, flitting and twittering, with long plumes of every colour that changes in the sunlight, brushing off with their tiny wings the gathered hoarfrost into the still sunset air. The Mulgars stood like painted wooden images, with their bundles and cudgels, staring down at the river, wide and turbulent, its gloomy hummocks of ice and frozen snow nodding down upon the pale green waters. They glanced at one another as if with the question on their faces, ""How now, O Mulla-mulgars?""",little evening stop stand listen go little far stand lift head snuff air hear sound great river last light sunset traveller break forest look water deep swollen munza bank grow giant sedge stiff grey frost meal sedge little bird disport flit twiteer long plume colour change sunlight brush tiny wing gather hoarfrost sunset air stand paint wooden image bundle cudgel stare river wide turbulent gloomy hummock ice freeze snow nodd pale green water glance question face mulgar 
3,"""'His country lies beyond and beyond,'"" muttered Thimble. ""'Forest and river, forest, swamp, and river.' Could, then, our father Seelem walk on water?""",country lie mutter river forest swamp river father walk water 
4,"Thumb coughed in his throat. ""What matters it? He went: we follow,"" he grunted stubbornly. ""We must journey on till our wings grow, Mulla Thimble, or till your long legs can straddle bank to bank."" And they all three stared in silence again at the swirling icy water.",thumb cough throat matter go follow grunt journey wing grow long leg straddle bank bank stare silence swirl icy water 
5,"Now, it was just beginning to be twilight, which is many times more brief than England's in Munza, and the frozen forest was utterly still in the fading rose and purple, the beasts not yet having come down to drink. And while the travellers stood listening, there came, as it were from afar off, the beating of a drum--seven hollow beats, and then silence.",begin twilight many time brief freeze forest fade rose purple beast come drink traveller stand listen come afar beating drum hollow beat silence 
6,"""What in Munza, Thumb, makes a noise like that?"" Nod whispered. ""Listen, listen!""",make noise nod whisper listen listen 
7,"They all three hearkened again, with heads bent and eyes fixed, and soon once more they heard the hollow drumming. Thumb shook his head uneasily.",hearken head bend eye fix hear hollow drum thumb shake head 
8,"""It is wary walking, my brothers,"" he said; ""maybe there are Oomgar-nuggas [black men] by the riverside; or maybe it is one of the great hairy Gunga-mulgars whose country our father Seelem told me lies five days' journey towards the daybreak. Whicheversoever, Mulla-mulgars, we will hobble on and discover.""",wary walk brother say be black man riverside great hairy mulgar country father tell lie day journey daybreak mulgar hobble discover 
9,"Thimble dropped lightly, and rested on all-fours a moment. His eyes squinted a little, for he greatly feared the drumming they had heard.",drop rest four moment eye squint little fear drum hear 
10,"But Thumb, moving softly, edged watchfully on, and Thimble and Nod followed as he led along the reedy bank of the river. Ever and again they heard the drumming repeated, but it seemed no less distant, so they squatted down to eat while there was light enough in the sky to find the way from fingers to mouth. They sat down under a twisted Bōōbab-tree, opened their bundles, and took out the frosted nuts and fruits which they had lately gathered for their supper. But it was so bitterly cold by the waterside Nod could scarcely crack his shells between his chattering teeth. And now the waning moon was beginning to silver river and forest. From the farther bank rose the cries of Munza's beasts come down to drink, mournful, lean, and fierce from hunger and cold. Soon the long-billed river-birds began their night-talk across the water. And while the Mulgars were sitting silently munching, out of the shadow before their faces came on her soundless pads a young she-leopard, and with catlike face stood regarding them.",move edged follow lead reedy bank river hear drum repeat seem distant squatet eat be light sky find way finger mouth sit twist bōōbab tree open bundle take frost nut fruit gather supper cold waterside crack shell chatter tooth wane moon begin silver river forest far bank rise cry beast come drink mournful lean fierce hunger cold long bill river bird begin night talk water sit munch shadow face come soundless pad young leopard catlike face stand regard 
11,"Thumb and Thimble dropped softly their hands, and very slowly stooped their stiff-haired heads. But the leopard, after regarding them awhile, and seeing them to be three together and Mulgars-royal, drew back her head, yawned, and leapt lightly back into the shadowy grasses from which she had stolen out. ""One Roses brings many,"" said Thumb sourly; ""let us hobble on, Mulla-mulgars, until we find a quieter sleeping-place.""",drop hand stoop stiff haired head leopard regard see royal draw head yawn leapt shadowy grasse steal bring many say let hobble mulgar find quiet sleeping place 
12,"But it was now so dark beside the river that the Mulgars had to stop and walk on the knuckles of their hands, as do all the Munza-mulgars. And while they walked heedfully forward, they heard the trump-billed river-birds calling their secrets one to another:",dark river have stop walk knuckle hand do mulgar walk hear trump bill river bird call secret 
13,"    ""I see Mulgars, one, two, three,       Creeping, crawling, one, two, three.""",see creep crawl 
14,"Once Thumb trod on a forest-pig that was lying half dead with cold under a root of Samarak. But the pig was too weak to squeal. Nod stooped and gave him three Ukka-nuts and a pepper-pod. ""There, pig,"" he said, ""tell your brothers who stole my bundle that Nod Nizza-neela gave you these when you were frozen."" And the pig, being a pig, opened its slits of eyes and feebly snapped at his fingers. Nod laughed and hastened after his brothers.",trod forest pig lie half dead cold root pig weak squeal stoop give nut pepper pod pig say tell brother steal bundle give freeze pig pig open slit eye snap finger laugh hasten brother 
15,"Over the half-moon a cloud of snow was drawing, and soon the whispering flakes began to float again between the branches. The wind that blew steadily down the river was sharp and icy. The travellers were afraid, if they slept in the trees again, they would be frozen. And if even one big toe of any one of them got frost-bitten, how distant would the Valley of Tishnar seem then! They heard, too, now and then the faint sounds of snapping twig and rustling reed, and a low whimpering growl would sometimes set the giant grasses trembling. Stiff and crusted with frost, and in constant danger of falling into the river, they crawled stubbornly on.",half moon cloud snow draw whispering flake begin float branch wind blow river sharp icy traveller afraid sleep tree freeze big toe one get frost bit distant seem hear faint sound snapp twig rustle reed low whimper growl set giant grasse tremble stiff crust frost constant danger fall river crawl 
