id,paragraph,tokens
1,IDA.,
2,"... ""Thou shall not lack     The flower that's like thy face, pale Primrose.""",lack flower face pale 
3,_Cymbeline._,
4,BOOK 1.,
5,"The little old lady lived over the way, through a green gate that shut with a click, and up three white steps. Every morning at eight o'clock the church bell chimed for Morning Prayer--chim! chime! chim! chime!--and every morning at eight o'clock the little old lady came down the white steps, and opened the gate with a click, and went where the bells were calling.",little old lady live way green gate shut click white step morning o'clock church bell chime chim chime chime morning o'clock little old lady come white step open gate click go bell call 
6,"About this time also little Ida would kneel on a chair at her nursery window in the opposite house to watch the old lady come out and go. The old lady was one of those people who look always the same. Every morning her cheeks looked like faded rose-leaves, and her white hair like a snow-wreath in a garden laughing at the last tea-rose. Every morning she wore the same black satin bonnet, and the same white shawl; had delicate gloves on the smallest of hands, and gathered her skirt daintily up from the smallest of feet. Every morning she carried a clean pocket-handkerchief, and a fresh rose in the same hand with her Prayer-book; and as the Prayer-book, being bound up with the Bible, was very thick, she seemed to have some difficulty in so doing. Every morning, whatever the weather might be, she stood outside the green gate, and looked up at the sky to see if this were clear, and down at the ground to see if that were dry; and so went where the bells were calling.",time little kneel chair nursery window opposite house watch old lady come go old lady person look same morning cheek look fade rose leave white hair snow wreath garden laugh last tea-rose morning wear same black satin bonnet same white shawl have delicate glove small hand gather skirt small foot morning carry clean pocket handkerchief fresh rose same hand prayer book book bind thick seem have difficulty do morning weather stand green gate look sky see clear ground see dry go bell call 
7,"Ida knew the little old lady quite well by sight, but she did not know her name. Perhaps Ida's great-uncle knew it; but he was a grave, unsociable man, who saw very little of his neighbours, so perhaps he did not; and Ida stood too much in awe of him to trouble him with idle questions. She had once asked Nurse, but Nurse did not know; so the quiet orphan child asked no more. She made up a name for the little old lady herself, however, after the manner of Mr. John Bunyan, and called her Mrs. Overtheway; and morning after morning, though the bread-and-milk breakfast smoked upon the table, she would linger at the window, beseeching--",know little old lady sight know name great uncle know grave unsociable man see little neighbour stand much awe trouble idle question ask know quiet orphan child ask more make name little old lady manner call morning morning bread milk breakfast smoke table linger window beseech 
8,"""One minute more, dear Nurse! Please let me wait till Mrs. Overtheway has gone to church.""",minute more dear nurse let wait go church 
9,"And when the little old lady had come out and gone, Ida would creep from her perch, and begin her breakfast. Then, if the chimes went on till half the basinful was eaten, little Ida would nod her head contentedly, and whisper--",little old lady come go creep perch begin breakfast chime go basinful eat little nod head whisper 
10,"""Mrs. Overtheway was in time.""",time 
11,"Little Ida's history was a sad one. Her troubles began when she was but a year old, with the greatest of earthly losses--for then her mother died, leaving a sailor husband and their infant child. The sea-captain could face danger, but not an empty home; so he went back to the winds and the waves, leaving his little daughter with relations. Six long years had he been away, and Ida had had many homes, and yet, somehow, no home, when one day the postman brought her a large letter, with her own name written upon it in a large hand. This was no old envelope sealed up again--no make-believe epistle to be put into the post through the nursery door: it was a real letter, with a real seal, real stamps, and a great many post-marks; and when Ida opened it there were two sheets written by the Captain's very own hand, in round fat characters, easy to read, with a sketch of the Captain's very own ship at the top, and--most welcome above all!--the news that the Captain's very own self was coming home.",little history sad one trouble begin year old great earthly loss mother die leave sailor husband infant child sea captain face danger empty home go wind wave leave little daughter relation long year have many home home day postman bring large letter own name write large hand old envelope seal make believe epistle put post nursery door real letter real seal real stamp great many post mark open be sheet write very own hand round fat character easy read sketch own ship top welcome news own self come 
12,"""I shall have a papa all to myself very soon, Nurse,"" said Ida. ""He has written a letter to me, and made me a picture of his ship; it is the 'Bonne Esperance,' which he says means Good Hope. I love this letter better than anything he has ever sent me.""",have papa say write letter make picture ship say mean good love letter good send 
13,"Nevertheless, Ida took out the carved fans and workboxes, the beads, and handkerchiefs, and feathers, the dainty foreign treasures the sailor-father had sent to her from time to time; dusted them, kissed them, and told them that the Captain was coming home. But the letter she wore in her pocket by day, and kept under her pillow by night.",take carve fan workboxe bead handkerchief feather dainty foreign treasure sailor father send time time dust kiss tell come letter wear pocket day keep pillow night 
14,"""Why don't you put your letter into one of your boxes, like a tidy young lady, Miss Ida?"" said Nurse. ""You'll wear it all to bits doing as you do.""",put letter box tidy young lady say wear bit do do 
15,"""It will last till the ship comes home,"" said Miss Ida.",last ship come say 
16,"It had need then to have been written on the rock, graven with an iron pen for ever; for the ""Bonne Esperance"" (like other earthly hopes) had perished to return no more. She foundered on her homeward voyage, and went down into the great waters, whilst Ida slept through the stormy night, with the Captain's letter beneath her pillow.",need write rock graven iron pen other earthly hope perish return more founder homeward voyage go great water sleep stormy night letter pillow 
17,Alas! Alas! Alas!,
18,       *       *       *       *       *,
19,"Two or three months had now passed away since Ida became an orphan. She had become accustomed to the crape-hung frock; she had learnt to read the Captain's letter as the memorial of a good hope which it had pleased God to disappoint; she was fairly happy again. It was in the midst of that new desolation in her lonely life that she had come to stay with her great-uncle, and had begun to watch the doings of the little old lady who lived over the way. When dolls seemed vanity, and Noah's Ark a burden, it had been a quiet amusement, demanding no exertion, to see what little she could see of the old lady's life, and to speculate about what she could not; to wonder and fancy what Mrs. Overtheway looked like without her bonnet, and what she did with herself when she was not at church. Ida's imagination did not carry her far. She believed her friend to be old, immeasurably old, indefinitely old; and had a secret faith that she had never been otherwise. She felt sure that she wore a cap indoors, and that it was a nicer one than Nurse's; that she had real tea, with sugar and cream, instead of milk-and-water, and hot toast rather than bread-and-treacle for tea; that she helped herself at meals, and went to bed according to her own pleasure and convenience; was--perhaps on these very grounds--utterly happy, and had always been so.",month pass become orphan become accustom crape hang frock learn read letter memorial good hope pleased disappoint happy midst new desolation lonely life come stay great uncle begin watch doing little old lady live way doll seem vanity burden quiet amusement demand exertion see little see old lady life speculate wonder fancy look bonnet do church imagination carry believe friend old old old have secret faith feel sure wear cap nice one have real tea sugar cream milk water hot toast bread treacle tea help meal go bed accord own pleasure convenience very grounds happy 
20,"""I am only a little girl,"" said Ida, as she pressed her face sadly to the cold window-pane. ""I am only a little girl, and very sad, you know, because Papa was drowned at sea; but Mrs. Overtheway is very old, and always happy, and so I love her.""",little girl say press face cold window pane little girl sad know drown sea old happy love 
21,And in this there was both philosophy and truth.,be philosophy truth 
