id,paragraph,tokens
1,BOOK 2. The Nightingale and the Rose.,book 
2,         [Decorative graphic of young man lying on grass],decorative graphic young man lie grass 
3,"“SHE said that she would dance with me if I brought her red roses,” cried the young Student; “but in all my garden there is no red rose.”",say dance bring red rose cry young garden be red rose 
4,"From her nest in the holm-oak tree the Nightingale heard him, and she looked out through the leaves, and wondered.",nest holm oak tree hear look leave wonder 
5,"“No red rose in all my garden!” he cried, and his beautiful eyes filled with tears.  “Ah, on what little things does happiness depend!  I have read all that the wise men have written, and all the secrets of philosophy are mine, yet for want of a red rose is my life made wretched.”",red rise garden cry beautiful eye fill tear little thing happiness depend read wise man write secret philosophy want red rose life make wretch 
6,"“Here at last is a true lover,” said the Nightingale.  “Night after night have I sung of him, though I knew him not: night after night have I told his story to the stars, and now I see him.  His hair is dark as the hyacinth-blossom, and his lips are red as the rose of his desire; but passion has made his face like pale ivory, and sorrow has set her seal upon his brow.”",last true lover say night night sung know night night tell story star see hair dark hyacinth blossom lip red rose desire passion make face pale ivory sorrow set seal brow 
7,"“The Prince gives a ball to-morrow night,” murmured the young Student, “and my love will be of the company.  If I bring her a red rose she will dance with me till dawn.  If I bring her a red rose, I shall hold her in my arms, and she will lean her head upon my shoulder, and her hand will be clasped in mine.  But there is no red rose in my garden, so I shall sit lonely, and she will pass me by.  She will have no heed of me, and my heart will break.”",give ball night murmure young love company bring red rose dance bring red rose hold arm lean head shoulder hand clasp be red rose garden sit lonely pass have heed heart break 
8,"“Here indeed is the true lover,” said the Nightingale.  “What I sing of, he suffers—what is joy to me, to him is pain.  Surely Love is a wonderful thing.  It is more precious than emeralds, and dearer than fine opals. Pearls and pomegranates cannot buy it, nor is it set forth in the marketplace.  It may not be purchased of the merchants, nor can it be weighed out in the balance for gold.”",true lover say sing suffer joy pain wonderful thing precious emerald dearer fine opal pearl pomegranate buy set marketplace purchase merchant weigh balance gold 
9,"“The musicians will sit in their gallery,” said the young Student, “and play upon their stringed instruments, and my love will dance to the sound of the harp and the violin.  She will dance so lightly that her feet will not touch the floor, and the courtiers in their gay dresses will throng round her.  But with me she will not dance, for I have no red rose to give her”; and he flung himself down on the grass, and buried his face in his hands, and wept.",musician sit gallery say young play stringed instrument love dance sound harp violin dance foot touch floor courtier gay dress throng dance have red rose give flung grass bury face hand goot 
10,"“Why is he weeping?” asked a little Green Lizard, as he ran past him with his tail in the air.",weep ask little green run tail air 
11,"“Why, indeed?” said a Butterfly, who was fluttering about after a sunbeam.",say flutter sunbeam 
12,"“Why, indeed?” whispered a Daisy to his neighbour, in a soft, low voice.",whisper neighbour soft low voice 
13,"“He is weeping for a red rose,” said the Nightingale.",weep red rose say 
14,"“For a red rose?” they cried; “how very ridiculous!” and the little Lizard, who was something of a cynic, laughed outright.",red rose cry ridiculous little cynic laugh 
15,"But the Nightingale understood the secret of the Student’s sorrow, and she sat silent in the oak-tree, and thought about the mystery of Love.",understand secret sorrow sit silent oak tree think mystery 
16,"Suddenly she spread her brown wings for flight, and soared into the air. She passed through the grove like a shadow, and like a shadow she sailed across the garden.",spread brown wing flight soar air pass grove shadow shadow sail garden 
17,"In the centre of the grass-plot was standing a beautiful Rose-tree, and when she saw it she flew over to it, and lit upon a spray.",centre grass plot stand beautiful rose tree see fly light spray 
18,"“Give me a red rose,” she cried, “and I will sing you my sweetest song.”",give red rose cry sing sweetest song 
19,But the Tree shook its head.,shake head 
20,"“My roses are white,” it answered; “as white as the foam of the sea, and whiter than the snow upon the mountain.  But go to my brother who grows round the old sun-dial, and perhaps he will give you what you want.”",rose white answer white foam sea whit snow mountain go brother grow old sun- dial give want 
21,So the Nightingale flew over to the Rose-tree that was growing round the old sun-dial.,fly tree grow old sun-dial 
22,"“Give me a red rose,” she cried, “and I will sing you my sweetest song.”",give red rose cry sing sweetest song 
23,But the Tree shook its head.,shake head 
24,"“My roses are yellow,” it answered; “as yellow as the hair of the mermaiden who sits upon an amber throne, and yellower than the daffodil that blooms in the meadow before the mower comes with his scythe.  But go to my brother who grows beneath the Student’s window, and perhaps he will give you what you want.”",rose yellow answer yellow hair mermaiden sit amber throne yellower daffodil bloom meadow mower come scythe go brother grow window give want 
25,So the Nightingale flew over to the Rose-tree that was growing beneath the Student’s window.,fly tree grow window 
26,"“Give me a red rose,” she cried, “and I will sing you my sweetest song.”",give red rose cry sing sweetest song 
27,But the Tree shook its head.,shake head 
