id,paragraph,tokens
1,The Tale of Peter Rabbit Beatrix Potter,
2,,
3, BOOK 1.,
4,"Once upon a time there were four little Rabbits, and their names were--",time be little rabbit name 
5,"          Flopsy,        Mopsy,    Cotton-tail, and Peter.",tail 
6,"They lived with their Mother in a sand-bank, underneath the root of a very big fir-tree.",live mother sand bank root big fir tree 
7,"'Now my dears,' said old Mrs. Rabbit one morning, 'you may go into the fields or down the lane, but don't go into Mr. McGregor's garden: your Father had an accident there; he was put in a pie by Mrs. McGregor.'",dear say old morning go field lane go garden father have accident put pie 
8,,
9,"'Now run along, and don't get into mischief. I am going out.'",run get mischief go 
10,"Then old Mrs. Rabbit took a basket and her umbrella, and went through the wood to the baker's. She bought a loaf of brown bread and five currant buns.",old take basket umbrella go wood baker buy loaf brown bread currant bun 
11,,
12,"Flopsy, Mopsy, and Cottontail, who were good little bunnies, went down the lane to gather blackberries:",good little bunny go lane gather blackberry 
13,"But Peter, who was very naughty, ran straight away to Mr. McGregor's garden, and squeezed under the gate!",naughty run garden squeeze gate 
14,,
15,First he ate some lettuces and some French beans; and then he ate some radishes;,eat lettuce french bean eat radishe 
16,"And then, feeling rather sick, he went to look for some parsley.",feel sick go look parsley 
17,,
18,"But round the end of a cucumber frame, whom should he meet but Mr. McGregor!",end cucumber frame meet 
19,"Mr. McGregor was on his hands and knees planting out young cabbages, but he jumped up and ran after Peter, waving a rake and calling out, 'Stop thief!'",hand knee plant young cabbage jump run wave rake call stop thief 
20,,
21,"Peter was most dreadfully frightened; he rushed all over the garden, for he had forgotten the way back to the gate.",frighten rush garden forget way gate 
22,"He lost one of his shoes among the cabbages, and the other shoe amongst the potatoes.",lose shoe cabbage other shoe potato 
23,"After losing them, he ran on four legs and went faster, so that I think he might have got away altogether if he had not unfortunately run into a gooseberry net, and got caught by the large buttons on his jacket. It was a blue jacket with brass buttons, quite new.",lose run leg go fast think get run gooseberry net catch large button jacket blue jacket brass button new 
24,,
25,"Peter gave himself up for lost, and shed big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself.",give lose shed big tear sob overhear friendly sparrow fly great excitement implore exert 
26,"Mr. McGregor came up with a sieve, which he intended to pop upon the top of Peter; but Peter wriggled out just in time, leaving his jacket behind him.",come sieve intend pop top wriggle time leave jacket 
27,,
28,"And rushed into the tool-shed, and jumped into a can. It would have been a beautiful thing to hide in, if it had not had so much water in it.",rush tool shed jump can beautiful thing hide have much water 
29,"Mr. McGregor was quite sure that Peter was somewhere in the tool-shed, perhaps hidden underneath a flower-pot. He began to turn them over carefully, looking under each.",sure tool shed hide flower pot begin turn look 
30,Presently Peter sneezed--'Kertyschoo!' Mr. McGregor was after him in no time.,sneez time 
31,,
32,"And tried to put his foot upon Peter, who jumped out of a window, upsetting three plants. The window was too small for Mr. McGregor, and he was tired of running after Peter. He went back to his work.",try put foot jump window upsetting plant window small tired run go work 
33,"Peter sat down to rest; he was out of breath and trembling with fright, and he had not the least idea which way to go. Also he was very damp with sitting in that can.",sit rest breath tremble fright have least idea way go damp sit can 
34,"After a time he began to wander about, going lippity--lippity--not very fast, and looking all round.",time begin wander go lippity lippity fast look 
35,,
36,"He found a door in a wall; but it was locked, and there was no room for a fat little rabbit to squeeze underneath.",find door wall lock be room fat little rabbit squeeze 
37,"An old mouse was running in and out over the stone doorstep, carrying peas and beans to her family in the wood. Peter asked her the way to the gate, but she had such a large pea in her mouth that she could not answer. She only shook her head at him. Peter began to cry.",old mouse run stone doorstep carry pea bean family wood ask way gate have large pea mouth answer shake head begin cry 
38,"Then he tried to find his way straight across the garden, but he became more and more puzzled. Presently, he came to a pond where Mr. McGregor filled his water-cans. A white cat was staring at some gold-fish, she sat very, very still, but now and then the tip of her tail twitched as if it were alive. Peter thought it best to go away without speaking to her; he had heard about cats from his cousin, little Benjamin Bunny.",try find way garden become puzzled come pond fill water can white cat stare gold fish sit tip tail twitch alive think good go speak hear cat cousin little 
39,,
