id,paragraph,tokens
1,CHAPTER 23.,
2,"     They hadna sailed a league, a league,      A league, but barely three,      When the lift grew dark, and the wind grew loud,      And gurly grew the sea.                     --SIR PATRICK SPENS.--(Old Ballad.)",have sail league league league lift grow dark wind grow grow sea old 
3," Guy’s evening with the Ashfords threw down many of the barriers in the way of intimacy. He soon made friends with the children, beginning with the two years old baby, and ending with gaining even the shy and sturdy Robin, who could not hold out any longer, when it appeared that Sir Guy could tell him the best place for finding sea-urchins, the present objects of his affections.",guy evening throw many barrier way intimacy make friend child begin year old baby end gain shy sturdy hold appear tell good place find sea- urchin present object affection 
4,"‘But we should have to go through the park,’ said Edward, disconsolately, when Guy had described the locality.",have go park say describe locality 
5,"‘Well, why not?’",
6,"‘We must not go into the park!’ cried the children, in chorus.",go park cry child chorus 
7,"‘Not go into the park!’ exclaimed Guy, looking at Mrs. Ashford, in amazement; then, as it flashed on him that it was his part to give leave, he added,--‘I did not know I was such a dog in the manger. I thought all the parish walked naturally in the park. I don’t know what else it is good for. If Markham will lock it up, I must tell him to give you a key.’",go park exclaim guy look amazement flash part give leave add know dog manger think parish walk park know good lock tell give key 
8,"The boys were to come the next day--to be shown the way to the bay of urchins, and thenceforth they became his constant followers to such a degree, that their parents feared they were very troublesome, but he assured them to the contrary; and no mother in the world could have found it in her heart to keep them away from so much happiness. There was continually a rushing home with a joyous outcry,--‘Mamma! Sir Guy gave me a ride on his horse!’ ‘Mamma! Sir Guy helped us to the top of that great rock!’ ‘Oh, papa! Sir Guy says we may come out shooting with him to-morrow, if you will let us!’ ‘Mamma! papa! look! Do you see? I shot this rabbit my own self with Sir Guy’s gun!’ ‘Papa! papa! Sir Guy showed us his boat, and he says he will take us out to the Shag Rock, if you will give us leave!’",boy come next day show way bay urchin thenceforth become constant follower degree parent fear troublesome assure contrary mother world find heart keep much happiness be rush home joyous outcry give ride horse help top great rock say come shoot let papa look see shoot rabbit own self gun papa show boat say take give leave 
9,"This was beyond what papa, still further beyond what mamma, could like, since the sea was often very rough in parts near the Shag; there were a good many sunken rocks, and boys, water, and rocks, did not appear by any means a safe conjunction, so Mrs. Ashford put the matter off for the present by the unseasonableness of the weather; and Mr. Ashford asked one or two of the fishermen how far they thought landing on the Shag a prudent attempt.",papa mamma like sea rough part be good many sink rock boy water rock appear mean safe conjunction put matter present unseasonableness weather ask fisherman think land prudent attempt 
10,"They did not profess to have often tried, they always avoided those rocks; but it could hardly be very dangerous, they said, for when Sir Guy was a boy, he used to be about there for ever, at first with an old boatman, and afterwards alone in his little boat. They had often wondered he was trusted there; but if any one knew the rocks, he did.",profess try avoid rock dangerous say boy use first old boatman alone little boat wonder trust one know rock 
11,"Still, Mrs. Ashford could not make up her mind to like the idea, and the boys came to Sir Guy in a state of great discomposure.",make mind like idea boy come state great discomposure 
12,"‘Never mind’ he said, ‘perhaps we shall manage it in the summer. We will get your father to go out with us himself; and, in the meantime, who likes to come with me after the rabbits in Cliffstone Copse? Farmer Holt will thank Robin for killing a dozen or so, for he makes grievous complaints of them.’",mind say manage summer get father go meantime like come rabbit thank kill make grievous complaint 
13,"Guy conducted the boys out of sight of the sea, and, to console them, gave them so much more use of the gun than usual, that it might be considered as a wonder that he escaped being shot. Yet it did not prevent a few sighs being spent on the boating.",guy conduct boy sight sea console give more use gun usual consider wonder escape shoot prevent few sigh spend boating 
14,"‘Can’t you forget it?’ said Guy, smiling. ‘You have no loss, after all, for we are likely to have no boating weather this long time. Hark! don’t you hear the ground-swell?’",forget say guy smile have loss likely have boating weather long time hark hear ground swell 
15,"‘What’s that?’ said the boys, standing still to listen to the distant surge, like a continuous low moan, or roar, far, far away, though there was no wind, and the sea was calm.",say boy stand listen distant surge continuous low moan roar be wind sea calm 
16,"‘It is the sound that comes before stormy weather,’ said Guy. ‘It is as if the sea was gathering up its forces for the tempest.’",sound come stormy weather say guy sea gather force tempest 
17,"‘But what?--how? Tell me what it really is,’ said Robin.",tell say 
18,"‘I suppose it is the wind on the sea before it has reached us,’ said Guy. ‘How solemn it is!’",suppose wind sea reach say guy solemn 
19,"Too solemn for the boys, who began all manner of antics and noises, by way of silencing the impression of awfulness. Guy laughed, and joined in their fun; but as soon as they were gone home, he stood in silence for a long time, listening to the sound, and recalling the mysterious dreams and fancies with which it was connected in his boyhood, and which he had never wished thus to drive away.",solemn boy begin manner antic noise way silence impression awfulness guy laugh join fun go stand silence long time listen sound recall mysterious dream fancy connect boyhood wish drive 
20,"The storm he had predicted came on; and by the evening of the following day, sea and wind were thundering, in their might, against the foot of the crags. Guy looked from the window, the last thing at night, and saw the stars twinkling overhead, with that extreme brilliancy which is often seen in the intervals of fitful storms, and which suggested thoughts that sent him to sleep in a vague, soothing dream.",storm predict come evening follow day sea wind thunder might foot crag guy look window last thing night see star twinkle extreme brilliancy see interval fitful storm suggest thought send sleep vague soothing dream 
