id,paragraph,tokens
1,ARTHUR RIDLEY;,
2,"OR, A",
3,VOYAGE TO NORWAY.,voyage 
4," Among the springs and mosses of Alston Moor, near the source of the South Tyne, are several little grass farms, on which are bred sheep and black cattle by the industrious farmers of Cumberland and Northumberland. In a most retired spot between the two counties, dwelt old farmer Ridley and his grandson Arthur. The farmer was one of those small landholders, who are called _statesmen_ in the dialect of the northern counties; he had lost his wife, but she had left him two sons. Walter Ridley, the elder, was the father of Arthur, and captain of a merchant ship, that traded to the Baltic, from the port of Newcastle. He had married a tradesman's daughter from that place, who died when little Arthur was but two years old; and Walter, who knew not what to do with so young a child, begged his father to take the boy, and bring him up at the farm, till he was old enough to go to sea. About four years after, Hugh Ridley, the farmer's younger son, was killed in the command of a privateer, while he was endeavouring to take a French merchant ship. It was greatly against the wishes of old Mr. Ridley that both his sons followed so dangerous a profession: one of them, at least, he hoped would have remained at home to assist in cultivating the peaceful little farm which had descended from father to son for three centuries; but both the sons made light of the wishes of their father; and Hugh actually disobeyed his express commands, when he became captain of the privateer; a mode of life agreeing well enough with his rude rough habits, but which the good farmer abhorred and detested, justly considering such an occupation to be but one degree better than the pursuits of a pirate. This act of disobedience was soon punished; for Hugh Ridley fell in the first engagement, leaving a young widow and a little girl quite destitute. His death filled his father's heart with sorrow, and he lost no time in fetching his widowed daughter-in-law and her little Phoebe from Newcastle, and bringing them to his own quiet home, to the great joy of young Arthur, who promised to love aunt Rachel and cousin Phoebe better than his best pet lamb. Indeed, he said that little Phoebe was much prettier than his finest cosset; besides, she could answer all his questions, and ask him a thousand in return. They passed their happy summers together, keeping the sheep and cows on Alston Moor; in the winter, their good grandfather taught them to read the Bible; and in the long evenings, Phoebe spun by her mother's side, while Arthur learned to write and keep accounts. Arthur seldom saw his father, who only came to the farm for a few hours, when he was on shore, and then only laughed at his quiet habits and peaceful temper, slapped him rudely on the back, and asked him whether he were not ashamed of remaining lounging on shore like a coward and a milksop.",spring mosse source several little grass farm breed sheep black cattle industrious farmer retire spot county dwelt old farmer grandson farmer small landholder call dialect northern county lose wife leave son elder father captain merchant ship trade port marry tradesman daughter place die little year old know do young child begg father take boy bring farm old go sea year farmer young son kill command privateer endeavour take french merchant ship wish old son follow dangerous profession least hope remain home assist cultivate peaceful little farm descend father son century son make light wish father disobey express command become captain privateer mode life agree rude rough habit good farmer abhorr detest consider occupation degree good pursuit pirate act disobedience punish fall first engagement leave young widow little girl destitute death fill father heart sorrow lose time fetch widow daughter law little bring own quiet home great joy young promise love aunt cousin good good pet lamb say little pretty fine cosset answer question ask return pass happy summer keep sheep cow winter good grandfather teach read long evening spun mother side learn write keep account see father come farm few hour shore laugh quiet habit peaceful temper slap back ask ashamed remain loung shore coward milksop 
5,"But Arthur was no coward. True, his very fair complexion and placid features gave him that gentle look which might well deceive careless observers into the belief that any insult might be offered to him with impunity; but there was a quiet, determined firmness in his character,--a spirit which silently says, on the appearance of any difficulty, ""I will overcome it."" On such minds success is a sure attendant: they follow the toilsome path which leads to glory and distinction with unwearied and steady steps, and often leave those of bold demeanour and boasting tongues at a hopeless distance.",coward true fair complexion placid feature give gentle look deceive careless observer belief insult offer impunity be quiet determined firmness character spirit say appearance difficulty overcome such mind success sure attendant follow toilsome path lead glory distinction unwearied steady step leave bold demeanour boast tongue hopeless distance 
6,"Mr. Ridley's house was a very long way from the other farms; so when Arthur and Phoebe drove their cattle to any distance from home, on the moor, to seek fresh pasture, they were considered as strangers and intruders, by the boys who kept the flocks of the neighbouring farmers. Though somewhat older than Phoebe, Arthur was scarcely so tall as the blooming girl; and she looked better able to be his protector, than to receive assistance from him; but Phoebe knew well to whom to fly in any danger, as her cousin would beat off the most ferocious dog, or the biggest boy that strove to molest her. The farmers' sons in the neighbourhood, when once they had tried the force of Arthur's well-knit little arm, and felt the effects of his cool, determined courage, soon retracted the mean opinion they had formed of his prowess; and left off their favourite amusements of pelting his whitest lambs with mud, and running after Phoebe, to pull the long flaxen ringlets which floated from under her bonnet.",house long way other farm drive cattle distance home moor seek fresh pasture consider stranger intruder boy keep flock neighbour farmer old tall bloom girl look able protector receive assistance know fly danger cousin beat ferocious dog big boy strive molest farmer son neighbourhood try force knit little arm feel effect cool determine courage retract mean opinion form prowess leave favourite amusement pelt whit lamb mud run pull long flaxen ringlet float bonnet 
7,"At fourteen, Arthur Ridley thought himself the happiest boy in the world; for his grandfather had a gold medal presented to him at an agricultural meeting in the county, as a prize for showing there six finer and fatter lambs than any one else could produce. Mr. Ridley told every one that it was by the care and attention of his grandson, that his flock throve so well; and the nobleman who held the meeting patted Arthur's head, and told him he would be an honour to Cumberland, and hoped that he should see him at the next sheep-shearing. Oh! how Arthur loved the dear little lambs that had obtained for him such an honour! And, all the way home, he secretly resolved never to be anything but a farmer.",think happy boy world grandfather have gold medal present agricultural meeting county prize show finer fatter lamb one else produce tell one care attention grandson flock throve nobleman hold meeting patt head tell honour hope see next sheep shearing love dear little lamb obtain honour way resolve farmer 
8,"We may suppose that Arthur anticipated the next June with great delight: but, alas! the succeeding summer, though it bloomed fairer than ever, brought no joy in its course to him; for it was in that lovely season that his young heart was to know the first taste of sorrow.",suppose anticipate next great delight succeed summer bloom fair bring joy course lovely season young heart know first taste sorrow 
9,"The spring set in cold and stormy, and it was a very bad lambing-time for the ewes. Farmer Ridley was more anxious for their well-doing than usual, and, in taking care of some of the early new-fallen lambs, he caught a bad cold, attended with ague, which hung on him through the two succeeding months; and before May came with all her flowers, even the inexperienced eyes of his grandchildren read, in his sunken temples and hollow cheeks, that the mortal foe within would soon rob them of their venerable protector. Arthur's father had passed the winter in Hamburgh, and was now expected home every day. Mr. Ridley wished much to behold his son once more in this world; and he seemed to linger from hour to hour, in the hope of seeing him again; till, about eventide, on the 2nd of May, his last minutes drew to a close. ""Arthur,"" he said, in a faint voice. Arthur started from the place where he was leaning his head against the casement, and approached the bed.",spring set cold stormy bad lambing time ewe anxious do usual take care early new fall lamb catch bad cold attend ague hang succeed month come flower inexperienced eye grandchild read sink temple hollow cheek mortal foe rob venerable protector father pass winter expect day wish much behold son more world seem linger hour hour hope see eventide 2nd last minute draw close say faint voice start place lean head casement approach bed 
10,"""Arthur,"" he said, ""your father is away; but tell him from me to take care of your aunt Rachel and your cousin Phoebe: I have little to leave them; for the farm is entailed on my eldest son, and must descend to you. Tell him that my dying request is, that he will never suffer them to want a home. They will find, in my oaken box, eighty guineas in a yellow canvas bag, and my will, which directs the money to be divided between them. And now, Arthur, my dear boy, you have ever been a dutiful child to me; be the same to your father, whatever his commands may be, and make it your rule to do your duty in that state of life unto which it may please God to call you.""",say father tell take care aunt cousin have little leave farm entail old son descend tell die request suffer want home find oaken box guinea yellow canvas bag will direct money divide dear boy dutiful child same father command make rule do duty state life please call 
11,"The rising sun beamed on the bed of death; the venerable Mr. Ridley was no more! And his sorrowing family were not to be consoled. The next Sunday, they followed his remains to the grave. It was in vain that the first day of early summer smiled on them, and that between every solemn response of the burial service the blackbird sang loud and joyously; their hearts no longer leaped to the sound once so full of delight.",rise sun beam bed death venerable more sorrow family console next follow remains grave vain first day early summer smile solemn response burial service blackbird sing heart leap sound full delight 
12,"""Oh, Arthur,"" said Phoebe, as her tears fell on her black sleeve, ""we shall never see May-flowers again without mourning!""",say tear fall black sleeve see flower mourn 
