id,paragraph,tokens
1,"CHAPTER XX. ""I SHALL LIVE FOREVER--AND EVER--AND EVER!""",chapter xx live 
2," But they were obliged to wait more than a week because first there came some very windy days and then Colin was threatened with a cold, which two things happening one after the other would no doubt have thrown him into a rage but that there was so much careful and mysterious planning to do and almost every day Dickon came in, if only for a few minutes, to talk about what was happening on the moor and in the lanes and hedges and on the borders of streams.  The things he had to tell about otters' and badgers' and water-rats' houses, not to mention birds' nests and field-mice and their burrows, were enough to make you almost tremble with excitement when you heard all the intimate details from an animal charmer and realized with what thrilling eagerness and anxiety the whole busy underworld was working.",oblige wait more week come windy day threaten cold thing happen other throw rage be much careful mysterious planning do day come few minute talk happen moor lane hedge border stream thing have tell otter badger water rats' house mention bird nest field mouse burrow enough make tremble excitement hear intimate detail animal charmer realize thrilling eagerness anxiety whole busy underworld work 
3,"""They're same as us,"" said Dickon, ""only they have to build their homes every year.  An' it keeps 'em so busy they fair scuffle to get 'em done.""",same say have build home year keep e busy fair scuffle get e do 
4,"The most absorbing thing, however, was the preparations to be made before Colin could be transported with sufficient secrecy to the garden.  No one must see the chair-carriage and Dickon and Mary after they turned a certain corner of the shrubbery and entered upon the walk outside the ivied walls.  As each day passed, Colin had become more and more fixed in his feeling that the mystery surrounding the garden was one of its greatest charms.  Nothing must spoil that.  No one must ever suspect that they had a secret.  People must think that he was simply going out with Mary and Dickon because he liked them and did not object to their looking at him.  They had long and quite delightful talks about their route.  They would go up this path and down that one and cross the other and go round among the fountain flower-beds as if they were looking at the ""bedding-out plants"" the head gardener, Mr. Roach, had been having arranged.  That would seem such a rational thing to do that no one would think it at all mysterious.  They would turn into the shrubbery walks and lose themselves until they came to the long walls. It was almost as serious and elaborately thought out as the plans of march made by great generals in time of war.",absorb thing preparation make transport sufficient secrecy garden see chair carriage turn certain corner shrubbery enter walk ivied wall day pass become fix feeling mystery surround garden great charm spoil suspect have secret person think go like object look have long delightful talk route go path cross other go fountain flower bed look bedding out plant head gardener arrange seem rational thing do think mysterious turn shrubbery walk lose come long wall serious think plan march make great general time war 
5,"Rumors of the new and curious things which were occurring in the invalid's apartments had of course filtered through the servants' hall into the stable yards and out among the gardeners, but notwithstanding this, Mr. Roach was startled one day when he received orders from Master Colin's room to the effect that he must report himself in the apartment no outsider had ever seen, as the invalid himself desired to speak to him.",rumor new curious thing occur invalid apartment course filter servant hall stable yard gardener notwithstand startle day receive order room effect report apartment outsider see invalid desire speak 
6,"""Well, well,"" he said to himself as he hurriedly changed his coat, ""what's to do now? His Royal Highness that wasn't to be looked at calling up a man he's never set eyes on.""",say change coat do royal look call man set eye 
7,"Mr. Roach was not without curiosity.  He had never caught even a glimpse of the boy and had heard a dozen exaggerated stories about his uncanny looks and ways and his insane tempers.  The thing he had heard oftenest was that he might die at any moment and there had been numerous fanciful descriptions of a humped back and helpless limbs, given by people who had never seen him.",curiosity catch glimpse boy hear exaggerate story uncanny look way insane temper thing hear die moment be numerous fanciful description hump back helpless limb give person see 
8,"""Things are changing in this house, Mr. Roach,"" said Mrs. Medlock, as she led him up the back staircase to the corridor on to which opened the hitherto mysterious chamber.",thing change house say lead back staircase corridor open hitherto mysterious chamber 
9,"""Let's hope they're changing for the better, Mrs. Medlock,"" he answered.",let hope change good answer 
10,"""They couldn't well change for the worse,"" she continued; ""and queer as it all is there's them as finds their duties made a lot easier to stand up under.  Don't you be surprised, Mr. Roach, if you find yourself in the middle of a menagerie and Martha Sowerby's Dickon more at home than you or me could ever be.""",change bad continue queer find duty make lot easy stand surprise find middle menagerie more home 
11,"There really was a sort of Magic about Dickon, as Mary always privately believed.  When Mr. Roach heard his name he smiled quite leniently.",be sort believe hear name smile 
12,"""He'd be at home in Buckingham Palace or at the bottom of a coal mine,"" he said.  ""And yet it's not impudence, either.  He's just fine, is that lad.""",home bottom coal say impudence fine lad 
13,"It was perhaps well he had been prepared or he might have been startled.  When the bedroom door was opened a large crow, which seemed quite at home perched on the high back of a carven chair, announced the entrance of a visitor by saying ""Caw--Caw"" quite loudly.  In spite of Mrs. Medlock's warning, Mr. Roach only just escaped being sufficiently undignified to jump backward.",prepare startle bedroom door open large crow seem home perch high back carve chair announce entrance visitor say spite warning escape undignified jump 
14,The young Rajah was neither in bed nor on his sofa.  He was sitting in an armchair and a young lamb was standing by him shaking its tail in feeding-lamb fashion as Dickon knelt giving it milk from its bottle.  A squirrel was perched on Dickon's bent back attentively nibbling a nut. The little girl from India was sitting on a big footstool looking on.,young bed sofa sit armchair young lamb stand shake tail feeding lamb fashion knolt give milk bottle squirrel perch bend nibble nut little girl sit big footstool look 
15,"""Here is Mr. Roach, Master Colin,"" said Mrs. Medlock.",say 
16,The young Rajah turned and looked his servitor over--at least that was what the head gardener felt happened.,young turn look servitor least head gardener feel happen 
17,"""Oh, you are Roach, are you?"" he said.  ""I sent for you to give you some very important orders.""",say send give important order 
18,"""Very good, sir,"" answered Roach, wondering if he was to receive instructions to fell all the oaks in the park or to transform the orchards into water-gardens.",good sir answer wonder receive instruction fall oak park transform orchard water garden 
19,"""I am going out in my chair this afternoon,"" said Colin.  ""If the fresh air agrees with me I may go out every day.  When I go, none of the gardeners are to be anywhere near the Long Walk by the garden walls. No one is to be there.  I shall go out about two o'clock and everyone must keep away until I send word that they may go back to their work.""",go chair afternoon say fresh air agree go day go gardener long garden wall go o'clock keep send word go work 
20,"""Very good, sir,"" replied Mr. Roach, much relieved to hear that the oaks might remain and that the orchards were safe.  ""Mary,"" said Colin, turning to her, ""what is that thing you say in India when you have finished talking and want people to go?""",good sir reply relieve hear oak remain orchard safe say turn thing say finish talk want person go 
21,"""You say, 'You have my permission to go,'"" answered Mary.",say have permission go answer 
22,The Rajah waved his hand.,wave hand 
23,"""You have my permission to go, Roach,"" he said.  ""But, remember, this is very important.""",have permission go say remember important 
24,"""Caw--Caw!"" remarked the crow hoarsely but not impolitely.",remark crow 
25,"""Very good, sir.  Thank you, sir,"" said Mr. Roach, and Mrs. Medlock took him out of the room.",good sir thank sir say take room 
26,"Outside in the corridor, being a rather good-natured man, he smiled until he almost laughed.",corridor good natured man smile laugh 
27,"""My word!"" he said, ""he's got a fine lordly way with him, hasn't he? You'd think he was a whole Royal Family rolled into one--Prince Consort and all."".",word say get fine lordly way think whole royal roll 
28,"""Eh!"" protested Mrs. Medlock, ""we've had to let him trample all over every one of us ever since he had feet and he thinks that's what folks was born for.""",protest have let trample one have foot think folk bear 
29,"""Perhaps he'll grow out of it, if he lives,"" suggested Mr. Roach.",grow live suggest 
30,"""Well, there's one thing pretty sure,"" said Mrs. Medlock.  ""If he does live and that Indian child stays here I'll warrant she teaches him that the whole orange does not belong to him, as Susan Sowerby says.  And he'll be likely to find out the size of his own quarter.""",be thing sure say live indian child stay warrant teach whole orange belong say likely find size own quarter 
31,Inside the room Colin was leaning back on his cushions.,room lean cushion 
32,"""It's all safe now,"" he said.  ""And this afternoon I shall see it--this afternoon I shall be in it!""",safe say afternoon see afternoon 
33,Dickon went back to the garden with his creatures and Mary stayed with Colin.  She did not think he looked tired but he was very quiet before their lunch came and he was quiet while they were eating it.  She wondered why and asked him about it.,go garden creature stay think look tired quiet lunch come quiet eat wonder ask 
34,"""What big eyes you've got, Colin,"" she said.  ""When you are thinking they get as big as saucers.  What are you thinking about now?""",big eye get say think get big saucer think 
35,"""I can't help thinking about what it will look like,"" he answered.",help think look answer 
36,"""The garden?"" asked Mary.",garden ask 
