id,paragraph,tokens
1,"CHAPTER XXVI. ""IT'S MOTHER!""",mother 
2, Their belief in the Magic was an abiding thing.  After the morning's incantations Colin sometimes gave them Magic lectures.,belief abide thing morning incantation give lecture 
3,"""I like to do it,"" he explained, ""because when I grow up and make great scientific discoveries I shall be obliged to lecture about them and so this is practise.  I can only give short lectures now because I am very young, and besides Ben Weatherstaff would feel as if he were in church and he would go to sleep.""",like do explain grow make great scientific discovery oblige lecture practise give short lecture young feel church go sleep 
4,"""Th' best thing about lecturin',"" said Ben, ""is that a chap can get up an' say aught he pleases an' no other chap can answer him back.  I wouldn't be agen' lecturin' a bit mysel' sometimes.""",good thing lecturin' say chap get say aught please other chap answer agen lecturin' bit mysel 
5,"But when Colin held forth under his tree old Ben fixed devouring eyes on him and kept them there.  He looked him over with critical affection.  It was not so much the lecture which interested him as the legs which looked straighter and stronger each day, the boyish head which held itself up so well, the once sharp chin and hollow cheeks which had filled and rounded out and the eyes which had begun to hold the light he remembered in another pair.  Sometimes when Colin felt Ben's earnest gaze meant that he was much impressed he wondered what he was reflecting on and once when he had seemed quite entranced he questioned him.",hold tree old fix devour eye keep look critical affection lecture interest leg look straighter strong day boyish head hold sharp chin hollow cheek fill round eye begin hold light remember pair feel earnest gaze mean impressed wonder reflect seem entrance question 
6,"""What are you thinking about, Ben Weatherstaff?"" he asked.",think ask 
7,"""I was thinkin'"" answered Ben, ""as I'd warrant tha's, gone up three or four pound this week.  I was lookin' at tha' calves an' tha' shoulders. I'd like to get thee on a pair o' scales.""",thinkin' answer warrant go pound week lookin calve tha' shoulder like get pair o' scale 
8,"""It's the Magic and--and Mrs. Sowerby's buns and milk and things,"" said Colin.  ""You see the scientific experiment has succeeded.""",bun milk thing say see scientific experiment succeed 
9,"That morning Dickon was too late to hear the lecture.  When he came he was ruddy with running and his funny face looked more twinkling than usual.  As they had a good deal of weeding to do after the rains they fell to work.  They always had plenty to do after a warm deep sinking rain.  The moisture which was good for the flowers was also good for the weeds which thrust up tiny blades of grass and points of leaves which must be pulled up before their roots took too firm hold.  Colin was as good at weeding as any one in these days and he could lecture while he was doing it.  ""The Magic works best when you work, yourself,"" he said this morning.  ""You can feel it in your bones and muscles.  I am going to read books about bones and muscles, but I am going to write a book about Magic.  I am making it up now.  I keep finding out things.""",morning late hear lecture come ruddy run funny face look twinkling usual have good deal weeding do rain fall work have plenty do warm deep sinking rain moisture good flower good weed thrust tiny blade grass point leave pull root take firm hold good weed one day lecture do work good work say morning feel bone muscle go read book bone muscle go write book make keep find thing 
10,"It was not very long after he had said this that he laid down his trowel and stood up on his feet.  He had been silent for several minutes and they had seen that he was thinking out lectures, as he often did.  When he dropped his trowel and stood upright it seemed to Mary and Dickon as if a sudden strong thought had made him do it.  He stretched himself out to his tallest height and he threw out his arms exultantly.  Color glowed in his face and his strange eyes widened with joyfulness.  All at once he had realized something to the full.",say lay trowel stand foot silent several minute see think lecture drop trowel stand seem sudden strong thought make do stretch tall height throw arm color glow face strange eye widen joyfulness realize full 
11,"""Mary! Dickon!"" he cried.  ""Just look at me!""",cry look 
12,They stopped their weeding and looked at him.,stop weeding look 
13,"""Do you remember that first morning you brought me in here?"" he demanded.",remember first morning bring demand 
14,"Dickon was looking at him very hard.  Being an animal charmer he could see more things than most people could and many of them were things he never talked about.  He saw some of them now in this boy.  ""Aye, that we do,"" he answered.",look animal charmer see more thing most person many thing talk see boy answer 
15,"Mary looked hard too, but she said nothing.",look say 
16,"""Just this minute,"" said Colin, ""all at once I remembered it myself--when I looked at my hand digging with the trowel--and I had to stand up on my feet to see if it was real.  And it is real! I'm well--I'm well!""",minute say remember look hand digg trowel have stand foot see real real well well 
17,"""Aye, that th' art!"" said Dickon.",art say 
18,"""I'm well! I'm well!"" said Colin again, and his face went quite red all over.",well well say face go red 
19,"He had known it before in a way, he had hoped it and felt it and thought about it, but just at that minute something had rushed all through him--a sort of rapturous belief and realization and it had been so strong that he could not help calling out.",know way hope feel think minute rush sort rapturous belief realization strong help call 
20,"""I shall live forever and ever and ever!"" he cried grandly.  ""I shall find out thousands and thousands of things.  I shall find out about people and creatures and everything that grows--like Dickon--and I shall never stop making Magic.  I'm well! I'm well! I feel--I feel as if I want to shout out something--something thankful, joyful!""",live cry find thousand thousand thing find person creature grow stop make well well feel feel want shout thankful joyful 
21,"Ben Weatherstaff, who had been working near a rose-bush, glanced round at him.",work rose bush glance 
22,"""Tha' might sing th' Doxology,"" he suggested in his dryest grunt.  He had no opinion of the Doxology and he did not make the suggestion with any particular reverence.",sing suggest dryest grunt have opinion make suggestion particular reverence 
23,But Colin was of an exploring mind and he knew nothing about the Doxology.,explore mind know 
24,"""What is that?"" he inquired.",inquire 
25,"""Dickon can sing it for thee, I'll warrant,"" replied Ben Weatherstaff.",sing warrant reply 
26,Dickon answered with his all-perceiving animal charmer's smile.,answer perceive animal charmer smile 
27,"""They sing it i' church,"" he said.  ""Mother says she believes th' skylarks sings it when they gets up i' th' mornin'.""",sing church say mother say believe skylark sing get i' mornin 
28,"""If she says that, it must be a nice song,"" Colin answered.  ""I've never been in a church myself.  I was always too ill.  Sing it, Dickon. I want to hear it.""",say nice song answer church ill sing want hear 
29,Dickon was quite simple and unaffected about it.  He understood what Colin felt better than Colin did himself.  He understood by a sort of instinct so natural that he did not know it was understanding.  He pulled off his cap and looked round still smiling.,simple unaffected understand feel good do understand sort instinct natural know understand pull cap look smile 
30,"""Tha' must take off tha' cap,"" he said to Colin, ""an' so mun tha', Ben--an' tha' mun stand up, tha' knows.""",take cap say stand know 
31,Colin took off his cap and the sun shone on and warmed his thick hair as he watched Dickon intently.  Ben Weatherstaff scrambled up from his knees and bared his head too with a sort of puzzled half-resentful look on his old face as if he didn't know exactly why he was doing this remarkable thing.,take cap sun shine warm thick hair watch scramble knee bare head sort puzzle half resentful look old face know do remarkable thing 
