id,paragraph,tokens
1,CHAPTER 6. ROGER HIS OWN MASTER.,own master 
2,"There lay Roger under the tree, thinking that there was nothing to prevent his having all his own way now, and that he was going to be very happy.  He had always thought it hard that he could not have his own way entirely, and had been unsatisfied with a much greater degree of liberty than most people wish or have.",lay tree think be prevent have own way go happy think have own way unsatisfied great degree liberty most person wish have 
3,"He had hitherto led a wandering life, having no home duties, no school to go to, no trade to work at,--no garden, or other pleasure, to fix him to one spot.  He had gone, with his uncle, from sporting on the moors, in one season of the year, to sporting in the marshes in another; and, wild as was this way of life, it made his will so much wilder, that he was always wishing for more liberty still.  When his aunt had desired him to watch the kettle, as it hung over the fire near the tent, or asked him to help her in shaking out their bedding, or cleaning their utensils, he had turned sulky, and wished that he lived alone, where he need not be plagued about other people's affairs.  When his uncle had ordered him to attend at a certain spot and hour, with nets or a gun, he had been wont to feel himself seized with a sudden desire to wander in an opposite direction, or to lie half asleep in the sun, too lazy to work at all.  When he had played truant, and returned late to the tent, and found nothing better left to eat than a dry crust of bread, or the cold remains of a mess of fish, he had frequently thought how pleasant it would be to have the best of everything for himself, and only his dog to eat up the rest.  So this boy had often felt and thought; and so would many think and feel, perhaps, if there were many as forlorn and friendless as he, with no one to love and be loved by.  Though he had had an uncle and aunt, he had never had a friend.  He knew that they cared about him only because he could help to keep the tent, and take the game; and, feeling this, it was irksome to him to be under their orders.",lead wonder life have home duty school go trade work garden other pleasure fix spot go uncle sport moor season year sport marsh wild way life make will wild wish more liberty aunt desire watch kettle hang fire tent ask help shake bedding clean utensil turn sulky wish live plague other person affair uncle order attend certain spot hour net gun wont feel seize sudden desire wander opposite direction lie asleep sun lazy work play truant return tent find leave eat dry crust bread cold remains mess fish think pleasant have good dog eat rest boy feel think many think feel be many forlorn friendless love love have uncle aunt have friend know care help keep tent take game feel irksome order 
4,"The time was now come for which he had so often longed.  He was his own master completely.  There was nobody near who could order or compel him to do anything; while he, on his part, had an obedient servant in his dog.  The sky was blue and warm overhead, and the trees cast a pleasant shade.  The Red-hill was now an island, which he had all to himself; and it was richly stocked with game, for his food and sport.  Here he could have his own way, and be completely happy.",time come long own master be order compel do part have obedient servant dog sky blue warm tree cast pleasant shade red hill island have stock game food sport have own way happy 
5,"Such was Roger's idea when he stole the tinder-box, and crossed to the hill; and this was what he said to himself as he cooked his meal, and when he lay down after it on the grass, with the bees humming round him, and the sound of the waters being now a pleasant ripple, instead of the rush and roar of yesterday.  He desired his dog to lie down, and not disturb him; and he took this opportunity to change the animal's name. Stephen Redfurn, taking up the quarrel of the day against the bishops, would have the dog called ""Bishop,"" and nothing else.  Roger had always wished to call him ""Spy;"" but Bishop would never answer to the name of Spy, or even seem to hear it.  Now, however, Bishop was to be Spy, as there was no one here to indulge the dog with his old name; and Spy was told so many times over, and with all the devices that could be thought of for impressing the fact on his memory.",such idea steal tinder box cross hill say cook meal lay grass bee hum sound water pleasant ripple rush roar yesterday desire dog lie disturb take opportunity change animal name take quarrel day bishop have dog call else wish call answer name seem hear be indulge dog old name tell many time device think impress fact memory 
6,"This lesson being given, Roger shut his eyes, and thought he would sleep as long as he chose; but, in the first place, he found himself too much heated for sleep.  He considered that it was no wonder, after broiling himself in making a fire to broil his hare.  He wished animals ran about ready cooked--as fruits grow on the sunny side of trees.  It was too bad to have to bustle and toil for an hour, to get ready what was eaten in ten minutes; and it just passed through his mind that, whatever Nan Redfurn might have sometimes said and done to him, she had usually saved him all trouble in cooking, and had had his meals ready for him whenever he chose to be at the tent at meal times.  He rose, and thought he could find a cooler place, further under the trees.",lesson give shut eye think sleep choose first place find heat sleep consider wonder broil make fire broil hare wish animal run ready cook fruit grow sunny side tree bad have bustle toil hour get ready eat minute pass mind say do save trouble cooking have meal ready choose tent meal time rise think find cool place tree 
7,"He did so, and again lay down.  Sleep began to steal over him; and, at the same time, the thought crept into his mind that he should never more see Stephen Redfurn.  The ideas that come when one is dropping asleep are very vivid; and this one startled Roger so, that Spy found it out, and pricked up his ears, as if at some alarm.  This thought would not go away; for it so happened that the last words that Stephen and Roger had spoken together were angry ones.  Stephen had ordered Roger to carry the fry they had fished for manure to a field, where he had promised to deposit it by a certain time.  Roger had been sure that the fish would be better for lying in the sun a while longer, and refused to touch it. No matter which was right about the manure; both were wrong in being angry.  Stephen had said that Roger was a young rascal, who would never come to good; and Roger had looked impertinently in his uncle's face, while whistling to the dog to come with him, and make sport among the water-fowl.  It was that face--that countenance of his uncle's, as he had last seen it, which was before Roger's eyes now, as he lay dozing. With it came the angry tones of Stephen's voice, saying that he would never come to good.  Mixed and confused with this was the roar of a coming flood, and a question (how and whence spoken he knew not) whether his uncle might not possibly have been saved, if he had not, against orders, carried away Bishop--for the dog was still Bishop in his master's dreams.",lay sleep begin steal same time thought creep mind see idea come drop asleep vivid one startle find prick ear alarm thought go happen last word speak angry one order carry fry fish manure field promise deposit certain time sure fish good lie sun while refuse touch matter right manure wrong angry say young rascal come good look uncle face whistle dog come make sport water fowl face countenance uncle see eye lay doze come angry tone voice say come good mix confuse roar come flood question speak know uncle save order carry dog master dream 
8,"Roger started bolt upright, and looked about him.  He felt very tired; but he thought he would not lie down again just yet.  It was odd that he could not get sound asleep, so tired as he was.  If he should not sleep better than this at night, what should he do?  He wished he had some more of that woman's cherry-brandy.  He had slept sound enough after drinking that.  It was well for Roger that he was not now within reach of intoxicating liquors--the state of his mind would probably have made a drunkard of him.",start bolt look feel tired think lie odd get sound asleep tired sleep good night do wish have more woman cherry brandy sleep sound drink reach intoxicating liquor state mind make drunkard 
9,"His mind ran strangely on his uncle, and his uncle's last looks and words, even as he stood wide awake, and staring at the bee-hives.  A rustle in the briars behind him made him jump as if he had been shot. It was only a partridge taking wing.",mind run uncle uncle last look word stand stare bee hive rustle briar make jump shoot partridge take wing 
10,"""Whirr away!"" said Roger to her.  ""You can't go far.  You will have to light again upon my island.  You all belong to me--you swarming creatures!  You may run about awhile, and flutter away a bit; but you will all belong to me at last, with Spy to help me.  I'll have some sport, now.  Here, Spy!  Spy!""",whirr say go have light island belong swarm creature run flutter bit belong last help have sport 
