id,paragraph,tokens
1,CHAPTER 10. GRAVES IN THE LEVELS.,levels 
2,"Oliver so much wished that the next day (Sunday, and the day of his little brother's funeral) should be one of rest and decent quiet, that he worked extremely hard, as long as the light lasted, and was glad of all the help the rest of the party could give.",wish next day day little brother funeral rest decent quiet work light last glad help rest party give 
3,"To make an excavation large enough for the body was no difficult task;-- the earth being soft, and easily removed from the trunks, roots, and branches of buried trees, which seemed to run all through the interior of the bank.  But the five stones with which the grave was to be lined were of considerable thickness; and Oliver chose to have them nicely fitted in, that no living creature should be able to enter this place sacred to the dead.",make excavation large body difficult task earth soft remove trunk root branch bury tree seem run interior bank stone grave line considerable thickness choose have fit living creature able enter place sacred dead 
4,"How astonished were they all to find that this was already a place of the dead!  While Ailwin was holding one of the stones against one end of the excavation, and Oliver was striking and fixing it with the great hammer, Roger was emptying out soil from the other end.  He exclaimed that he had come upon some large thing made of leather.",astonished find place dead hold stone end excavation strike fix great hammer empty soil other end exclaim come large thing make leather 
5,"""I dare say you have,"" said Ailwin.  ""There are all manner of things found by those who dig in the Levels--except useful things, I mean.  No one ever knew anything useful come out of these odd places.""",say say be manner thing find dig level useful thing mean know useful come odd place 
6,"""You are wrong there,"" said Roger.  ""I have got useful things myself from under the carr, that brought me more money than any fish and fowl I ever took out of the ponds on it.  Uncle and I found some old red earthenware things...""",wrong say get useful thing carr bring more money fish fowl take pond find old red earthenware thing 
7,"""Old red earthenware!"" exclaimed Ailwin.  ""As if old earthenware was better than fish and fowl, when there is so much new to be had now-a-days!  My uncle is a sailor, always going between this and Holland; and he says the quantity of ware they bring over in a year will hold victuals for all Lincolnshire.  And Dutch ware does not cost above half what it did in my grandfather's time: so don't you be telling your wonderful tales, Roger.  We sha'n't believe them.""",old red earthenware exclaim old earthenware good fish fowl be much new have day uncle sailor go say quantity ware bring year hold victual dutch ware cost half do grandfather time tell wonderful tale believe 
8,"""Well, then don't.  But I say again, uncle Stephen and I took gold for the old red ware we got out of a deep hole in the carr.""",say uncle take gold old red ware get deep hole carr 
9,"""Very likely, indeed.  I wonder who has gold to throw away in that manner.  However, I don't say but there may be such.  `Fools and their money are soon parted,' some folks say.""",likely wonder have gold throw manner say be such fool money part folk say 
10,"""Who gave you the gold?"" asked Oliver.",give gold ask 
11,"""You may ask that,"" said Roger; ""but you may not believe me when I tell you.  You know the Earl of Arundel comes sometimes into these parts. Well,--it was he.""",ask say believe tell know come part 
12,"""When?  Why?""",
13,"""He often comes down to see the Trent, having the care of the forests upon it: and one time he stopped near here, on his way into Scotland, about some business.  They say he has a castle full of wonderful things somewhere.""",come see have care forest time stop way business say have castle full wonderful thing 
