id,paragraph,tokens
1,CHAPTER IV. AN ELEPHANT HUNT,
2,"Now I do not propose to narrate at full length all the incidents of our long travel up to Sitanda's Kraal, near the junction of the Lukanga and Kalukwe Rivers. It was a journey of more than a thousand miles from Durban, the last three hundred or so of which we had to make on foot, owing to the frequent presence of the dreadful ""tsetse"" fly, whose bite is fatal to all animals except donkeys and men.",propose narrate full length incident long travel junction journey more mile last have make foot ow frequent presence dreadful tsetse fly bite fatal animal donkey man 
3,"We left Durban at the end of January, and it was in the second week of May that we camped near Sitanda's Kraal. Our adventures on the way were many and various, but as they are of the sort which befall every African hunter--with one exception to be presently detailed--I shall not set them down here, lest I should render this history too wearisome.",leave end second week camp adventure way many various sort befall african hunter exception detailed set render history wearisome 
4,"At Inyati, the outlying trading station in the Matabele country, of which Lobengula (a great and cruel scoundrel) is king, with many regrets we parted from our comfortable wagon. Only twelve oxen remained to us out of the beautiful span of twenty which I had bought at Durban. One we lost from the bite of a cobra, three had perished from ""poverty"" and the want of water, one strayed, and the other three died from eating the poisonous herb called ""tulip."" Five more sickened from this cause, but we managed to cure them with doses of an infusion made by boiling down the tulip leaves. If administered in time this is a very effective antidote.",outly trading station country great cruel scoundrel king many regret part comfortable wagon oxen remain beautiful span buy lose bite cobra perish poverty want water stray other die eat poisonous herb call tulip sicken cause manage cure dose infusion make boil tulip leave administer time effective antidote 
5,"The wagon and the oxen we left in the immediate charge of Goza and Tom, our driver and leader, both trustworthy boys, requesting a worthy Scotch missionary who lived in this distant place to keep an eye on them. Then, accompanied by Umbopa, Khiva, Ventvögel, and half a dozen bearers whom we hired on the spot, we started off on foot upon our wild quest. I remember we were all a little silent on the occasion of this departure, and I think that each of us was wondering if we should ever see our wagon again; for my part I never expected to do so. For a while we tramped on in silence, till Umbopa, who was marching in front, broke into a Zulu chant about how some brave men, tired of life and the tameness of things, started off into a vast wilderness to find new things or die, and how, lo and behold! when they had travelled far into the wilderness they found that it was not a wilderness at all, but a beautiful place full of young wives and fat cattle, of game to hunt and enemies to kill.",wagon oxen leave immediate charge driver leader trustworthy boy request worthy missionary live distant place keep eye accompany bearer hire spot start foot wild quest remember little silent occasion departure think wonder see wagon part expect do while tramp silence march front break chant brave man tired life tameness thing start vast wilderness find new thing die travel wilderness find wilderness beautiful place full young wife fat cattle game hunt enemy kill 
6,"Then we all laughed and took it for a good omen. Umbopa was a cheerful savage, in a dignified sort of way, when he was not suffering from one of his fits of brooding, and he had a wonderful knack of keeping up our spirits. We all grew very fond of him.",laugh take good omen cheerful savage dignified sort way suffer fit brooding have wonderful knack keep spirit grow fond 
7,"And now for the one adventure to which I am going to treat myself, for I do dearly love a hunting yarn.",adventure go treat love hunting yarn 
8,"About a fortnight's march from Inyati we came across a peculiarly beautiful bit of well-watered woodland country. The kloofs in the hills were covered with dense bush, ""idoro"" bush as the natives call it, and in some places, with the ""wacht-een-beche,"" or ""wait-a-little thorn,"" and there were great quantities of the lovely ""machabell"" tree, laden with refreshing yellow fruit having enormous stones. This tree is the elephant's favourite food, and there were not wanting signs that the great brutes had been about, for not only was their spoor frequent, but in many places the trees were broken down and even uprooted. The elephant is a destructive feeder.",fortnight march come beautiful bit water woodland country kloof hill cover dense bush idoro bush native call place wait little thorn be great quantity lovely machabell tree laden refresh yellow fruit have enormous stone tree elephant favourite food want sign great brute spoor frequent many place tree break uproot elephant destructive feeder 
9,"One evening, after a long day's march, we came to a spot of great loveliness. At the foot of a bush-clad hill lay a dry river-bed, in which, however, were to be found pools of crystal water all trodden round with the hoof-prints of game. Facing this hill was a park-like plain, where grew clumps of flat-topped mimosa, varied with occasional glossy-leaved machabells, and all round stretched the sea of pathless, silent bush.",evening long day march come spot great loveliness foot bush clad hill lay dry river bed find pool crystal water trodd hoof print game face hill park plain grow clump flat top mimosa vary occasional glossy leave machabell stretch sea pathless silent bush 
10,"As we emerged into this river-bed path suddenly we started a troop of tall giraffes, who galloped, or rather sailed off, in their strange gait, their tails screwed up over their backs, and their hoofs rattling like castanets. They were about three hundred yards from us, and therefore practically out of shot, but Good, who was walking ahead, and who had an express loaded with solid ball in his hand, could not resist temptation. Lifting his gun, he let drive at the last, a young cow. By some extraordinary chance the ball struck it full on the back of the neck, shattering the spinal column, and that giraffe went rolling head over heels just like a rabbit. I never saw a more curious thing.",emerge river bed path start troop tall giraffe gallop sail strange gait tail screw back hoof rattling castanet yard shot good walk have express load solid ball hand resist temptation lift gun let drive last young cow extraordinary chance ball strike full back neck shatter spinal column giraffe go roll head heel rabbit see curious thing 
11,"""Curse it!"" said Good--for I am sorry to say he had a habit of using strong language when excited--contracted, no doubt, in the course of his nautical career; ""curse it! I've killed him.""",curse say good sorry say have habit use strong language excite contract doubt course nautical career curse kill 
12,"""_Ou_, Bougwan,"" ejaculated the Kafirs; ""_ou! ou!_""",ejaculate 
13,"They called Good ""Bougwan,"" or Glass Eye, because of his eye-glass.",call good eye glass 
14,"""Oh, 'Bougwan!'"" re-echoed Sir Henry and I, and from that day Good's reputation as a marvellous shot was established, at any rate among the Kafirs. Really he was a bad one, but whenever he missed we overlooked it for the sake of that giraffe.",re-echoe day reputation marvellous shot establish rate bad one miss overlook sake giraffe 
