id,paragraph,tokens
1,The Tale of Squirrel Nutkin Beatrix Potter,
2,A STORY FOR NORAH,story 
3,BOOK 1.,
4,"This is a Tale about a tail--a tail that belonged to a little red squirrel, and his name was Nutkin.",tail tail belong little red squirrel name 
5,"He had a brother called Twinkleberry, and a great many cousins: they lived in a wood at the edge of a lake.",have brother call great many cousin live wood edge lake 
6,,
7,"In the middle of the lake there is an island covered with trees and nut bushes; and amongst those trees stands a hollow oak-tree, which is the house of an owl who is called Old Brown.",middle lake be island cover tree nut bush tree stand hollow oak tree house owl call old 
8,,
9,"One autumn when the nuts were ripe, and the leaves on the hazel bushes were golden and green--Nutkin and Twinkleberry and all the other little squirrels came out of the wood, and down to the edge of the lake.",autumn nut ripe leave hazel bush golden green other little squirrel come wood edge lake 
10,,
11,"They made little rafts out of twigs, and they paddled away over the water to Owl Island to gather nuts.",make little raft twig paddle water gather nut 
12,"Each squirrel had a little sack and a large oar, and spread out his tail for a sail.",squirrel have little sack large oar spread tail sail 
13,,
14,"They also took with them an offering of three fat mice as a present for Old Brown, and put them down upon his door-step.",take offering fat mouse present old put door step 
15,"Then Twinkleberry and the other little squirrels each made a low bow, and said politely--",other little squirrel make low bow say 
16,"""Old Mr. Brown, will you favour us with permission to gather nuts upon your island?""",old favour permission gather nut island 
17,,
18,"But Nutkin was excessively impertinent in his manners. He bobbed up and down like a little red _cherry_, singing--",impertinent manners bobb little red _cherry_ sing 
19,"    ""Riddle me, riddle me, rot-tot-tote!      A little wee man, in a red red coat!      A staff in his hand, and a stone in his throat;      If you'll tell me this riddle, I'll give you a groat.""",riddle riddle rot tot tote little wee man red red coat staff hand stone throat tell riddle give groat 
20,Now this riddle is as old as the hills; Mr. Brown paid no attention whatever to Nutkin.,riddle old hill pay attention 
21,He shut his eyes obstinately and went to sleep.,shut eye go sleep 
22,,
23,"The squirrels filled their little sacks with nuts, and sailed away home in the evening.",squirrel fill little sack nut sail evening 
24,,
25,"But next morning they all came back again to Owl Island; and Twinkleberry and the others brought a fine fat mole, and laid it on the stone in front of Old Brown's doorway, and said--",next morning come other bring fine fat mole lay stone front old doorway say 
26,"""Mr. Brown, will you favour us with your gracious permission to gather some more nuts?""",favour gracious permission gather more nut 
27,,
28,"But Nutkin, who had no respect, began to dance up and down, tickling old Mr. Brown with a _nettle_ and singing--",have respect begin dance tickle old _nettle_ sing 
29,"    ""Old Mr. B! Riddle-me-ree!      Hitty Pitty within the wall,      Hitty Pitty without the wall;      If you touch Hitty Pitty,      Hitty Pitty will bite you!""",old wall wall touch bite 
30,Mr. Brown woke up suddenly and carried the mole into his house.,wake carry mole house 
31,,
32,"He shut the door in Nutkin's face. Presently a little thread of blue _smoke_ from a wood fire came up from the top of the tree, and Nutkin peeped through the key-hole and sang--",shut door face little thread blue _smoke_ wood fire come top tree peep key hole sing 
33,"    ""A house full, a hole full!      And you cannot gather a bowl-full!""",house full hole full gather bowl full 
34,,
35,,
36,The squirrels searched for nuts all over the island and filled their little sacks.,squirrel search nut island fill little sack 
37,"But Nutkin gathered oak-apples--yellow and scarlet--and sat upon a beech-stump playing marbles, and watching the door of old Mr. Brown.",gather oak apple yellow scarlet sit beech stump play marble watch door old 
38,,
39,On the third day the squirrels got up very early and went fishing; they caught seven fat minnows as a present for Old Brown.,third day squirrel get go fishing catch fat minnow present old 
40,They paddled over the lake and landed under a crooked chestnut tree on Owl Island.,paddle lake land crooked chestnut tree 
41,,
42,"Twinkleberry and six other little squirrels each carried a fat minnow; but Nutkin, who had no nice manners, brought no present at all. He ran in front, singing--",other little squirrel carry fat minnow have nice manners bring present run front sing 
43,"    ""The man in the wilderness said to me,     'How many strawberries grow in the sea?'      I answered him as I thought good--      'As many red herrings as grow in the wood.'""",man wilderness say many strawberry grow sea answer think good many red herring grow wood 
44,But old Mr. Brown took no interest in riddles--not even when the answer was provided for him.,old take interest riddle answer provide 
45,,
46,"On the fourth day the squirrels brought a present of six fat beetles, which were as good as plums in _plum-pudding_ for Old Brown. Each beetle was wrapped up carefully in a dock-leaf, fastened with a pine-needle pin.",fourth day squirrel bring present fat beetle good plum _plum pudding_ old beetle wrap dock leaf fasten pine needle pin 
47,But Nutkin sang as rudely as ever--,sing 
